Date,Open,High,Low,Close,Volume
23-Oct-14,3.30,3.41,3.19,3.40,95457
22-Oct-14,3.27,3.35,3.24,3.25,53442
21-Oct-14,3.26,3.29,3.23,3.28,69875
20-Oct-14,3.17,3.26,3.17,3.23,80201
17-Oct-14,3.35,3.35,3.16,3.17,180472
16-Oct-14,3.19,3.25,3.16,3.24,51424
15-Oct-14,3.19,3.25,3.05,3.24,91032
14-Oct-14,3.25,3.26,3.17,3.22,67774
13-Oct-14,3.08,3.24,3.08,3.20,38051
10-Oct-14,3.02,3.12,2.94,3.08,59914
9-Oct-14,3.10,3.10,2.93,3.05,91943
8-Oct-14,3.13,3.18,3.08,3.12,91688
7-Oct-14,3.07,3.19,3.06,3.15,38799
6-Oct-14,3.20,3.21,3.10,3.10,30376
3-Oct-14,3.19,3.23,3.17,3.21,23667
2-Oct-14,3.09,3.17,3.09,3.15,36305
1-Oct-14,3.20,3.24,3.09,3.09,138292
30-Sep-14,3.12,3.23,3.10,3.20,156684
29-Sep-14,3.10,3.13,3.05,3.12,48861
26-Sep-14,3.12,3.12,3.06,3.10,100400
25-Sep-14,3.19,3.19,3.12,3.13,47711
24-Sep-14,3.13,3.20,3.12,3.19,43116
23-Sep-14,3.14,3.17,3.07,3.09,68076
22-Sep-14,3.25,3.27,3.14,3.15,53436
19-Sep-14,3.26,3.33,3.21,3.28,126954
18-Sep-14,3.22,3.31,2.96,3.26,123274
17-Sep-14,3.25,3.31,3.24,3.24,49775
16-Sep-14,3.18,3.29,3.18,3.25,56445
15-Sep-14,3.27,3.30,3.19,3.19,69692
12-Sep-14,3.38,3.41,3.19,3.25,50254
11-Sep-14,3.29,3.40,3.29,3.37,39300
10-Sep-14,3.32,3.34,3.30,3.33,35948
9-Sep-14,3.38,3.40,3.31,3.33,47750
8-Sep-14,3.34,3.42,3.30,3.40,58035
5-Sep-14,3.30,3.37,3.30,3.35,26987
4-Sep-14,3.36,3.39,3.30,3.32,80676
3-Sep-14,3.43,3.43,3.33,3.35,37947
2-Sep-14,3.45,3.45,3.37,3.42,33427
29-Aug-14,3.38,3.45,3.34,3.45,66502
28-Aug-14,3.45,3.45,3.37,3.38,27455
27-Aug-14,3.44,3.46,3.39,3.44,50651
26-Aug-14,3.47,3.47,3.41,3.45,43233
25-Aug-14,3.44,3.45,3.38,3.45,52631
22-Aug-14,3.45,3.45,3.40,3.43,32265
21-Aug-14,3.42,3.44,3.39,3.44,31099
20-Aug-14,3.41,3.44,3.38,3.44,49861
19-Aug-14,3.45,3.47,3.43,3.45,62570
18-Aug-14,3.49,3.49,3.42,3.47,59078
15-Aug-14,3.55,3.55,3.40,3.43,58530
14-Aug-14,3.47,3.50,3.44,3.49,57243
13-Aug-14,3.44,3.48,3.42,3.48,25226
12-Aug-14,3.42,3.47,3.40,3.43,68884
11-Aug-14,3.45,3.51,3.43,3.45,66978
8-Aug-14,3.38,3.48,3.38,3.45,30316
7-Aug-14,3.50,3.52,3.36,3.39,29229
6-Aug-14,3.54,3.60,3.49,3.51,25110
5-Aug-14,3.46,3.62,3.41,3.58,67946
4-Aug-14,3.39,3.50,3.34,3.50,106418
1-Aug-14,3.59,3.59,3.32,3.38,151595
31-Jul-14,3.49,3.52,3.31,3.38,129790
30-Jul-14,3.51,3.57,3.44,3.55,105996
29-Jul-14,3.43,3.49,3.39,3.47,37115
28-Jul-14,3.39,3.47,3.38,3.44,60934
25-Jul-14,3.40,3.44,3.40,3.40,83939
24-Jul-14,3.45,3.49,3.41,3.41,73064
23-Jul-14,3.47,3.49,3.43,3.46,19208
22-Jul-14,3.50,3.50,3.45,3.48,24199
21-Jul-14,3.46,3.51,3.41,3.46,102816
18-Jul-14,3.45,3.54,3.45,3.51,68270
17-Jul-14,3.49,3.57,3.46,3.47,47733
16-Jul-14,3.52,3.59,3.52,3.53,42205
15-Jul-14,3.55,3.66,3.51,3.52,59219
