Date,Open,High,Low,Close,Volume
23-Oct-14,23.61,23.76,23.42,23.56,21669864
22-Oct-14,23.67,23.68,23.24,23.26,25172891
21-Oct-14,23.10,23.60,22.96,23.51,33712736
20-Oct-14,22.90,23.08,22.69,22.93,34386940
17-Oct-14,22.98,23.33,22.92,23.25,28484982
16-Oct-14,22.65,23.08,22.56,22.82,30931253
15-Oct-14,22.79,23.15,22.49,22.96,40079835
14-Oct-14,23.06,23.35,22.96,23.06,29321873
13-Oct-14,23.24,23.45,22.93,22.93,33227683
10-Oct-14,23.91,24.01,23.34,23.34,48313616
9-Oct-14,24.51,24.64,24.18,24.19,29343104
8-Oct-14,24.57,24.68,24.18,24.66,40348337
7-Oct-14,25.01,25.25,24.59,24.64,29310234
6-Oct-14,25.35,25.42,24.96,25.01,23953106
3-Oct-14,25.21,25.37,25.04,25.31,29038349
2-Oct-14,25.05,25.11,24.75,25.06,28334042
1-Oct-14,25.20,25.25,24.94,25.03,44916150
30-Sep-14,24.90,25.25,24.85,25.17,36919335
29-Sep-14,24.73,25.20,24.73,25.12,28708554
26-Sep-14,24.50,25.09,24.46,25.00,29863678
25-Sep-14,24.96,24.96,24.50,24.54,27242027
24-Sep-14,24.73,25.04,24.63,24.98,19700375
23-Sep-14,24.87,25.03,24.67,24.70,20750887
22-Sep-14,25.19,25.19,24.86,24.97,21346828
19-Sep-14,25.21,25.30,25.01,25.20,47343687
18-Sep-14,25.17,25.27,25.15,25.22,15939969
17-Sep-14,25.14,25.31,25.07,25.20,25703284
16-Sep-14,25.00,25.42,24.98,25.22,31902713
15-Sep-14,24.95,25.09,24.87,25.06,33412035
12-Sep-14,25.16,25.26,25.07,25.16,33197323
11-Sep-14,24.92,25.20,24.85,25.18,22106436
10-Sep-14,24.84,25.00,24.84,24.93,15738779
9-Sep-14,24.88,24.97,24.60,24.86,19076594
8-Sep-14,24.93,25.09,24.81,24.95,14189834
5-Sep-14,24.86,25.07,24.86,25.00,19865202
4-Sep-14,25.08,25.14,24.83,24.91,20268911
3-Sep-14,24.94,25.13,24.92,25.04,22043379
2-Sep-14,24.94,25.00,24.75,24.88,19836085
29-Aug-14,24.90,24.99,24.76,24.99,17972307
28-Aug-14,24.70,24.90,24.64,24.85,15506352
27-Aug-14,24.79,24.86,24.71,24.80,15753794
26-Aug-14,24.70,24.93,24.67,24.81,17053449
25-Aug-14,24.70,24.84,24.69,24.70,19356815
22-Aug-14,24.87,24.97,24.64,24.65,22453672
21-Aug-14,24.75,24.91,24.72,24.89,20881827
20-Aug-14,24.55,24.75,24.52,24.71,20229017
19-Aug-14,24.63,24.69,24.60,24.64,20348896
18-Aug-14,24.49,24.66,24.43,24.63,27666914
15-Aug-14,24.66,24.66,24.27,24.43,33625941
14-Aug-14,24.94,24.94,24.32,24.54,63790214
13-Aug-14,25.17,25.27,24.93,25.20,43708550
12-Aug-14,25.21,25.27,25.00,25.15,21934971
11-Aug-14,25.09,25.37,25.01,25.23,25956067
8-Aug-14,24.87,25.06,24.74,25.03,21656527
7-Aug-14,25.01,25.11,24.69,24.86,24123698
6-Aug-14,24.93,25.21,24.85,24.93,20990550
5-Aug-14,25.16,25.12,24.87,24.97,21176784
4-Aug-14,24.94,25.22,24.86,25.16,17252442
1-Aug-14,25.14,25.21,24.80,25.00,28609413
31-Jul-14,25.48,25.50,25.17,25.23,28226460
30-Jul-14,25.83,25.84,25.47,25.63,26124216
29-Jul-14,25.88,26.01,25.69,25.71,22444236
28-Jul-14,25.73,26.00,25.57,25.92,27686408
25-Jul-14,25.80,26.02,25.68,25.97,28641293
24-Jul-14,25.78,25.90,25.68,25.83,21876611
23-Jul-14,25.72,25.79,25.55,25.68,28761335
22-Jul-14,25.95,26.08,25.91,25.95,28735712
21-Jul-14,25.89,25.95,25.72,25.85,20825966
18-Jul-14,25.70,25.96,25.67,25.91,25465861
17-Jul-14,25.84,26.00,25.58,25.63,29570341
16-Jul-14,25.73,26.05,25.73,25.98,40476713
15-Jul-14,25.38,25.68,25.36,25.67,29495978
