Date,Open,High,Low,Close,Volume
23-Oct-14,19.96,19.96,19.96,19.96,196
22-Oct-14,20.17,20.17,20.10,20.10,1275
21-Oct-14,20.00,20.35,19.97,20.26,9534
20-Oct-14,19.88,19.92,19.70,19.76,11170
17-Oct-14,19.74,19.86,19.68,19.83,11149
16-Oct-14,19.31,19.64,19.02,19.64,172534
15-Oct-14,19.68,19.68,19.27,19.45,9867
14-Oct-14,19.84,20.05,19.72,19.73,10055
13-Oct-14,19.69,19.95,19.53,19.55,12602
10-Oct-14,19.86,19.86,19.53,19.53,12554
9-Oct-14,20.41,20.48,19.96,20.07,8295
8-Oct-14,20.22,20.42,19.87,20.39,14181
7-Oct-14,20.58,20.58,20.20,20.21,3941
6-Oct-14,20.10,20.80,20.10,20.66,21378
3-Oct-14,20.53,20.53,20.20,20.20,16870
2-Oct-14,20.69,20.69,20.42,20.56,10885
1-Oct-14,21.29,21.29,20.70,20.85,30928
30-Sep-14,21.37,21.37,21.08,21.19,2094
29-Sep-14,21.08,21.33,21.08,21.16,1758
26-Sep-14,21.36,21.45,21.36,21.44,1834
25-Sep-14,21.70,21.70,21.28,21.39,4934
24-Sep-14,21.54,21.98,21.54,21.96,3579
23-Sep-14,21.07,21.63,21.07,21.54,5049
22-Sep-14,22.13,22.43,21.63,21.64,7497
19-Sep-14,22.82,22.82,22.46,22.46,7268
18-Sep-14,22.95,23.08,22.90,23.04,1630
17-Sep-14,23.28,23.29,23.02,23.02,2669
16-Sep-14,22.86,23.39,22.85,23.29,2782
15-Sep-14,23.16,23.32,23.02,23.09,4945
12-Sep-14,23.16,23.37,23.15,23.37,3048
11-Sep-14,23.14,23.27,23.14,23.27,712
10-Sep-14,23.28,23.46,23.14,23.46,3048
9-Sep-14,23.56,23.56,23.27,23.34,5716
8-Sep-14,23.91,23.91,23.55,23.58,5405
5-Sep-14,23.73,23.93,23.73,23.83,4293
4-Sep-14,24.07,24.07,23.87,23.87,3852
3-Sep-14,23.73,24.09,23.73,24.04,9692
2-Sep-14,23.68,23.78,23.56,23.61,37968
29-Aug-14,23.63,23.88,23.63,23.74,1855
28-Aug-14,23.91,23.91,23.76,23.77,4369
27-Aug-14,24.55,24.55,24.24,24.39,9821
26-Aug-14,23.92,24.31,23.92,24.20,4749
25-Aug-14,24.25,24.28,24.20,24.28,1926
22-Aug-14,24.07,24.20,24.02,24.15,6780
21-Aug-14,24.32,24.32,23.98,24.15,13901
20-Aug-14,24.40,24.54,24.36,24.36,11032
19-Aug-14,24.32,24.48,24.20,24.20,10185
18-Aug-14,24.14,24.45,24.12,24.37,10877
15-Aug-14,24.06,24.15,24.00,24.11,6341
14-Aug-14,24.13,24.32,24.01,24.01,11063
13-Aug-14,24.32,24.38,24.28,24.31,2161
12-Aug-14,24.39,24.41,24.38,24.40,1683
11-Aug-14,24.62,24.71,24.48,24.48,2304
8-Aug-14,24.07,24.38,24.07,24.28,9016
7-Aug-14,24.60,24.60,24.15,24.17,22259
6-Aug-14,24.32,24.48,24.32,24.44,21462
5-Aug-14,24.45,24.79,24.41,24.52,131887
4-Aug-14,25.14,25.49,25.14,25.27,53187
1-Aug-14,25.33,25.33,24.89,25.17,31108
31-Jul-14,25.44,25.44,25.15,25.27,5940
30-Jul-14,26.08,26.08,25.65,25.91,11751
29-Jul-14,26.12,26.20,25.99,25.99,8247
28-Jul-14,25.96,26.19,25.87,26.19,9077
25-Jul-14,26.07,26.16,25.92,26.11,13564
24-Jul-14,26.12,26.33,26.10,26.13,3446
23-Jul-14,25.95,26.14,25.95,26.14,14998
22-Jul-14,25.76,25.98,25.71,25.79,78099
21-Jul-14,24.99,25.26,24.99,25.26,8258
18-Jul-14,25.11,25.24,24.98,25.14,29372
17-Jul-14,25.46,25.46,25.22,25.22,3364
16-Jul-14,25.60,25.71,25.60,25.68,12248
15-Jul-14,25.52,25.68,25.45,25.50,29501
14-Jul-14,25.97,25.97,25.74,25.75,12765
11-Jul-14,25.76,25.90,25.61,25.71,6572
10-Jul-14,25.73,25.92,25.26,25.72,26109
9-Jul-14,25.92,26.10,25.86,26.02,14050
8-Jul-14,25.43,25.84,25.34,25.81,9853
7-Jul-14,25.51,25.72,25.18,25.66,13990
3-Jul-14,24.93,25.51,24.93,25.51,12825
2-Jul-14,24.29,24.92,24.29,24.91,13728
1-Jul-14,24.20,24.32,24.13,24.24,4460
30-Jun-14,23.81,24.07,23.66,24.01,3190
27-Jun-14,23.72,23.92,23.69,23.92,10834
26-Jun-14,23.82,23.82,23.49,23.70,48485
25-Jun-14,23.49,23.80,23.38,23.56,8170
24-Jun-14,24.26,24.50,23.80,23.92,28075
23-Jun-14,24.00,24.42,23.97,24.38,19954
20-Jun-14,23.87,23.99,23.83,23.99,11279
19-Jun-14,23.61,23.97,23.61,23.94,16722
18-Jun-14,23.22,23.75,23.22,23.71,13574
17-Jun-14,23.12,23.39,23.12,23.34,6229
16-Jun-14,23.32,23.33,23.12,23.19,2788
13-Jun-14,22.95,23.07,22.95,23.07,1782
12-Jun-14,23.19,23.19,22.99,23.01,4304
11-Jun-14,23.18,23.43,23.15,23.15,33132
10-Jun-14,23.35,23.35,23.24,23.29,5876
9-Jun-14,23.39,23.54,23.36,23.45,24011
6-Jun-14,23.47,23.55,23.37,23.41,7028
5-Jun-14,23.50,23.62,23.50,23.62,2460
4-Jun-14,23.47,23.61,23.46,23.55,4101
3-Jun-14,23.26,23.54,23.26,23.54,6769
2-Jun-14,23.50,23.57,23.29,23.35,12330
30-May-14,23.29,23.29,22.96,23.20,3295
29-May-14,23.37,23.58,23.37,23.43,7791
28-May-14,23.41,23.47,23.29,23.29,5107
27-May-14,23.63,23.63,23.34,23.43,6744
23-May-14,23.30,23.55,23.30,23.44,5958
22-May-14,23.09,23.31,23.09,23.21,2787
21-May-14,23.03,23.11,22.93,22.98,3323
20-May-14,22.86,23.09,22.86,22.98,3880
19-May-14,22.85,23.22,22.85,23.03,4821
16-May-14,22.90,23.04,22.75,22.88,5637
15-May-14,22.76,23.00,22.76,23.00,3636
14-May-14,23.23,23.44,23.17,23.22,10884
13-May-14,23.11,23.16,23.07,23.14,10765
12-May-14,22.68,23.14,22.51,23.12,18468
9-May-14,22.18,22.27,22.18,22.22,3367
8-May-14,22.31,22.49,22.31,22.41,1845
7-May-14,22.35,22.50,22.34,22.34,2504
6-May-14,22.36,22.54,22.36,22.50,2858
5-May-14,22.54,22.55,22.35,22.36,3217
2-May-14,22.36,22.63,22.35,22.63,2784
1-May-14,22.48,22.64,22.22,22.50,7732
30-Apr-14,22.54,22.68,22.54,22.68,1350
29-Apr-14,22.57,22.69,22.47,22.64,3853
28-Apr-14,22.50,22.62,22.27,22.62,7285
25-Apr-14,22.64,22.65,22.50,22.58,6290
24-Apr-14,22.62,22.79,22.50,22.73,4753
23-Apr-14,22.34,22.58,22.34,22.49,12061
22-Apr-14,22.44,22.64,22.38,22.55,10417
21-Apr-14,22.33,22.49,22.22,22.29,4058
17-Apr-14,22.25,22.47,22.25,22.33,2685
16-Apr-14,22.15,22.36,22.09,22.26,5412
15-Apr-14,22.29,22.29,21.76,22.23,4657
14-Apr-14,22.35,22.45,22.35,22.43,2015
11-Apr-14,22.17,22.32,22.17,22.17,1794
10-Apr-14,22.70,22.72,22.19,22.50,11141
9-Apr-14,22.44,22.73,22.24,22.72,7811
8-Apr-14,22.10,22.36,22.10,22.31,5135
7-Apr-14,22.11,22.17,21.73,21.92,22176
4-Apr-14,22.13,22.22,21.88,22.00,6386
3-Apr-14,21.89,21.95,21.79,21.87,6597
2-Apr-14,22.01,22.20,21.92,22.16,14703
1-Apr-14,21.88,21.96,21.80,21.81,4163
31-Mar-14,21.88,21.97,21.72,21.88,20748
28-Mar-14,21.69,21.81,21.51,21.81,7130
27-Mar-14,21.22,21.49,21.01,21.02,11776
26-Mar-14,21.70,21.70,21.01,21.01,12644
25-Mar-14,21.23,21.49,20.79,21.47,6081
24-Mar-14,20.99,21.14,20.81,20.81,13127
21-Mar-14,21.07,21.20,20.85,21.11,10655
20-Mar-14,20.60,20.81,20.56,20.75,7677
19-Mar-14,21.10,21.10,20.62,20.62,22780
18-Mar-14,21.27,21.36,21.23,21.35,4487
17-Mar-14,21.42,21.55,21.26,21.27,6398
14-Mar-14,21.01,21.15,21.01,21.12,4468
13-Mar-14,21.47,21.66,21.00,21.00,10674
12-Mar-14,21.30,21.45,21.30,21.36,7787
11-Mar-14,22.08,22.08,21.24,21.30,12964
10-Mar-14,22.13,22.15,21.82,21.84,14408
7-Mar-14,23.39,23.41,22.60,22.62,9477
6-Mar-14,23.74,23.74,23.34,23.45,19012
5-Mar-14,22.97,23.22,22.97,23.04,6027
4-Mar-14,23.18,23.18,22.13,22.14,3053
3-Mar-14,22.20,22.63,22.20,22.37,10855
28-Feb-14,23.15,23.29,21.84,21.84,7882
27-Feb-14,22.93,23.31,22.68,22.76,9355
26-Feb-14,22.62,22.95,22.53,22.57,8466
25-Feb-14,23.00,23.00,22.71,22.79,2557
24-Feb-14,22.94,23.22,22.76,23.00,4939
21-Feb-14,23.49,23.49,23.03,23.12,6583
20-Feb-14,22.71,23.23,22.71,23.02,20928
19-Feb-14,23.51,23.83,23.13,23.44,9095
18-Feb-14,23.50,23.60,23.32,23.60,14640
14-Feb-14,23.04,23.38,22.96,23.25,13903
13-Feb-14,22.51,22.73,22.50,22.66,7732
12-Feb-14,22.75,22.87,22.59,22.85,7298
11-Feb-14,22.30,22.60,21.81,22.50,5964
10-Feb-14,21.95,21.99,21.59,21.99,37396
7-Feb-14,21.67,22.05,21.65,21.89,16234
6-Feb-14,21.09,21.58,20.59,21.43,4749
5-Feb-14,20.85,21.05,20.85,20.99,6935
4-Feb-14,20.84,21.03,20.61,21.03,5846
3-Feb-14,21.00,21.04,20.51,20.51,7631
31-Jan-14,21.08,21.26,21.08,21.15,3315
30-Jan-14,21.46,21.52,21.02,21.29,22756
29-Jan-14,21.53,21.57,21.33,21.39,10374
28-Jan-14,21.96,22.19,21.38,21.67,5541
27-Jan-14,21.35,21.48,21.00,21.20,24261
24-Jan-14,21.70,21.70,21.15,21.23,10342
23-Jan-14,21.54,21.97,21.54,21.75,10124
22-Jan-14,22.26,22.30,22.18,22.30,5228
21-Jan-14,22.69,22.69,22.12,22.32,11763
17-Jan-14,22.50,22.63,22.44,22.55,5804
16-Jan-14,22.39,22.72,22.16,22.61,20278
15-Jan-14,21.59,22.21,21.59,22.19,8081
14-Jan-14,21.28,21.64,21.28,21.50,8794
13-Jan-14,21.41,21.59,21.01,21.43,23379
10-Jan-14,21.14,21.47,21.10,21.38,9697
9-Jan-14,21.33,21.33,21.03,21.21,7663
