Date,Open,High,Low,Close,Volume
23-Oct-14,46.51,46.81,45.45,45.57,50328
22-Oct-14,46.78,47.13,45.81,46.00,47359
21-Oct-14,46.50,47.86,46.20,46.50,76161
20-Oct-14,44.80,46.14,44.61,46.09,63807
17-Oct-14,45.09,45.24,43.99,44.91,69585
16-Oct-14,43.10,44.88,42.67,44.43,75861
15-Oct-14,43.18,44.38,42.41,43.77,112485
14-Oct-14,45.51,46.24,43.96,44.01,129637
13-Oct-14,44.84,45.77,44.45,45.03,57046
10-Oct-14,44.27,46.56,44.27,44.82,69632
9-Oct-14,44.86,45.08,44.20,44.52,66866
8-Oct-14,44.48,45.53,44.25,44.99,61229
7-Oct-14,44.55,45.19,44.36,44.45,64683
6-Oct-14,45.41,45.87,44.73,44.73,43618
3-Oct-14,44.82,45.29,44.78,45.14,46365
2-Oct-14,43.77,44.51,43.14,44.36,44516
1-Oct-14,45.38,45.48,43.52,43.73,80952
30-Sep-14,45.36,46.22,45.05,45.14,87198
29-Sep-14,45.25,45.86,44.87,45.47,64043
26-Sep-14,44.05,45.49,44.05,45.44,73635
25-Sep-14,43.39,44.15,43.11,44.01,56278
24-Sep-14,42.68,43.50,42.63,43.36,55721
23-Sep-14,43.33,43.59,42.42,42.66,53396
22-Sep-14,43.78,44.11,43.41,43.58,51168
19-Sep-14,43.57,44.17,43.31,43.82,82936
18-Sep-14,42.33,43.58,42.15,43.52,55860
17-Sep-14,41.85,42.41,41.43,41.96,60801
16-Sep-14,41.86,42.40,41.51,41.60,80108
15-Sep-14,42.34,42.34,41.26,42.06,93612
12-Sep-14,43.19,43.25,42.21,42.34,75768
11-Sep-14,42.73,43.10,42.15,43.02,62845
10-Sep-14,39.90,43.58,39.70,43.10,261084
9-Sep-14,39.50,39.90,37.92,39.66,111012
8-Sep-14,38.73,38.94,38.18,38.65,37717
5-Sep-14,38.26,38.81,38.06,38.63,37039
4-Sep-14,38.65,38.91,38.39,38.47,24058
3-Sep-14,39.15,39.29,38.34,38.62,24612
2-Sep-14,38.92,39.14,38.38,39.10,42502
29-Aug-14,38.33,39.08,38.26,38.95,38296
28-Aug-14,38.23,38.41,38.07,38.13,35165
