Date,Open,High,Low,Close,Volume
23-Oct-14,17.36,17.89,17.12,17.12,14182
22-Oct-14,18.00,18.00,17.20,17.44,13361
21-Oct-14,16.64,18.00,16.40,17.84,53511
20-Oct-14,16.80,17.28,16.48,16.80,11033
17-Oct-14,17.12,17.28,16.80,16.96,16824
16-Oct-14,15.44,17.12,15.44,17.04,20946
15-Oct-14,15.44,16.32,15.20,16.08,17498
14-Oct-14,14.96,16.16,14.96,15.68,28811
13-Oct-14,15.84,16.24,15.28,15.44,23617
10-Oct-14,16.40,16.42,15.60,15.68,19804
9-Oct-14,15.76,16.24,15.60,15.60,13678
8-Oct-14,15.84,16.40,15.28,16.08,28104
7-Oct-14,16.16,16.24,15.92,16.08,20901
6-Oct-14,16.56,16.83,16.24,16.24,14183
3-Oct-14,17.36,17.60,16.64,16.64,19792
2-Oct-14,17.20,17.60,16.88,17.36,15563
1-Oct-14,18.16,18.24,17.20,17.28,23107
30-Sep-14,18.24,18.40,17.76,18.00,18138
29-Sep-14,18.40,18.88,18.08,18.40,17596
26-Sep-14,18.08,18.64,17.92,18.40,18406
25-Sep-14,18.96,19.04,18.08,18.32,15730
24-Sep-14,18.96,19.25,18.72,19.04,14507
23-Sep-14,19.44,19.52,18.88,18.89,25502
22-Sep-14,19.76,19.92,19.44,19.52,12488
19-Sep-14,20.08,20.32,19.37,19.92,17237
18-Sep-14,20.64,20.80,20.00,20.16,16564
17-Sep-14,19.28,20.72,19.22,20.48,133249
16-Sep-14,19.52,19.84,19.28,19.44,13888
15-Sep-14,19.68,19.92,19.52,19.52,18381
12-Sep-14,19.68,20.24,19.68,19.76,17246
11-Sep-14,19.92,20.08,19.68,20.00,15301
10-Sep-14,20.00,20.32,19.60,20.24,16897
9-Sep-14,20.56,20.56,19.84,20.24,19404
8-Sep-14,20.00,20.80,19.86,20.80,28555
5-Sep-14,20.32,20.48,20.16,20.40,13073
4-Sep-14,20.32,20.72,20.32,20.48,26275
3-Sep-14,20.80,21.12,20.40,20.48,28194
2-Sep-14,20.80,21.36,20.64,20.88,36998
29-Aug-14,21.12,21.36,20.88,21.36,9325
28-Aug-14,21.44,21.60,20.80,20.88,15498
27-Aug-14,21.36,21.68,21.04,21.52,12660
