Date,Open,High,Low,Close,Volume
23-Oct-14,25.07,25.07,25.07,25.07,457
22-Oct-14,25.29,25.29,25.21,25.26,1807
21-Oct-14,25.36,25.51,25.36,25.41,1133
20-Oct-14,25.54,25.54,25.19,25.25,2575
17-Oct-14,25.47,25.55,25.37,25.38,1896
16-Oct-14,24.52,25.18,24.52,25.09,1750
15-Oct-14,25.25,25.25,24.60,25.07,64725
14-Oct-14,25.39,25.57,25.33,25.49,2982
13-Oct-14,25.49,25.60,25.40,25.42,19131
10-Oct-14,25.67,25.67,25.18,25.18,9733
9-Oct-14,25.90,25.90,25.56,25.60,726
8-Oct-14,25.70,25.87,25.31,25.85,5010
7-Oct-14,25.84,25.91,25.73,25.73,31069
6-Oct-14,25.89,25.98,25.78,25.78,4978
3-Oct-14,25.28,25.42,25.18,25.37,5248
2-Oct-14,25.07,25.42,24.92,25.30,4156
1-Oct-14,25.54,25.54,25.28,25.31,6015
30-Sep-14,25.71,25.73,25.63,25.72,7281
29-Sep-14,25.73,25.73,25.49,25.62,11290
26-Sep-14,26.00,26.16,25.98,26.09,4290
25-Sep-14,26.31,26.31,25.99,26.06,4142
24-Sep-14,26.28,26.53,26.22,26.53,10253
23-Sep-14,26.33,26.33,26.07,26.22,20459
22-Sep-14,26.55,26.55,26.10,26.25,19309
19-Sep-14,27.19,27.19,26.81,26.84,9112
18-Sep-14,26.95,27.15,26.95,27.09,7501
17-Sep-14,27.23,27.23,26.90,26.90,4847
16-Sep-14,26.88,27.42,26.88,27.24,9881
15-Sep-14,26.78,26.90,26.64,26.90,4889
12-Sep-14,27.09,27.09,26.81,26.87,7810
11-Sep-14,27.23,27.23,27.16,27.18,4368
10-Sep-14,27.33,27.45,27.10,27.45,5234
9-Sep-14,27.74,27.74,27.39,27.39,13845
8-Sep-14,28.23,28.27,27.83,27.83,2240
5-Sep-14,28.10,28.10,28.10,28.10,169
4-Sep-14,28.15,28.16,27.84,27.94,4537
3-Sep-14,27.99,28.07,27.97,28.05,3569
2-Sep-14,27.65,27.65,27.56,27.60,5799
29-Aug-14,27.63,27.64,27.59,27.59,5850
28-Aug-14,27.66,27.69,27.57,27.68,6148
27-Aug-14,27.76,27.93,27.76,27.93,8180
26-Aug-14,27.67,27.78,27.65,27.78,2306
25-Aug-14,27.61,27.63,27.43,27.56,10815
22-Aug-14,27.50,27.50,27.41,27.42,2939
21-Aug-14,27.56,27.57,27.56,27.57,1433
20-Aug-14,27.50,27.55,27.50,27.55,5064
19-Aug-14,27.48,27.53,27.48,27.51,7620
18-Aug-14,27.28,27.35,27.18,27.35,1360
15-Aug-14,27.26,27.28,27.02,27.13,2865
14-Aug-14,27.19,27.19,27.13,27.13,3130
13-Aug-14,27.25,27.25,27.09,27.10,842
12-Aug-14,26.95,27.02,26.84,27.01,3465
11-Aug-14,26.91,27.05,26.90,26.91,4024
