Date,Open,High,Low,Close,Volume
23-Oct-14,23.89,24.09,23.81,24.02,474232
22-Oct-14,23.90,24.06,23.81,23.82,305751
21-Oct-14,23.61,24.09,23.56,24.09,299234
20-Oct-14,23.59,23.70,23.56,23.68,199132
17-Oct-14,23.70,23.71,23.51,23.64,273998
16-Oct-14,23.36,23.72,23.36,23.60,259538
15-Oct-14,23.62,23.85,23.50,23.63,570066
14-Oct-14,23.58,24.00,23.50,23.74,450336
13-Oct-14,23.53,23.90,23.36,23.75,666559
10-Oct-14,23.56,23.85,23.51,23.56,741953
9-Oct-14,23.66,23.80,23.59,23.60,1778244
8-Oct-14,23.75,23.79,23.61,23.77,3257344
7-Oct-14,23.53,23.95,23.53,23.75,3504782
6-Oct-14,24.24,24.33,23.45,24.24,8087207
3-Oct-14,12.61,14.21,12.14,13.88,1108720
2-Oct-14,12.12,12.38,11.34,11.83,621168
1-Oct-14,12.68,12.69,12.05,12.33,353352
30-Sep-14,12.95,13.09,12.51,12.68,400855
29-Sep-14,13.04,13.38,12.83,13.04,274677
26-Sep-14,13.16,13.35,12.90,13.15,241744
25-Sep-14,13.95,14.10,13.08,13.12,266372
24-Sep-14,13.66,14.11,13.52,13.95,154514
23-Sep-14,13.44,14.00,13.25,13.78,227952
22-Sep-14,13.87,13.95,13.26,13.43,258946
19-Sep-14,14.25,14.37,13.82,13.92,184186
18-Sep-14,13.97,14.18,13.71,14.16,186503
17-Sep-14,13.97,14.41,13.90,13.92,164060
16-Sep-14,13.84,13.99,13.57,13.78,263562
15-Sep-14,14.74,14.85,13.78,13.97,401710
12-Sep-14,15.03,15.15,14.58,14.70,155800
11-Sep-14,15.40,15.40,14.85,15.08,184010
10-Sep-14,15.05,15.47,14.93,15.44,140792
9-Sep-14,15.38,15.39,14.97,15.08,160342
8-Sep-14,15.00,15.42,15.00,15.33,151654
5-Sep-14,14.76,14.96,14.52,14.93,190478
4-Sep-14,15.02,15.47,14.66,14.74,200223
3-Sep-14,15.28,15.52,14.97,15.01,381805
2-Sep-14,15.90,15.99,15.04,15.28,318617
29-Aug-14,15.51,15.86,15.50,15.76,239310
28-Aug-14,16.48,16.48,15.39,15.52,411553
27-Aug-14,16.77,16.90,16.26,16.49,277700
26-Aug-14,16.27,16.91,16.25,16.77,277388
25-Aug-14,16.17,16.75,16.17,16.38,375131
22-Aug-14,15.39,16.10,15.25,16.00,231624
21-Aug-14,15.45,15.81,15.20,15.41,297438
20-Aug-14,16.00,16.12,15.28,15.40,336211
19-Aug-14,16.00,16.15,15.65,16.02,291765
18-Aug-14,15.52,16.13,15.28,15.99,593508
15-Aug-14,15.32,15.39,14.52,15.15,409230
14-Aug-14,14.78,15.35,14.76,15.16,441065
13-Aug-14,14.01,14.65,13.84,14.51,489488
12-Aug-14,13.83,13.92,13.35,13.76,273927
11-Aug-14,14.30,14.41,13.70,13.87,413347
8-Aug-14,13.60,14.25,13.38,14.15,401562
7-Aug-14,15.10,15.15,13.36,13.65,1216292
6-Aug-14,15.77,15.96,15.01,15.58,499234
5-Aug-14,15.29,16.24,15.06,15.90,684981
4-Aug-14,14.09,15.26,13.85,15.17,1450115
1-Aug-14,12.77,13.08,12.57,12.80,167984
31-Jul-14,12.97,13.48,12.81,12.86,263166
30-Jul-14,12.87,13.48,12.81,13.17,313931
29-Jul-14,13.17,13.20,12.50,12.80,522971
28-Jul-14,13.70,13.70,13.27,13.35,176933
25-Jul-14,13.85,13.95,13.26,13.70,228171
24-Jul-14,14.33,14.43,13.86,13.94,240748
23-Jul-14,14.65,14.88,14.26,14.33,173765
22-Jul-14,14.91,15.14,14.56,14.64,137386
21-Jul-14,15.05,15.33,14.82,14.82,190960
18-Jul-14,14.60,15.33,14.50,15.08,212081
17-Jul-14,15.04,15.29,14.32,14.59,230316
16-Jul-14,16.26,16.37,14.76,15.09,307045
15-Jul-14,16.87,17.04,15.76,16.13,329609
14-Jul-14,16.79,17.24,16.58,16.80,133865
11-Jul-14,16.74,17.12,15.83,16.68,113664
10-Jul-14,15.97,16.85,15.83,16.79,166163
9-Jul-14,16.11,16.68,15.75,16.36,237044
8-Jul-14,17.29,17.57,15.90,16.11,433881
7-Jul-14,17.85,18.17,17.29,17.38,317944
3-Jul-14,17.98,17.99,17.77,17.90,107063
2-Jul-14,17.46,17.99,17.46,17.88,197302
1-Jul-14,17.36,17.60,17.10,17.52,320810
30-Jun-14,17.33,17.74,16.96,17.03,311069
27-Jun-14,16.89,17.31,16.73,17.26,442329
26-Jun-14,16.84,17.05,16.60,17.00,229963
25-Jun-14,16.51,16.85,16.37,16.80,209461
24-Jun-14,16.74,16.90,16.50,16.62,324645
23-Jun-14,16.52,16.68,16.39,16.51,243844
20-Jun-14,16.73,16.75,16.32,16.56,317486
19-Jun-14,16.65,16.84,16.44,16.73,385117
18-Jun-14,16.43,16.58,16.13,16.37,281409
17-Jun-14,16.09,16.60,15.91,16.45,419651
16-Jun-14,15.70,16.19,15.50,16.16,382578
13-Jun-14,15.19,15.82,15.03,15.70,381129
12-Jun-14,15.79,15.93,14.77,15.32,436407
11-Jun-14,16.09,16.32,15.80,15.86,256499
10-Jun-14,16.08,16.32,15.96,16.26,290561
9-Jun-14,16.09,16.36,15.91,16.18,343394
6-Jun-14,16.04,16.16,15.80,16.03,213489
5-Jun-14,15.88,16.10,15.77,15.99,327594
4-Jun-14,15.50,15.96,15.07,15.76,278152
3-Jun-14,15.62,15.77,15.50,15.58,315827
2-Jun-14,16.10,16.10,15.52,15.78,264548
30-May-14,15.14,16.10,15.13,15.92,571344
29-May-14,15.00,15.49,14.71,15.40,579442
