Date,Open,High,Low,Close,Volume
23-Oct-14,17.60,17.89,16.51,16.72,398716
22-Oct-14,17.60,18.44,17.21,17.26,191840
21-Oct-14,17.52,18.40,17.30,17.60,285755
20-Oct-14,17.56,17.94,16.81,17.13,134259
17-Oct-14,17.50,19.10,17.39,17.50,315420
16-Oct-14,16.50,17.49,16.15,17.22,98061
15-Oct-14,16.48,16.77,16.05,16.68,148164
14-Oct-14,16.19,17.12,16.18,16.79,354435
13-Oct-14,15.80,16.38,15.43,16.02,291450
10-Oct-14,16.95,17.20,14.87,15.75,660908
9-Oct-14,17.51,17.60,17.00,17.03,138889
8-Oct-14,16.96,17.72,16.74,17.64,219236
7-Oct-14,17.14,17.75,16.79,17.04,234696
6-Oct-14,17.50,17.79,17.09,17.34,118474
3-Oct-14,17.29,17.59,17.16,17.28,166610
2-Oct-14,16.25,17.19,16.00,17.08,256218
1-Oct-14,17.11,17.50,16.05,16.34,507825
30-Sep-14,17.54,17.68,16.83,17.01,322305
29-Sep-14,17.29,17.65,16.90,17.61,977552
26-Sep-14,18.49,18.49,17.12,17.69,654434
25-Sep-14,19.10,19.10,17.05,17.97,974456
24-Sep-14,19.08,19.08,18.30,18.83,784808
23-Sep-14,19.01,19.45,18.68,18.81,484495
22-Sep-14,20.00,20.00,19.02,19.20,481596
19-Sep-14,20.03,20.60,19.15,20.37,499015
18-Sep-14,20.44,21.58,19.88,20.11,761413
17-Sep-14,19.28,20.48,19.12,20.34,820115
16-Sep-14,18.91,19.50,18.60,19.00,563894
15-Sep-14,20.30,21.00,18.82,19.22,1659640
12-Sep-14,22.00,22.09,20.29,20.40,925557
11-Sep-14,21.98,22.48,21.55,22.00,915091
10-Sep-14,22.99,23.54,21.01,22.70,1692457
9-Sep-14,24.00,25.08,22.67,23.00,1735298
8-Sep-14,21.90,25.95,21.75,23.66,3251966
5-Sep-14,20.00,21.91,19.88,21.87,1332925
4-Sep-14,21.79,21.79,19.61,19.86,958412
3-Sep-14,21.99,22.00,21.20,21.34,496917
2-Sep-14,21.05,22.45,20.71,21.38,1477640
29-Aug-14,22.00,22.10,20.50,20.59,1179299
28-Aug-14,22.04,22.45,21.85,22.09,525915
27-Aug-14,22.37,22.50,21.71,22.49,689384
26-Aug-14,22.50,22.50,21.61,21.70,553754
25-Aug-14,21.74,22.46,21.36,22.34,684741
22-Aug-14,21.80,21.80,21.00,21.41,499911
21-Aug-14,20.96,21.80,20.22,21.49,925230
20-Aug-14,19.72,20.40,19.60,19.96,683559
19-Aug-14,18.60,20.15,18.50,20.02,927306
18-Aug-14,18.70,19.36,18.36,18.47,922422
15-Aug-14,18.43,18.44,18.10,18.36,310318
14-Aug-14,18.30,18.50,18.00,18.20,538628
13-Aug-14,18.54,19.00,17.90,18.00,1046283
12-Aug-14,17.50,18.86,17.18,18.06,1633047
11-Aug-14,16.00,17.31,15.95,17.17,1208535
8-Aug-14,16.00,16.55,15.88,16.00,1167250
7-Aug-14,17.50,19.05,15.68,15.94,9872948
