Date,Open,High,Low,Close,Volume
23-Oct-14,65.82,66.28,64.80,65.17,34575
22-Oct-14,64.65,66.25,64.65,65.94,42275
21-Oct-14,62.01,62.17,60.80,62.04,25814
20-Oct-14,63.02,63.90,62.06,62.84,28778
17-Oct-14,63.85,65.07,63.63,64.73,19946
16-Oct-14,64.74,65.36,62.75,63.32,42807
15-Oct-14,62.73,63.15,59.00,63.09,59180
14-Oct-14,62.47,64.04,62.44,63.46,12997
13-Oct-14,63.37,64.66,62.63,63.05,22582
10-Oct-14,63.91,65.01,63.48,63.85,28538
9-Oct-14,62.20,64.14,60.05,63.97,100310
8-Oct-14,64.50,67.37,62.60,63.65,64643
7-Oct-14,64.76,66.99,64.38,66.01,52527
6-Oct-14,67.62,68.25,64.02,64.41,92367
3-Oct-14,70.06,71.89,69.03,70.85,54190
2-Oct-14,67.67,68.97,66.72,67.40,55533
1-Oct-14,67.00,67.00,63.24,66.03,93674
30-Sep-14,65.61,70.00,64.43,68.10,98869
29-Sep-14,62.84,63.90,62.32,63.55,41143
26-Sep-14,63.41,63.69,62.00,62.09,33171
25-Sep-14,64.21,65.00,61.99,62.90,74841
24-Sep-14,62.52,63.00,60.54,61.39,58590
23-Sep-14,60.09,61.07,59.72,60.40,48126
22-Sep-14,62.02,62.20,59.72,60.36,75064
19-Sep-14,55.12,60.29,55.05,59.37,136682
18-Sep-14,54.81,55.20,53.00,53.89,29133
17-Sep-14,52.01,54.00,51.50,53.85,23863
16-Sep-14,52.06,52.98,50.70,52.22,92368
15-Sep-14,53.02,53.52,52.42,52.52,32587
12-Sep-14,53.50,53.85,52.71,52.75,79829
11-Sep-14,52.38,53.20,52.14,52.15,40910
10-Sep-14,49.91,50.56,49.54,49.83,45591
9-Sep-14,50.21,50.60,49.29,49.33,21648
8-Sep-14,48.92,50.42,48.85,49.67,31414
5-Sep-14,49.49,49.49,48.33,48.38,23705
4-Sep-14,47.61,49.63,47.25,49.15,61632
3-Sep-14,48.60,48.88,48.27,48.34,9563
2-Sep-14,48.07,49.09,47.74,48.51,57698
29-Aug-14,45.84,46.46,45.30,46.28,20754
28-Aug-14,45.11,45.90,44.97,45.85,29943
27-Aug-14,46.63,47.34,46.38,46.58,11881
26-Aug-14,45.26,46.95,44.77,46.87,64600
25-Aug-14,46.86,47.33,46.68,47.13,35752
22-Aug-14,46.58,47.25,45.93,46.42,45592
21-Aug-14,46.95,47.00,46.18,46.21,50710
20-Aug-14,45.53,46.34,45.43,46.05,45341
19-Aug-14,45.50,46.80,45.50,46.29,69171
18-Aug-14,45.63,45.64,44.81,44.94,57091
15-Aug-14,45.31,45.90,44.40,45.14,59785
14-Aug-14,43.21,43.79,42.92,43.47,40217
13-Aug-14,42.86,44.67,42.72,43.80,27862
12-Aug-14,42.50,43.50,42.15,43.04,46431
11-Aug-14,43.10,43.13,42.07,42.40,90910
8-Aug-14,42.93,43.29,42.58,42.82,30781
7-Aug-14,43.22,43.22,42.59,42.94,29653
6-Aug-14,42.61,42.74,41.93,42.42,52865
5-Aug-14,42.74,44.20,42.62,43.93,85011
4-Aug-14,40.63,41.90,40.45,41.61,149802
1-Aug-14,39.85,41.16,39.54,40.76,115250
31-Jul-14,39.53,40.55,39.47,40.42,86850
30-Jul-14,39.15,39.75,38.96,39.10,97145
29-Jul-14,38.77,39.86,38.54,39.06,99048
28-Jul-14,39.05,39.48,38.64,38.88,88074
25-Jul-14,40.22,40.31,38.32,38.43,67498
24-Jul-14,38.09,40.83,38.03,40.49,98240
23-Jul-14,37.30,37.55,37.01,37.51,34155
22-Jul-14,37.26,37.93,36.79,37.36,37231
21-Jul-14,37.12,37.70,37.12,37.48,30091
18-Jul-14,37.68,38.39,37.55,37.82,72925
17-Jul-14,38.15,38.46,35.92,36.22,127775
16-Jul-14,38.68,38.90,38.12,38.60,30189
15-Jul-14,37.56,39.34,36.83,38.84,129912
14-Jul-14,37.88,37.94,37.47,37.62,138396
11-Jul-14,35.40,35.46,35.03,35.14,87663
10-Jul-14,35.02,35.48,34.81,35.34,76421
9-Jul-14,36.81,37.52,36.36,36.89,122642
8-Jul-14,36.93,38.00,36.62,37.31,137449
7-Jul-14,37.77,38.46,37.50,37.50,66986
3-Jul-14,37.32,37.42,36.70,36.92,53564
2-Jul-14,36.96,37.00,36.10,36.72,78149
1-Jul-14,36.70,37.39,36.43,37.39,63989
