Date,Open,High,Low,Close,Volume
23-Oct-14,20.39,20.64,20.10,20.50,2850
22-Oct-14,20.52,20.52,20.32,20.44,2370
21-Oct-14,20.65,20.65,20.46,20.63,2220
20-Oct-14,20.70,20.75,20.70,20.75,418
17-Oct-14,20.70,20.70,20.67,20.67,929
16-Oct-14,20.77,20.84,20.58,20.76,1780
15-Oct-14,19.57,20.70,19.57,20.29,2192
14-Oct-14,20.54,20.58,20.54,20.55,2630
13-Oct-14,20.61,20.61,20.61,20.61,101
10-Oct-14,20.57,20.59,20.57,20.59,500
9-Oct-14,20.42,21.01,20.42,20.85,17859
8-Oct-14,20.73,21.20,20.73,21.20,510
7-Oct-14,21.27,21.27,20.92,20.92,700
6-Oct-14,21.60,21.60,21.25,21.25,1309
2-Oct-14,21.09,21.13,21.01,21.11,11812
1-Oct-14,21.25,21.26,21.25,21.25,625
30-Sep-14,21.76,21.76,21.76,21.76,300
29-Sep-14,21.92,21.92,21.61,21.81,3770
26-Sep-14,22.10,22.10,22.03,22.03,348
25-Sep-14,22.06,22.06,22.05,22.06,2716
24-Sep-14,22.25,22.32,22.25,22.32,1800
23-Sep-14,22.21,22.21,22.07,22.07,315
22-Sep-14,22.52,22.52,22.29,22.30,3691
19-Sep-14,22.65,22.73,22.65,22.73,410
18-Sep-14,22.77,22.77,22.75,22.75,1049
17-Sep-14,22.89,22.89,22.86,22.86,687
15-Sep-14,22.55,22.70,22.53,22.63,2830
12-Sep-14,22.59,22.62,22.54,22.57,1371
11-Sep-14,22.43,22.56,22.43,22.56,17312
10-Sep-14,22.73,22.73,22.38,22.52,62327
9-Sep-14,22.75,22.75,22.75,22.75,600
8-Sep-14,22.75,22.81,22.75,22.76,887
4-Sep-14,22.67,22.67,22.67,22.67,200
3-Sep-14,22.54,22.67,22.51,22.63,8721
2-Sep-14,22.95,22.95,22.82,22.82,300
29-Aug-14,23.00,23.08,22.96,22.96,5700
28-Aug-14,23.03,23.04,23.00,23.01,3177
27-Aug-14,23.09,23.09,23.01,23.01,1703
26-Aug-14,23.07,23.22,23.07,23.22,450
25-Aug-14,23.12,23.12,23.04,23.06,9300
22-Aug-14,23.06,23.06,22.95,23.00,12317
21-Aug-14,23.09,23.09,22.79,22.90,1583
20-Aug-14,23.16,23.16,23.16,23.16,247
19-Aug-14,23.23,23.28,23.23,23.28,2464
18-Aug-14,23.20,23.20,23.00,23.14,4610
15-Aug-14,23.59,23.59,23.13,23.15,12985
14-Aug-14,23.31,23.31,23.31,23.31,490
13-Aug-14,23.15,23.16,23.15,23.16,1950
12-Aug-14,23.17,23.17,23.09,23.11,2355
11-Aug-14,23.44,23.44,23.21,23.27,3224
8-Aug-14,23.29,23.36,23.27,23.27,1302
