Date,Open,High,Low,Close,Volume
23-Oct-14,11.00,11.08,10.98,11.01,162332
22-Oct-14,11.00,11.09,10.90,10.93,303865
21-Oct-14,10.90,11.04,10.85,11.01,188087
20-Oct-14,10.78,10.89,10.78,10.87,256694
17-Oct-14,10.85,10.90,10.77,10.84,209508
16-Oct-14,10.70,10.85,10.65,10.77,584425
15-Oct-14,10.91,11.03,10.72,10.81,447615
14-Oct-14,10.80,11.09,10.80,11.01,377972
13-Oct-14,10.65,10.86,10.59,10.79,364150
10-Oct-14,10.57,10.72,10.57,10.65,347540
9-Oct-14,10.70,10.70,10.56,10.61,271689
8-Oct-14,10.52,10.76,10.52,10.73,297151
7-Oct-14,10.57,10.57,10.48,10.51,298329
6-Oct-14,10.74,10.74,10.58,10.60,185949
3-Oct-14,10.73,10.84,10.68,10.69,192954
2-Oct-14,10.45,10.70,10.45,10.69,321277
1-Oct-14,10.58,10.58,10.45,10.46,289826
30-Sep-14,10.65,10.77,10.56,10.56,278793
29-Sep-14,10.63,10.71,10.60,10.65,201915
26-Sep-14,10.85,10.88,10.67,10.69,188665
25-Sep-14,10.98,10.99,10.67,10.85,258639
24-Sep-14,11.11,11.14,10.95,10.98,426403
23-Sep-14,11.02,11.21,11.01,11.11,384804
22-Sep-14,11.00,11.03,10.98,11.01,169885
19-Sep-14,11.18,11.28,11.02,11.04,309193
18-Sep-14,11.08,11.23,11.01,11.18,381174
17-Sep-14,10.92,11.08,10.80,11.06,558290
16-Sep-14,10.87,11.00,10.83,10.92,197198
15-Sep-14,10.95,11.01,10.86,10.93,244510
12-Sep-14,11.01,11.01,10.90,10.97,273423
11-Sep-14,10.89,11.02,10.87,11.00,541687
10-Sep-14,10.80,10.95,10.77,10.92,723459
9-Sep-14,10.69,10.79,10.64,10.76,609965
8-Sep-14,10.70,10.74,10.64,10.67,125975
5-Sep-14,10.64,10.75,10.58,10.70,357825
4-Sep-14,10.69,10.72,10.61,10.65,180471
3-Sep-14,10.75,10.75,10.64,10.65,422879
2-Sep-14,10.63,10.73,10.56,10.72,747272
29-Aug-14,10.52,10.62,10.52,10.58,636693
28-Aug-14,10.56,10.62,10.47,10.55,478787
27-Aug-14,10.61,10.71,10.59,10.60,173366
26-Aug-14,10.66,10.74,10.62,10.65,208316
25-Aug-14,10.75,10.79,10.64,10.66,190830
22-Aug-14,10.77,10.81,10.63,10.75,263792
21-Aug-14,10.64,10.81,10.59,10.77,745735
20-Aug-14,10.64,10.70,10.52,10.66,224999
19-Aug-14,10.72,10.75,10.59,10.66,216270
18-Aug-14,10.66,10.74,10.61,10.74,307020
15-Aug-14,10.75,10.75,10.56,10.62,438603
14-Aug-14,10.72,10.80,10.67,10.70,512611
13-Aug-14,10.80,10.86,10.73,10.74,455324
12-Aug-14,10.75,10.87,10.66,10.80,1063804
11-Aug-14,10.64,10.85,10.52,10.75,915327
8-Aug-14,10.63,10.65,10.58,10.63,518779
7-Aug-14,10.72,10.73,10.57,10.58,296160
6-Aug-14,10.63,10.75,10.57,10.71,790122
5-Aug-14,10.47,10.70,10.47,10.65,929140
4-Aug-14,10.62,10.75,10.60,10.63,706597
1-Aug-14,10.86,10.86,10.52,10.64,523440
31-Jul-14,10.99,11.00,10.79,10.86,1736148
30-Jul-14,10.66,11.00,10.61,10.97,3317552
29-Jul-14,10.30,10.68,10.30,10.60,14348371
