Date,Open,High,Low,Close,Volume
23-Oct-14,45.79,46.22,44.84,45.70,215373
22-Oct-14,45.58,45.96,44.75,45.31,239251
21-Oct-14,44.58,45.67,44.19,45.48,175867
20-Oct-14,44.20,44.52,43.91,44.46,387471
17-Oct-14,45.00,45.08,43.83,44.30,332768
16-Oct-14,45.27,45.98,44.21,44.58,347493
15-Oct-14,44.71,46.05,44.55,45.91,323157
14-Oct-14,45.32,45.81,44.61,45.10,362778
13-Oct-14,45.55,46.25,44.70,45.22,2887518
10-Oct-14,43.96,46.25,43.87,45.53,903204
9-Oct-14,43.10,43.41,42.29,42.65,107715
8-Oct-14,42.79,43.39,41.90,43.25,105284
7-Oct-14,42.86,43.27,42.14,42.63,200357
6-Oct-14,43.54,43.60,43.05,43.20,165271
3-Oct-14,44.64,44.71,43.17,43.51,154134
2-Oct-14,44.67,44.82,43.78,44.23,315306
1-Oct-14,46.65,47.06,44.71,44.73,363807
30-Sep-14,46.58,47.19,46.05,46.76,288105
29-Sep-14,45.32,47.10,45.32,46.91,305046
26-Sep-14,44.68,45.96,44.68,45.90,209799
25-Sep-14,44.62,44.87,44.06,44.65,203648
24-Sep-14,44.12,44.68,43.75,44.65,163473
23-Sep-14,43.23,44.42,43.23,44.15,203089
22-Sep-14,43.68,43.70,42.99,43.47,90081
19-Sep-14,44.25,44.50,43.79,43.88,234873
18-Sep-14,43.79,44.32,43.51,44.18,133235
17-Sep-14,42.86,43.90,42.86,43.75,136037
16-Sep-14,42.51,43.12,42.34,42.99,103664
15-Sep-14,42.59,42.91,42.06,42.72,82535
12-Sep-14,43.67,43.75,42.55,42.63,91066
11-Sep-14,43.52,44.26,43.40,43.80,76368
10-Sep-14,43.91,44.31,43.43,43.78,112235
9-Sep-14,43.85,44.22,43.69,44.03,145736
8-Sep-14,44.05,44.33,43.70,43.93,196658
5-Sep-14,43.46,44.15,43.20,44.08,112169
4-Sep-14,42.12,43.88,42.08,43.68,132735
3-Sep-14,43.62,43.63,41.29,41.97,214177
2-Sep-14,42.86,43.59,42.45,43.57,130569
29-Aug-14,42.64,43.09,42.54,42.74,91862
28-Aug-14,43.00,43.18,42.38,42.71,124293
27-Aug-14,44.09,44.15,43.21,43.26,95876
26-Aug-14,44.39,44.58,43.56,44.14,175416
25-Aug-14,45.22,45.29,44.30,44.40,64312
22-Aug-14,44.50,45.31,44.50,45.05,88433
21-Aug-14,44.64,44.94,44.25,44.65,117070
20-Aug-14,44.94,45.15,44.00,44.25,122055
19-Aug-14,45.15,45.26,44.94,45.05,81256
18-Aug-14,44.36,45.29,44.10,45.21,131230
15-Aug-14,45.36,45.36,43.87,44.09,157415
14-Aug-14,45.18,45.88,44.91,45.00,225146
13-Aug-14,45.40,45.89,44.98,45.28,220252
12-Aug-14,45.12,45.55,44.73,45.39,221365
11-Aug-14,44.89,45.72,44.42,45.33,198395
8-Aug-14,45.91,45.91,44.69,44.89,339930
7-Aug-14,46.06,47.97,45.30,46.04,168348
6-Aug-14,45.63,46.33,45.24,45.86,191631
5-Aug-14,45.91,46.61,45.34,46.07,116322
4-Aug-14,45.20,46.63,44.86,46.17,220639
1-Aug-14,45.18,45.57,44.84,45.29,185051
31-Jul-14,45.81,46.12,45.08,45.26,260858
30-Jul-14,46.73,46.82,46.02,46.34,104585
29-Jul-14,46.33,47.38,45.90,46.42,146989
28-Jul-14,46.30,46.79,45.26,46.43,174933
25-Jul-14,46.80,47.06,46.42,46.44,163401
24-Jul-14,47.41,47.69,46.75,47.05,146355
23-Jul-14,48.18,48.18,47.30,47.47,98930
22-Jul-14,47.83,48.43,47.68,48.20,103835
21-Jul-14,47.97,48.42,47.39,47.71,129558
18-Jul-14,47.77,48.73,47.24,48.34,117112
17-Jul-14,48.17,49.02,47.75,47.90,116064
16-Jul-14,49.40,49.78,48.42,48.79,118019
15-Jul-14,49.66,49.69,48.71,49.09,170578
14-Jul-14,49.26,49.88,48.83,49.74,110866
11-Jul-14,48.83,49.03,48.13,48.89,171282
10-Jul-14,49.13,49.52,48.61,49.00,112049
9-Jul-14,50.53,51.20,49.86,50.08,86746
8-Jul-14,50.59,51.17,50.24,50.48,123705
7-Jul-14,51.15,51.60,50.73,50.78,175980
3-Jul-14,50.30,51.27,49.98,51.12,83081
2-Jul-14,50.20,50.78,50.13,50.34,158263
1-Jul-14,49.24,50.72,49.24,50.39,193031
30-Jun-14,48.74,49.25,48.58,48.95,146976
27-Jun-14,47.94,49.01,47.83,48.99,232952
26-Jun-14,48.11,48.51,47.42,48.29,77227
25-Jun-14,47.29,48.46,47.00,48.15,118112
24-Jun-14,48.93,48.93,47.45,47.54,141097
23-Jun-14,48.87,49.25,48.37,48.93,119704
20-Jun-14,48.21,49.07,47.86,48.96,226593
19-Jun-14,47.80,48.13,47.61,48.00,94409
18-Jun-14,46.91,47.84,46.55,47.63,134588
17-Jun-14,46.77,47.31,46.72,46.83,121304
16-Jun-14,46.94,48.00,46.76,46.98,78289
13-Jun-14,44.71,47.75,44.71,47.11,122886
12-Jun-14,47.98,47.99,47.24,47.54,92330
11-Jun-14,48.26,48.70,47.87,47.88,104541
10-Jun-14,48.73,48.92,47.81,48.38,153092
9-Jun-14,48.96,49.34,48.55,48.73,142411
6-Jun-14,48.76,49.29,48.41,48.88,130183
5-Jun-14,46.75,48.68,46.64,48.57,242861
4-Jun-14,48.37,48.44,47.66,47.85,136327
3-Jun-14,48.41,48.70,47.83,48.34,174216
2-Jun-14,49.58,49.58,48.39,48.43,111145
30-May-14,49.69,50.29,49.19,49.40,71029
29-May-14,49.89,49.96,49.33,49.85,90253
28-May-14,50.69,50.78,49.85,50.11,133605
27-May-14,49.89,50.66,49.50,50.57,179329
23-May-14,49.69,49.80,48.98,49.65,161858
22-May-14,48.22,50.37,48.22,49.82,270698
21-May-14,47.85,48.40,47.26,48.03,209251
20-May-14,48.91,48.95,47.63,47.88,139253
19-May-14,49.08,49.34,48.46,48.88,160086
16-May-14,48.45,49.08,48.30,49.08,148453
15-May-14,47.69,48.63,47.26,48.45,121559
14-May-14,48.03,48.67,47.95,48.09,150764
13-May-14,48.88,48.88,48.21,48.24,123823
12-May-14,48.00,49.68,47.96,48.76,212381
9-May-14,46.87,47.96,46.56,47.73,139883
8-May-14,47.19,47.74,46.63,47.15,183046
7-May-14,47.07,48.03,46.59,47.15,182741
6-May-14,45.50,47.34,45.50,46.85,279844
5-May-14,44.47,45.24,43.88,44.94,315442
2-May-14,44.39,45.00,44.32,44.57,139255
1-May-14,44.47,44.80,43.84,44.26,162612
30-Apr-14,43.59,44.80,43.59,44.65,167316
29-Apr-14,43.70,44.31,43.23,43.55,122726
28-Apr-14,43.77,44.25,42.76,43.48,128890
25-Apr-14,43.60,43.96,43.17,43.51,133146
24-Apr-14,44.00,44.19,43.25,43.67,99157
23-Apr-14,44.16,44.30,43.29,43.87,117217
22-Apr-14,43.90,44.74,42.50,44.20,114732
21-Apr-14,43.32,43.90,42.95,43.84,112037
17-Apr-14,43.61,43.88,43.27,43.41,200030
16-Apr-14,43.80,43.85,42.88,43.69,181907
15-Apr-14,43.52,44.07,43.01,43.82,365363
14-Apr-14,43.06,43.63,42.35,43.52,256520
11-Apr-14,40.88,42.75,40.84,42.50,294255
10-Apr-14,42.26,42.30,41.13,41.24,237399
9-Apr-14,38.70,42.54,38.28,42.26,605851
8-Apr-14,37.50,39.67,37.10,38.49,527626
7-Apr-14,37.55,38.08,35.26,35.74,190226
4-Apr-14,37.18,37.18,35.75,35.99,84477
3-Apr-14,37.05,37.25,36.62,36.89,75076
2-Apr-14,37.21,37.46,36.84,37.10,103359
1-Apr-14,37.22,37.61,36.89,37.23,137332
31-Mar-14,37.10,37.89,37.07,37.12,110523
28-Mar-14,36.63,37.66,36.52,36.82,104979
27-Mar-14,36.44,36.85,36.14,36.66,82826
26-Mar-14,37.15,37.47,36.45,36.51,93676
25-Mar-14,37.08,37.24,36.32,36.98,85183
24-Mar-14,37.44,37.64,36.28,36.86,123371
21-Mar-14,38.04,38.24,37.19,37.23,235326
20-Mar-14,38.34,38.83,37.70,37.88,73987
19-Mar-14,38.54,38.65,37.95,38.38,60087
18-Mar-14,38.10,38.55,37.98,38.50,91017
17-Mar-14,38.23,38.90,37.97,38.06,79746
14-Mar-14,37.78,38.30,37.73,38.01,88066
13-Mar-14,38.27,38.49,37.46,37.92,116687
12-Mar-14,38.04,38.59,37.94,38.30,157331
11-Mar-14,38.49,38.67,38.00,38.36,196459
10-Mar-14,38.07,38.70,37.80,38.34,255116
7-Mar-14,37.92,38.27,37.41,38.19,125389
6-Mar-14,37.62,37.79,37.31,37.73,140308
5-Mar-14,38.06,38.09,37.43,37.65,223483
4-Mar-14,36.44,38.45,36.15,38.22,422093
3-Mar-14,35.73,36.16,35.31,36.01,90485
28-Feb-14,35.65,36.32,35.27,35.93,144320
27-Feb-14,35.73,35.89,35.27,35.56,113753
26-Feb-14,35.79,36.37,35.43,35.77,182287
25-Feb-14,35.58,35.83,35.25,35.68,113203
24-Feb-14,35.73,36.39,35.33,35.55,174307
