Date,Open,High,Low,Close,Volume
23-Oct-14,42.78,43.39,42.78,42.90,131760
22-Oct-14,42.72,43.26,42.32,42.35,112436
21-Oct-14,42.60,43.03,41.90,42.92,124633
20-Oct-14,41.90,42.74,41.60,42.40,243687
17-Oct-14,42.00,42.61,41.49,41.99,279816
16-Oct-14,40.91,41.92,40.77,41.68,341559
15-Oct-14,41.00,41.89,40.79,41.48,412036
14-Oct-14,41.61,42.09,41.16,41.63,320430
13-Oct-14,41.63,42.00,41.26,41.41,214637
10-Oct-14,42.31,43.00,41.49,41.63,348559
9-Oct-14,43.25,43.41,42.43,42.50,193156
8-Oct-14,43.03,43.42,42.36,43.21,319579
7-Oct-14,43.67,43.67,42.94,43.10,316184
6-Oct-14,44.16,44.50,43.60,43.85,133081
3-Oct-14,44.90,45.11,44.02,44.10,216998
2-Oct-14,44.19,44.84,43.90,44.50,634890
1-Oct-14,44.18,44.50,43.67,44.26,207578
30-Sep-14,44.88,44.98,44.16,44.31,701995
29-Sep-14,44.72,45.03,44.41,44.83,340119
26-Sep-14,44.78,45.33,44.45,45.05,249736
25-Sep-14,45.15,45.15,44.42,44.71,226144
24-Sep-14,45.04,45.27,44.77,45.21,133014
23-Sep-14,45.18,45.28,44.95,45.06,346563
22-Sep-14,45.47,46.03,45.20,45.29,165404
19-Sep-14,45.65,45.95,45.39,45.65,980605
18-Sep-14,45.25,45.62,44.95,45.60,135303
17-Sep-14,45.09,45.32,44.81,45.09,223920
16-Sep-14,44.54,45.08,44.40,45.03,215457
15-Sep-14,45.20,45.58,44.51,44.70,168890
12-Sep-14,45.86,45.86,45.00,45.24,167560
11-Sep-14,45.29,45.85,45.29,45.83,150167
10-Sep-14,45.43,45.64,45.32,45.57,204093
9-Sep-14,45.45,45.64,45.21,45.45,195513
8-Sep-14,45.57,46.00,45.30,45.58,191099
5-Sep-14,45.46,45.75,45.20,45.69,223472
4-Sep-14,44.80,45.86,44.80,45.61,541416
3-Sep-14,45.10,45.30,44.73,45.09,175723
2-Sep-14,44.58,45.05,44.28,44.82,116716
29-Aug-14,44.18,44.42,43.99,44.39,251786
28-Aug-14,44.23,44.24,43.85,44.14,159595
27-Aug-14,44.35,44.66,44.11,44.30,172706
26-Aug-14,44.10,44.54,44.07,44.33,218195
25-Aug-14,44.31,44.46,43.90,44.19,210255
22-Aug-14,44.43,44.70,44.14,44.33,222607
21-Aug-14,44.39,44.63,43.87,44.45,246551
20-Aug-14,44.58,44.70,44.05,44.23,92869
19-Aug-14,44.30,44.83,44.18,44.65,227214
18-Aug-14,44.07,44.54,43.90,44.45,280073
15-Aug-14,44.15,44.28,43.32,43.71,445627
14-Aug-14,43.54,43.92,42.99,43.87,321346
13-Aug-14,43.77,43.77,43.02,43.34,197786
12-Aug-14,44.04,44.60,43.36,43.77,216839
11-Aug-14,43.95,44.51,43.84,44.18,189590
8-Aug-14,42.62,44.47,42.62,43.70,294126
7-Aug-14,43.15,43.60,42.89,43.16,170370
6-Aug-14,42.78,43.24,42.62,43.05,276881
