Date,Open,High,Low,Close,Volume
23-Oct-14,4.23,4.43,3.99,4.30,173345
22-Oct-14,4.14,4.23,4.10,4.19,255580
21-Oct-14,4.36,4.45,4.05,4.09,771181
20-Oct-14,4.57,4.57,4.33,4.38,51940
17-Oct-14,4.83,4.83,4.55,4.62,60247
16-Oct-14,4.82,4.95,4.68,4.76,48202
15-Oct-14,4.54,4.99,4.54,4.90,115440
14-Oct-14,5.00,5.06,4.90,4.94,40335
13-Oct-14,5.02,5.02,4.92,5.00,108390
10-Oct-14,5.22,5.24,4.87,5.05,35482
9-Oct-14,5.39,5.41,5.24,5.26,40014
8-Oct-14,5.38,5.42,5.17,5.37,17956
7-Oct-14,5.40,5.48,5.31,5.40,35218
6-Oct-14,5.46,5.50,5.15,5.47,75508
3-Oct-14,5.60,5.62,5.46,5.48,198478
2-Oct-14,5.60,5.66,5.42,5.51,122336
1-Oct-14,5.91,5.91,5.58,5.61,90177
30-Sep-14,5.90,6.09,5.68,6.00,77066
29-Sep-14,5.90,5.95,5.68,5.91,41379
26-Sep-14,5.88,5.94,5.78,5.93,73604
25-Sep-14,5.95,5.95,5.83,5.88,51356
24-Sep-14,5.87,5.96,5.66,5.86,41661
23-Sep-14,6.02,6.09,5.83,5.90,57526
22-Sep-14,6.02,6.19,6.01,6.04,38187
19-Sep-14,6.23,6.37,6.17,6.20,86220
18-Sep-14,6.33,6.35,6.15,6.27,58425
17-Sep-14,6.29,6.37,6.19,6.36,68660
16-Sep-14,6.23,6.30,6.09,6.27,23172
15-Sep-14,6.27,6.28,6.00,6.22,16977
12-Sep-14,6.47,6.49,6.23,6.30,34259
11-Sep-14,6.30,6.49,6.24,6.29,153742
10-Sep-14,6.32,6.43,6.23,6.32,26744
9-Sep-14,6.22,6.43,6.18,6.29,100936
8-Sep-14,6.32,6.48,6.20,6.29,21274
5-Sep-14,6.37,6.50,6.27,6.39,59225
4-Sep-14,6.30,6.54,6.30,6.42,201295
3-Sep-14,6.57,6.57,5.99,6.30,77727
2-Sep-14,6.55,6.60,6.51,6.57,78627
29-Aug-14,6.41,6.58,6.41,6.53,21240
28-Aug-14,6.40,6.44,6.40,6.41,20973
27-Aug-14,6.43,6.45,6.40,6.44,9452
26-Aug-14,6.18,6.41,6.18,6.39,28908
25-Aug-14,6.32,6.45,5.99,6.16,46187
22-Aug-14,6.33,6.45,6.31,6.35,2041
21-Aug-14,6.33,6.39,6.30,6.33,19328
20-Aug-14,6.57,6.57,6.28,6.39,35570
19-Aug-14,6.59,6.65,6.56,6.62,12083
18-Aug-14,6.50,6.59,6.41,6.57,19202
15-Aug-14,6.61,6.62,6.41,6.45,26903
14-Aug-14,6.43,6.71,6.43,6.59,16816
13-Aug-14,6.59,6.78,6.55,6.68,37336
12-Aug-14,6.69,6.74,6.54,6.61,48333
11-Aug-14,6.60,6.74,6.60,6.73,44778
8-Aug-14,6.67,6.68,6.48,6.60,27831
7-Aug-14,6.60,6.70,6.60,6.63,31987
6-Aug-14,6.56,6.70,6.32,6.63,40298
5-Aug-14,6.39,6.67,6.39,6.58,33516
4-Aug-14,6.45,6.54,6.42,6.44,42731
1-Aug-14,6.35,6.41,6.26,6.36,34461
31-Jul-14,6.50,6.60,6.30,6.37,55556
30-Jul-14,6.44,6.55,6.25,6.43,81155
29-Jul-14,6.48,6.51,6.37,6.47,52473
28-Jul-14,6.49,6.51,6.28,6.45,35663
25-Jul-14,6.45,6.54,6.45,6.49,24504
24-Jul-14,6.50,6.55,6.50,6.51,42584
23-Jul-14,6.50,6.51,6.50,6.50,38374
22-Jul-14,6.55,6.59,6.47,6.50,30886
