Date,Open,High,Low,Close,Volume
23-Oct-14,3.32,3.35,3.24,3.30,1275945
22-Oct-14,3.30,3.37,3.19,3.20,602752
21-Oct-14,3.25,3.35,3.25,3.31,652264
20-Oct-14,3.22,3.32,3.20,3.25,777751
17-Oct-14,3.31,3.40,3.23,3.26,843052
16-Oct-14,3.15,3.43,3.04,3.24,1064081
15-Oct-14,3.02,3.25,2.96,3.23,1409636
14-Oct-14,3.05,3.06,3.00,3.05,997000
13-Oct-14,3.06,3.09,2.95,3.00,1370464
10-Oct-14,3.16,3.22,3.03,3.06,1536889
9-Oct-14,3.41,3.41,3.17,3.20,1040253
8-Oct-14,3.30,3.45,3.25,3.43,612859
7-Oct-14,3.36,3.45,3.30,3.30,638074
6-Oct-14,3.45,3.51,3.30,3.39,901168
3-Oct-14,3.45,3.52,3.40,3.42,459600
2-Oct-14,3.37,3.44,3.30,3.42,1661305
1-Oct-14,3.40,3.52,3.35,3.35,1476635
30-Sep-14,3.48,3.52,3.41,3.42,1284103
29-Sep-14,3.52,3.54,3.48,3.49,730617
26-Sep-14,3.57,3.62,3.48,3.56,767036
25-Sep-14,3.65,3.69,3.46,3.58,1335048
24-Sep-14,3.70,3.73,3.65,3.65,697496
23-Sep-14,3.84,3.86,3.67,3.67,969258
22-Sep-14,3.86,3.98,3.80,3.84,989687
19-Sep-14,3.92,3.97,3.76,3.91,2317319
18-Sep-14,3.86,3.97,3.85,3.93,560206
17-Sep-14,3.86,3.90,3.81,3.83,970093
16-Sep-14,3.95,4.02,3.85,3.88,1007639
15-Sep-14,4.08,4.08,3.89,4.02,1102215
12-Sep-14,4.12,4.14,4.02,4.08,692677
11-Sep-14,4.08,4.14,4.06,4.13,434823
10-Sep-14,4.03,4.17,4.02,4.12,575017
9-Sep-14,4.15,4.17,4.02,4.04,590028
8-Sep-14,4.13,4.17,4.04,4.17,748224
5-Sep-14,4.13,4.18,4.07,4.12,728766
4-Sep-14,4.13,4.20,4.07,4.16,1122878
3-Sep-14,4.17,4.24,4.10,4.14,811442
2-Sep-14,4.16,4.24,4.13,4.17,652100
29-Aug-14,4.17,4.19,4.12,4.13,370956
28-Aug-14,4.12,4.24,4.08,4.14,802343
27-Aug-14,4.16,4.19,4.08,4.15,496575
26-Aug-14,4.07,4.20,4.06,4.17,782351
25-Aug-14,4.16,4.17,4.06,4.08,590411
22-Aug-14,4.16,4.16,3.96,4.14,1402826
21-Aug-14,4.14,4.22,4.08,4.18,579514
20-Aug-14,4.21,4.21,4.08,4.16,791150
19-Aug-14,4.25,4.28,4.18,4.23,683709
18-Aug-14,4.28,4.32,4.24,4.26,714839
15-Aug-14,4.42,4.43,4.22,4.25,811497
14-Aug-14,4.37,4.39,4.31,4.38,441412
13-Aug-14,4.39,4.40,4.34,4.36,656164
12-Aug-14,4.24,4.46,4.16,4.36,1743221
11-Aug-14,4.26,4.34,4.21,4.28,853748
8-Aug-14,4.07,4.29,4.01,4.26,1136668
7-Aug-14,4.25,4.28,4.04,4.08,1358860
6-Aug-14,4.20,4.31,4.19,4.28,1825225
5-Aug-14,3.96,4.32,3.94,4.23,2094979
4-Aug-14,3.86,4.00,3.80,3.89,1600905
1-Aug-14,3.83,3.94,3.79,3.82,1171468
31-Jul-14,3.95,4.02,3.88,3.94,2051261
30-Jul-14,4.09,4.09,3.89,4.01,1148737
29-Jul-14,3.96,4.12,3.95,4.03,4597614
28-Jul-14,3.64,3.76,3.62,3.75,720157
25-Jul-14,3.61,3.71,3.61,3.65,470788
24-Jul-14,3.64,3.74,3.61,3.66,558547
23-Jul-14,3.54,3.67,3.53,3.61,810881
22-Jul-14,3.56,3.57,3.52,3.54,442055
21-Jul-14,3.51,3.58,3.50,3.55,457463
18-Jul-14,3.48,3.59,3.48,3.53,657107
17-Jul-14,3.55,3.64,3.47,3.48,699939
16-Jul-14,3.66,3.70,3.53,3.57,1110252
15-Jul-14,3.72,3.75,3.62,3.65,728159
14-Jul-14,3.78,3.79,3.70,3.74,623417
11-Jul-14,3.73,3.78,3.68,3.71,565106
10-Jul-14,3.61,3.78,3.60,3.75,1119397
9-Jul-14,3.67,3.71,3.62,3.67,550221
8-Jul-14,3.68,3.74,3.60,3.64,895187
7-Jul-14,3.77,3.79,3.63,3.71,969307
3-Jul-14,3.75,3.81,3.71,3.77,910230
2-Jul-14,3.70,3.77,3.69,3.75,1188111
1-Jul-14,3.76,3.76,3.69,3.69,937133
30-Jun-14,3.70,3.77,3.63,3.72,1000735
27-Jun-14,3.61,3.73,3.61,3.72,2374243
26-Jun-14,3.55,3.65,3.45,3.65,1046041
25-Jun-14,3.45,3.54,3.42,3.53,987007
24-Jun-14,3.52,3.61,3.45,3.45,902785
23-Jun-14,3.43,3.55,3.43,3.54,545879
20-Jun-14,3.53,3.54,3.36,3.43,2778443
19-Jun-14,3.58,3.59,3.48,3.49,813413
18-Jun-14,3.55,3.58,3.50,3.56,657327
17-Jun-14,3.50,3.56,3.50,3.54,1030531
16-Jun-14,3.65,3.70,3.51,3.52,861181
13-Jun-14,3.65,3.80,3.59,3.69,871340
12-Jun-14,3.68,3.70,3.55,3.63,785342
11-Jun-14,3.74,3.75,3.68,3.70,419559
10-Jun-14,3.72,3.77,3.70,3.75,460597
9-Jun-14,3.69,3.78,3.67,3.75,739732
6-Jun-14,3.73,3.76,3.66,3.68,554891
5-Jun-14,3.64,3.75,3.62,3.69,876008
4-Jun-14,3.62,3.67,3.56,3.65,468408
3-Jun-14,3.63,3.66,3.60,3.62,515386
2-Jun-14,3.67,3.68,3.60,3.63,694459
30-May-14,3.64,3.69,3.58,3.64,739370
29-May-14,3.65,3.65,3.60,3.64,674836
28-May-14,3.65,3.69,3.57,3.64,1021436
27-May-14,3.58,3.66,3.51,3.65,744345
23-May-14,3.52,3.60,3.49,3.57,697844
22-May-14,3.49,3.55,3.46,3.51,569669
21-May-14,3.38,3.48,3.38,3.45,613170
20-May-14,3.45,3.46,3.32,3.36,760691
19-May-14,3.43,3.50,3.42,3.48,455789
16-May-14,3.42,3.49,3.37,3.46,680776
15-May-14,3.39,3.50,3.36,3.43,1108960
14-May-14,3.53,3.54,3.38,3.39,1006084
13-May-14,3.64,3.65,3.52,3.55,1037756
12-May-14,3.61,3.76,3.59,3.63,1950917
9-May-14,3.36,3.61,3.35,3.59,1585592
8-May-14,3.41,3.51,3.31,3.39,1824468
7-May-14,3.19,3.50,3.13,3.41,2794401
6-May-14,3.42,3.47,3.15,3.17,3538290
5-May-14,3.34,3.41,3.32,3.35,911384
2-May-14,3.37,3.46,3.35,3.38,597687
1-May-14,3.39,3.42,3.30,3.37,908729
30-Apr-14,3.37,3.41,3.26,3.41,932924
29-Apr-14,3.41,3.41,3.29,3.33,1287344
28-Apr-14,3.46,3.57,3.32,3.39,1109716
25-Apr-14,3.50,3.53,3.39,3.43,921920
24-Apr-14,3.70,3.70,3.51,3.52,786933
23-Apr-14,3.74,3.74,3.66,3.66,610865
22-Apr-14,3.66,3.78,3.62,3.74,972728
21-Apr-14,3.48,3.84,3.46,3.67,2436445
17-Apr-14,3.50,3.55,3.46,3.50,669734
16-Apr-14,3.40,3.54,3.37,3.49,885974
15-Apr-14,3.35,3.40,3.26,3.38,896471
14-Apr-14,3.38,3.41,3.30,3.32,859618
11-Apr-14,3.38,3.46,3.30,3.33,1213448
10-Apr-14,3.49,3.53,3.36,3.43,900096
9-Apr-14,3.49,3.52,3.44,3.51,439601
8-Apr-14,3.50,3.52,3.37,3.46,912982
7-Apr-14,3.54,3.59,3.43,3.48,915762
4-Apr-14,3.71,3.79,3.50,3.54,917746
3-Apr-14,3.75,3.80,3.66,3.66,897766
2-Apr-14,3.77,3.80,3.71,3.76,1085147
1-Apr-14,3.60,3.81,3.60,3.79,1688775
31-Mar-14,3.51,3.61,3.47,3.61,2398214
28-Mar-14,3.38,3.54,3.38,3.47,846549
27-Mar-14,3.52,3.54,3.37,3.39,1842657
26-Mar-14,3.70,3.73,3.50,3.50,1313702
25-Mar-14,3.69,3.77,3.65,3.66,1098019
24-Mar-14,3.88,3.88,3.66,3.67,1558333
21-Mar-14,3.85,3.95,3.81,3.89,3305429
20-Mar-14,3.83,3.89,3.80,3.86,635406
19-Mar-14,3.87,3.88,3.81,3.84,703861
18-Mar-14,3.80,3.89,3.80,3.86,1205623
17-Mar-14,3.78,3.83,3.76,3.81,1300534
14-Mar-14,3.71,3.78,3.69,3.75,840565
13-Mar-14,3.86,3.88,3.70,3.71,1769891
12-Mar-14,3.93,3.94,3.84,3.89,1352945
11-Mar-14,3.87,3.94,3.83,3.93,1622095
10-Mar-14,3.90,3.95,3.83,3.85,1368843
7-Mar-14,3.94,4.00,3.90,3.93,630208
6-Mar-14,3.91,3.98,3.91,3.93,933627
5-Mar-14,3.96,4.00,3.87,3.89,847767
4-Mar-14,3.88,4.01,3.86,3.95,1731248
3-Mar-14,3.90,3.92,3.80,3.83,1457431
28-Feb-14,3.95,3.98,3.89,3.92,1175870
27-Feb-14,3.88,4.00,3.85,3.92,1330927
26-Feb-14,4.03,4.05,3.77,3.88,2305953
25-Feb-14,3.87,4.10,3.84,4.00,2556108
24-Feb-14,4.02,4.06,3.82,3.87,2424554
21-Feb-14,4.16,4.27,3.98,4.01,2185794
20-Feb-14,4.64,4.64,4.07,4.27,3532824
19-Feb-14,4.32,4.75,4.32,4.55,2687988
18-Feb-14,4.30,4.38,4.27,4.36,1004042
14-Feb-14,4.26,4.30,4.21,4.26,595215
13-Feb-14,4.21,4.26,4.17,4.25,492317
12-Feb-14,4.25,4.27,4.17,4.22,461828
11-Feb-14,4.28,4.30,4.15,4.23,745753
10-Feb-14,4.18,4.29,4.16,4.25,833739
7-Feb-14,4.12,4.19,4.05,4.16,1437926
6-Feb-14,4.08,4.19,4.06,4.10,916649
5-Feb-14,4.18,4.20,4.01,4.04,1451753
4-Feb-14,4.25,4.27,4.17,4.20,921203
3-Feb-14,4.33,4.48,4.19,4.21,1456516
31-Jan-14,4.39,4.48,4.34,4.34,839000
30-Jan-14,4.46,4.54,4.39,4.46,1034734
29-Jan-14,4.48,4.54,4.40,4.41,830144
28-Jan-14,4.62,4.66,4.50,4.51,904939
27-Jan-14,4.72,4.72,4.57,4.60,987881
24-Jan-14,4.68,4.73,4.60,4.68,1339911
23-Jan-14,4.71,4.72,4.59,4.69,1116865
22-Jan-14,4.76,4.76,4.67,4.70,1432701
21-Jan-14,4.86,4.90,4.68,4.73,1637508
17-Jan-14,4.95,4.99,4.80,4.83,1078485
16-Jan-14,4.94,4.98,4.90,4.94,598181
15-Jan-14,5.05,5.10,4.91,4.93,1185123
14-Jan-14,5.01,5.04,4.95,5.02,987617
13-Jan-14,5.13,5.13,4.94,4.97,1439989
10-Jan-14,5.37,5.38,5.09,5.12,1322517
9-Jan-14,5.45,5.48,5.30,5.35,640614
8-Jan-14,5.59,5.62,5.38,5.43,1379598
7-Jan-14,5.21,5.62,5.14,5.58,3710328
6-Jan-14,5.20,5.22,5.10,5.18,712246
3-Jan-14,5.14,5.21,5.08,5.19,960750
2-Jan-14,5.08,5.20,5.07,5.12,823074
