Date,Open,High,Low,Close,Volume
25-Apr-14,50.00,50.00,50.00,50.00,100
10-Apr-14,50.02,50.02,50.01,50.01,500
27-Mar-14,47.96,47.96,47.96,47.96,200
4-Feb-14,45.64,45.64,45.64,45.64,1000
7-Jan-14,49.13,49.13,49.11,49.13,1000
6-Jan-14,48.97,48.97,48.97,48.97,650
17-Dec-13,49.25,49.63,48.95,49.53,19100
16-Dec-13,49.25,49.25,49.25,49.25,1000
13-Dec-13,49.38,49.38,49.24,49.25,10188
12-Dec-13,49.69,49.69,49.30,49.30,810
9-Dec-13,50.52,50.70,50.52,50.70,400
6-Dec-13,50.20,50.20,50.20,50.20,150
25-Nov-13,50.20,50.20,50.20,50.20,100
21-Nov-13,50.20,50.20,50.20,50.20,100
14-Nov-13,50.11,50.30,49.93,50.20,13800
13-Nov-13,49.82,49.82,49.82,49.82,2500
12-Nov-13,52.10,52.10,52.10,52.10,650
5-Nov-13,63.93,63.93,52.10,52.10,200
29-Oct-13,51.70,52.10,51.70,52.10,200
28-Oct-13,51.48,51.75,51.47,51.52,21600
21-Oct-13,52.00,52.00,52.00,52.00,100
11-Oct-13,51.00,51.00,51.00,51.00,100
7-Oct-13,49.05,49.05,49.02,49.02,200
4-Oct-13,49.25,49.25,48.75,49.00,300
3-Oct-13,49.25,49.25,47.24,48.31,400
2-Oct-13,49.00,49.00,47.75,47.75,400
11-Sep-13,48.44,48.44,48.44,48.44,200
10-Sep-13,48.75,48.75,47.25,48.00,800
9-Sep-13,48.00,48.00,46.24,46.24,200
30-Aug-13,45.50,45.50,45.50,45.50,100
27-Aug-13,45.00,45.00,45.00,45.00,200
26-Aug-13,46.02,46.02,46.00,46.00,300
14-Aug-13,47.00,47.00,47.00,47.00,100
7-Aug-13,45.50,45.50,45.50,45.50,100
6-Aug-13,46.00,46.00,46.00,46.00,100
5-Aug-13,46.25,46.25,46.25,46.25,100
2-Aug-13,47.24,47.24,47.24,47.24,100
25-Jul-13,46.93,46.93,46.93,46.93,100
18-Jul-13,46.00,46.00,46.00,46.00,100
17-Jul-13,46.50,46.50,46.25,46.25,200
16-Jul-13,46.00,47.00,45.50,46.90,500
11-Jul-13,42.86,42.86,42.86,42.86,100
10-Jul-13,43.50,43.50,43.50,43.50,100
3-Jul-13,45.00,45.00,45.00,45.00,100
2-Jul-13,36.70,45.88,36.70,45.34,2600
1-Jul-13,31.20,31.20,31.20,31.20,200
24-Jun-13,42.98,43.50,42.98,43.50,300
19-Jun-13,46.00,46.00,46.00,46.00,100
17-Jun-13,47.15,47.15,47.15,47.15,100
14-Jun-13,46.50,46.50,46.50,46.50,100
12-Jun-13,46.50,46.50,46.50,46.50,100
11-Jun-13,46.75,46.75,46.75,46.75,100
10-Jun-13,47.50,47.50,47.50,47.50,100
6-Jun-13,48.00,48.00,48.00,48.00,100
5-Jun-13,48.75,48.75,48.75,48.75,100
4-Jun-13,49.00,49.00,49.00,49.00,200
3-Jun-13,49.00,49.00,49.00,49.00,100
31-May-13,49.10,49.10,49.10,49.10,100
30-May-13,50.02,50.02,50.02,50.02,200
28-May-13,50.80,50.80,50.40,50.40,1200
24-May-13,50.00,50.00,48.28,48.54,300
22-May-13,51.00,51.00,51.00,51.00,200
20-May-13,51.40,51.40,51.20,51.20,200
17-May-13,51.00,51.00,51.00,51.00,100
16-May-13,51.30,51.30,51.00,51.00,300
15-May-13,51.02,51.25,50.50,51.25,10100
14-May-13,51.77,51.77,51.77,51.77,200
13-May-13,51.48,51.48,51.48,51.48,500
10-May-13,51.67,51.67,51.67,51.67,500
9-May-13,52.60,52.60,52.37,52.37,700
7-May-13,51.90,51.90,51.74,51.74,500
6-May-13,51.60,51.60,51.60,51.60,400
2-May-13,51.20,51.33,51.20,51.33,300
1-May-13,51.00,51.00,50.80,50.80,2000
30-Apr-13,50.90,50.90,50.85,50.85,4200
29-Apr-13,50.60,50.60,50.60,50.60,400
26-Apr-13,53.96,54.07,50.50,50.50,1800
25-Apr-13,50.75,50.75,50.75,50.75,100
24-Apr-13,50.40,50.40,50.40,50.40,100
23-Apr-13,52.82,52.83,50.28,50.28,1300
22-Apr-13,49.58,49.60,49.58,49.60,50100
19-Apr-13,49.50,49.50,49.50,49.50,100
18-Apr-13,49.40,49.40,49.30,49.30,1200
17-Apr-13,51.00,77.06,50.02,50.02,1200
10-Apr-13,51.50,51.50,51.50,51.50,100
9-Apr-13,50.39,51.00,50.39,51.00,11100
