Date,Open,High,Low,Close,Volume
22-Sep-14,14.95,15.07,14.95,15.06,400
4-Sep-14,15.29,15.29,15.29,15.29,600
29-Aug-14,15.05,15.15,15.05,15.15,200
22-Aug-14,15.00,15.40,15.00,15.20,1593
20-Aug-14,14.75,15.25,14.75,15.03,1406
30-Jul-14,14.59,14.60,14.57,14.57,600
21-Jul-14,14.44,14.45,14.30,14.45,376
17-Jul-14,14.12,14.12,14.12,14.12,155
16-Jul-14,14.05,14.05,14.05,14.05,190
9-Jul-14,14.50,14.50,14.50,14.50,300
25-Jun-14,15.30,15.30,14.40,14.45,1800
23-Jun-14,14.63,14.65,14.00,14.00,890
10-Jun-14,14.99,14.99,14.99,14.99,100
5-Jun-14,14.99,14.99,14.99,14.99,100
30-May-14,14.51,14.51,14.51,14.51,100
28-May-14,14.52,14.52,14.52,14.52,500
23-May-14,14.90,14.99,14.90,14.99,250
15-May-14,14.51,14.75,14.51,14.60,600
14-May-14,14.32,15.00,14.32,14.50,1540
14-Apr-14,15.50,15.60,14.30,15.60,1800
31-Mar-14,15.10,15.10,15.00,15.00,655
28-Mar-14,15.10,15.10,15.08,15.08,200
24-Mar-14,15.00,15.00,14.25,14.25,1101
6-Mar-14,14.13,14.13,14.13,14.13,408
4-Mar-14,15.50,15.50,15.50,15.50,300
27-Feb-14,15.50,15.50,15.50,15.50,100
20-Feb-14,15.50,15.50,15.50,15.50,500
13-Feb-14,15.50,16.20,15.50,16.20,1000
23-Jan-14,15.18,15.18,15.18,15.18,911
21-Jan-14,15.66,15.66,15.15,15.18,1051
17-Jan-14,15.49,15.49,15.00,15.25,901
9-Jan-14,14.46,14.46,14.46,14.46,100
31-Dec-13,13.50,13.50,13.49,13.50,1600
27-Dec-13,14.10,14.10,13.50,13.50,874
26-Dec-13,14.00,14.49,14.00,14.30,3474
23-Dec-13,13.75,13.75,13.75,13.75,818
27-Nov-13,13.99,14.00,13.97,14.00,342
18-Nov-13,13.91,13.91,13.91,13.91,100
14-Nov-13,13.75,13.75,13.75,13.75,500
25-Oct-13,14.65,14.65,14.60,14.60,600
17-Oct-13,14.65,14.65,14.65,14.65,100
24-Sep-13,14.60,14.60,14.60,14.60,1095
18-Sep-13,14.60,14.60,14.60,14.60,100
17-Sep-13,14.71,14.71,14.60,14.60,1100
11-Sep-13,14.50,14.96,14.47,14.90,2951
29-Aug-13,13.75,13.88,13.50,13.68,1802
9-Aug-13,13.75,13.75,13.75,13.75,404
2-Aug-13,13.73,13.76,13.73,13.75,1000
19-Jul-13,12.49,12.49,12.49,12.49,100
18-Jul-13,12.50,12.86,12.50,12.50,535
12-Jun-13,10.09,10.09,10.09,10.09,101
31-May-13,10.02,10.02,10.02,10.02,200
22-May-13,11.95,11.95,11.95,11.95,100
14-May-13,11.98,11.98,11.98,11.98,100
24-Apr-13,9.50,9.50,9.50,9.50,200
5-Apr-13,9.50,9.50,9.50,9.50,100
3-Apr-13,9.51,9.91,9.51,9.83,900
18-Mar-13,9.25,9.25,9.25,9.25,150
1-Mar-13,9.14,9.14,9.14,9.14,100
22-Feb-13,9.20,9.52,9.20,9.52,200
11-Feb-13,9.20,9.20,9.20,9.20,200
