Date,Open,High,Low,Close,Volume
23-Oct-14,11.52,11.88,11.31,11.84,516883
22-Oct-14,11.58,11.68,11.37,11.38,651234
21-Oct-14,11.46,11.62,11.39,11.58,653190
20-Oct-14,11.35,11.60,11.35,11.39,848388
17-Oct-14,11.86,11.90,11.33,11.38,644859
16-Oct-14,11.31,11.79,11.31,11.70,743460
15-Oct-14,10.80,11.41,10.77,11.41,797467
14-Oct-14,10.84,11.26,10.80,10.97,706997
13-Oct-14,10.98,11.03,10.67,10.73,1653621
10-Oct-14,11.57,11.57,10.99,11.01,1052482
9-Oct-14,11.95,11.95,11.56,11.63,602346
8-Oct-14,11.50,11.96,11.42,11.94,953576
7-Oct-14,11.50,11.61,11.44,11.49,774586
6-Oct-14,11.70,11.86,11.54,11.55,524157
3-Oct-14,11.86,11.86,11.61,11.69,533780
2-Oct-14,11.50,11.75,11.41,11.72,520133
1-Oct-14,11.51,11.56,11.42,11.50,829999
30-Sep-14,11.62,11.72,11.48,11.50,825334
29-Sep-14,11.50,11.70,11.45,11.62,398633
26-Sep-14,11.50,11.71,11.46,11.56,990209
25-Sep-14,11.58,11.68,11.43,11.47,522118
24-Sep-14,11.60,11.66,11.49,11.62,397908
23-Sep-14,11.72,11.78,11.55,11.55,455452
22-Sep-14,12.14,12.23,11.71,11.76,671534
19-Sep-14,12.20,12.26,12.00,12.17,1563680
18-Sep-14,11.98,12.21,11.93,12.18,326974
17-Sep-14,11.87,11.99,11.85,11.92,445928
16-Sep-14,11.80,11.92,11.73,11.89,524735
15-Sep-14,12.05,12.22,11.78,11.86,504960
12-Sep-14,12.12,12.17,11.97,12.07,609184
11-Sep-14,11.88,12.12,11.85,12.11,394943
10-Sep-14,11.94,11.98,11.88,11.94,431717
9-Sep-14,12.01,12.03,11.88,11.94,549739
8-Sep-14,11.93,12.04,11.84,11.98,504134
5-Sep-14,11.78,11.96,11.68,11.91,565660
4-Sep-14,12.13,12.26,11.77,11.80,558893
3-Sep-14,12.28,12.31,12.10,12.14,532518
2-Sep-14,12.20,12.31,12.16,12.23,485579
29-Aug-14,11.99,12.15,11.89,12.14,369225
28-Aug-14,12.06,12.12,12.00,12.00,402514
27-Aug-14,12.21,12.21,12.06,12.13,432782
26-Aug-14,12.01,12.20,11.97,12.19,484426
25-Aug-14,12.12,12.12,11.94,12.00,507114
22-Aug-14,11.99,12.10,11.93,12.08,486227
21-Aug-14,12.01,12.07,11.95,11.99,638053
20-Aug-14,11.93,12.02,11.84,12.00,814329
19-Aug-14,11.74,12.00,11.74,11.97,754587
18-Aug-14,11.70,11.72,11.59,11.72,641405
15-Aug-14,11.65,11.66,11.50,11.59,924100
14-Aug-14,11.62,11.65,11.55,11.55,409986
13-Aug-14,11.50,11.60,11.50,11.59,717496
12-Aug-14,11.59,11.62,11.50,11.50,496671
11-Aug-14,11.57,11.62,11.51,11.60,902912
8-Aug-14,11.50,11.62,11.49,11.57,763406
7-Aug-14,11.60,11.61,11.47,11.50,787539
6-Aug-14,11.50,11.64,11.50,11.58,782147
5-Aug-14,11.52,11.62,11.50,11.59,941693
4-Aug-14,11.60,11.68,11.47,11.60,1368423
1-Aug-14,11.50,11.65,11.44,11.56,1311070
31-Jul-14,11.50,11.58,11.43,11.49,1772845
30-Jul-14,11.80,11.85,11.45,11.59,3046486
29-Jul-14,12.48,12.73,11.66,11.79,3583601
28-Jul-14,12.42,12.57,12.31,12.49,1344784
25-Jul-14,12.58,12.63,12.03,12.42,2260108
24-Jul-14,13.00,13.00,12.68,12.71,585518
23-Jul-14,13.20,13.20,12.87,12.93,883658
22-Jul-14,13.32,13.32,13.14,13.20,776386
21-Jul-14,13.27,13.44,13.19,13.24,563102
18-Jul-14,13.19,13.45,13.14,13.38,661133
17-Jul-14,13.45,13.55,13.22,13.22,547033
16-Jul-14,13.63,13.64,13.47,13.52,561981
15-Jul-14,13.62,13.71,13.35,13.54,1629291
14-Jul-14,13.97,13.97,13.55,13.58,1405748
11-Jul-14,13.89,14.05,13.84,13.84,523065
10-Jul-14,13.75,14.01,13.60,13.95,668336
9-Jul-14,14.00,14.03,13.90,14.02,1048903
8-Jul-14,13.82,14.00,13.66,13.98,983408
7-Jul-14,13.84,13.98,13.79,13.87,844084
3-Jul-14,13.96,14.00,13.92,13.98,462308
2-Jul-14,13.87,13.99,13.86,13.94,609146
1-Jul-14,13.85,14.00,13.75,13.96,947300
30-Jun-14,13.44,13.78,13.44,13.74,724234
27-Jun-14,13.20,13.55,13.13,13.51,2562077
26-Jun-14,13.44,13.59,13.12,13.33,772613
25-Jun-14,13.39,13.57,13.26,13.46,582313
24-Jun-14,13.74,13.86,13.50,13.52,691741
23-Jun-14,13.67,13.86,13.54,13.70,812470
20-Jun-14,13.50,13.62,13.17,13.60,2010034
19-Jun-14,13.48,13.72,12.96,13.08,1695884
18-Jun-14,12.59,12.72,12.41,12.72,605591
17-Jun-14,12.46,12.65,12.40,12.62,970999
16-Jun-14,12.28,12.48,12.26,12.48,791231
13-Jun-14,12.36,12.39,12.21,12.28,500369
12-Jun-14,12.50,12.50,12.24,12.29,486202
11-Jun-14,12.46,12.58,12.34,12.49,1098955
10-Jun-14,12.17,12.35,12.10,12.35,723846
9-Jun-14,12.04,12.22,11.99,12.19,464063
6-Jun-14,12.13,12.20,11.96,12.07,760579
5-Jun-14,11.70,12.04,11.60,12.02,1096314
4-Jun-14,11.50,11.70,11.40,11.68,661888
3-Jun-14,11.35,11.57,11.35,11.53,621343
2-Jun-14,11.54,11.58,11.40,11.48,582399
30-May-14,11.46,11.52,11.34,11.47,739704
29-May-14,11.39,11.48,11.28,11.42,470624
28-May-14,11.25,11.37,11.11,11.36,648188
27-May-14,11.13,11.42,11.04,11.30,427140
23-May-14,10.93,11.07,10.79,11.07,387711
22-May-14,10.95,11.18,10.95,10.97,315662
21-May-14,10.88,11.02,10.78,10.95,449614
20-May-14,11.04,11.04,10.69,10.79,601900
19-May-14,10.92,11.23,10.92,11.09,349411
16-May-14,10.88,11.03,10.81,10.99,403096
15-May-14,10.84,10.98,10.69,10.91,618260
14-May-14,11.08,11.08,10.83,10.86,483003
13-May-14,11.34,11.37,11.07,11.07,666345
12-May-14,11.19,11.50,11.12,11.33,776669
9-May-14,10.88,11.14,10.82,11.12,404684
8-May-14,11.00,11.11,10.88,10.97,529146
7-May-14,11.06,11.27,10.79,10.98,490470
6-May-14,11.24,11.26,10.90,11.01,820572
5-May-14,11.25,11.35,11.08,11.25,353948
2-May-14,11.22,11.39,11.18,11.27,491408
1-May-14,11.03,11.50,11.01,11.16,1186190
30-Apr-14,11.14,11.25,11.00,11.09,680512
29-Apr-14,11.58,11.61,11.17,11.22,450627
28-Apr-14,11.35,11.52,11.01,11.47,1191714
25-Apr-14,11.68,11.68,11.21,11.27,647559
24-Apr-14,11.49,11.80,11.13,11.77,1240342
23-Apr-14,11.92,12.46,11.26,11.42,2619175
22-Apr-14,11.80,12.37,11.80,12.36,785074
21-Apr-14,11.80,11.89,11.63,11.80,239620
17-Apr-14,11.59,11.83,11.50,11.74,396456
16-Apr-14,11.75,11.75,11.48,11.59,563391
15-Apr-14,11.67,11.80,11.33,11.69,747550
14-Apr-14,11.82,11.85,11.55,11.63,466309
11-Apr-14,11.81,12.00,11.61,11.67,695622
10-Apr-14,12.13,12.33,11.94,11.95,893451
9-Apr-14,11.89,12.20,11.78,12.17,574465
8-Apr-14,11.84,12.04,11.82,11.90,508030
7-Apr-14,11.88,11.93,11.69,11.85,467192
4-Apr-14,12.52,12.66,11.89,11.94,522778
3-Apr-14,12.57,12.64,12.28,12.41,547417
2-Apr-14,12.36,12.60,12.30,12.59,626738
1-Apr-14,12.16,12.41,12.13,12.37,378232
31-Mar-14,11.90,12.18,11.86,12.11,464144
28-Mar-14,11.85,12.10,11.73,11.80,553194
27-Mar-14,11.83,12.03,11.75,11.86,429030
26-Mar-14,12.29,12.35,11.80,11.84,608051
25-Mar-14,12.16,12.39,12.13,12.16,474242
24-Mar-14,12.30,12.44,11.97,12.07,443593
21-Mar-14,12.50,12.50,12.24,12.27,642927
20-Mar-14,12.33,12.46,12.26,12.45,269773
19-Mar-14,12.36,12.43,12.24,12.34,375119
18-Mar-14,12.12,12.37,12.12,12.36,461751
17-Mar-14,12.12,12.14,12.01,12.08,264765
14-Mar-14,11.82,12.06,11.82,12.04,388758
13-Mar-14,12.17,12.29,11.85,11.89,411229
12-Mar-14,11.93,12.12,11.88,12.10,510840
11-Mar-14,12.13,12.15,11.90,11.97,535706
10-Mar-14,12.06,12.19,12.00,12.16,524195
7-Mar-14,12.31,12.31,12.11,12.12,289324
6-Mar-14,12.17,12.29,12.08,12.21,395550
5-Mar-14,12.25,12.25,12.08,12.16,445187
4-Mar-14,12.25,12.49,12.25,12.30,1526096
3-Mar-14,11.98,12.10,11.90,12.09,943719
28-Feb-14,12.14,12.18,12.00,12.05,559861
27-Feb-14,12.03,12.17,12.02,12.10,368600
26-Feb-14,12.03,12.17,12.01,12.10,520660
25-Feb-14,12.01,12.06,11.89,12.00,418131
24-Feb-14,11.93,12.13,11.93,12.03,537923
21-Feb-14,12.08,12.08,11.83,11.93,853091
20-Feb-14,12.00,12.04,11.87,11.99,1020358
19-Feb-14,12.04,12.15,11.99,12.01,659158
18-Feb-14,12.07,12.18,12.01,12.10,805343
14-Feb-14,11.98,12.10,11.88,12.06,774465
13-Feb-14,11.65,11.99,11.65,11.98,647651
12-Feb-14,11.75,11.88,11.68,11.74,860503
11-Feb-14,11.58,11.79,11.46,11.71,1331394
10-Feb-14,11.59,11.64,11.37,11.60,1208740
7-Feb-14,11.43,11.59,11.38,11.57,1100055
6-Feb-14,11.53,11.64,11.35,11.44,2845624
5-Feb-14,12.00,12.00,11.37,11.54,2997455
4-Feb-14,11.65,11.88,11.15,11.43,7488015
3-Feb-14,10.46,10.66,10.20,10.28,1202611
31-Jan-14,10.46,10.97,10.41,10.52,877950
30-Jan-14,10.71,10.89,10.52,10.67,1456484
29-Jan-14,10.67,11.01,10.50,10.60,765678
28-Jan-14,10.80,10.89,10.40,10.76,699974
27-Jan-14,11.09,11.09,10.77,10.78,1160169
24-Jan-14,11.18,11.26,10.92,11.01,588957
23-Jan-14,11.17,11.28,11.16,11.27,564263
22-Jan-14,11.14,11.25,11.12,11.25,279355
21-Jan-14,11.17,11.20,11.02,11.14,533333
17-Jan-14,11.21,11.28,11.10,11.12,278808
16-Jan-14,11.33,11.37,11.21,11.25,374673
15-Jan-14,11.27,11.38,11.25,11.36,384923
14-Jan-14,11.03,11.29,11.03,11.27,287305
13-Jan-14,11.21,11.40,10.94,10.95,497762
10-Jan-14,11.08,11.30,11.07,11.21,363789
9-Jan-14,11.25,11.26,10.98,11.12,526556
8-Jan-14,11.18,11.19,11.08,11.19,383911
7-Jan-14,11.17,11.30,11.06,11.18,417298
6-Jan-14,11.30,11.30,11.08,11.13,645510
3-Jan-14,11.45,11.54,11.41,11.44,305722
2-Jan-14,11.51,11.57,11.36,11.45,472604
31-Dec-13,11.58,11.65,11.32,11.59,420505
30-Dec-13,11.46,11.55,11.43,11.55,552874
27-Dec-13,11.48,11.54,11.27,11.50,327360
26-Dec-13,11.54,11.54,11.30,11.43,363358
24-Dec-13,11.41,11.51,11.41,11.48,315775
23-Dec-13,11.37,11.46,11.35,11.41,492576
20-Dec-13,11.01,11.37,10.96,11.35,1448563
19-Dec-13,11.03,11.03,10.78,11.00,462142
18-Dec-13,10.85,11.02,10.74,11.01,637974
17-Dec-13,10.70,10.90,10.70,10.85,267909
16-Dec-13,10.53,10.84,10.53,10.72,476766
13-Dec-13,10.64,10.64,10.43,10.51,426332
12-Dec-13,10.67,10.69,10.58,10.61,483241
11-Dec-13,10.78,10.82,10.53,10.69,717397
10-Dec-13,10.82,10.95,10.69,10.79,563106
9-Dec-13,10.88,10.90,10.74,10.87,358523
6-Dec-13,10.83,10.89,10.74,10.86,440894
5-Dec-13,10.97,10.97,10.65,10.73,501726
4-Dec-13,10.65,10.75,10.52,10.58,418144
3-Dec-13,10.74,10.90,10.69,10.70,379488
2-Dec-13,10.95,10.98,10.76,10.79,490588
29-Nov-13,11.00,11.00,10.92,10.98,191573
27-Nov-13,10.85,11.00,10.79,10.97,387248
26-Nov-13,10.59,10.91,10.48,10.86,670415
25-Nov-13,10.69,10.71,10.58,10.61,308590
22-Nov-13,10.54,10.69,10.47,10.66,648100
21-Nov-13,10.28,10.53,10.23,10.52,627901
20-Nov-13,10.29,10.39,10.18,10.24,268040
19-Nov-13,10.46,10.56,10.25,10.26,677307
