Date,Open,High,Low,Close,Volume
23-Oct-14,4.09,4.14,4.04,4.04,41199
22-Oct-14,4.03,4.11,3.93,4.06,44358
21-Oct-14,3.92,4.08,3.92,4.01,187361
20-Oct-14,3.97,4.08,3.91,4.04,8489
17-Oct-14,4.04,4.05,3.94,4.00,11790
16-Oct-14,3.86,4.03,3.86,3.96,7600
15-Oct-14,3.75,4.05,3.75,4.00,88170
14-Oct-14,4.00,4.02,3.78,4.00,33372
13-Oct-14,4.00,4.00,3.90,3.98,16086
10-Oct-14,3.99,4.06,3.95,4.00,12245
9-Oct-14,4.06,4.11,4.00,4.10,115033
8-Oct-14,4.22,4.26,3.95,4.25,94120
7-Oct-14,3.95,4.05,3.94,4.00,15162
6-Oct-14,3.90,4.16,3.77,4.13,14260
3-Oct-14,4.00,4.29,3.91,4.15,38348
2-Oct-14,4.08,4.27,3.74,4.27,32502
1-Oct-14,4.21,4.21,4.03,4.10,105903
30-Sep-14,4.14,4.25,4.00,4.21,26059
29-Sep-14,4.39,4.39,4.00,4.23,138666
26-Sep-14,4.00,4.40,4.00,4.40,161486
25-Sep-14,4.35,4.44,3.80,4.00,29760
24-Sep-14,3.70,4.34,3.61,4.34,94422
23-Sep-14,4.45,4.45,3.90,4.26,81702
22-Sep-14,4.75,4.75,4.10,4.35,21886
