Date,Open,High,Low,Close,Volume
23-Oct-14,1.34,1.34,1.34,1.34,500
22-Oct-14,1.32,1.34,1.32,1.33,7435
21-Oct-14,1.37,1.37,1.29,1.34,38251
20-Oct-14,1.35,1.35,1.35,1.35,1200
16-Oct-14,1.40,1.44,1.36,1.37,7400
15-Oct-14,1.38,1.39,1.35,1.35,21284
14-Oct-14,1.39,1.44,1.38,1.44,3413
13-Oct-14,1.49,1.49,1.38,1.47,568
10-Oct-14,1.38,1.48,1.38,1.45,7306
9-Oct-14,1.44,1.44,1.42,1.44,10667
8-Oct-14,1.45,1.45,1.43,1.44,23475
6-Oct-14,1.46,1.49,1.46,1.48,2299
3-Oct-14,1.52,1.52,1.50,1.50,718
2-Oct-14,1.52,1.52,1.52,1.52,140
1-Oct-14,1.56,1.57,1.50,1.52,15108
30-Sep-14,1.49,1.59,1.49,1.51,7381
29-Sep-14,1.69,1.69,1.43,1.48,53102
26-Sep-14,1.70,1.70,1.67,1.67,804
25-Sep-14,1.66,1.70,1.66,1.70,3087
24-Sep-14,1.69,1.77,1.64,1.69,14161
23-Sep-14,1.78,1.78,1.78,1.78,902
22-Sep-14,1.63,1.74,1.63,1.74,11485
19-Sep-14,1.62,1.62,1.62,1.62,716
18-Sep-14,1.62,1.63,1.60,1.63,2425
17-Sep-14,1.56,1.61,1.56,1.61,26420
16-Sep-14,1.56,1.57,1.56,1.57,1257
15-Sep-14,1.57,1.57,1.55,1.55,6167
12-Sep-14,1.57,1.59,1.55,1.59,1447
11-Sep-14,1.57,1.57,1.57,1.57,217
10-Sep-14,1.59,1.61,1.59,1.59,1976
9-Sep-14,1.62,1.68,1.61,1.61,2106
8-Sep-14,1.64,1.73,1.60,1.66,27783
5-Sep-14,1.66,1.66,1.66,1.66,200
4-Sep-14,1.66,1.68,1.65,1.65,1005
3-Sep-14,1.60,1.71,1.60,1.63,18378
2-Sep-14,1.80,1.80,1.60,1.60,43474
29-Aug-14,1.69,1.80,1.69,1.80,8839
28-Aug-14,1.64,1.73,1.64,1.68,4200
27-Aug-14,1.60,1.60,1.60,1.60,400
26-Aug-14,1.63,1.64,1.63,1.64,5574
