Date,Open,High,Low,Close,Volume
23-Oct-14,34.65,35.10,34.54,34.76,1150456
22-Oct-14,34.71,34.85,34.21,34.22,1001449
21-Oct-14,33.22,34.33,33.21,34.04,1563974
20-Oct-14,32.02,32.31,31.99,32.21,770385
17-Oct-14,32.38,32.66,32.02,32.20,501823
16-Oct-14,30.90,32.18,30.50,32.13,1579868
15-Oct-14,31.72,32.15,30.99,31.64,1049746
14-Oct-14,32.09,32.56,32.02,32.28,661146
13-Oct-14,32.24,32.50,32.07,32.08,546443
10-Oct-14,32.66,32.88,32.25,32.25,961918
9-Oct-14,33.50,33.56,32.67,32.70,812836
8-Oct-14,33.30,33.77,33.10,33.75,439901
7-Oct-14,33.62,33.73,33.25,33.25,483039
6-Oct-14,34.31,34.43,33.81,33.87,350697
3-Oct-14,34.04,34.46,33.97,34.24,486973
2-Oct-14,33.64,34.02,33.30,33.87,588415
1-Oct-14,33.84,34.20,33.45,33.65,1658827
30-Sep-14,34.08,34.30,33.94,34.00,966676
29-Sep-14,33.66,34.13,33.66,34.02,667666
26-Sep-14,33.85,34.05,33.57,34.01,384077
25-Sep-14,34.02,34.16,33.46,33.77,638615
24-Sep-14,34.13,34.27,33.80,34.12,447868
23-Sep-14,34.31,34.51,34.02,34.02,475196
22-Sep-14,34.71,35.01,34.43,34.44,410258
19-Sep-14,35.25,35.49,34.85,34.88,1175559
18-Sep-14,34.96,35.49,34.96,35.24,655155
17-Sep-14,34.85,35.09,34.61,34.82,560097
16-Sep-14,35.03,35.32,34.67,34.71,740451
15-Sep-14,35.42,35.42,34.97,35.14,330535
12-Sep-14,35.35,35.67,35.25,35.42,447996
11-Sep-14,35.30,35.46,35.02,35.35,497544
10-Sep-14,35.03,35.60,34.84,35.40,635365
9-Sep-14,35.21,35.28,34.99,34.99,311955
8-Sep-14,35.14,35.36,34.98,35.36,291265
5-Sep-14,34.97,35.27,34.74,35.20,241286
4-Sep-14,35.16,35.56,34.93,35.08,395742
3-Sep-14,35.38,35.52,35.09,35.18,383162
2-Sep-14,34.93,35.49,34.90,35.33,772575
29-Aug-14,34.82,34.88,34.63,34.84,248546
28-Aug-14,34.64,34.92,34.44,34.65,270596
27-Aug-14,35.11,35.21,34.72,34.77,334638
26-Aug-14,34.87,35.19,34.76,35.03,293951
25-Aug-14,34.81,34.97,34.62,34.88,357158
22-Aug-14,34.45,34.83,34.34,34.66,532585
21-Aug-14,34.00,34.63,33.85,34.48,461365
20-Aug-14,33.94,34.08,33.73,34.00,329376
19-Aug-14,34.04,34.17,33.79,33.96,415441
18-Aug-14,33.79,34.12,33.67,33.94,276937
15-Aug-14,33.73,33.87,33.14,33.48,440713
14-Aug-14,33.58,33.86,33.57,33.63,302798
13-Aug-14,33.38,33.72,33.28,33.58,334293
12-Aug-14,33.28,33.53,33.08,33.27,370869
11-Aug-14,33.41,33.57,33.19,33.38,305090
8-Aug-14,33.40,33.59,33.16,33.27,504575
7-Aug-14,33.53,33.57,33.04,33.27,384656
6-Aug-14,33.21,33.56,33.15,33.37,475384
5-Aug-14,33.44,33.68,33.18,33.31,465867
4-Aug-14,33.86,33.99,33.26,33.64,531313
1-Aug-14,34.00,34.15,33.33,33.63,716074
31-Jul-14,34.34,34.63,33.90,34.06,589169
30-Jul-14,34.49,34.91,34.23,34.67,596074
29-Jul-14,34.70,34.94,34.49,34.49,482629
28-Jul-14,35.04,35.24,34.59,34.65,712132
25-Jul-14,35.24,35.71,35.11,35.16,843562
24-Jul-14,34.68,35.42,34.55,35.30,859829
23-Jul-14,34.60,34.67,34.24,34.59,535328
22-Jul-14,34.93,34.98,34.43,34.51,730685
21-Jul-14,34.90,35.07,34.61,34.70,681069
18-Jul-14,34.49,35.16,34.49,34.97,700850
17-Jul-14,35.11,35.54,34.42,34.50,847931
16-Jul-14,35.88,35.88,35.06,35.14,988867
15-Jul-14,35.47,35.72,35.10,35.66,575921
14-Jul-14,35.89,35.96,35.33,35.36,535607
11-Jul-14,35.66,35.96,35.48,35.55,475197
10-Jul-14,35.51,36.02,35.31,35.75,714314
9-Jul-14,35.75,36.25,35.75,36.01,830644
8-Jul-14,36.09,36.26,35.56,35.59,621894
7-Jul-14,36.67,36.88,36.26,36.28,716625
3-Jul-14,35.81,36.95,35.81,36.72,758746
2-Jul-14,35.40,35.96,35.33,35.72,645294
1-Jul-14,35.09,36.06,34.85,35.61,1079626
30-Jun-14,34.83,35.02,34.64,34.99,905459
27-Jun-14,34.80,35.18,34.77,34.87,1132699
26-Jun-14,35.03,35.04,34.42,34.91,395068
25-Jun-14,34.81,35.10,34.34,35.03,544400
24-Jun-14,35.13,35.77,34.89,34.91,398267
23-Jun-14,35.30,35.49,35.20,35.29,289106
20-Jun-14,35.25,35.60,35.19,35.37,939126
19-Jun-14,35.47,35.74,34.92,35.19,260536
18-Jun-14,35.42,35.48,34.94,35.33,576672
17-Jun-14,34.78,35.81,34.70,35.48,798796
16-Jun-14,35.13,35.19,34.64,34.73,461883
13-Jun-14,35.34,35.64,35.13,35.25,299128
12-Jun-14,35.25,35.55,35.03,35.18,268939
11-Jun-14,35.55,35.78,35.30,35.34,296229
10-Jun-14,35.76,35.91,35.56,35.76,472535
9-Jun-14,35.35,36.00,35.10,35.91,393398
6-Jun-14,35.16,35.53,34.86,35.42,471170
5-Jun-14,34.58,35.08,34.40,35.01,393380
4-Jun-14,34.51,34.77,34.33,34.59,442813
3-Jun-14,34.45,34.69,33.95,34.62,767277
2-Jun-14,33.46,34.05,33.15,33.90,486053
30-May-14,33.32,33.73,33.32,33.48,345358
29-May-14,33.52,33.58,33.28,33.36,321780
28-May-14,33.58,33.71,33.26,33.45,831832
27-May-14,33.46,33.86,33.25,33.69,380911
23-May-14,33.36,33.55,33.06,33.43,268122
22-May-14,33.25,33.50,33.14,33.31,415024
21-May-14,32.98,33.46,32.90,33.32,402025
20-May-14,33.19,33.25,32.69,32.95,460806
19-May-14,32.56,33.27,32.51,33.25,620796
16-May-14,32.82,32.87,32.47,32.69,495469
15-May-14,33.23,33.38,32.19,32.92,1276268
14-May-14,34.01,34.01,33.35,33.38,534429
13-May-14,34.52,34.67,34.06,34.07,460997
12-May-14,33.94,34.64,33.69,34.49,732066
9-May-14,33.75,33.78,33.29,33.74,863774
8-May-14,34.00,34.50,33.76,33.81,640338
7-May-14,34.12,34.28,33.56,34.01,677421
6-May-14,34.39,34.55,33.88,34.07,1301760
5-May-14,34.57,34.81,34.28,34.55,346387
2-May-14,34.50,35.41,34.50,34.90,545220
1-May-14,34.63,34.82,34.13,34.40,505080
30-Apr-14,34.39,34.63,34.08,34.51,511918
29-Apr-14,34.73,34.92,34.34,34.60,715241
28-Apr-14,35.23,35.30,34.28,34.57,711213
25-Apr-14,35.63,35.87,35.04,35.15,574880
24-Apr-14,36.51,36.51,35.74,35.86,619565
23-Apr-14,36.37,36.58,36.07,36.41,872811
22-Apr-14,36.13,36.60,35.93,36.35,859182
21-Apr-14,36.86,36.86,35.98,36.16,890392
17-Apr-14,35.10,36.46,35.05,35.98,880749
16-Apr-14,34.35,35.07,34.27,34.99,940920
15-Apr-14,33.96,34.50,33.63,34.21,1013774
14-Apr-14,34.28,34.49,33.64,33.97,643267
11-Apr-14,34.12,34.54,33.71,34.05,523043
10-Apr-14,35.62,35.62,34.26,34.29,719255
9-Apr-14,35.73,35.83,35.33,35.53,492773
8-Apr-14,35.66,35.91,35.36,35.60,537572
