Date,Open,High,Low,Close,Volume
23-Oct-14,28.57,28.57,27.61,28.21,268446
22-Oct-14,28.25,28.55,27.74,28.26,97359
21-Oct-14,27.78,28.22,27.34,28.14,87867
20-Oct-14,27.13,27.97,27.06,27.45,70720
17-Oct-14,27.57,28.19,26.21,26.98,131091
16-Oct-14,24.68,27.52,24.65,27.17,141443
15-Oct-14,25.03,25.85,24.09,25.59,154725
14-Oct-14,25.85,27.14,23.70,25.47,349723
13-Oct-14,27.12,27.40,25.61,25.82,120667
10-Oct-14,27.70,28.03,26.28,27.25,178475
9-Oct-14,28.40,28.72,27.00,27.75,121192
8-Oct-14,28.82,28.94,27.59,28.20,110052
7-Oct-14,28.84,29.40,28.80,28.96,57190
6-Oct-14,29.22,29.42,28.73,29.04,55805
3-Oct-14,29.48,29.48,28.97,29.12,49874
2-Oct-14,29.70,29.85,28.92,29.40,91954
1-Oct-14,29.33,30.14,29.11,29.49,85922
30-Sep-14,29.02,29.33,28.89,29.33,102045
29-Sep-14,29.12,29.23,28.75,28.96,69337
26-Sep-14,28.89,29.35,28.64,29.24,73733
25-Sep-14,29.02,29.29,28.62,28.70,137337
24-Sep-14,29.50,29.59,28.80,29.01,77059
23-Sep-14,30.12,30.42,29.46,29.52,105912
22-Sep-14,30.54,30.64,29.70,30.12,113141
19-Sep-14,30.22,30.55,29.61,30.45,604710
18-Sep-14,29.88,30.04,29.53,29.99,284426
17-Sep-14,29.84,30.00,29.37,29.60,149857
16-Sep-14,29.39,29.92,29.39,29.70,248825
15-Sep-14,29.72,29.95,29.37,29.66,131092
12-Sep-14,30.15,30.15,29.10,29.63,84013
11-Sep-14,29.81,30.21,29.58,30.05,146674
10-Sep-14,29.28,29.93,29.25,29.92,98230
9-Sep-14,29.44,29.66,29.06,29.51,91846
8-Sep-14,29.28,29.72,28.88,29.32,124446
5-Sep-14,29.00,29.23,28.83,29.10,95897
4-Sep-14,29.29,29.30,28.87,28.92,145558
3-Sep-14,29.07,29.20,28.95,29.08,106067
2-Sep-14,29.10,29.23,28.81,29.06,123708
29-Aug-14,29.07,29.25,28.87,29.00,73126
28-Aug-14,28.88,29.05,28.61,29.02,67783
27-Aug-14,28.98,29.08,28.72,28.79,74949
26-Aug-14,28.90,28.97,28.62,28.76,128332
25-Aug-14,28.81,28.94,28.55,28.77,105072
22-Aug-14,29.16,29.20,28.11,28.50,111334
21-Aug-14,29.00,29.49,28.81,29.10,89561
20-Aug-14,28.87,28.98,28.40,28.71,78848
19-Aug-14,29.06,29.11,28.42,28.72,120776
18-Aug-14,28.99,29.29,28.54,28.74,63983
15-Aug-14,28.90,29.30,28.23,28.79,120869
14-Aug-14,29.05,29.21,28.26,28.58,114659
13-Aug-14,28.82,29.04,28.52,28.77,139456
12-Aug-14,28.68,28.96,28.40,28.61,111632
11-Aug-14,28.05,28.88,28.04,28.58,170744
8-Aug-14,28.02,28.02,27.41,27.90,64537
7-Aug-14,27.82,28.00,27.57,27.86,111807
6-Aug-14,28.32,28.70,27.77,28.20,132278
5-Aug-14,29.79,30.00,27.74,27.77,150907
4-Aug-14,27.79,28.93,27.50,28.78,241578
1-Aug-14,27.87,28.00,27.15,27.47,69253
31-Jul-14,27.91,28.07,27.25,27.64,128278
30-Jul-14,28.24,28.35,27.61,27.82,75692
29-Jul-14,27.91,28.36,27.84,28.11,60371
28-Jul-14,28.27,28.42,27.76,27.97,89193
25-Jul-14,28.40,28.63,27.92,28.02,97548
24-Jul-14,28.96,29.12,28.08,28.27,134474
23-Jul-14,28.92,29.23,28.71,28.81,101014
22-Jul-14,29.31,29.47,28.76,29.02,93834
21-Jul-14,28.98,29.51,28.85,29.06,126240
18-Jul-14,29.03,29.06,28.64,28.94,68547
17-Jul-14,28.97,29.13,28.58,28.84,145218
16-Jul-14,28.45,28.95,28.10,28.95,178201
15-Jul-14,28.23,28.47,27.72,28.20,89952
14-Jul-14,27.61,28.43,27.61,28.14,101559
11-Jul-14,27.99,28.11,27.25,27.29,127200
10-Jul-14,28.24,28.56,27.78,27.85,185847
9-Jul-14,28.60,28.72,28.31,28.49,156516
8-Jul-14,28.68,28.70,28.42,28.62,113875
7-Jul-14,28.52,28.65,28.36,28.63,89604
3-Jul-14,28.67,28.75,28.30,28.67,56629
2-Jul-14,28.50,28.65,28.22,28.59,115855
1-Jul-14,28.49,28.55,28.04,28.37,126366
30-Jun-14,28.50,28.52,27.92,28.28,152874
27-Jun-14,28.60,28.67,28.17,28.55,125955
26-Jun-14,28.40,28.79,28.25,28.76,141631
25-Jun-14,28.45,28.76,28.08,28.50,94882
24-Jun-14,28.84,29.00,28.45,28.56,124303
23-Jun-14,28.40,28.91,28.40,28.83,185644
20-Jun-14,29.02,29.02,28.36,28.50,269459
19-Jun-14,28.94,29.05,28.52,28.97,196267
18-Jun-14,28.35,28.94,28.23,28.81,139507
17-Jun-14,28.33,28.68,27.85,28.49,101164
16-Jun-14,27.84,28.45,27.64,28.27,96420
13-Jun-14,27.35,27.80,27.26,27.77,75715
12-Jun-14,27.33,27.50,27.20,27.21,78396
11-Jun-14,27.48,27.65,27.15,27.30,96595
10-Jun-14,27.76,27.76,27.34,27.47,62763
9-Jun-14,27.10,27.85,27.06,27.65,290991
6-Jun-14,27.45,27.66,27.01,27.11,192037
5-Jun-14,27.58,27.66,27.26,27.51,157206
4-Jun-14,27.80,27.80,27.34,27.46,132517
3-Jun-14,27.72,28.03,27.50,27.62,250657
2-Jun-14,27.78,28.24,27.42,27.84,178656
30-May-14,27.65,28.40,27.40,27.97,130291
29-May-14,27.16,27.74,27.16,27.63,124189
28-May-14,27.53,27.60,27.10,27.25,118959
27-May-14,28.55,28.60,27.59,27.64,130596
23-May-14,28.43,28.70,28.12,28.39,65359
22-May-14,28.26,28.78,27.90,28.24,159920
21-May-14,28.97,29.08,28.30,28.40,56437
20-May-14,29.19,29.42,28.33,28.85,85038
19-May-14,29.33,29.45,29.03,29.14,84657
16-May-14,29.42,29.42,28.90,29.23,80367
15-May-14,29.13,29.28,28.58,29.22,126652
14-May-14,29.15,29.34,28.61,28.96,130635
13-May-14,29.16,29.45,28.85,29.00,146906
12-May-14,28.87,29.44,28.47,29.28,133457
9-May-14,29.09,29.33,28.36,28.85,294124
8-May-14,28.48,29.24,28.16,29.05,235970
7-May-14,27.99,28.70,27.99,28.60,178048
6-May-14,29.23,29.37,26.25,28.52,430424
5-May-14,29.30,29.85,29.02,29.61,133864
2-May-14,29.41,29.56,29.13,29.39,119333
1-May-14,29.12,29.47,28.77,29.44,132742
30-Apr-14,29.73,29.91,29.12,29.28,184705
29-Apr-14,29.56,30.00,29.39,29.74,95007
28-Apr-14,29.72,29.97,29.30,29.57,125017
25-Apr-14,29.59,29.78,29.28,29.55,119117
24-Apr-14,30.13,30.17,29.45,29.62,95527
23-Apr-14,29.96,30.13,29.85,30.00,128460
22-Apr-14,30.03,30.06,29.85,29.96,118820
21-Apr-14,29.68,30.06,29.68,30.01,101348
17-Apr-14,29.40,29.87,29.25,29.58,83013
16-Apr-14,29.46,29.96,29.25,29.42,85287
15-Apr-14,29.87,30.00,29.20,29.52,75892
14-Apr-14,30.00,30.09,29.59,29.88,104363
11-Apr-14,29.26,29.97,28.90,29.97,146600
10-Apr-14,29.72,30.11,29.15,29.35,187738
9-Apr-14,29.75,30.15,29.67,29.87,140141
8-Apr-14,29.43,29.99,29.32,29.80,264267
7-Apr-14,29.64,29.83,29.28,29.64,301954
4-Apr-14,29.50,29.75,29.25,29.60,301522
3-Apr-14,29.14,29.50,29.00,29.50,454426
2-Apr-14,28.55,29.32,28.55,29.20,391779
1-Apr-14,28.50,28.66,28.40,28.60,370011
31-Mar-14,28.40,28.61,28.16,28.50,438658
28-Mar-14,27.99,28.36,27.80,28.36,3480261
27-Mar-14,29.37,29.73,29.14,29.51,30571
26-Mar-14,29.50,29.59,29.00,29.31,43147
25-Mar-14,29.48,29.72,28.77,29.37,35255
24-Mar-14,28.60,29.69,28.25,29.29,130588
21-Mar-14,30.42,30.53,28.45,28.45,378196
20-Mar-14,30.40,30.88,30.02,30.25,60674
19-Mar-14,30.65,30.78,30.19,30.55,79655
18-Mar-14,30.82,30.82,30.55,30.74,82253
17-Mar-14,30.65,30.95,30.51,30.70,85442
14-Mar-14,30.70,30.94,30.61,30.79,67296
13-Mar-14,30.65,30.75,30.55,30.65,61902
12-Mar-14,30.66,30.79,30.16,30.60,53822
11-Mar-14,30.75,30.77,30.40,30.75,68607
10-Mar-14,30.34,30.80,30.17,30.69,96078
7-Mar-14,30.71,30.82,30.39,30.69,151882
6-Mar-14,30.63,30.71,30.26,30.68,110318
5-Mar-14,30.58,30.69,30.26,30.50,82387
4-Mar-14,31.00,31.00,30.26,30.50,202661
3-Mar-14,30.40,30.99,30.33,30.60,205980
28-Feb-14,29.48,30.19,28.79,30.00,105018
27-Feb-14,29.58,30.14,28.42,29.48,127174
26-Feb-14,29.08,30.15,28.79,29.53,156212
25-Feb-14,28.46,29.50,28.25,28.51,77207
24-Feb-14,29.40,29.54,28.81,29.03,60721
21-Feb-14,29.01,29.50,28.66,29.27,143984
20-Feb-14,29.01,29.24,28.48,28.83,162192
19-Feb-14,29.38,29.94,28.77,29.07,89860
18-Feb-14,29.07,29.76,28.76,29.28,56857
14-Feb-14,29.13,29.42,28.73,28.87,39651
13-Feb-14,28.94,29.08,28.56,28.92,66400
12-Feb-14,28.53,28.95,28.53,28.86,68293
11-Feb-14,28.54,28.86,28.04,28.43,72586
10-Feb-14,28.70,28.86,28.05,28.39,45215
7-Feb-14,28.34,28.80,27.79,28.71,83740
6-Feb-14,27.94,28.75,27.75,28.44,48783
5-Feb-14,28.93,29.56,28.11,28.49,81206
4-Feb-14,29.39,30.22,28.54,29.00,52776
3-Feb-14,29.97,30.24,29.15,29.21,74374
31-Jan-14,29.67,30.43,29.64,29.90,91373
30-Jan-14,30.04,30.04,29.65,29.72,44222
29-Jan-14,29.88,30.09,29.58,29.77,42452
28-Jan-14,29.67,30.42,29.62,29.90,80154
27-Jan-14,29.66,30.12,29.50,29.62,71650
24-Jan-14,29.69,30.01,29.50,29.74,62678
23-Jan-14,29.39,30.00,29.37,29.82,82405
22-Jan-14,29.23,29.76,29.05,29.49,79096
21-Jan-14,28.75,29.48,28.54,29.21,55218
17-Jan-14,28.80,29.46,28.36,28.64,92609
16-Jan-14,28.74,29.14,28.53,28.76,71289
15-Jan-14,29.05,29.26,28.65,28.74,90738
14-Jan-14,29.14,29.31,28.89,29.06,62150
13-Jan-14,29.43,29.49,28.52,29.02,54453
10-Jan-14,29.12,29.70,28.41,29.58,108652
9-Jan-14,28.96,29.53,28.50,29.01,117152
8-Jan-14,29.20,29.20,28.07,28.39,92137
7-Jan-14,29.29,29.33,28.81,29.20,63080
6-Jan-14,29.80,29.97,29.08,29.29,94796
3-Jan-14,29.94,29.97,28.85,29.76,96392
2-Jan-14,30.06,30.06,29.32,29.92,136160
31-Dec-13,30.34,30.58,29.90,30.23,69872
30-Dec-13,30.70,30.70,29.98,30.14,89319
27-Dec-13,30.20,30.74,29.79,30.56,55980
26-Dec-13,29.70,30.61,29.39,30.27,119922
24-Dec-13,29.17,29.70,28.39,29.52,78702
23-Dec-13,28.63,29.49,28.04,29.05,184992
20-Dec-13,27.65,29.10,27.00,28.75,394205
19-Dec-13,27.14,27.70,27.14,27.42,93461
18-Dec-13,26.95,27.69,26.29,27.31,105366
17-Dec-13,26.77,27.14,26.65,27.00,79898
16-Dec-13,26.68,27.11,26.48,26.90,72737
13-Dec-13,26.03,26.90,25.71,26.48,154733
12-Dec-13,26.04,26.30,25.60,25.91,120533
11-Dec-13,26.20,26.48,26.08,26.18,73795
10-Dec-13,26.20,26.60,25.80,26.33,120662
9-Dec-13,26.26,26.46,26.15,26.23,174893
6-Dec-13,26.46,26.98,26.05,26.26,112920
5-Dec-13,26.64,26.74,26.02,26.38,142530
4-Dec-13,26.66,27.00,26.06,26.66,145536
3-Dec-13,27.03,27.15,26.66,26.84,283511
2-Dec-13,27.41,27.66,27.00,27.10,157725
29-Nov-13,27.58,27.93,27.00,27.83,103632
27-Nov-13,27.75,27.98,27.27,27.62,143277
26-Nov-13,28.25,28.34,27.75,27.88,93896
25-Nov-13,29.50,29.50,28.03,28.35,79342
22-Nov-13,29.11,29.65,29.08,29.38,78781
21-Nov-13,28.89,29.65,28.75,29.04,70269
20-Nov-13,29.23,29.47,28.66,28.94,42448
19-Nov-13,29.75,29.92,29.22,29.42,79007
18-Nov-13,30.19,30.54,29.50,29.62,55604
15-Nov-13,29.88,30.08,29.32,29.94,91436
14-Nov-13,29.87,30.03,29.37,29.75,45571
13-Nov-13,29.58,29.98,29.25,29.70,57611
12-Nov-13,29.24,29.68,28.98,29.48,70209
11-Nov-13,28.52,29.45,28.52,29.15,62848
8-Nov-13,29.01,29.48,28.35,28.69,69080
7-Nov-13,29.24,29.59,28.58,28.98,94680
6-Nov-13,29.52,29.89,28.97,29.29,89342
5-Nov-13,28.90,30.81,28.90,29.98,310512
4-Nov-13,31.45,31.45,30.78,31.06,74085
1-Nov-13,31.07,31.29,30.71,31.15,78247
31-Oct-13,31.33,31.36,30.79,31.04,84930
30-Oct-13,31.27,31.48,30.33,31.14,101066
29-Oct-13,30.08,30.85,30.08,30.51,89529
28-Oct-13,30.37,30.67,30.08,30.12,85925
25-Oct-13,30.68,30.98,30.20,30.21,70222
24-Oct-13,30.56,30.61,29.90,30.46,173962
23-Oct-13,29.71,30.72,29.71,30.29,134342
22-Oct-13,29.32,30.50,29.25,29.97,214387
21-Oct-13,29.23,29.50,28.80,29.33,90055
18-Oct-13,29.56,29.70,28.98,28.98,82949
17-Oct-13,28.72,29.69,28.23,29.31,67891
16-Oct-13,28.99,29.29,28.51,28.74,117623
15-Oct-13,28.85,28.94,28.33,28.83,48847
14-Oct-13,28.12,28.96,28.12,28.82,41160
11-Oct-13,28.58,28.94,28.08,28.41,50857
10-Oct-13,29.12,29.12,28.34,28.56,43791
9-Oct-13,29.02,29.14,28.57,28.94,34458
8-Oct-13,28.68,29.95,28.56,29.00,67901
7-Oct-13,29.50,30.00,28.41,28.83,221783
4-Oct-13,29.44,29.98,29.12,29.76,32551
3-Oct-13,29.29,29.85,29.00,29.61,47619
2-Oct-13,29.18,29.78,28.75,29.44,51153
1-Oct-13,28.99,29.88,28.95,29.39,65743
30-Sep-13,28.75,29.14,28.51,29.08,91912
27-Sep-13,28.85,29.28,28.44,28.99,68881
26-Sep-13,28.44,29.05,28.44,28.85,54544
25-Sep-13,28.43,29.07,27.96,28.39,67611
24-Sep-13,28.40,29.09,28.12,28.29,72182
23-Sep-13,27.46,28.91,27.46,28.41,165791
20-Sep-13,28.82,29.37,26.90,27.31,475346
