Date,Open,High,Low,Close,Volume
23-Oct-14,80.01,81.20,79.50,79.84,1911453
22-Oct-14,80.77,81.76,78.79,79.01,1929945
21-Oct-14,77.79,80.79,77.44,80.31,2820396
20-Oct-14,74.16,77.48,74.00,77.25,2479415
17-Oct-14,76.47,76.71,73.37,74.57,3192950
16-Oct-14,72.48,75.21,71.23,75.08,3842989
15-Oct-14,73.15,74.93,70.91,74.10,5507973
14-Oct-14,76.50,77.65,73.88,74.75,6010759
13-Oct-14,80.89,81.71,76.20,76.34,4606229
10-Oct-14,83.75,83.83,80.94,81.00,3129033
9-Oct-14,85.39,85.67,83.14,83.83,2820810
8-Oct-14,84.74,85.98,83.52,85.38,2822092
7-Oct-14,85.89,86.20,84.70,84.73,1967175
6-Oct-14,85.46,88.10,85.46,86.57,2576695
3-Oct-14,84.21,85.82,83.94,85.47,1569273
2-Oct-14,84.61,84.95,82.16,83.37,2682163
1-Oct-14,87.33,87.66,84.47,84.78,2530973
30-Sep-14,87.07,88.28,86.58,87.62,2987453
29-Sep-14,84.85,86.81,84.60,86.58,1689043
26-Sep-14,84.91,86.19,84.59,85.90,1252306
25-Sep-14,85.38,85.95,84.52,84.68,1623987
24-Sep-14,83.50,86.20,82.98,85.94,3002615
23-Sep-14,83.28,84.64,82.95,83.93,1531669
22-Sep-14,85.01,85.01,82.85,83.51,1684575
19-Sep-14,86.44,86.51,84.52,85.16,2248241
18-Sep-14,85.70,86.14,85.15,85.91,1060819
17-Sep-14,86.08,86.12,84.28,85.34,1650964
16-Sep-14,84.82,86.36,84.53,86.21,1309911
15-Sep-14,86.83,86.83,84.44,85.16,1550852
12-Sep-14,86.85,87.31,86.35,86.55,945379
11-Sep-14,86.84,87.34,86.32,87.17,771524
10-Sep-14,85.66,87.88,85.59,87.04,1753712
9-Sep-14,87.74,87.85,85.72,85.93,1238726
8-Sep-14,87.68,88.02,87.27,87.76,1187175
5-Sep-14,88.00,88.08,87.21,87.86,1157173
4-Sep-14,88.42,89.12,87.44,87.94,1735779
3-Sep-14,88.38,89.26,88.04,88.40,1586024
2-Sep-14,86.43,88.34,86.14,88.29,1776916
29-Aug-14,86.80,86.93,85.59,85.90,887064
28-Aug-14,86.33,86.90,86.06,86.40,1291369
27-Aug-14,87.75,87.75,86.23,86.50,1494008
26-Aug-14,87.67,88.28,87.23,87.43,1114647
