Date,Open,High,Low,Close,Volume
23-Oct-14,21.21,21.55,21.10,21.41,73199
22-Oct-14,21.35,21.54,21.02,21.12,72143
21-Oct-14,21.31,21.62,21.30,21.50,66530
20-Oct-14,20.87,21.33,20.76,21.33,73777
17-Oct-14,21.42,21.67,21.02,21.08,70607
16-Oct-14,21.00,21.26,20.74,21.13,100117
15-Oct-14,20.73,21.39,20.67,21.34,129248
14-Oct-14,21.09,21.52,21.00,21.07,145130
13-Oct-14,20.97,21.34,20.70,21.07,242073
10-Oct-14,21.03,21.62,20.72,21.16,278400
9-Oct-14,20.75,21.25,20.55,21.17,224124
8-Oct-14,21.00,21.21,19.96,20.82,434687
7-Oct-14,22.18,22.21,21.06,21.12,416501
6-Oct-14,22.31,22.62,21.36,22.17,939310
3-Oct-14,24.62,25.08,24.54,24.73,65697
2-Oct-14,24.08,24.52,23.76,24.42,79522
1-Oct-14,24.23,24.57,23.76,23.89,86833
30-Sep-14,24.32,24.63,23.95,24.12,99503
29-Sep-14,24.14,24.42,24.12,24.26,33146
26-Sep-14,24.08,24.33,24.08,24.24,43854
25-Sep-14,24.35,24.40,23.86,24.08,108972
24-Sep-14,24.37,24.62,24.34,24.59,55636
23-Sep-14,24.60,24.89,24.17,24.44,112532
22-Sep-14,24.97,25.30,24.64,24.83,116895
19-Sep-14,25.26,25.46,25.01,25.11,86002
18-Sep-14,25.59,25.72,25.29,25.41,57811
17-Sep-14,25.08,25.46,24.87,25.30,91986
16-Sep-14,24.75,25.01,24.51,24.99,114433
15-Sep-14,25.28,25.28,24.33,24.69,143497
12-Sep-14,25.89,25.89,25.22,25.39,109741
11-Sep-14,25.44,26.06,25.31,25.98,74171
10-Sep-14,25.41,25.60,25.24,25.53,124347
9-Sep-14,25.92,25.99,25.21,25.39,119045
8-Sep-14,25.72,26.17,25.72,25.87,78878
5-Sep-14,25.82,25.99,25.25,25.61,97657
4-Sep-14,25.87,26.36,25.64,25.82,81093
3-Sep-14,26.65,26.68,25.59,25.96,218357
2-Sep-14,28.02,28.16,26.54,26.72,277860
29-Aug-14,27.63,28.50,27.56,27.94,357659
28-Aug-14,24.89,28.50,24.88,27.96,1439651
27-Aug-14,25.10,25.50,25.10,25.31,96728
26-Aug-14,24.66,25.01,24.66,25.00,70538
25-Aug-14,24.72,24.86,24.39,24.50,91868
22-Aug-14,24.62,25.37,24.53,24.97,95227
21-Aug-14,24.60,24.85,24.30,24.73,92907
20-Aug-14,24.80,24.85,24.47,24.52,69504
19-Aug-14,24.60,24.83,24.47,24.79,99169
18-Aug-14,24.51,24.63,24.26,24.38,166663
15-Aug-14,24.13,24.52,24.01,24.11,97592
14-Aug-14,25.06,25.08,23.95,24.09,302325
13-Aug-14,25.01,25.60,23.60,25.17,425250
12-Aug-14,24.72,25.01,24.71,24.81,172314
11-Aug-14,24.43,25.01,24.23,24.86,131792
8-Aug-14,24.31,24.51,24.01,24.38,63257
7-Aug-14,24.43,24.61,24.28,24.28,77065
6-Aug-14,23.98,24.57,23.81,24.46,78220
5-Aug-14,23.68,24.15,23.51,24.08,98873
4-Aug-14,24.17,24.29,23.52,23.71,152331
1-Aug-14,24.07,24.58,23.82,24.02,102177
31-Jul-14,24.40,24.56,24.13,24.17,142705
30-Jul-14,24.66,25.19,24.53,25.01,82761
29-Jul-14,24.67,24.82,24.52,24.60,86844
28-Jul-14,25.00,25.00,24.24,24.64,156063
25-Jul-14,25.84,25.94,24.84,25.00,185572
24-Jul-14,26.23,26.23,25.78,25.98,110802
23-Jul-14,27.28,27.28,26.07,26.26,165965
22-Jul-14,27.30,27.42,27.10,27.16,70147
21-Jul-14,26.75,27.50,26.74,27.20,124063
18-Jul-14,26.30,26.91,26.22,26.78,90660
17-Jul-14,27.15,27.22,26.34,26.47,89005
16-Jul-14,26.92,27.14,26.73,26.90,64840
15-Jul-14,26.44,26.69,26.12,26.48,136786
14-Jul-14,26.83,27.04,26.47,26.47,157702
11-Jul-14,26.49,26.99,26.38,26.65,55524
10-Jul-14,26.51,26.80,26.02,26.54,77644
9-Jul-14,26.66,26.86,26.36,26.66,91054
8-Jul-14,27.00,27.02,26.20,26.42,154397
7-Jul-14,27.61,27.61,27.04,27.05,107525
3-Jul-14,27.86,28.00,27.61,27.76,140382
2-Jul-14,26.73,28.32,26.72,27.85,284901
1-Jul-14,26.31,26.85,26.19,26.45,270185
30-Jun-14,25.40,25.89,25.40,25.77,61541
27-Jun-14,25.08,25.63,25.01,25.58,71142
26-Jun-14,24.73,25.34,24.58,25.25,51462
25-Jun-14,25.09,25.09,24.72,24.75,79263
24-Jun-14,25.43,25.43,24.96,24.97,83399
23-Jun-14,25.76,25.82,25.32,25.45,122695
20-Jun-14,25.89,25.89,25.41,25.44,68598
19-Jun-14,26.04,26.26,25.88,25.89,73172
18-Jun-14,26.24,26.37,25.94,25.98,161112
17-Jun-14,25.29,26.57,25.23,26.31,495207
16-Jun-14,24.47,24.75,24.41,24.67,140923
13-Jun-14,24.70,24.70,24.44,24.54,86470
12-Jun-14,24.59,24.85,24.57,24.73,81325
11-Jun-14,24.85,25.03,24.76,24.84,114688
10-Jun-14,24.78,24.99,24.78,24.93,156418
9-Jun-14,24.58,24.75,24.51,24.63,199774
6-Jun-14,24.68,24.78,24.31,24.32,66686
5-Jun-14,24.45,24.81,24.31,24.63,90049
4-Jun-14,24.44,24.44,24.20,24.34,110715
3-Jun-14,24.66,24.66,24.32,24.54,73894
2-Jun-14,24.65,24.65,24.46,24.57,149060
30-May-14,24.69,24.74,24.30,24.51,164525
29-May-14,24.99,25.00,24.77,24.84,105860
28-May-14,25.02,25.07,24.89,24.97,161379
27-May-14,25.68,25.69,25.02,25.07,359760
23-May-14,25.85,25.85,25.41,25.51,151054
22-May-14,25.85,26.10,25.72,25.90,290236
21-May-14,25.70,26.01,25.59,25.96,128346
20-May-14,25.68,25.95,25.48,25.74,115997
19-May-14,25.08,25.91,25.08,25.59,282180
16-May-14,26.00,26.05,25.18,25.28,238346
15-May-14,26.19,26.88,25.57,26.18,474675
14-May-14,24.64,26.99,24.07,26.45,965562
13-May-14,23.73,23.95,23.37,23.89,350427
12-May-14,22.85,23.69,22.85,23.66,162113
9-May-14,22.68,22.80,22.02,22.64,241905
8-May-14,23.48,23.54,22.59,22.59,238740
7-May-14,23.80,23.80,23.16,23.45,115747
6-May-14,23.62,23.89,23.55,23.66,131795
5-May-14,23.64,24.02,23.55,23.86,60431
2-May-14,23.71,23.96,23.53,23.81,73989
1-May-14,24.14,24.14,23.75,23.80,74523
30-Apr-14,24.00,24.07,23.85,23.95,87067
29-Apr-14,23.98,24.29,23.90,24.01,128423
28-Apr-14,23.85,24.12,23.52,24.00,141667
25-Apr-14,24.12,24.15,23.50,23.78,143975
24-Apr-14,24.69,24.69,23.94,24.14,145132
23-Apr-14,24.68,24.86,24.21,24.40,78524
22-Apr-14,24.54,25.09,24.43,24.60,179920
21-Apr-14,24.68,24.72,24.31,24.54,173612
17-Apr-14,24.18,24.66,23.76,24.44,100116
16-Apr-14,24.30,24.40,24.08,24.33,134590
15-Apr-14,24.39,24.59,23.75,24.22,128450
14-Apr-14,24.26,24.57,24.15,24.30,112256
11-Apr-14,24.48,24.84,23.89,24.07,159512
10-Apr-14,25.24,25.34,24.55,24.69,97799
9-Apr-14,25.08,25.36,24.90,25.28,121928
8-Apr-14,24.81,25.23,24.74,24.95,144744
7-Apr-14,24.74,25.15,24.40,24.86,186113
4-Apr-14,25.23,25.65,24.04,24.71,272246
3-Apr-14,25.73,25.85,25.16,25.16,139470
2-Apr-14,25.59,25.77,25.57,25.71,89552
1-Apr-14,25.42,25.59,25.32,25.51,114934
31-Mar-14,25.49,25.58,25.20,25.35,190478
28-Mar-14,25.68,26.14,25.15,25.38,115211
27-Mar-14,25.60,25.83,25.55,25.68,140064
26-Mar-14,26.57,26.60,25.40,25.49,233454
25-Mar-14,25.97,26.45,25.94,26.40,166683
24-Mar-14,25.89,25.89,25.20,25.66,129259
21-Mar-14,25.78,25.78,25.45,25.58,116537
20-Mar-14,25.44,25.88,25.44,25.75,71230
19-Mar-14,25.75,25.87,25.45,25.59,169021
18-Mar-14,25.62,26.00,25.55,25.65,259003
17-Mar-14,25.45,25.87,25.26,25.45,155803
14-Mar-14,25.65,25.96,25.33,25.46,120575
13-Mar-14,26.02,26.03,25.50,25.65,180619
12-Mar-14,25.41,26.34,25.21,25.88,187633
11-Mar-14,26.12,26.47,25.41,25.60,213297
10-Mar-14,26.49,26.51,25.96,26.14,156023
7-Mar-14,26.48,26.65,26.15,26.35,138779
6-Mar-14,27.29,27.29,26.46,26.52,150847
5-Mar-14,26.50,27.14,26.44,26.95,213315
4-Mar-14,26.56,26.89,26.31,26.58,135341
3-Mar-14,25.80,26.74,25.67,26.15,268325
28-Feb-14,26.72,27.00,25.73,26.09,273052
27-Feb-14,27.56,27.83,26.13,26.96,596542
26-Feb-14,25.16,29.12,25.10,29.07,685743
25-Feb-14,25.33,25.63,25.02,25.06,267604
24-Feb-14,25.05,25.38,25.04,25.21,157727
