Date,Open,High,Low,Close,Volume
23-Oct-14,9.75,10.10,9.74,9.89,611384
22-Oct-14,9.88,9.97,9.64,9.68,365935
21-Oct-14,9.97,10.01,9.75,9.90,436197
20-Oct-14,9.14,10.31,9.08,9.93,1197460
17-Oct-14,9.68,9.68,9.12,9.17,367814
16-Oct-14,9.35,9.59,9.10,9.55,447735
15-Oct-14,8.89,9.48,8.80,9.39,869399
14-Oct-14,8.85,9.04,8.68,8.95,584976
13-Oct-14,8.62,8.81,8.61,8.72,464147
10-Oct-14,8.66,8.85,8.57,8.65,674094
9-Oct-14,8.98,9.10,8.72,8.72,1606502
8-Oct-14,9.01,9.10,8.69,9.01,1015924
7-Oct-14,8.43,9.36,8.25,8.96,3544449
6-Oct-14,9.81,10.48,9.75,9.95,547293
3-Oct-14,10.14,10.14,9.76,9.79,347948
2-Oct-14,9.93,10.12,9.79,10.04,325763
1-Oct-14,9.90,10.24,9.79,9.92,480008
30-Sep-14,9.96,9.99,9.87,9.91,633299
29-Sep-14,9.88,9.99,9.78,9.93,454255
26-Sep-14,9.95,10.04,9.88,9.96,215524
25-Sep-14,10.12,10.18,9.76,9.93,404632
24-Sep-14,10.17,10.19,10.03,10.18,351942
23-Sep-14,10.26,10.38,10.09,10.12,297651
22-Sep-14,10.43,10.43,10.24,10.30,420622
19-Sep-14,10.70,10.86,10.46,10.48,1178616
18-Sep-14,10.95,10.99,10.66,10.69,501175
17-Sep-14,10.50,10.89,10.50,10.88,666309
16-Sep-14,10.33,10.63,10.31,10.45,501193
15-Sep-14,10.17,10.43,10.07,10.38,382027
12-Sep-14,10.37,10.39,10.09,10.20,297450
11-Sep-14,10.12,10.35,10.09,10.34,447248
10-Sep-14,10.18,10.26,10.03,10.15,315049
9-Sep-14,10.12,10.26,10.09,10.20,591821
8-Sep-14,10.23,10.27,10.03,10.12,483690
5-Sep-14,10.30,10.38,10.22,10.29,325431
4-Sep-14,10.78,10.78,10.26,10.40,659374
3-Sep-14,10.74,10.90,10.67,10.74,397954
2-Sep-14,10.64,10.79,10.49,10.68,541429
29-Aug-14,10.52,10.66,10.43,10.63,346117
28-Aug-14,10.41,10.64,10.34,10.51,294665
27-Aug-14,10.58,10.70,10.43,10.48,329296
26-Aug-14,10.50,10.64,10.41,10.59,368741
25-Aug-14,10.59,10.71,10.38,10.50,302867
22-Aug-14,10.70,10.80,10.52,10.58,230975
21-Aug-14,10.72,10.79,10.60,10.70,272268
20-Aug-14,10.82,10.96,10.62,10.74,510203
19-Aug-14,10.49,10.79,10.43,10.75,805934
18-Aug-14,10.15,10.42,10.10,10.41,497148
15-Aug-14,9.97,10.22,9.79,10.04,1353684
14-Aug-14,9.83,9.98,9.72,9.80,595068
13-Aug-14,9.71,9.87,9.65,9.78,452321
12-Aug-14,9.74,9.79,9.60,9.70,418584
11-Aug-14,9.74,9.86,9.68,9.75,330017
8-Aug-14,9.66,9.82,9.54,9.70,412651
7-Aug-14,9.65,9.72,9.48,9.65,555589
6-Aug-14,9.44,9.70,9.44,9.59,429928
5-Aug-14,9.50,9.72,9.39,9.51,366995
4-Aug-14,9.35,9.55,9.31,9.51,864794
1-Aug-14,9.77,9.80,9.29,9.31,1022779
31-Jul-14,9.70,9.95,9.66,9.79,1154512
30-Jul-14,9.78,10.31,9.75,9.95,1191319
29-Jul-14,9.54,9.84,9.48,9.74,716653
28-Jul-14,9.56,9.69,9.42,9.51,858023
25-Jul-14,9.75,9.75,9.50,9.55,384431
24-Jul-14,9.68,9.98,9.67,9.77,1096916
23-Jul-14,9.52,9.72,9.49,9.66,1330884
22-Jul-14,9.76,9.83,9.43,9.53,2209704
21-Jul-14,10.20,10.28,9.50,9.76,4699924
18-Jul-14,11.02,11.15,10.97,11.12,427388
17-Jul-14,11.04,11.20,10.99,11.06,695950
16-Jul-14,11.17,11.17,10.99,11.09,386082
15-Jul-14,11.12,11.22,10.98,11.10,447629
14-Jul-14,11.19,11.30,11.00,11.11,576057
11-Jul-14,11.25,11.34,10.97,11.20,824403
10-Jul-14,11.36,11.57,11.29,11.31,726237
9-Jul-14,11.60,11.74,11.51,11.58,340081
8-Jul-14,11.63,11.70,11.56,11.59,761982
7-Jul-14,11.73,11.74,11.59,11.68,566099
3-Jul-14,11.73,11.86,11.57,11.74,706427
2-Jul-14,11.72,11.83,11.60,11.65,339697
1-Jul-14,11.56,11.80,11.51,11.67,918700
30-Jun-14,11.49,11.61,11.33,11.55,626360
27-Jun-14,11.47,11.57,11.39,11.47,786317
26-Jun-14,11.63,11.66,11.42,11.53,296167
25-Jun-14,11.34,11.66,11.24,11.60,1311746
24-Jun-14,11.77,11.91,11.30,11.45,1159915
23-Jun-14,11.66,11.76,11.32,11.55,1026603
20-Jun-14,11.63,11.71,11.45,11.60,1159251
19-Jun-14,11.61,11.75,11.50,11.58,1902402
18-Jun-14,11.90,11.84,11.43,11.61,9026567
17-Jun-14,12.39,12.64,11.72,11.90,1137096
16-Jun-14,12.26,12.50,12.09,12.43,182613
13-Jun-14,12.36,12.46,12.05,12.30,276417
12-Jun-14,12.71,12.76,12.13,12.38,343847
11-Jun-14,12.64,12.96,12.51,12.68,219531
10-Jun-14,12.74,12.83,12.64,12.67,167151
9-Jun-14,12.65,12.85,12.49,12.76,179538
6-Jun-14,12.43,12.78,12.35,12.68,281700
5-Jun-14,12.16,12.44,11.92,12.34,240456
4-Jun-14,11.83,12.11,11.83,12.08,209152
3-Jun-14,12.21,12.24,11.86,11.90,355862
2-Jun-14,12.20,12.40,12.03,12.29,243327
30-May-14,12.48,12.51,12.07,12.22,383269
29-May-14,12.57,12.57,12.35,12.48,237830
28-May-14,12.54,12.70,12.43,12.49,315307
27-May-14,12.51,12.61,12.29,12.61,382447
23-May-14,13.03,13.08,12.41,12.48,507892
22-May-14,12.31,12.97,12.27,12.89,760582
21-May-14,10.45,12.48,10.45,12.45,1355907
20-May-14,10.55,10.56,10.32,10.46,390778
19-May-14,10.53,10.68,10.50,10.59,290916
16-May-14,10.45,10.61,10.32,10.59,343202
15-May-14,10.54,10.58,10.30,10.47,376173
14-May-14,11.04,11.08,10.60,10.60,404071
13-May-14,11.16,11.21,10.87,11.08,338760
12-May-14,10.70,11.31,10.70,11.20,684822
9-May-14,10.40,10.77,10.27,10.68,251855
8-May-14,10.37,10.82,10.32,10.44,282055
7-May-14,10.45,10.45,10.23,10.37,380329
6-May-14,10.52,10.61,10.38,10.41,317984
5-May-14,10.71,10.75,10.47,10.57,370127
2-May-14,10.62,10.96,10.62,10.76,387298
1-May-14,10.38,10.70,10.22,10.60,534746
30-Apr-14,10.97,11.04,9.80,10.43,1527985
29-Apr-14,11.11,11.22,11.00,11.08,376577
28-Apr-14,11.14,11.16,10.91,11.04,624479
25-Apr-14,10.99,11.17,10.90,11.12,347978
24-Apr-14,11.01,11.25,10.97,11.00,267763
23-Apr-14,11.16,11.37,11.00,11.00,355808
22-Apr-14,11.07,11.21,11.02,11.14,308247
21-Apr-14,11.05,11.19,10.98,11.08,280054
17-Apr-14,11.04,11.14,10.96,11.00,290058
16-Apr-14,11.10,11.17,11.00,11.02,338475
15-Apr-14,11.23,11.24,10.91,11.05,425214
14-Apr-14,11.25,11.34,11.01,11.16,360807
11-Apr-14,11.09,11.26,10.90,11.11,456706
10-Apr-14,10.99,11.47,10.72,11.22,901825
9-Apr-14,10.68,10.80,10.52,10.74,319604
8-Apr-14,10.84,10.87,10.50,10.63,515085
7-Apr-14,10.84,10.88,10.54,10.63,727524
4-Apr-14,11.24,11.40,10.82,10.93,393696
3-Apr-14,11.60,11.64,11.16,11.16,437261
2-Apr-14,11.28,11.56,11.22,11.54,572800
1-Apr-14,10.80,11.30,10.80,11.19,486709
31-Mar-14,10.94,11.06,10.76,10.79,352466
28-Mar-14,10.79,11.13,10.69,10.84,251832
27-Mar-14,10.70,11.06,10.55,10.80,356504
26-Mar-14,11.25,11.52,10.58,10.70,814853
25-Mar-14,11.47,11.69,11.17,11.18,402984
24-Mar-14,12.23,12.53,10.89,11.37,1262491
21-Mar-14,12.22,12.40,12.16,12.23,784314
20-Mar-14,12.22,12.36,12.15,12.21,270926
19-Mar-14,12.47,12.59,12.24,12.27,378435
18-Mar-14,12.22,12.56,12.22,12.44,402629
17-Mar-14,12.11,12.24,12.02,12.19,359822
14-Mar-14,12.21,12.48,12.07,12.12,502104
13-Mar-14,12.84,13.11,12.14,12.29,672513
12-Mar-14,12.74,12.88,12.73,12.80,263738
11-Mar-14,12.93,13.08,12.74,12.82,243928
10-Mar-14,13.04,13.21,12.71,12.90,417217
7-Mar-14,12.85,13.41,12.85,13.05,506435
6-Mar-14,12.90,13.08,12.75,12.82,345439
5-Mar-14,12.67,12.99,12.56,12.89,437075
4-Mar-14,12.41,12.99,12.41,12.72,461676
3-Mar-14,12.50,12.52,12.11,12.27,461450
28-Feb-14,12.57,12.84,12.46,12.64,572073
27-Feb-14,12.33,12.60,12.15,12.55,389395
26-Feb-14,12.71,12.86,12.10,12.32,633658
25-Feb-14,12.92,13.09,12.58,12.69,403776
24-Feb-14,12.61,13.26,12.50,12.94,745364
21-Feb-14,12.22,12.62,12.15,12.55,626347
20-Feb-14,12.70,12.83,12.01,12.18,1195618
19-Feb-14,13.01,13.05,12.72,12.73,404636
18-Feb-14,13.15,13.24,12.84,13.11,434406
14-Feb-14,13.34,13.55,12.96,13.15,577908
13-Feb-14,12.36,13.39,12.25,13.31,762405
12-Feb-14,12.61,12.80,12.15,12.43,746907
11-Feb-14,12.23,12.87,12.10,12.62,1177924
10-Feb-14,11.37,12.49,11.31,12.11,1359816
7-Feb-14,11.38,11.44,11.08,11.33,414381
6-Feb-14,11.03,11.41,10.91,11.31,464438
5-Feb-14,11.06,11.15,10.82,10.98,767602
4-Feb-14,11.07,11.30,10.97,11.08,800517
3-Feb-14,11.35,11.37,10.92,11.00,824773
31-Jan-14,11.12,11.25,10.97,10.98,653059
30-Jan-14,11.14,11.72,11.01,11.29,988965
29-Jan-14,11.16,11.88,10.71,11.25,4563427
28-Jan-14,9.93,10.00,9.22,9.35,1182051
27-Jan-14,10.10,10.27,9.86,9.93,776341
24-Jan-14,10.16,10.34,10.06,10.10,517859
