Date,Open,High,Low,Close,Volume
23-Oct-14,27.73,27.89,27.10,27.45,38401
22-Oct-14,27.47,27.95,27.20,27.38,50957
21-Oct-14,27.82,27.98,27.16,27.49,61827
20-Oct-14,28.17,28.58,26.97,27.50,61423
17-Oct-14,28.50,29.00,28.18,28.46,49700
16-Oct-14,27.64,28.23,27.20,28.00,24965
15-Oct-14,27.48,28.47,27.48,28.23,29779
14-Oct-14,28.06,28.20,27.18,27.90,45196
13-Oct-14,27.56,28.42,26.42,28.00,59684
10-Oct-14,26.91,27.87,26.74,27.37,18719
9-Oct-14,27.95,27.95,26.66,27.06,27205
8-Oct-14,27.48,27.95,27.01,27.88,32372
7-Oct-14,28.04,28.13,27.35,27.40,28961
6-Oct-14,28.18,28.60,27.75,28.14,47417
3-Oct-14,28.04,28.27,27.93,28.21,47441
2-Oct-14,28.39,29.06,27.46,27.75,56629
1-Oct-14,29.00,29.00,27.75,28.30,71601
30-Sep-14,28.81,29.10,28.53,28.95,83206
29-Sep-14,27.35,28.97,26.54,28.74,142637
26-Sep-14,25.04,27.57,25.04,27.45,106026
25-Sep-14,24.82,25.73,24.80,25.02,39530
24-Sep-14,23.79,25.06,23.79,24.96,68608
23-Sep-14,23.79,23.95,23.50,23.65,39434
22-Sep-14,23.93,24.24,23.50,23.89,48369
19-Sep-14,24.57,24.86,24.05,24.13,116382
18-Sep-14,24.52,24.71,24.09,24.47,24408
17-Sep-14,23.89,24.32,23.78,23.94,23254
16-Sep-14,23.43,24.01,23.43,23.93,26531
15-Sep-14,23.95,24.08,23.07,23.41,51053
12-Sep-14,24.73,24.73,23.40,23.87,77230
11-Sep-14,23.30,25.11,22.96,24.93,33406
10-Sep-14,23.57,24.29,22.14,24.02,136206
9-Sep-14,25.00,25.45,24.30,24.64,88876
8-Sep-14,25.43,25.77,24.99,25.44,43856
5-Sep-14,25.28,25.96,25.11,25.36,28057
4-Sep-14,25.45,26.32,25.18,25.29,41885
3-Sep-14,24.18,25.44,23.90,25.35,57464
2-Sep-14,23.53,24.11,23.35,24.00,33612
29-Aug-14,23.02,23.57,22.96,23.37,23092
28-Aug-14,23.02,23.37,22.81,22.99,20235
27-Aug-14,22.84,23.41,22.84,23.02,21751
26-Aug-14,22.41,22.90,22.41,22.90,16454
25-Aug-14,22.00,22.66,21.55,22.49,33861
22-Aug-14,21.86,22.20,21.61,22.01,22050
21-Aug-14,22.00,22.17,21.77,21.80,17060
20-Aug-14,21.97,22.14,21.75,21.90,7981
19-Aug-14,21.94,22.13,21.61,22.01,24118
18-Aug-14,22.00,22.00,21.69,21.99,19577
15-Aug-14,21.96,21.99,21.51,21.77,29858
14-Aug-14,21.69,21.87,21.60,21.78,21326
13-Aug-14,21.39,21.76,21.17,21.58,12884
12-Aug-14,21.75,21.93,21.06,21.42,17689
11-Aug-14,21.71,21.85,21.47,21.75,15531
8-Aug-14,21.53,21.67,21.01,21.55,30202
7-Aug-14,21.40,21.87,21.25,21.55,14866
6-Aug-14,20.75,21.87,20.75,21.31,43018
5-Aug-14,20.34,21.12,20.29,20.81,17483
4-Aug-14,20.46,20.74,20.32,20.49,29991
1-Aug-14,20.45,20.71,20.29,20.39,27644
31-Jul-14,20.91,21.16,20.40,20.47,43082
30-Jul-14,21.29,21.42,21.08,21.20,10659
29-Jul-14,21.30,21.46,21.08,21.16,12163
28-Jul-14,21.41,21.49,21.10,21.24,16777
25-Jul-14,21.72,21.81,21.40,21.40,19466
24-Jul-14,22.04,22.04,21.85,21.85,19254
23-Jul-14,22.14,22.14,21.85,21.94,12955
22-Jul-14,22.03,22.22,21.84,22.04,23368
21-Jul-14,22.14,22.48,21.95,21.98,22974
18-Jul-14,22.00,22.45,22.00,22.27,20063
17-Jul-14,22.00,22.11,21.95,22.01,23125
16-Jul-14,22.24,22.24,22.05,22.05,22951
15-Jul-14,22.08,22.22,22.00,22.05,27922
14-Jul-14,22.46,22.48,22.01,22.02,13809
11-Jul-14,21.91,22.41,21.91,22.22,12905
10-Jul-14,21.67,22.13,21.67,22.00,25984
9-Jul-14,22.03,22.07,22.00,22.06,9418
8-Jul-14,21.83,22.15,20.90,22.00,44342
7-Jul-14,21.99,22.36,21.81,22.03,28669
3-Jul-14,21.76,22.45,21.76,22.28,13181
2-Jul-14,21.71,21.83,21.62,21.72,15981
1-Jul-14,21.58,21.83,21.58,21.62,28442
30-Jun-14,21.60,21.72,21.49,21.61,37063
27-Jun-14,21.24,21.89,21.24,21.58,173170
26-Jun-14,21.52,21.58,21.25,21.37,20101
25-Jun-14,21.25,21.64,21.16,21.58,20123
24-Jun-14,21.31,21.92,21.20,21.25,29732
23-Jun-14,21.22,21.51,21.13,21.27,29498
20-Jun-14,20.77,21.38,20.47,21.27,79438
19-Jun-14,20.61,21.00,20.50,20.69,17549
18-Jun-14,20.05,20.60,20.05,20.59,16419
17-Jun-14,20.56,20.91,20.42,20.69,26586
16-Jun-14,19.40,20.66,19.40,20.62,30141
13-Jun-14,19.43,19.60,19.43,19.52,25187
12-Jun-14,19.38,19.71,19.01,19.42,15366
11-Jun-14,19.14,19.65,18.81,19.51,24715
10-Jun-14,19.24,19.46,18.80,19.19,18884
9-Jun-14,19.87,20.21,19.18,19.22,28755
6-Jun-14,20.11,20.13,19.78,19.98,27235
5-Jun-14,19.39,20.22,19.34,20.08,38004
4-Jun-14,18.60,19.48,18.05,19.43,122864
3-Jun-14,19.83,20.00,18.41,18.68,89311
2-Jun-14,19.80,20.19,18.17,19.96,82325
30-May-14,19.93,20.03,19.75,19.82,25885
29-May-14,19.82,20.84,19.78,19.88,14648
28-May-14,19.85,20.06,19.75,19.85,14228
27-May-14,19.91,20.06,19.75,19.97,22965
23-May-14,19.66,19.81,19.56,19.73,25475
22-May-14,19.91,20.02,19.74,19.78,17016
21-May-14,20.03,20.13,19.86,19.95,66414
20-May-14,20.56,20.88,20.05,20.20,35739
19-May-14,20.78,21.01,20.23,20.61,20698
16-May-14,20.80,21.03,20.32,20.80,30057
15-May-14,20.71,21.00,20.15,20.73,97379
14-May-14,21.10,21.17,20.60,20.75,49206
13-May-14,21.31,21.35,20.88,21.10,72170
12-May-14,20.26,21.70,19.90,21.46,67209
9-May-14,18.68,20.25,18.59,20.24,85471
8-May-14,19.84,20.15,18.88,19.06,32062
7-May-14,19.86,20.12,19.75,19.76,30964
6-May-14,20.36,20.61,19.77,19.78,20841
5-May-14,19.83,20.72,19.82,20.59,23205
2-May-14,19.95,20.24,19.75,19.87,37611
1-May-14,19.68,20.00,19.31,19.97,53325
30-Apr-14,21.19,21.19,19.52,19.71,29853
29-Apr-14,20.41,20.47,20.03,20.15,18777
28-Apr-14,20.24,20.50,19.85,20.25,16224
25-Apr-14,21.01,21.02,19.89,20.12,41474
24-Apr-14,20.80,21.65,20.59,21.04,52707
23-Apr-14,20.85,21.23,20.61,20.78,38654
22-Apr-14,19.63,21.25,19.63,20.97,39987
21-Apr-14,19.82,20.25,19.82,20.04,17575
17-Apr-14,19.04,20.14,18.98,19.87,33983
16-Apr-14,19.03,19.21,19.00,19.11,8162
15-Apr-14,18.93,19.00,18.48,18.96,37617
14-Apr-14,18.90,19.11,18.66,18.90,35017
11-Apr-14,19.00,19.32,18.66,18.83,30664
10-Apr-14,19.44,19.56,19.00,19.00,55376
9-Apr-14,19.06,19.50,19.02,19.47,43232
8-Apr-14,18.98,19.09,18.64,18.95,36878
7-Apr-14,19.11,19.25,18.64,18.82,51108
4-Apr-14,19.27,19.28,19.06,19.11,50982
3-Apr-14,19.72,19.72,19.00,19.30,49715
2-Apr-14,20.19,20.19,19.65,19.79,28005
1-Apr-14,19.81,20.24,19.68,20.13,40823
31-Mar-14,20.40,20.40,19.45,19.70,77415
28-Mar-14,20.72,21.03,20.23,20.35,23212
27-Mar-14,20.65,20.77,20.27,20.56,19920
26-Mar-14,20.83,21.02,20.49,20.59,34457
25-Mar-14,20.40,20.78,20.02,20.69,33429
24-Mar-14,20.99,21.26,20.29,20.40,101700
21-Mar-14,21.07,21.34,20.67,20.86,108332
20-Mar-14,20.63,21.36,20.58,20.97,33083
19-Mar-14,20.98,21.00,20.56,20.72,92795
18-Mar-14,20.63,21.00,20.56,20.96,22329
17-Mar-14,20.56,20.99,20.26,20.74,36198
14-Mar-14,20.75,20.85,19.91,20.71,34618
13-Mar-14,20.80,21.01,20.00,20.74,38422
12-Mar-14,20.38,20.90,20.30,20.61,25035
11-Mar-14,21.03,21.03,20.17,20.56,29500
10-Mar-14,20.66,21.24,20.58,21.09,20671
7-Mar-14,20.92,21.05,20.44,20.76,23260
6-Mar-14,20.91,21.05,20.15,20.85,31595
5-Mar-14,20.69,21.00,20.54,20.90,27640
4-Mar-14,20.87,22.00,20.68,20.80,137057
3-Mar-14,21.00,21.06,20.30,20.59,91785
28-Feb-14,21.45,21.45,21.00,21.08,72933
27-Feb-14,21.76,21.76,21.28,21.39,49894
26-Feb-14,21.77,21.99,21.38,21.75,37131
25-Feb-14,22.00,22.00,21.56,21.73,37150
24-Feb-14,21.17,22.00,21.06,21.96,87653
21-Feb-14,21.25,21.30,21.00,21.06,36836
20-Feb-14,21.32,21.37,21.07,21.21,63340
19-Feb-14,21.92,21.95,20.69,21.32,95245
18-Feb-14,20.98,22.39,20.98,21.94,84872
14-Feb-14,20.88,21.00,20.58,20.98,59042
13-Feb-14,21.30,21.64,20.74,21.00,144606
12-Feb-14,21.23,22.00,21.21,21.61,60985
11-Feb-14,20.70,23.23,20.08,21.16,142562
10-Feb-14,20.25,20.25,19.84,20.04,100325
7-Feb-14,20.17,21.04,20.01,20.16,55730
6-Feb-14,19.99,20.44,19.85,20.13,54975
5-Feb-14,20.52,20.52,19.45,19.97,64070
4-Feb-14,21.08,21.10,20.47,20.49,40076
3-Feb-14,21.84,21.84,20.52,20.86,63116
31-Jan-14,21.75,22.32,21.51,21.63,79906
30-Jan-14,22.09,22.42,21.88,22.15,16221
29-Jan-14,21.85,22.33,21.50,22.00,34690
28-Jan-14,22.10,22.67,21.65,22.01,38120
27-Jan-14,23.81,23.86,22.00,22.31,61705
24-Jan-14,23.61,23.85,23.50,23.82,43978
23-Jan-14,23.50,23.93,23.40,23.70,66559
22-Jan-14,23.86,24.28,23.75,23.89,86935
21-Jan-14,23.05,23.96,22.81,23.73,45894
17-Jan-14,22.69,22.97,22.51,22.89,29479
16-Jan-14,22.34,22.79,21.95,22.68,16522
15-Jan-14,23.00,23.10,22.23,22.43,18537
14-Jan-14,22.79,23.21,22.79,23.02,24091
13-Jan-14,22.50,23.23,22.36,22.76,43135
10-Jan-14,21.66,22.64,20.95,22.52,67559
9-Jan-14,22.36,22.52,21.93,21.96,43641
8-Jan-14,22.45,22.53,21.93,22.36,59040
7-Jan-14,21.50,22.60,19.83,22.53,271242
6-Jan-14,22.69,22.69,21.48,21.53,42437
3-Jan-14,22.59,22.81,22.25,22.69,27436
2-Jan-14,23.09,23.13,22.37,22.72,32732
31-Dec-13,23.59,23.59,23.26,23.26,32040
30-Dec-13,23.98,24.32,23.30,23.59,46494
27-Dec-13,23.87,24.10,23.41,24.07,67751
26-Dec-13,23.39,23.79,23.05,23.68,32787
24-Dec-13,23.35,24.07,23.20,23.20,13834
23-Dec-13,22.23,23.45,21.75,23.25,34255
20-Dec-13,21.90,22.96,21.73,22.00,95005
19-Dec-13,21.52,21.86,21.40,21.73,47721
18-Dec-13,21.85,21.98,21.13,21.49,37589
17-Dec-13,21.80,22.04,21.75,21.84,33285
16-Dec-13,21.42,21.99,21.42,21.85,26024
13-Dec-13,21.36,21.65,21.21,21.32,20808
12-Dec-13,21.45,21.82,21.11,21.33,33156
11-Dec-13,21.82,21.97,21.20,21.41,46805
