Date,Open,High,Low,Close,Volume
23-Oct-14,51.18,52.31,50.32,51.93,95432
22-Oct-14,51.72,52.03,50.53,50.64,85881
21-Oct-14,50.44,51.75,49.91,51.65,120824
20-Oct-14,49.44,50.27,49.09,50.12,121383
17-Oct-14,51.60,51.60,48.99,49.55,231221
16-Oct-14,50.21,52.45,49.71,50.84,126152
15-Oct-14,48.42,51.08,48.42,51.04,107055
14-Oct-14,48.62,50.14,48.62,49.11,137052
13-Oct-14,48.10,49.33,47.31,48.19,176476
10-Oct-14,48.16,49.55,48.02,48.14,162862
9-Oct-14,49.53,49.53,47.64,48.42,139531
8-Oct-14,48.63,49.82,47.70,49.69,136553
7-Oct-14,48.75,49.81,48.47,48.83,210214
6-Oct-14,50.48,50.48,48.92,49.19,61616
3-Oct-14,50.44,51.36,50.16,50.20,87926
2-Oct-14,49.02,50.18,48.00,49.95,145411
1-Oct-14,50.55,50.55,48.89,49.08,116873
30-Sep-14,51.65,51.99,50.30,50.75,166155
29-Sep-14,52.04,53.08,51.54,51.75,82735
26-Sep-14,52.57,53.53,52.20,52.78,106462
25-Sep-14,53.72,54.82,51.35,52.32,122845
24-Sep-14,51.55,53.05,50.37,52.71,70453
23-Sep-14,52.76,52.81,50.95,51.30,162963
22-Sep-14,52.56,53.51,51.65,53.00,166352
19-Sep-14,54.88,54.88,52.88,52.96,156528
18-Sep-14,54.68,54.99,54.04,54.60,162746
17-Sep-14,54.39,55.00,53.72,54.48,169030
16-Sep-14,54.14,55.63,52.64,54.26,137970
15-Sep-14,54.87,55.28,53.37,54.46,144469
12-Sep-14,55.96,55.96,54.00,54.65,82909
11-Sep-14,55.00,56.23,54.99,55.80,64004
10-Sep-14,55.08,55.75,54.46,55.48,53397
9-Sep-14,55.93,55.93,54.53,54.84,84641
8-Sep-14,56.48,56.78,55.39,55.97,125963
5-Sep-14,57.57,57.97,56.29,56.73,88235
4-Sep-14,57.95,58.84,57.57,57.79,111235
3-Sep-14,58.45,58.47,57.23,57.77,58543
2-Sep-14,58.41,59.00,57.78,58.04,80606
29-Aug-14,57.34,58.13,57.03,58.01,81752
28-Aug-14,57.17,57.42,56.49,57.25,55613
27-Aug-14,58.88,58.93,57.17,57.70,130700
26-Aug-14,57.43,59.14,57.14,58.93,135755
25-Aug-14,59.25,59.33,56.81,57.08,113283
22-Aug-14,56.50,59.35,55.99,58.73,280526
21-Aug-14,55.95,56.37,55.15,56.33,63302
20-Aug-14,55.72,56.23,54.91,56.03,81309
19-Aug-14,53.85,56.00,53.62,55.94,147433
18-Aug-14,52.37,53.79,52.17,53.65,96050
15-Aug-14,52.97,52.97,51.28,51.82,84796
14-Aug-14,52.36,52.68,51.52,52.39,93783
13-Aug-14,51.93,52.85,51.34,52.29,121670
12-Aug-14,52.49,52.67,51.46,51.70,79447
11-Aug-14,51.99,53.61,51.49,52.78,101289
8-Aug-14,51.43,51.89,51.19,51.81,67864
7-Aug-14,52.12,52.25,50.60,51.23,69737
6-Aug-14,50.72,52.34,50.48,51.98,183889
5-Aug-14,50.44,52.47,50.37,51.20,87122
4-Aug-14,49.51,50.93,48.38,50.79,223160
1-Aug-14,50.71,51.13,48.78,49.28,121167
31-Jul-14,51.33,53.00,50.23,50.63,150376
30-Jul-14,48.23,52.25,48.23,52.05,226630
29-Jul-14,45.25,47.01,44.52,46.60,180458
28-Jul-14,45.98,45.98,44.70,45.26,78740
25-Jul-14,45.86,46.57,45.35,45.90,80489
24-Jul-14,46.11,47.45,45.88,46.26,115958
23-Jul-14,46.72,46.80,45.99,46.44,96637
22-Jul-14,46.10,47.06,45.61,46.65,113252
21-Jul-14,45.99,46.71,44.92,45.74,131037
18-Jul-14,44.52,46.60,44.52,46.29,141118
17-Jul-14,45.33,45.79,44.56,44.69,105432
16-Jul-14,46.60,46.60,45.25,45.60,64959
15-Jul-14,47.00,47.45,45.61,46.27,82282
14-Jul-14,47.56,48.06,46.36,46.88,98802
11-Jul-14,47.54,47.78,46.70,47.00,103788
10-Jul-14,47.29,48.15,46.85,47.60,107104
9-Jul-14,47.74,48.97,47.43,48.44,133989
8-Jul-14,48.36,48.79,46.64,47.56,157009
7-Jul-14,50.18,50.63,48.36,48.58,152779
3-Jul-14,49.75,50.76,49.30,50.51,76098
2-Jul-14,49.99,50.52,48.96,49.46,116855
1-Jul-14,49.25,50.83,49.25,50.11,92798
30-Jun-14,48.68,49.18,48.28,49.12,124250
27-Jun-14,48.05,49.10,47.82,48.92,151327
26-Jun-14,49.08,49.33,47.56,48.32,83054
25-Jun-14,47.94,49.20,47.84,48.87,129711
24-Jun-14,48.03,48.75,47.33,48.24,175025
23-Jun-14,47.44,48.22,46.58,47.96,136666
20-Jun-14,47.38,47.41,46.53,47.28,166645
19-Jun-14,47.70,48.73,46.87,47.10,125281
18-Jun-14,46.46,47.75,46.21,47.65,127967
17-Jun-14,44.99,46.54,44.63,46.47,114216
16-Jun-14,44.41,45.38,43.89,45.12,89872
13-Jun-14,44.41,44.75,43.79,44.59,106603
12-Jun-14,44.78,45.57,44.25,44.37,109318
11-Jun-14,44.20,45.33,44.20,45.08,95676
10-Jun-14,45.00,45.10,44.10,44.48,98951
9-Jun-14,44.82,45.12,44.29,45.03,186400
6-Jun-14,45.10,45.43,44.69,44.98,141121
5-Jun-14,44.21,45.99,44.21,44.90,311175
4-Jun-14,43.46,43.89,42.50,42.83,123782
3-Jun-14,42.49,43.84,42.49,43.44,151596
2-Jun-14,42.94,43.79,42.23,42.61,100913
30-May-14,42.55,43.33,42.07,42.52,59334
29-May-14,42.63,42.99,41.67,42.42,75471
28-May-14,43.07,43.16,41.65,42.51,102043
27-May-14,42.69,43.71,42.47,43.26,82181
23-May-14,41.58,42.40,41.42,42.27,47444
22-May-14,41.59,41.88,40.92,41.52,63646
21-May-14,40.98,41.40,39.90,41.34,138225
20-May-14,41.95,41.95,40.51,40.96,119567
19-May-14,42.24,42.82,41.25,42.19,48615
16-May-14,41.15,42.40,40.59,42.28,122765
15-May-14,41.88,41.98,40.42,41.17,100139
14-May-14,43.00,43.14,41.74,41.98,119463
13-May-14,43.34,43.34,42.24,42.70,134498
12-May-14,42.25,43.86,42.25,43.33,95582
9-May-14,40.32,42.15,40.07,42.10,174067
8-May-14,40.21,41.48,40.21,40.50,130669
7-May-14,40.95,41.62,39.96,40.44,170923
6-May-14,42.14,42.14,40.17,40.95,236834
5-May-14,43.32,43.32,41.76,42.21,122982
2-May-14,43.56,44.92,42.79,43.84,163814
1-May-14,40.93,44.93,40.42,43.59,398755
30-Apr-14,46.64,46.97,39.75,39.90,513696
29-Apr-14,48.55,48.91,46.90,47.23,90066
28-Apr-14,47.85,49.10,46.56,48.27,156528
25-Apr-14,48.37,49.29,46.97,47.82,117038
24-Apr-14,49.12,49.12,47.50,48.71,119796
23-Apr-14,49.23,49.68,48.78,48.94,61912
22-Apr-14,48.63,49.90,47.68,49.32,73906
21-Apr-14,49.08,49.99,47.89,48.70,73463
17-Apr-14,48.42,49.75,48.12,49.14,74401
16-Apr-14,48.69,48.96,47.39,48.42,70675
15-Apr-14,48.00,48.69,46.11,48.24,136970
14-Apr-14,49.04,49.04,47.07,47.86,67056
11-Apr-14,47.46,49.19,46.97,48.43,142055
10-Apr-14,50.90,51.04,47.24,47.73,150476
9-Apr-14,50.30,51.36,49.79,51.00,57594
8-Apr-14,49.55,50.92,48.30,50.10,174264
7-Apr-14,51.39,51.44,49.11,49.51,157510
4-Apr-14,53.93,54.22,51.49,51.73,114276
3-Apr-14,54.28,54.84,53.32,53.65,79714
2-Apr-14,54.17,54.45,53.17,54.24,80601
1-Apr-14,52.96,54.20,52.56,53.90,131300
31-Mar-14,51.33,53.27,51.28,53.00,96930
28-Mar-14,51.45,52.70,50.83,51.03,86184
27-Mar-14,51.42,51.80,50.58,51.40,53602
26-Mar-14,53.81,54.38,51.28,51.29,88271
25-Mar-14,53.62,53.92,52.80,53.38,61484
24-Mar-14,54.01,54.45,52.13,53.24,73381
21-Mar-14,54.07,55.09,53.51,53.96,152159
20-Mar-14,53.43,54.60,53.12,53.94,102218
19-Mar-14,53.27,53.83,52.81,53.62,125994
18-Mar-14,52.38,53.68,52.24,53.28,63340
17-Mar-14,51.60,52.41,51.60,52.25,174141
14-Mar-14,51.06,52.37,50.81,51.39,72592
13-Mar-14,53.70,53.78,50.96,51.47,131643
12-Mar-14,53.75,54.13,53.28,53.64,110604
11-Mar-14,56.69,56.69,54.63,54.70,118693
10-Mar-14,56.62,57.23,55.93,56.79,151593
7-Mar-14,57.70,57.74,56.62,56.93,89534
6-Mar-14,57.32,58.20,57.19,57.69,120736
5-Mar-14,58.22,58.32,57.68,57.70,110709
4-Mar-14,57.03,59.17,57.00,58.45,159804
3-Mar-14,57.04,57.73,56.14,56.70,110964
28-Feb-14,57.03,58.55,56.67,57.54,189130
27-Feb-14,57.29,59.90,56.14,57.00,334323
26-Feb-14,55.93,57.46,55.54,57.30,158596
25-Feb-14,56.33,56.64,55.55,55.82,103268
24-Feb-14,57.09,57.29,55.35,55.91,134817
21-Feb-14,55.96,57.25,55.05,56.90,190906
20-Feb-14,55.17,55.86,55.09,55.67,94615
19-Feb-14,55.34,56.81,55.06,55.27,144971
18-Feb-14,54.25,57.12,54.25,55.68,223678
14-Feb-14,51.74,54.30,51.74,54.25,220108
13-Feb-14,50.56,51.97,50.38,51.92,121009
12-Feb-14,50.51,51.76,50.32,50.94,185739
11-Feb-14,49.49,50.90,49.39,50.28,92507
10-Feb-14,48.88,50.05,48.70,49.33,140798
7-Feb-14,49.80,50.75,48.77,48.97,151277
6-Feb-14,49.33,50.99,48.86,49.75,113678
5-Feb-14,49.67,49.94,48.74,49.23,89162
4-Feb-14,49.66,50.57,49.24,49.94,98518
