Date,Open,High,Low,Close,Volume
23-Oct-14,4.75,4.76,4.17,4.23,46385
22-Oct-14,4.71,4.99,4.56,4.73,36630
21-Oct-14,4.40,4.64,4.40,4.62,12474
20-Oct-14,4.51,4.53,4.40,4.41,2550
17-Oct-14,4.56,4.68,4.51,4.53,4078
16-Oct-14,4.71,4.71,4.50,4.61,6569
15-Oct-14,4.79,4.96,4.76,4.76,15218
14-Oct-14,5.23,5.26,4.63,4.92,27423
13-Oct-14,5.03,5.16,5.02,5.05,2063
10-Oct-14,5.01,5.31,5.01,5.23,8223
9-Oct-14,5.03,5.30,5.03,5.28,7028
8-Oct-14,5.00,5.15,5.00,5.14,890
7-Oct-14,5.27,5.28,5.00,5.08,60386
6-Oct-14,5.07,5.30,5.00,5.30,22683
3-Oct-14,5.07,5.19,5.07,5.19,600
2-Oct-14,5.08,5.18,5.08,5.08,3142
1-Oct-14,5.10,5.32,5.07,5.07,3563
30-Sep-14,5.30,5.35,5.10,5.10,6814
29-Sep-14,5.12,5.21,5.09,5.20,6411
26-Sep-14,5.10,5.36,5.10,5.36,600
25-Sep-14,5.10,5.26,5.10,5.23,3401
24-Sep-14,5.12,5.22,5.10,5.22,3497
23-Sep-14,5.12,5.12,5.10,5.11,2157
22-Sep-14,5.22,5.28,5.10,5.19,10641
19-Sep-14,5.28,5.59,5.20,5.20,46613
18-Sep-14,5.12,5.49,5.12,5.23,10956
17-Sep-14,5.40,5.43,5.16,5.16,15439
16-Sep-14,5.22,5.46,5.22,5.41,4799
15-Sep-14,5.30,5.50,5.21,5.34,10769
12-Sep-14,5.35,5.50,5.20,5.48,14718
11-Sep-14,5.47,5.47,5.20,5.21,10378
10-Sep-14,5.75,5.75,5.40,5.47,10031
9-Sep-14,5.65,5.90,5.65,5.90,14247
8-Sep-14,5.25,5.97,5.25,5.63,12998
5-Sep-14,5.36,5.36,5.25,5.28,1300
4-Sep-14,5.29,5.41,5.24,5.39,1702
3-Sep-14,5.39,5.39,5.20,5.24,18460
2-Sep-14,5.37,5.37,5.25,5.25,6913
29-Aug-14,5.33,5.34,5.26,5.34,2920
28-Aug-14,5.25,5.44,5.21,5.25,5049
27-Aug-14,5.20,5.29,5.20,5.22,8200
26-Aug-14,5.20,5.22,5.20,5.22,890
22-Aug-14,5.20,5.35,5.16,5.35,3110
21-Aug-14,5.38,5.43,5.35,5.36,1875
20-Aug-14,5.24,5.48,5.24,5.38,6830
19-Aug-14,5.38,5.38,5.11,5.20,8600
18-Aug-14,5.47,5.47,5.40,5.47,1727
15-Aug-14,5.51,5.51,5.50,5.50,504
14-Aug-14,5.58,6.00,5.44,5.59,10478
13-Aug-14,5.70,5.98,5.30,5.51,66291
12-Aug-14,5.65,6.00,5.51,6.00,1968
11-Aug-14,5.78,5.95,5.31,5.95,5584
8-Aug-14,5.86,6.37,5.01,5.80,59179
7-Aug-14,6.06,6.06,5.67,5.81,11224
6-Aug-14,6.17,6.17,5.90,6.13,22079
5-Aug-14,6.10,6.29,6.05,6.05,18061
4-Aug-14,6.10,6.31,6.10,6.15,3832
1-Aug-14,6.09,6.13,6.07,6.13,624
31-Jul-14,6.01,6.13,6.01,6.03,1201
30-Jul-14,6.13,6.16,6.13,6.14,3480
29-Jul-14,6.13,6.40,6.01,6.12,15780
28-Jul-14,6.28,6.30,6.24,6.25,3019
25-Jul-14,6.47,6.48,6.22,6.28,20336
