Date,Open,High,Low,Close,Volume
23-Oct-14,16.75,17.20,16.74,17.12,33846
22-Oct-14,17.00,17.02,16.48,16.68,25716
21-Oct-14,16.85,17.21,16.85,17.21,14579
20-Oct-14,16.96,17.10,16.55,16.77,27052
17-Oct-14,17.74,17.74,16.97,17.02,28592
16-Oct-14,17.20,17.64,17.20,17.46,36370
15-Oct-14,17.10,17.42,16.50,17.28,46364
14-Oct-14,17.00,17.26,16.85,17.24,53879
13-Oct-14,16.12,17.00,16.12,16.87,28186
10-Oct-14,15.55,16.41,15.55,16.09,41221
9-Oct-14,16.03,16.03,15.66,15.67,92516
8-Oct-14,16.00,16.32,15.91,16.24,38980
7-Oct-14,16.00,16.17,16.00,16.00,17620
6-Oct-14,16.16,16.26,16.01,16.02,10050
3-Oct-14,16.40,16.58,16.05,16.17,24696
2-Oct-14,16.01,16.34,16.01,16.23,18196
1-Oct-14,16.00,16.26,16.00,16.00,62512
30-Sep-14,16.21,16.33,16.02,16.02,57637
29-Sep-14,16.17,16.41,16.17,16.28,25009
26-Sep-14,16.25,16.42,16.16,16.41,15310
25-Sep-14,16.40,16.45,16.17,16.30,33960
24-Sep-14,16.32,16.50,16.32,16.47,12787
23-Sep-14,16.55,16.78,16.25,16.36,34545
22-Sep-14,16.83,16.96,16.53,16.60,28028
19-Sep-14,17.27,17.27,16.65,16.96,71089
18-Sep-14,16.85,17.15,16.72,17.09,16121
17-Sep-14,16.94,17.01,16.39,16.83,21082
16-Sep-14,16.83,17.04,16.73,16.91,22424
15-Sep-14,17.27,17.27,16.94,16.97,29899
12-Sep-14,17.50,17.50,17.00,17.36,25147
11-Sep-14,17.21,17.58,17.17,17.50,19003
10-Sep-14,17.07,17.39,17.07,17.39,10908
9-Sep-14,17.48,17.67,17.07,17.08,16872
8-Sep-14,17.50,17.57,17.32,17.56,8538
5-Sep-14,17.30,17.58,17.30,17.45,8891
4-Sep-14,17.40,17.72,17.34,17.41,14761
3-Sep-14,17.79,17.81,17.34,17.42,21333
2-Sep-14,17.77,17.94,17.63,17.77,43465
29-Aug-14,17.66,17.80,17.51,17.77,42169
28-Aug-14,17.65,17.83,17.59,17.62,43221
27-Aug-14,17.60,17.85,17.55,17.75,45747
26-Aug-14,17.43,17.65,17.40,17.55,47604
25-Aug-14,16.92,17.45,16.92,17.32,49595
22-Aug-14,16.98,17.00,16.80,16.88,14744
21-Aug-14,16.78,16.99,16.53,16.98,17931
20-Aug-14,16.66,16.91,16.51,16.85,38123
19-Aug-14,16.73,16.84,16.70,16.77,62814
18-Aug-14,16.81,16.81,16.55,16.77,16186
15-Aug-14,16.94,16.94,16.18,16.56,30222
14-Aug-14,16.45,16.96,16.45,16.70,13545
13-Aug-14,16.38,16.53,16.26,16.47,17448
12-Aug-14,16.43,16.54,16.23,16.34,15104
11-Aug-14,16.43,16.78,16.41,16.56,13792
8-Aug-14,16.24,16.48,16.23,16.37,16004
7-Aug-14,16.38,16.62,16.22,16.28,18799
6-Aug-14,16.24,16.55,16.24,16.38,39279
5-Aug-14,16.02,16.44,15.89,16.31,22165
4-Aug-14,16.09,16.24,15.87,16.16,42072
1-Aug-14,16.14,17.00,16.00,16.03,38800
31-Jul-14,16.03,16.24,16.01,16.08,38582
30-Jul-14,16.53,16.53,16.22,16.24,21840
