Date,Open,High,Low,Close,Volume
23-Oct-14,28.88,29.33,28.63,28.89,185173
22-Oct-14,28.89,29.01,28.52,28.53,178275
21-Oct-14,28.14,30.67,27.58,28.89,213193
20-Oct-14,27.87,28.33,27.49,27.99,235508
17-Oct-14,30.96,30.96,27.90,28.09,332635
16-Oct-14,27.02,27.97,26.58,27.81,350493
15-Oct-14,28.12,28.21,27.15,27.39,330177
14-Oct-14,28.54,28.91,28.45,28.65,263933
13-Oct-14,27.76,28.60,27.74,28.27,213689
10-Oct-14,27.60,28.20,27.60,27.74,222460
9-Oct-14,28.24,28.40,27.70,27.79,261165
8-Oct-14,27.59,28.38,27.59,28.33,146620
7-Oct-14,27.77,27.89,27.51,27.57,240785
6-Oct-14,28.27,28.27,27.87,27.99,114714
3-Oct-14,28.52,28.70,28.20,28.23,191922
2-Oct-14,27.56,28.28,27.40,28.16,206174
1-Oct-14,27.80,28.03,27.38,27.53,259499
30-Sep-14,28.13,28.21,27.72,27.79,303810
29-Sep-14,27.93,28.26,27.87,28.13,172870
26-Sep-14,28.25,28.78,27.94,28.16,199372
25-Sep-14,28.48,28.48,27.91,28.06,208120
24-Sep-14,28.21,28.52,28.03,28.43,175855
23-Sep-14,28.60,28.82,28.23,28.23,228866
22-Sep-14,28.96,29.46,28.65,28.66,241783
19-Sep-14,29.88,30.32,28.85,29.17,1385468
18-Sep-14,29.67,30.56,29.36,30.00,212180
17-Sep-14,29.51,30.00,29.13,29.59,126598
16-Sep-14,29.50,29.70,29.21,29.48,200453
15-Sep-14,29.87,30.06,29.36,29.52,139638
12-Sep-14,30.07,30.42,29.60,29.84,191526
11-Sep-14,29.56,30.08,29.56,30.01,100934
10-Sep-14,29.44,29.98,29.44,29.86,87872
9-Sep-14,29.79,29.79,29.34,29.40,114774
8-Sep-14,29.64,30.00,29.33,29.89,94672
5-Sep-14,29.41,29.73,29.20,29.58,76860
4-Sep-14,29.85,30.20,29.45,29.57,79486
3-Sep-14,29.82,29.95,29.49,29.77,127717
2-Sep-14,29.62,29.90,29.48,29.76,122434
29-Aug-14,29.22,29.43,29.07,29.39,104385
28-Aug-14,29.60,29.71,29.21,29.24,112065
27-Aug-14,30.18,30.18,29.71,29.73,81656
26-Aug-14,29.90,30.19,29.58,30.12,117746
25-Aug-14,30.11,30.38,29.55,29.81,116047
22-Aug-14,29.84,30.17,29.71,29.98,84214
21-Aug-14,29.43,30.03,29.05,29.84,123334
20-Aug-14,29.65,29.65,29.20,29.50,96566
19-Aug-14,29.88,29.97,29.46,29.77,60906
18-Aug-14,29.50,29.99,29.35,29.90,142878
15-Aug-14,29.64,29.72,28.75,29.12,206963
14-Aug-14,29.42,29.83,29.24,29.28,92887
13-Aug-14,29.38,29.99,29.34,29.53,95500
12-Aug-14,29.38,29.64,29.10,29.32,108722
11-Aug-14,29.60,29.99,29.30,29.56,107984
8-Aug-14,29.16,29.56,29.13,29.47,141974
7-Aug-14,29.49,29.71,28.97,29.18,83945
6-Aug-14,28.92,29.61,28.92,29.39,130198
5-Aug-14,28.76,29.30,28.69,29.05,117231
4-Aug-14,28.91,29.30,28.38,28.91,166154
1-Aug-14,29.44,29.52,28.56,28.70,191715
31-Jul-14,29.59,29.98,29.34,29.38,211506
30-Jul-14,29.83,30.19,29.51,29.99,137771
29-Jul-14,29.34,29.72,29.30,29.58,91544
28-Jul-14,29.81,29.81,29.15,29.31,110181
25-Jul-14,29.63,30.06,29.63,29.77,117663
24-Jul-14,29.84,30.24,29.74,29.95,180532
23-Jul-14,29.79,29.98,29.51,29.72,172681
22-Jul-14,29.95,30.19,29.56,29.76,171451
21-Jul-14,29.97,30.18,29.60,29.81,140805
18-Jul-14,29.81,30.63,29.81,30.17,275645
17-Jul-14,30.50,30.50,29.64,29.82,211850
16-Jul-14,31.13,31.13,30.48,30.53,143223
15-Jul-14,30.81,31.04,30.55,30.90,122705
14-Jul-14,31.17,31.32,30.56,30.70,86765
11-Jul-14,30.73,30.93,30.50,30.71,87338
10-Jul-14,30.59,31.13,30.59,30.84,147128
9-Jul-14,31.13,31.42,30.98,31.22,150625
8-Jul-14,31.55,31.81,30.83,30.98,325091
7-Jul-14,31.90,32.07,31.58,31.59,149225
3-Jul-14,31.83,32.15,31.79,31.97,147150
2-Jul-14,31.95,32.15,31.40,31.52,154841
1-Jul-14,31.46,32.54,31.46,32.02,233918
30-Jun-14,31.34,31.47,31.01,31.37,176328
27-Jun-14,31.02,31.75,30.98,31.45,389661
26-Jun-14,31.44,31.49,30.94,31.31,109473
25-Jun-14,30.97,31.50,30.45,31.39,139086
24-Jun-14,31.40,31.85,31.07,31.09,167739
23-Jun-14,31.67,31.78,31.38,31.43,113971
20-Jun-14,31.89,32.01,31.44,31.66,525904
19-Jun-14,31.85,31.92,31.40,31.68,86052
18-Jun-14,31.45,32.05,31.28,31.82,179681
17-Jun-14,30.77,31.68,30.68,31.54,186208
16-Jun-14,31.15,31.64,30.68,30.86,144057
13-Jun-14,31.58,31.88,31.14,31.21,158977
12-Jun-14,31.48,31.77,31.17,31.41,136903
11-Jun-14,31.90,32.15,31.50,31.69,133658
10-Jun-14,32.16,32.30,31.84,32.09,157843
9-Jun-14,31.50,32.26,31.50,32.24,165563
6-Jun-14,31.35,31.65,31.15,31.53,188328
5-Jun-14,30.34,31.16,30.14,31.11,241506
4-Jun-14,30.19,30.75,30.19,30.36,234185
3-Jun-14,30.02,30.75,30.02,30.20,229828
2-Jun-14,29.78,30.12,29.32,29.88,196750
30-May-14,29.84,30.18,29.66,29.74,182940
29-May-14,29.99,30.14,29.54,29.76,164078
28-May-14,30.10,30.12,29.66,29.92,154144
27-May-14,29.78,30.36,29.62,30.19,179798
23-May-14,29.46,29.70,29.25,29.50,123880
22-May-14,29.32,29.40,29.16,29.36,168006
21-May-14,29.22,29.47,28.74,29.21,209610
20-May-14,29.54,29.54,28.88,29.12,381590
19-May-14,29.10,29.71,29.10,29.69,238658
16-May-14,29.02,29.15,28.68,29.11,226234
15-May-14,29.00,29.28,28.50,29.08,278960
14-May-14,29.68,30.00,29.02,29.18,415014
13-May-14,30.12,30.28,29.70,29.78,496242
12-May-14,29.56,30.16,29.28,30.11,257368
9-May-14,28.72,29.38,28.51,29.38,187482
8-May-14,29.23,29.50,28.74,28.84,232484
7-May-14,28.92,29.24,28.48,29.18,236600
6-May-14,29.12,29.36,28.75,28.78,240878
5-May-14,29.05,29.52,28.88,29.24,218672
2-May-14,29.29,30.01,28.76,29.35,189578
1-May-14,29.47,30.66,28.99,29.32,255096
30-Apr-14,29.30,30.77,29.12,29.52,222528
29-Apr-14,29.88,30.00,29.22,29.30,187024
28-Apr-14,29.85,30.07,29.40,29.66,318006
25-Apr-14,30.20,30.41,29.62,29.74,309846
24-Apr-14,30.94,31.00,30.13,30.23,359568
23-Apr-14,30.14,30.80,30.06,30.75,427826
22-Apr-14,30.08,30.35,29.78,30.20,452848
21-Apr-14,29.46,29.72,29.10,29.58,426280
17-Apr-14,29.02,29.40,28.90,29.20,227236
16-Apr-14,29.32,29.37,28.90,29.02,157406
15-Apr-14,29.32,29.54,28.63,29.05,262178
14-Apr-14,29.38,29.50,28.92,29.22,162058
11-Apr-14,28.81,29.48,28.78,29.01,205588
10-Apr-14,29.94,29.94,28.95,29.16,299250
9-Apr-14,30.25,30.30,29.80,30.00,127022
8-Apr-14,30.20,30.51,30.01,30.18,175758
7-Apr-14,30.51,30.98,30.00,30.19,222686
