Date,Open,High,Low,Close,Volume
23-Oct-14,19.29,19.30,18.88,18.98,8729573
22-Oct-14,18.88,19.04,18.82,18.83,8134132
21-Oct-14,18.48,18.88,18.44,18.87,12024967
20-Oct-14,18.13,18.38,18.05,18.35,8806165
17-Oct-14,17.97,18.20,17.80,18.13,14195795
16-Oct-14,18.00,18.32,17.65,17.74,24707127
15-Oct-14,18.98,19.06,18.21,18.58,14510971
14-Oct-14,19.28,19.48,19.16,19.24,7877461
13-Oct-14,19.41,19.59,19.24,19.24,5569518
10-Oct-14,19.69,19.81,19.43,19.43,6813937
9-Oct-14,19.98,20.08,19.60,19.62,8611102
8-Oct-14,19.72,20.12,19.67,20.10,10087395
7-Oct-14,19.83,19.97,19.66,19.66,5902940
6-Oct-14,20.13,20.19,19.88,19.92,5517321
3-Oct-14,19.97,20.11,19.87,20.05,10086895
2-Oct-14,19.81,19.93,19.55,19.79,9239292
1-Oct-14,20.03,20.12,19.79,19.80,7078976
30-Sep-14,20.18,20.27,19.98,20.02,6619583
29-Sep-14,20.09,20.22,20.03,20.12,5141811
26-Sep-14,20.22,20.35,20.17,20.29,3529298
25-Sep-14,20.51,20.56,20.23,20.30,6328001
24-Sep-14,20.47,20.62,20.42,20.59,5002876
23-Sep-14,20.70,20.79,20.53,20.53,4911872
22-Sep-14,20.93,21.06,20.76,20.79,4857649
19-Sep-14,21.15,21.20,20.88,20.92,8523292
18-Sep-14,20.80,21.10,20.72,21.01,7449646
17-Sep-14,20.59,20.91,20.55,20.74,6154515
16-Sep-14,20.48,20.74,20.47,20.57,5671211
15-Sep-14,20.59,20.69,20.49,20.53,4840474
12-Sep-14,20.51,20.86,20.51,20.64,6871756
11-Sep-14,20.40,20.61,20.39,20.49,4568728
10-Sep-14,20.34,20.59,20.27,20.45,7209018
9-Sep-14,20.32,20.33,20.10,20.21,4874622
8-Sep-14,20.40,20.48,20.22,20.35,5783592
5-Sep-14,20.34,20.49,20.20,20.37,7534554
4-Sep-14,20.50,20.57,20.38,20.42,6223368
3-Sep-14,20.59,20.67,20.35,20.41,6501678
2-Sep-14,20.41,20.58,20.33,20.51,4932518
29-Aug-14,20.30,20.47,20.29,20.40,4509375
28-Aug-14,20.18,20.34,20.10,20.27,4645464
27-Aug-14,20.49,20.59,20.25,20.29,5124097
26-Aug-14,19.97,20.60,19.97,20.42,3576012
25-Aug-14,20.42,20.61,20.36,20.44,6226982
22-Aug-14,20.26,20.46,20.16,20.32,7433432
21-Aug-14,20.08,20.31,19.99,20.25,5277003
20-Aug-14,19.91,20.14,19.89,20.10,4659174
19-Aug-14,20.01,20.21,19.94,19.96,6247651
18-Aug-14,19.87,20.06,19.86,20.02,5689628
15-Aug-14,19.84,19.95,19.61,19.73,5832223
14-Aug-14,19.72,19.89,19.66,19.81,5618867
13-Aug-14,19.59,19.79,19.57,19.65,5443542
12-Aug-14,19.50,19.67,19.45,19.59,6017522
11-Aug-14,19.77,19.77,19.53,19.60,5710029
8-Aug-14,19.60,19.68,19.45,19.67,4242330
7-Aug-14,19.75,19.85,19.46,19.52,6372023
6-Aug-14,19.55,19.82,19.46,19.68,7388414
5-Aug-14,19.85,20.00,19.60,19.66,10913734
4-Aug-14,20.09,20.15,19.83,19.97,6430932
1-Aug-14,20.40,20.54,19.90,20.00,14570559
31-Jul-14,20.74,20.75,20.46,20.48,8429081
30-Jul-14,20.86,20.96,20.65,20.79,7669571
29-Jul-14,20.84,21.00,20.73,20.74,7976869
28-Jul-14,21.18,21.20,20.83,20.88,7111118
25-Jul-14,20.95,21.28,20.94,21.18,10398250
24-Jul-14,20.74,21.15,20.74,21.08,11285639
23-Jul-14,20.78,20.81,20.59,20.74,7362906
22-Jul-14,20.66,20.77,20.60,20.70,10887781
21-Jul-14,20.56,20.74,20.34,20.53,8143927
18-Jul-14,20.42,20.50,20.11,20.45,17694837
17-Jul-14,21.12,21.20,20.16,20.28,26030350
16-Jul-14,21.78,21.79,21.44,21.55,11517920
15-Jul-14,21.30,21.79,21.30,21.75,10491694
14-Jul-14,21.56,21.63,21.34,21.40,6229785
11-Jul-14,21.21,21.50,21.10,21.43,6462056
10-Jul-14,21.31,21.34,21.16,21.22,8623453
9-Jul-14,21.44,21.62,21.43,21.52,6922589
8-Jul-14,21.56,21.56,21.33,21.41,9411741
7-Jul-14,21.49,21.65,21.48,21.57,5583019
3-Jul-14,21.52,21.69,21.48,21.63,4007142
2-Jul-14,21.47,21.66,21.34,21.41,6146007
1-Jul-14,21.46,21.69,21.36,21.54,8530092
30-Jun-14,21.33,21.41,21.16,21.35,6321176
27-Jun-14,21.29,21.32,21.10,21.26,6966820
26-Jun-14,21.34,21.38,21.10,21.29,5670234
25-Jun-14,21.34,21.51,21.12,21.45,9006747
24-Jun-14,21.50,21.74,21.44,21.46,7980700
23-Jun-14,21.64,21.64,21.44,21.53,4576096
20-Jun-14,21.65,21.78,21.51,21.59,7451550
19-Jun-14,21.81,21.81,21.34,21.51,7840541
18-Jun-14,21.51,21.54,21.23,21.49,9144176
17-Jun-14,21.03,21.63,21.01,21.48,9316924
16-Jun-14,21.24,21.29,21.00,21.11,6900144
13-Jun-14,21.40,21.57,21.28,21.37,6647806
12-Jun-14,21.37,21.55,21.27,21.29,6311756
11-Jun-14,21.47,21.56,21.34,21.44,5599880
10-Jun-14,21.60,21.63,21.45,21.54,6128934
9-Jun-14,21.28,21.71,21.27,21.64,9240357
6-Jun-14,21.32,21.37,21.01,21.33,9883168
5-Jun-14,21.13,21.25,20.92,21.19,10609572
4-Jun-14,21.09,21.26,21.00,21.09,10202297
3-Jun-14,20.86,21.40,20.85,21.19,17970617
2-Jun-14,20.79,20.99,20.55,20.95,8740727
30-May-14,20.61,20.77,20.56,20.69,6536450
29-May-14,20.60,20.65,20.39,20.55,6444875
28-May-14,20.65,20.70,20.54,20.60,5832022
27-May-14,20.60,20.90,20.60,20.70,6333427
23-May-14,20.44,20.70,20.35,20.54,6340657
22-May-14,20.33,20.56,20.25,20.41,7374319
21-May-14,20.18,20.43,20.12,20.37,10029199
20-May-14,20.23,20.25,19.95,20.06,7461905
19-May-14,20.00,20.25,19.82,20.20,8730875
16-May-14,20.13,20.20,19.83,20.03,11883748
15-May-14,20.42,20.44,19.92,20.16,11601026
14-May-14,20.75,20.79,20.40,20.47,5577821
13-May-14,20.88,20.95,20.75,20.80,5752083
12-May-14,20.66,20.89,20.57,20.88,7287961
9-May-14,20.49,20.59,20.23,20.55,8482456
8-May-14,20.66,20.88,20.58,20.60,8009388
7-May-14,20.36,20.73,20.29,20.71,9700984
6-May-14,20.41,20.55,20.25,20.28,7455493
5-May-14,20.52,20.75,20.40,20.59,8365108
2-May-14,20.30,20.84,20.30,20.56,9890887
1-May-14,20.56,20.68,20.30,20.35,11335011
30-Apr-14,20.42,20.68,20.35,20.61,8692107
29-Apr-14,20.53,20.72,20.42,20.48,11928944
28-Apr-14,20.72,20.76,20.31,20.51,10173784
25-Apr-14,20.88,20.88,20.63,20.75,8603814
24-Apr-14,21.23,21.23,20.80,21.03,9493167
23-Apr-14,20.98,21.22,20.94,21.15,8062162
22-Apr-14,20.81,21.02,20.62,21.00,12085429
21-Apr-14,21.08,21.24,20.67,20.72,10444126
17-Apr-14,21.31,21.52,20.75,20.95,16990860
16-Apr-14,21.84,21.90,21.60,21.85,7771534
15-Apr-14,21.59,21.77,21.34,21.63,7973880
14-Apr-14,21.87,21.87,21.35,21.60,6259613
11-Apr-14,21.41,21.81,21.40,21.56,9470885
10-Apr-14,22.66,22.70,21.75,21.80,11974108
9-Apr-14,22.50,22.68,22.44,22.61,6123239
8-Apr-14,22.53,22.64,22.31,22.45,6392100
7-Apr-14,22.88,22.95,22.45,22.51,9018353
4-Apr-14,23.25,23.40,22.89,22.92,6820678
3-Apr-14,23.17,23.22,23.04,23.19,7500018
2-Apr-14,23.14,23.18,22.95,23.06,5085757
