Date,Open,High,Low,Close,Volume
23-Oct-14,26.95,27.98,26.48,27.61,257670
22-Oct-14,26.95,27.22,26.16,26.65,191731
21-Oct-14,26.11,27.07,25.98,26.75,200423
20-Oct-14,25.46,26.66,25.37,25.82,145978
17-Oct-14,26.85,26.98,25.40,25.60,249113
16-Oct-14,24.42,26.77,24.00,26.40,439868
15-Oct-14,22.32,24.98,21.90,24.88,335952
14-Oct-14,22.39,23.35,22.10,22.77,197209
13-Oct-14,22.05,23.10,21.71,22.13,182642
10-Oct-14,22.63,23.13,22.01,22.06,151471
9-Oct-14,23.30,23.61,22.54,22.77,175256
8-Oct-14,22.46,23.37,21.94,23.32,200618
7-Oct-14,22.65,22.95,22.16,22.48,250717
6-Oct-14,23.79,23.98,22.76,22.96,183199
3-Oct-14,23.91,24.29,23.59,23.65,120341
2-Oct-14,23.75,24.10,22.76,23.62,461359
1-Oct-14,24.53,24.90,23.24,23.85,317527
30-Sep-14,25.45,25.76,24.41,24.50,231427
29-Sep-14,25.06,25.64,25.05,25.46,127178
26-Sep-14,25.27,25.52,24.97,25.44,144617
25-Sep-14,25.40,25.44,24.94,25.21,181777
24-Sep-14,25.17,25.81,25.17,25.39,177702
23-Sep-14,25.95,26.10,25.04,25.09,165768
22-Sep-14,26.15,26.30,25.76,26.15,225290
19-Sep-14,28.27,28.27,26.28,26.33,361085
18-Sep-14,28.50,28.61,27.91,28.10,192761
17-Sep-14,28.75,28.93,28.24,28.45,192680
16-Sep-14,28.41,28.94,28.20,28.45,253376
15-Sep-14,30.83,31.07,28.36,28.61,396016
12-Sep-14,31.16,31.80,30.56,31.04,282274
11-Sep-14,30.89,31.22,30.59,31.09,422861
10-Sep-14,29.68,31.37,29.68,31.26,285977
9-Sep-14,29.65,29.98,28.96,29.70,240282
8-Sep-14,28.57,30.00,28.48,29.80,223707
5-Sep-14,28.78,28.82,27.82,28.75,116665
4-Sep-14,28.38,29.30,28.12,28.85,190525
3-Sep-14,28.73,28.98,27.84,28.36,951870
2-Sep-14,27.71,29.89,27.54,28.60,665698
29-Aug-14,26.77,27.31,26.44,27.22,97706
28-Aug-14,26.59,26.94,26.56,26.70,111644
27-Aug-14,27.01,27.15,26.69,26.79,90139
26-Aug-14,25.98,27.03,25.83,26.94,212464
25-Aug-14,26.37,26.66,25.98,26.00,128187
22-Aug-14,26.34,26.71,26.00,26.12,244136
21-Aug-14,27.95,28.24,26.23,26.29,262773
20-Aug-14,27.73,28.17,27.50,28.05,219757
19-Aug-14,28.00,28.22,27.74,27.94,139292
18-Aug-14,28.03,28.13,27.79,28.02,167948
15-Aug-14,27.85,27.91,27.03,27.85,170494
14-Aug-14,27.43,27.93,27.16,27.57,116277
13-Aug-14,26.77,27.84,26.68,27.35,227015
12-Aug-14,27.14,27.50,26.41,26.56,244520
11-Aug-14,27.14,27.40,26.75,27.27,261896
8-Aug-14,26.32,27.04,26.10,26.91,156767
7-Aug-14,26.34,26.90,26.06,26.28,131781
6-Aug-14,26.66,26.95,26.03,26.31,267332
5-Aug-14,27.61,28.64,26.62,27.00,528632
4-Aug-14,28.95,28.97,26.76,27.80,588950
1-Aug-14,30.02,31.06,28.50,28.83,622489
31-Jul-14,29.58,29.72,28.26,28.63,501837
30-Jul-14,28.73,30.24,28.68,30.11,360054
29-Jul-14,27.23,28.45,27.10,28.40,202634
28-Jul-14,27.53,27.56,26.58,27.13,154986
25-Jul-14,28.02,28.32,27.38,27.43,349312
24-Jul-14,29.00,29.10,28.20,28.34,474642
23-Jul-14,27.72,29.03,27.67,28.96,319309
22-Jul-14,28.02,28.36,27.41,27.56,195377
21-Jul-14,26.79,28.00,26.63,27.79,283633
18-Jul-14,27.15,27.32,26.45,27.05,455931
17-Jul-14,29.37,29.37,26.89,27.17,412228
16-Jul-14,31.54,31.70,29.66,29.67,282866
15-Jul-14,31.98,32.12,30.77,31.29,659072
14-Jul-14,31.30,32.48,30.85,32.08,558616
11-Jul-14,29.85,30.98,29.60,30.82,245768
10-Jul-14,28.89,30.16,28.70,29.82,302253
9-Jul-14,30.20,30.25,28.78,29.61,316884
8-Jul-14,30.72,30.80,29.06,30.05,706013
7-Jul-14,31.06,31.39,30.21,30.85,387439
3-Jul-14,31.04,31.16,30.40,31.16,151517
2-Jul-14,30.19,31.40,30.16,30.80,275360
1-Jul-14,29.50,30.33,29.14,30.16,216340
30-Jun-14,29.02,30.00,28.84,29.40,333532
27-Jun-14,29.09,29.33,28.48,29.04,446482
26-Jun-14,29.21,29.45,28.60,29.29,170677
25-Jun-14,28.28,29.21,27.93,29.18,200173
24-Jun-14,28.60,29.47,28.22,28.48,468062
23-Jun-14,28.77,29.13,28.14,28.60,184688
20-Jun-14,29.04,29.13,28.23,28.61,361376
19-Jun-14,29.00,29.01,28.50,28.84,160162
18-Jun-14,28.81,29.31,28.29,28.80,153228
17-Jun-14,28.53,29.04,28.31,28.80,216099
16-Jun-14,27.64,28.67,27.56,28.65,153584
13-Jun-14,28.13,28.30,27.33,27.83,270336
12-Jun-14,28.42,28.80,27.89,28.11,246166
11-Jun-14,28.24,29.29,27.87,28.66,480386
10-Jun-14,27.35,28.57,27.30,28.52,311204
9-Jun-14,26.96,28.04,26.96,27.56,263128
6-Jun-14,26.50,27.61,26.23,27.13,295026
5-Jun-14,25.46,26.32,25.36,26.29,480286
4-Jun-14,25.42,25.83,24.90,25.46,357769
3-Jun-14,25.71,26.56,25.30,25.51,1008636
2-Jun-14,27.48,27.86,24.94,25.68,616320
30-May-14,28.88,28.88,27.66,27.74,539865
29-May-14,29.41,29.58,28.69,28.75,205548
28-May-14,29.43,29.66,28.71,29.15,382349
27-May-14,29.14,29.80,28.54,29.63,386738
23-May-14,28.11,28.85,27.95,28.76,237501
22-May-14,27.25,28.37,27.16,28.13,174289
21-May-14,27.58,28.25,26.67,27.25,322072
20-May-14,28.45,28.87,27.29,27.52,456785
19-May-14,27.08,29.38,26.77,28.68,468439
16-May-14,27.82,27.82,26.51,27.08,550755
15-May-14,28.53,28.83,27.16,27.67,525415
14-May-14,29.87,30.01,28.70,28.83,504070
13-May-14,30.56,31.69,29.76,29.89,522839
12-May-14,29.96,30.89,28.66,30.58,415449
9-May-14,29.93,30.85,29.42,29.90,551563
8-May-14,32.53,32.81,30.04,30.09,1019624
7-May-14,32.63,33.66,31.55,32.71,1011868
6-May-14,35.72,37.22,32.61,32.78,1729046
5-May-14,37.71,39.20,37.09,39.05,261936
2-May-14,37.59,38.37,36.81,37.95,292861
1-May-14,37.38,38.22,35.88,37.55,360417
30-Apr-14,36.78,39.55,35.81,37.56,416844
29-Apr-14,35.53,37.30,35.01,36.93,301740
28-Apr-14,35.91,37.10,33.55,35.35,264993
25-Apr-14,37.51,37.73,35.55,35.66,240497
24-Apr-14,39.77,39.77,37.68,37.80,180265
23-Apr-14,40.55,40.55,39.14,39.46,407552
22-Apr-14,38.06,39.29,37.40,38.99,371998
21-Apr-14,37.28,38.27,36.55,38.08,298749
17-Apr-14,36.29,37.38,35.66,37.10,254891
16-Apr-14,35.19,36.75,34.97,36.35,295156
15-Apr-14,35.32,36.06,33.79,34.81,424650
14-Apr-14,35.83,37.92,35.02,35.27,906750
11-Apr-14,34.51,35.52,33.17,33.63,976083
10-Apr-14,36.34,36.96,34.64,34.93,381875
9-Apr-14,35.22,36.65,34.92,36.54,282024
8-Apr-14,35.16,35.82,33.65,35.02,560707
