Date,Open,High,Low,Close,Volume
23-Oct-14,34.92,35.84,32.06,35.26,251292
22-Oct-14,36.03,36.67,34.20,34.45,284255
21-Oct-14,34.74,36.44,34.18,36.03,338498
20-Oct-14,35.17,35.61,34.21,34.50,405404
17-Oct-14,36.98,37.01,34.89,35.39,455453
16-Oct-14,34.73,36.92,34.26,36.42,642982
15-Oct-14,33.33,35.67,32.85,35.47,451239
14-Oct-14,33.57,34.81,33.09,33.95,636120
13-Oct-14,32.10,33.51,31.96,33.24,570391
10-Oct-14,31.80,32.53,31.21,31.72,494590
9-Oct-14,33.28,33.74,31.74,32.03,356662
8-Oct-14,31.28,33.42,31.00,33.38,575638
7-Oct-14,32.64,32.64,31.25,31.41,423367
6-Oct-14,32.82,33.12,32.47,32.91,313943
3-Oct-14,32.80,33.43,32.65,32.65,253230
2-Oct-14,32.45,32.91,31.87,32.40,301015
1-Oct-14,34.25,34.26,32.45,32.54,457440
30-Sep-14,34.17,34.47,33.89,34.22,462444
29-Sep-14,33.23,34.17,33.01,34.17,242403
26-Sep-14,33.83,33.98,33.30,33.69,328217
25-Sep-14,34.33,34.55,33.14,33.74,357394
24-Sep-14,34.09,34.49,33.67,34.45,193387
23-Sep-14,34.94,35.16,33.88,33.92,531270
22-Sep-14,35.66,35.85,35.04,35.17,475861
19-Sep-14,37.80,38.02,35.79,35.98,607725
18-Sep-14,36.39,38.48,36.27,37.64,520891
17-Sep-14,35.47,36.57,35.18,36.28,244647
16-Sep-14,35.40,35.88,34.83,35.45,279287
15-Sep-14,35.80,35.92,34.86,35.55,273279
12-Sep-14,36.14,36.38,35.58,35.90,242326
11-Sep-14,36.00,36.45,35.92,36.14,165668
10-Sep-14,35.89,36.38,35.66,36.32,254537
9-Sep-14,36.06,36.09,35.52,35.77,414615
8-Sep-14,35.90,36.30,35.67,36.12,273277
5-Sep-14,35.86,36.47,35.47,35.98,200959
4-Sep-14,35.80,36.27,35.68,36.03,249325
3-Sep-14,36.39,36.80,35.45,35.67,457888
2-Sep-14,36.10,36.74,35.91,36.26,463336
29-Aug-14,35.85,36.28,35.44,35.87,233967
28-Aug-14,36.23,36.56,35.57,35.76,189953
27-Aug-14,37.30,37.30,36.28,36.51,252414
26-Aug-14,36.40,37.40,36.09,37.20,275829
25-Aug-14,36.19,36.89,35.95,36.38,211055
22-Aug-14,35.83,36.61,35.63,35.88,198167
21-Aug-14,35.93,36.03,35.12,35.84,152464
20-Aug-14,35.62,36.04,35.19,35.89,563771
19-Aug-14,35.69,35.98,35.62,35.81,331550
18-Aug-14,34.96,36.00,34.46,35.62,464867
15-Aug-14,35.60,35.71,33.92,34.54,527283
14-Aug-14,35.76,35.77,35.25,35.44,323049
13-Aug-14,35.29,36.19,35.14,35.71,401369
12-Aug-14,35.96,36.17,35.09,35.11,412020
11-Aug-14,35.56,36.20,35.24,36.15,428728
8-Aug-14,35.64,35.84,34.88,35.40,629477
7-Aug-14,37.44,37.68,35.29,35.50,698426
6-Aug-14,36.53,37.35,36.07,37.16,464617
5-Aug-14,37.10,37.35,36.47,36.84,465829
4-Aug-14,37.88,38.83,36.86,37.44,464377
1-Aug-14,39.34,40.53,36.79,37.54,959070
31-Jul-14,39.64,39.74,38.48,38.95,820330
30-Jul-14,40.62,41.69,39.87,40.35,964561
29-Jul-14,37.53,39.24,37.41,38.98,619862
28-Jul-14,37.03,37.51,36.63,37.32,649062
25-Jul-14,37.01,37.22,36.50,36.97,355467
24-Jul-14,37.19,37.39,36.67,37.30,831079
23-Jul-14,37.51,37.51,36.61,37.00,703315
22-Jul-14,38.43,38.67,37.15,37.34,414604
21-Jul-14,37.60,38.13,37.10,38.04,459848
18-Jul-14,37.25,37.99,37.03,37.75,441948
17-Jul-14,37.71,38.63,36.83,37.10,1354441
16-Jul-14,37.34,38.09,36.72,38.02,816386
15-Jul-14,37.78,37.95,36.47,37.01,727047
14-Jul-14,38.28,38.53,37.58,37.65,426817
11-Jul-14,37.78,38.21,37.03,37.88,640329
10-Jul-14,38.56,39.17,37.49,37.93,1183418
9-Jul-14,40.30,40.83,39.43,39.80,754700
8-Jul-14,41.93,42.04,39.75,40.00,825646
7-Jul-14,42.72,43.06,41.97,42.00,388365
3-Jul-14,43.27,43.36,42.25,42.84,275690
2-Jul-14,43.71,45.08,42.94,43.00,551933
1-Jul-14,44.14,44.33,42.53,43.56,1106798
30-Jun-14,46.44,46.76,45.17,45.28,677461
27-Jun-14,46.70,47.31,46.23,46.54,442553
26-Jun-14,47.60,47.62,46.80,47.12,245865
25-Jun-14,46.81,47.69,46.54,47.57,301423
24-Jun-14,48.31,49.10,47.01,47.22,309257
23-Jun-14,49.72,50.00,48.19,48.39,337647
20-Jun-14,49.06,49.76,48.31,49.69,540782
19-Jun-14,49.11,49.34,48.11,48.70,241426
18-Jun-14,48.17,49.13,47.84,49.03,321265
17-Jun-14,47.61,48.48,47.19,48.28,295063
16-Jun-14,47.05,48.01,46.80,47.64,360271
