Date,Open,High,Low,Close,Volume
23-Oct-14,12.04,12.31,11.81,12.23,563071
22-Oct-14,12.11,12.36,11.92,11.95,559187
21-Oct-14,11.89,12.15,11.75,12.06,835041
20-Oct-14,11.82,11.97,11.43,11.77,1673820
17-Oct-14,12.84,12.98,11.77,11.85,2606798
16-Oct-14,12.39,12.77,12.02,12.67,1588643
15-Oct-14,12.91,13.29,12.61,13.04,1091924
14-Oct-14,12.82,13.15,12.65,12.99,1152283
13-Oct-14,12.67,12.88,12.50,12.70,1109348
10-Oct-14,12.52,12.79,12.46,12.71,906566
9-Oct-14,13.00,13.21,12.52,12.57,779696
8-Oct-14,12.86,13.12,12.47,13.11,1035871
7-Oct-14,13.26,13.33,12.81,12.86,1520724
6-Oct-14,13.73,13.84,13.26,13.31,1113696
3-Oct-14,13.73,13.92,13.55,13.71,951920
2-Oct-14,13.45,13.76,13.45,13.59,1115153
1-Oct-14,13.92,14.11,13.71,13.87,863768
30-Sep-14,14.04,14.16,13.75,13.93,1036227
29-Sep-14,13.88,14.22,13.80,14.05,1324094
26-Sep-14,14.04,14.11,13.85,14.05,542193
25-Sep-14,14.02,14.45,13.84,14.01,1147310
24-Sep-14,14.00,14.25,13.85,14.06,529798
23-Sep-14,14.05,14.45,13.87,14.00,625923
22-Sep-14,14.45,14.52,13.97,14.07,839092
19-Sep-14,14.61,15.01,14.47,14.52,1645834
18-Sep-14,14.12,14.17,13.93,14.09,845718
17-Sep-14,13.99,14.11,13.83,14.02,759418
16-Sep-14,13.57,14.11,13.51,13.99,506236
15-Sep-14,14.00,14.15,13.58,13.60,600639
12-Sep-14,14.20,14.25,13.95,14.06,602057
11-Sep-14,13.97,14.51,13.86,14.18,1337253
10-Sep-14,13.39,14.25,13.39,14.09,2075803
9-Sep-14,13.00,13.79,12.96,13.34,4876597
8-Sep-14,13.48,14.01,13.48,13.97,1392193
5-Sep-14,13.65,13.85,13.17,13.43,849925
4-Sep-14,13.46,13.77,13.45,13.65,1008912
3-Sep-14,13.70,13.81,13.46,13.48,721636
2-Sep-14,14.04,14.10,13.52,13.63,942150
29-Aug-14,14.19,14.26,13.96,14.00,613486
28-Aug-14,14.62,14.65,14.05,14.19,711599
