Date,Open,High,Low,Close,Volume
23-Oct-14,855000.00,989550.00,855000.00,866700.00,1
22-Oct-14,1048500.00,1246500.00,945000.00,990000.00,5
21-Oct-14,805500.00,1057500.00,764550.00,1012500.00,5
20-Oct-14,720000.00,846000.00,679950.00,780750.00,0
17-Oct-14,810000.00,846000.00,720000.00,734400.00,1
16-Oct-14,877500.00,936450.00,787500.00,810000.00,1
15-Oct-14,704250.00,983250.00,679950.00,787500.00,2
14-Oct-14,545850.00,894600.00,540000.00,720000.00,2
13-Oct-14,675000.00,675000.00,462600.00,544950.00,1
10-Oct-14,720000.00,720000.00,585000.00,585000.00,1
9-Oct-14,765000.00,810000.00,675000.00,697500.00,1
8-Oct-14,832500.00,832500.00,698400.00,720900.00,1
7-Oct-14,765000.00,791550.00,720900.00,789300.00,0
6-Oct-14,805500.00,868500.00,724500.00,742950.00,1
3-Oct-14,765000.00,832500.00,724500.00,769500.00,1
2-Oct-14,913500.00,913500.00,675000.00,698850.00,2
1-Oct-14,945000.00,989550.00,904500.00,913500.00,1
30-Sep-14,976500.00,990000.00,918450.00,967500.00,0
29-Sep-14,1125000.00,1125000.00,945000.00,945000.00,1
26-Sep-14,1122750.00,1122750.00,945000.00,1035000.00,1
25-Sep-14,1215000.00,1215000.00,1004850.00,1048500.00,1
24-Sep-14,1215000.00,1383750.00,1044000.00,1133550.00,1
23-Sep-14,1530000.00,1530000.00,1080000.00,1084500.00,2
22-Sep-14,945000.00,1620000.00,913500.00,1620000.00,2
19-Sep-14,1125000.00,1125000.00,904500.00,940500.00,1
18-Sep-14,1170000.00,1255050.00,1037250.00,1057500.00,1
17-Sep-14,1223100.00,1327500.00,1125000.00,1125000.00,1
16-Sep-14,1575000.00,1705500.00,1197000.00,1237950.00,1
15-Sep-14,1687500.00,1687500.00,1306350.00,1394550.00,1
12-Sep-14,1755000.00,1818000.00,1579500.00,1620000.00,0
11-Sep-14,1935000.00,1935000.00,1575000.00,1755000.00,1
10-Sep-14,2025000.00,2025000.00,1710000.00,1800000.00,1
9-Sep-14,2160000.00,2240550.00,1980000.00,1993500.00,0
8-Sep-14,2070000.00,2360250.00,2025000.00,2092500.00,1
5-Sep-14,2160000.00,2205000.00,1980900.00,1993500.00,0
4-Sep-14,2610000.00,2610000.00,2092500.00,2115000.00,1
3-Sep-14,2790000.00,2790000.00,2407500.00,2430000.00,0
2-Sep-14,2745000.00,2916900.00,2565000.00,2565000.00,0
29-Aug-14,2708100.00,2789550.00,2501100.00,2618100.00,0
28-Aug-14,2925000.00,2925000.00,2589750.00,2745000.00,0
27-Aug-14,3150000.00,3239100.00,2925000.00,2925000.00,0
26-Aug-14,3195000.00,3330000.00,3162600.00,3217500.00,0
25-Aug-14,3289500.00,3590100.00,3195000.00,3285000.00,0
22-Aug-14,3419550.00,3780000.00,3330000.00,3375000.00,0
21-Aug-14,3240000.00,3509550.00,3240000.00,3375450.00,0
20-Aug-14,3600450.00,3690000.00,3262950.00,3329550.00,0
19-Aug-14,3960000.00,4050000.00,3600000.00,3658950.00,1
18-Aug-14,3262500.00,4095000.00,3073500.00,4095000.00,1
15-Aug-14,3600000.00,3690000.00,3105000.00,3199500.00,1
14-Aug-14,3051000.00,3640500.00,2839500.00,3348000.00,2
13-Aug-14,2070000.00,3069000.00,2070000.00,2790000.00,2
12-Aug-14,2160000.00,2160000.00,1993500.00,2069550.00,0
11-Aug-14,2200500.00,2204550.00,2069550.00,2159550.00,0
8-Aug-14,2115000.00,2200500.00,2032200.00,2182500.00,0
7-Aug-14,2205000.00,2294550.00,2002500.00,2160450.00,0
6-Aug-14,2160000.00,2160000.00,2092950.00,2138400.00,0
5-Aug-14,2083500.00,2205000.00,2083500.00,2106000.00,0
4-Aug-14,2169000.00,2250000.00,2115000.00,2115000.00,0
1-Aug-14,2070900.00,2250000.00,2070900.00,2169000.00,0
31-Jul-14,2250000.00,2250000.00,2070900.00,2070900.00,0
