Date,Open,High,Low,Close,Volume
23-Oct-14,21.01,21.19,20.79,20.98,84896
22-Oct-14,21.00,21.09,20.49,20.83,70416
21-Oct-14,20.72,20.99,20.52,20.93,118453
20-Oct-14,20.50,20.85,20.39,20.66,83565
17-Oct-14,21.09,21.09,20.42,20.50,172433
16-Oct-14,20.21,20.98,20.21,20.74,99655
15-Oct-14,20.50,20.66,20.14,20.53,199415
14-Oct-14,20.65,20.89,20.41,20.74,104504
13-Oct-14,20.14,20.76,20.00,20.45,139532
10-Oct-14,20.22,20.59,20.05,20.18,105453
9-Oct-14,20.79,20.79,20.21,20.24,100657
8-Oct-14,20.25,20.87,20.17,20.79,221577
7-Oct-14,20.41,20.42,20.20,20.21,180756
6-Oct-14,20.52,20.59,20.33,20.43,79269
3-Oct-14,20.55,20.68,20.45,20.51,55802
2-Oct-14,20.09,20.53,19.97,20.37,64676
1-Oct-14,20.22,20.30,19.94,20.08,149104
30-Sep-14,20.39,20.46,20.21,20.21,237425
29-Sep-14,20.32,20.53,20.23,20.35,80233
26-Sep-14,20.53,20.59,20.31,20.47,91824
25-Sep-14,20.55,20.55,20.30,20.40,127054
24-Sep-14,20.43,20.58,20.30,20.56,104374
23-Sep-14,20.30,20.51,20.28,20.39,227986
22-Sep-14,20.44,20.61,20.30,20.31,145941
19-Sep-14,20.46,20.67,20.33,20.51,254897
18-Sep-14,20.07,20.43,20.03,20.39,72316
17-Sep-14,20.14,20.26,19.95,20.01,37249
16-Sep-14,20.01,20.18,19.95,20.09,74477
15-Sep-14,20.28,20.28,19.95,20.06,53655
12-Sep-14,20.39,20.41,20.12,20.25,58480
11-Sep-14,20.02,20.39,20.02,20.33,46356
10-Sep-14,20.03,20.24,20.00,20.17,54216
9-Sep-14,20.22,20.22,19.95,19.97,65545
8-Sep-14,20.16,20.31,20.00,20.20,27712
5-Sep-14,20.02,20.31,19.91,20.10,58241
4-Sep-14,20.33,20.57,20.10,20.12,53481
3-Sep-14,20.58,20.66,20.16,20.19,52515
2-Sep-14,20.57,20.77,20.48,20.59,66248
29-Aug-14,20.24,20.46,20.09,20.41,57950
28-Aug-14,20.35,20.48,20.14,20.20,76024
