Date,Open,High,Low,Close,Volume
23-Oct-14,55.31,56.86,55.11,56.27,2036371
22-Oct-14,56.49,56.99,54.51,54.75,2487594
21-Oct-14,55.03,56.60,54.93,56.35,2156995
20-Oct-14,53.23,54.61,52.61,54.37,1911271
17-Oct-14,55.39,55.98,52.75,53.23,2861449
16-Oct-14,52.23,55.14,51.60,54.22,2546485
15-Oct-14,50.85,53.82,50.51,53.24,4498121
14-Oct-14,51.37,53.07,50.13,52.00,4162763
13-Oct-14,53.91,54.73,50.36,50.51,4621035
10-Oct-14,55.79,56.08,53.53,53.72,4532252
9-Oct-14,61.34,61.50,56.47,56.49,5329895
8-Oct-14,60.40,62.66,58.81,62.19,2680469
7-Oct-14,62.21,62.22,60.39,60.42,2139440
6-Oct-14,64.31,64.43,61.61,62.37,2402272
3-Oct-14,64.52,65.07,63.87,64.10,1345453
2-Oct-14,63.90,64.85,62.16,63.83,2241358
1-Oct-14,65.82,65.87,63.25,63.71,1677077
30-Sep-14,67.61,67.63,64.93,65.81,2347169
29-Sep-14,66.87,67.86,66.18,67.52,1256339
26-Sep-14,67.58,68.07,67.01,67.97,1033882
25-Sep-14,68.47,68.50,66.86,67.20,1405055
24-Sep-14,67.85,68.98,67.20,68.43,1597060
23-Sep-14,66.93,69.20,66.93,67.75,1827290
22-Sep-14,70.44,70.83,66.91,67.17,2706717
19-Sep-14,71.89,72.33,70.16,70.87,2441374
18-Sep-14,72.02,72.20,71.31,71.69,1185717
17-Sep-14,71.16,72.42,70.94,71.69,1608845
16-Sep-14,69.70,70.74,68.55,70.69,1547737
15-Sep-14,72.64,72.98,69.80,69.92,2251713
12-Sep-14,71.53,73.78,71.42,72.78,3085675
11-Sep-14,70.70,71.64,70.30,71.62,1170707
10-Sep-14,70.70,71.43,69.51,70.97,1622335
9-Sep-14,71.66,72.47,70.73,70.90,1443484
8-Sep-14,71.55,73.07,71.30,71.79,1419496
5-Sep-14,71.45,72.00,70.42,71.47,1311750
4-Sep-14,71.63,73.50,71.25,71.55,2439503
3-Sep-14,69.74,72.35,69.65,71.66,3100906
2-Sep-14,69.71,70.00,68.91,69.40,1065181
29-Aug-14,69.21,69.95,69.21,69.68,973708
28-Aug-14,69.32,69.80,68.27,69.15,1860316
27-Aug-14,70.96,71.35,69.80,70.00,1451888
26-Aug-14,70.80,71.36,70.25,71.02,1013504
25-Aug-14,71.04,71.75,70.56,71.16,1252199
22-Aug-14,70.50,70.70,69.58,70.46,1116942
21-Aug-14,70.83,71.00,70.09,70.70,1113929
20-Aug-14,69.90,71.07,69.33,70.83,1484820
19-Aug-14,70.34,71.15,70.05,70.16,1617209
18-Aug-14,69.55,70.69,69.34,70.28,1965490
15-Aug-14,69.47,70.02,68.27,69.12,1994364
14-Aug-14,69.60,69.80,68.03,69.21,1638449
13-Aug-14,69.64,69.97,68.90,69.50,2106584
12-Aug-14,69.63,70.05,68.30,69.07,2083325
11-Aug-14,68.03,70.36,67.88,69.17,2899896
8-Aug-14,68.00,68.49,67.01,67.83,2726038
7-Aug-14,66.34,68.94,65.72,68.17,6131446
6-Aug-14,61.68,65.94,60.15,65.60,9419748
5-Aug-14,63.95,64.77,62.86,63.66,4083618
4-Aug-14,62.40,64.00,62.40,63.14,2523855
1-Aug-14,62.49,62.99,60.58,62.03,2985216
31-Jul-14,65.00,65.36,62.81,63.11,2569894
30-Jul-14,66.00,66.15,65.32,65.58,1389851
29-Jul-14,66.20,66.50,65.32,65.39,2013553
28-Jul-14,65.31,66.68,65.31,65.53,3319048
25-Jul-14,63.17,64.42,62.84,64.05,2376968
24-Jul-14,62.96,63.54,62.03,63.30,1573517
23-Jul-14,63.47,63.62,62.53,62.81,1487688
22-Jul-14,63.50,63.95,62.92,63.47,1336037
21-Jul-14,62.21,63.08,61.76,62.90,1556216
18-Jul-14,61.57,62.67,60.75,62.36,2349640
17-Jul-14,63.05,63.65,61.26,61.45,2605724
16-Jul-14,63.42,63.79,63.04,63.46,1866075
15-Jul-14,63.45,64.29,62.60,62.95,1502773
14-Jul-14,63.88,64.24,63.08,63.27,1560824
11-Jul-14,64.03,64.40,62.23,63.43,2711955
10-Jul-14,62.66,64.21,62.04,63.67,2820544
9-Jul-14,64.69,65.74,64.11,64.42,2568023
8-Jul-14,67.19,67.71,62.41,64.39,7268781
7-Jul-14,69.51,69.95,66.72,67.72,2983183
3-Jul-14,70.05,70.42,69.02,69.50,1078027
2-Jul-14,71.05,71.80,69.60,69.84,1824208
1-Jul-14,71.52,71.58,69.70,70.69,2213054
30-Jun-14,71.85,72.68,70.84,71.06,2223235
27-Jun-14,71.17,72.00,70.85,71.40,2377162
26-Jun-14,70.21,72.46,70.15,71.47,4030481
25-Jun-14,68.50,70.80,68.18,70.18,2154531
24-Jun-14,69.97,70.94,68.43,68.71,3282628
23-Jun-14,68.90,71.57,67.89,70.15,5198719
20-Jun-14,68.57,69.49,68.01,68.90,2606888
19-Jun-14,69.69,70.00,67.76,68.27,2555198
18-Jun-14,69.03,69.94,68.16,69.75,3675210
17-Jun-14,66.85,69.60,66.66,69.13,4879819
16-Jun-14,64.61,67.00,64.50,66.85,4145627
13-Jun-14,63.68,65.03,63.13,64.47,1824588
12-Jun-14,63.70,64.54,62.76,63.90,2820907
11-Jun-14,61.92,64.77,61.84,63.54,3019811
10-Jun-14,62.56,63.15,61.81,62.32,1761275
9-Jun-14,62.68,63.75,62.04,62.57,1867954
6-Jun-14,64.21,64.64,62.66,62.88,2613296
5-Jun-14,65.45,65.83,63.67,64.02,3062982
4-Jun-14,64.24,66.88,63.58,65.39,7911694
3-Jun-14,62.82,63.45,61.70,62.93,2318788
2-Jun-14,62.29,62.99,61.12,62.70,2092742
30-May-14,63.61,63.98,61.27,61.78,2448522
29-May-14,62.02,63.98,62.01,63.41,2734130
28-May-14,62.16,63.35,61.79,61.87,2519901
27-May-14,61.25,62.48,60.97,61.26,2480844
23-May-14,60.71,61.30,60.02,60.67,1634299
22-May-14,60.66,61.74,60.15,60.63,2161428
21-May-14,59.21,60.48,58.69,60.39,2837172
20-May-14,59.88,59.97,57.80,58.63,3103473
19-May-14,58.99,60.49,58.84,59.83,2280928
16-May-14,59.62,60.23,58.57,59.64,2438962
15-May-14,61.47,61.50,58.82,60.10,3674567
14-May-14,62.69,63.49,61.70,61.89,2342681
13-May-14,63.59,64.19,62.70,63.05,3299031
12-May-14,63.55,65.29,62.81,63.83,3370120
9-May-14,63.38,64.69,62.38,63.21,2812194
8-May-14,64.11,66.92,62.59,63.43,4475470
7-May-14,67.80,69.29,61.81,63.57,8466298
6-May-14,68.60,69.39,66.65,67.45,3686277
5-May-14,67.19,68.90,66.71,68.42,2162091
2-May-14,67.72,68.87,67.05,68.03,2213722
1-May-14,66.96,70.00,66.95,67.27,2727069
30-Apr-14,66.10,67.50,65.71,67.49,2362399
29-Apr-14,66.48,66.83,64.60,66.28,2449252
28-Apr-14,68.61,69.00,64.09,65.92,3863302
25-Apr-14,69.69,71.33,68.20,68.63,2649959
24-Apr-14,70.84,71.46,68.77,70.62,2554485
23-Apr-14,71.18,72.41,69.90,70.04,2939260
22-Apr-14,70.04,72.20,69.20,71.12,3454727
21-Apr-14,67.42,69.23,66.50,69.21,2406331
17-Apr-14,67.86,68.95,66.70,67.32,2536692
16-Apr-14,67.05,67.95,65.34,67.59,2723462
15-Apr-14,68.24,68.60,63.31,66.39,5159811
14-Apr-14,68.48,69.28,66.77,68.30,3594866
11-Apr-14,68.70,70.53,66.95,67.59,4979156
10-Apr-14,73.18,73.78,69.30,69.63,4778583
9-Apr-14,73.26,74.18,71.31,73.34,5437646
8-Apr-14,68.71,74.00,68.46,72.77,6768097
7-Apr-14,69.12,71.21,67.05,68.00,5185658
4-Apr-14,69.68,72.96,68.66,69.72,6893975
3-Apr-14,71.90,72.10,67.64,68.46,4683804
2-Apr-14,71.06,72.79,70.31,71.93,3803984
1-Apr-14,70.04,71.62,69.91,70.89,3783961
31-Mar-14,69.55,70.49,68.94,69.79,2961170
28-Mar-14,70.31,71.15,68.38,68.64,3744639
27-Mar-14,68.58,70.50,67.18,69.75,5715888
26-Mar-14,71.98,72.50,68.37,68.49,6229614
25-Mar-14,74.00,74.20,70.46,72.08,6875061
24-Mar-14,72.86,74.84,71.02,73.87,8159236
21-Mar-14,70.00,73.97,69.55,73.37,11892671
20-Mar-14,70.17,73.74,68.53,70.48,21778983
19-Mar-14,57.10,70.99,56.96,69.40,30879295
18-Mar-14,56.55,58.20,56.13,57.56,4406301
17-Mar-14,55.38,56.99,54.75,56.52,4577402
14-Mar-14,52.68,54.34,52.68,54.03,2526723
13-Mar-14,53.97,54.46,52.42,53.03,2940678
12-Mar-14,53.11,54.49,52.79,53.70,2202285
11-Mar-14,55.07,55.71,53.09,53.48,3071657
10-Mar-14,55.94,56.36,54.43,54.84,2848847
