Date,Open,High,Low,Close,Volume
23-Oct-14,47.27,48.15,47.00,47.51,39005
22-Oct-14,47.99,47.99,44.78,46.67,24494
21-Oct-14,47.58,48.40,46.83,47.70,21303
20-Oct-14,46.36,47.32,46.20,47.26,31023
17-Oct-14,48.63,48.63,46.40,46.46,45941
16-Oct-14,46.33,48.64,46.33,47.91,25526
15-Oct-14,44.78,47.52,44.00,47.21,40960
14-Oct-14,44.64,46.01,44.01,45.23,63604
13-Oct-14,44.03,44.76,43.90,44.06,68794
10-Oct-14,44.08,44.70,43.81,43.97,68327
9-Oct-14,45.08,46.44,44.01,44.27,29520
8-Oct-14,44.75,45.54,44.75,45.23,55169
7-Oct-14,45.81,45.85,44.58,44.98,37374
6-Oct-14,46.00,47.05,45.74,45.91,27175
3-Oct-14,46.60,47.27,45.64,45.77,29719
2-Oct-14,44.96,46.69,44.93,46.18,58805
1-Oct-14,46.05,46.05,44.62,45.01,36070
30-Sep-14,47.56,47.72,45.93,45.94,31269
29-Sep-14,46.68,47.88,46.68,47.45,25661
26-Sep-14,46.81,47.55,46.81,47.28,40419
25-Sep-14,47.33,47.33,46.68,46.91,27974
24-Sep-14,47.38,48.06,46.92,47.37,45003
23-Sep-14,48.03,48.66,46.98,47.38,23391
22-Sep-14,49.01,49.15,48.05,48.38,19661
19-Sep-14,49.47,49.47,48.32,49.07,40349
18-Sep-14,49.11,50.23,48.74,49.47,15798
17-Sep-14,49.49,50.18,48.93,49.01,19868
16-Sep-14,48.86,49.97,48.71,49.58,12272
15-Sep-14,50.15,50.15,48.61,49.07,36160
12-Sep-14,52.23,52.23,50.11,50.26,19007
11-Sep-14,50.55,52.40,50.29,52.08,22894
10-Sep-14,51.58,52.36,50.72,51.03,32202
9-Sep-14,52.29,52.85,50.97,51.72,44214
8-Sep-14,52.19,53.30,49.67,52.67,17980
5-Sep-14,51.57,53.01,51.30,52.55,27060
4-Sep-14,52.50,52.70,51.63,51.77,27265
3-Sep-14,53.37,53.76,52.12,52.27,13324
2-Sep-14,52.83,53.50,51.15,52.99,22446
29-Aug-14,52.35,53.18,52.17,52.46,13169
28-Aug-14,53.48,53.68,52.23,52.23,18176
27-Aug-14,53.69,54.17,53.27,53.50,23708
26-Aug-14,53.15,53.75,53.10,53.43,16731
25-Aug-14,52.55,53.41,52.55,53.11,10919
22-Aug-14,52.19,52.99,51.71,52.43,43474
21-Aug-14,52.58,53.00,51.30,52.51,23388
20-Aug-14,52.72,53.66,52.25,52.49,32376
19-Aug-14,54.16,54.82,52.83,53.17,30829
18-Aug-14,53.16,54.69,52.30,53.94,34534
15-Aug-14,52.77,53.00,51.22,52.49,53405
14-Aug-14,52.27,52.86,51.44,52.13,38875
13-Aug-14,52.40,52.77,51.90,52.42,18590
12-Aug-14,51.87,52.37,51.16,52.11,37099
11-Aug-14,51.51,52.90,51.39,52.21,39108
8-Aug-14,49.87,51.19,49.58,51.01,22266
7-Aug-14,49.51,49.88,49.30,49.74,21030
6-Aug-14,48.87,49.99,48.87,49.50,32619
5-Aug-14,48.75,49.79,47.85,49.41,46988
4-Aug-14,46.90,50.22,46.39,48.87,98109
1-Aug-14,46.65,47.24,46.15,46.90,76893
31-Jul-14,47.65,48.50,46.23,46.65,44758
30-Jul-14,48.44,48.74,48.14,48.46,36242
29-Jul-14,49.23,49.70,48.15,48.28,68970
28-Jul-14,49.47,50.00,48.44,49.41,18329
25-Jul-14,50.26,50.62,49.26,49.51,30724
24-Jul-14,50.81,52.11,50.57,50.79,27979
23-Jul-14,51.00,51.42,50.46,51.00,18321
22-Jul-14,50.59,51.34,49.99,51.12,17078
21-Jul-14,50.22,50.48,49.85,50.43,11057
18-Jul-14,49.91,50.75,49.62,50.57,36476
17-Jul-14,51.81,52.20,49.93,50.12,25875
16-Jul-14,52.06,52.34,51.20,51.94,23395
15-Jul-14,51.55,52.36,50.79,51.76,27346
14-Jul-14,51.90,52.21,51.46,51.64,23547
11-Jul-14,52.12,52.20,51.26,51.46,26904
10-Jul-14,53.24,53.24,51.94,52.41,20215
9-Jul-14,54.64,54.94,53.67,53.93,16922
8-Jul-14,55.17,55.43,54.15,54.46,21917
7-Jul-14,56.21,56.72,55.17,55.35,29187
3-Jul-14,56.41,56.70,55.58,56.45,16755
2-Jul-14,55.92,56.26,55.62,55.87,38640
1-Jul-14,54.53,55.82,54.30,55.73,51054
30-Jun-14,53.89,54.30,53.20,54.12,24011
27-Jun-14,51.69,54.59,51.69,54.21,91480
26-Jun-14,52.91,53.37,51.90,52.20,19815
25-Jun-14,52.59,53.13,52.23,53.04,31306
24-Jun-14,52.72,53.26,52.67,52.93,50488
23-Jun-14,52.75,52.81,52.05,52.60,12587
20-Jun-14,53.00,53.00,52.28,52.86,44128
19-Jun-14,52.28,52.89,51.69,52.54,21642
18-Jun-14,52.32,52.49,49.19,51.86,37847
17-Jun-14,51.88,52.63,51.88,52.23,15458
16-Jun-14,52.31,52.31,51.11,52.14,32431
13-Jun-14,51.99,52.38,50.93,52.13,43730
12-Jun-14,53.15,53.15,51.31,51.67,31676
11-Jun-14,54.48,54.65,52.99,53.23,16112
10-Jun-14,54.04,54.68,53.90,54.58,19668
9-Jun-14,53.37,54.43,53.34,53.99,25980
6-Jun-14,52.60,53.79,52.60,53.33,45259
5-Jun-14,51.30,52.34,50.90,52.16,47253
4-Jun-14,50.05,51.02,49.31,51.00,31877
3-Jun-14,50.59,51.08,49.77,50.20,18920
2-Jun-14,51.19,52.41,49.72,50.55,30620
30-May-14,51.86,52.37,50.80,51.08,27414
29-May-14,52.02,52.08,51.20,51.71,24472
28-May-14,52.41,52.48,51.23,52.12,53573
27-May-14,50.00,52.74,50.00,52.41,50378
23-May-14,48.11,49.48,48.11,49.43,30860
22-May-14,47.60,48.34,47.20,48.00,24350
21-May-14,46.39,47.65,45.96,47.58,35760
20-May-14,47.95,47.95,45.83,46.34,35011
19-May-14,47.70,48.49,47.68,48.27,20979
16-May-14,47.02,47.78,46.10,47.68,23760
15-May-14,48.37,48.55,46.65,47.10,31041
14-May-14,49.22,49.60,48.21,48.75,67777
13-May-14,49.50,49.54,48.75,49.13,39836
12-May-14,46.81,49.80,46.55,49.39,51003
9-May-14,45.51,46.85,45.16,46.70,64195
8-May-14,46.21,46.64,45.35,45.61,29808
7-May-14,46.36,46.45,44.82,46.11,29544
6-May-14,45.84,47.01,45.77,46.27,62693
5-May-14,45.25,46.78,45.00,46.23,81975
2-May-14,46.54,47.13,46.10,46.78,44318
1-May-14,47.13,47.13,45.74,46.63,39423
30-Apr-14,47.13,47.45,46.41,47.35,27464
29-Apr-14,47.93,47.93,46.86,47.12,21056
28-Apr-14,48.53,48.57,47.01,47.85,20804
25-Apr-14,48.78,49.44,47.63,48.12,24776
24-Apr-14,49.74,49.78,48.92,49.08,28725
23-Apr-14,49.48,49.99,49.25,49.32,42596
22-Apr-14,49.08,49.95,49.01,49.64,20466
21-Apr-14,49.18,49.32,48.49,49.00,22189
17-Apr-14,48.36,49.24,47.61,49.21,29903
16-Apr-14,48.46,48.64,47.78,48.36,22388
15-Apr-14,48.30,48.58,47.35,47.94,28767
14-Apr-14,49.05,49.39,47.72,48.17,26809
11-Apr-14,48.12,49.24,48.12,48.73,36227
10-Apr-14,48.80,49.15,48.43,48.63,53039
9-Apr-14,48.52,48.86,48.27,48.74,21231
8-Apr-14,47.83,48.61,47.83,48.34,34990
7-Apr-14,48.00,48.16,46.89,47.63,39874
4-Apr-14,48.39,48.45,47.70,47.98,64680
3-Apr-14,48.22,48.24,47.59,47.90,21031
2-Apr-14,47.86,48.22,47.23,48.06,25133
1-Apr-14,47.04,47.87,46.85,47.67,20639
31-Mar-14,46.35,47.51,46.21,46.85,31573
28-Mar-14,46.25,47.10,45.86,45.90,16176
27-Mar-14,45.92,46.41,45.56,46.03,20141
26-Mar-14,46.87,46.91,45.83,46.03,45537
25-Mar-14,46.68,47.01,45.60,46.37,23469
24-Mar-14,46.65,46.65,45.51,46.27,27451
21-Mar-14,46.34,47.08,45.15,46.42,48927
20-Mar-14,46.30,47.19,46.07,46.29,22911
19-Mar-14,47.11,47.20,46.11,46.31,15417
18-Mar-14,47.11,47.25,46.32,47.20,19248
17-Mar-14,46.62,47.10,46.01,46.86,23730
14-Mar-14,46.10,46.94,45.43,46.46,29519
13-Mar-14,46.59,47.00,46.00,46.06,41638
12-Mar-14,45.72,46.49,45.08,46.29,23655
11-Mar-14,47.06,47.06,45.50,45.95,24763
10-Mar-14,47.20,47.67,46.30,46.90,29404
7-Mar-14,47.25,48.41,47.14,47.51,22056
6-Mar-14,46.03,47.24,46.03,47.10,19782
5-Mar-14,46.73,46.73,45.75,46.06,27999
4-Mar-14,45.30,47.36,45.20,46.72,48257
3-Mar-14,45.61,46.45,44.75,44.76,26999
28-Feb-14,46.62,46.62,45.34,46.49,36789
27-Feb-14,43.95,45.04,43.95,45.02,27127
26-Feb-14,43.86,44.80,43.47,44.13,18956
25-Feb-14,43.22,44.08,42.84,43.67,20325
24-Feb-14,42.60,43.39,42.18,43.18,28028
21-Feb-14,44.28,44.28,42.23,42.60,57113
20-Feb-14,42.99,44.46,42.99,43.94,20634
19-Feb-14,43.23,43.71,42.67,42.93,25569
18-Feb-14,43.48,45.39,43.11,43.51,24983
14-Feb-14,43.14,43.73,42.93,43.49,19340
13-Feb-14,42.02,44.12,41.56,43.14,15658
12-Feb-14,42.31,42.64,41.94,42.40,15715
11-Feb-14,41.16,42.56,40.86,42.07,18700
10-Feb-14,41.30,41.38,40.76,40.97,37288
7-Feb-14,41.16,41.71,40.14,41.05,28810
6-Feb-14,41.06,41.65,40.60,40.77,26862
5-Feb-14,40.93,42.96,40.46,40.74,38136
4-Feb-14,41.00,41.50,40.09,41.01,42538
3-Feb-14,43.16,43.16,40.62,41.00,50052
31-Jan-14,43.42,43.56,42.91,43.06,33591
30-Jan-14,43.62,44.58,43.01,44.29,29516
29-Jan-14,43.80,44.72,42.90,43.17,22011
28-Jan-14,44.11,44.18,43.77,44.13,26350
27-Jan-14,44.52,44.67,43.55,43.98,28452
24-Jan-14,45.65,45.65,44.02,44.41,34102
23-Jan-14,45.66,46.41,45.66,46.05,44613
22-Jan-14,45.64,45.87,45.22,45.81,21368
21-Jan-14,45.09,46.10,45.09,45.73,21532
17-Jan-14,45.68,46.32,44.76,44.93,16354
16-Jan-14,45.49,46.10,44.83,45.60,16313
15-Jan-14,45.61,45.82,44.93,45.59,12656
14-Jan-14,45.49,45.65,44.68,45.64,12557
