Date,Open,High,Low,Close,Volume
23-Oct-14,20.05,20.05,20.05,20.05,150
22-Oct-14,19.95,19.95,19.90,19.90,681
20-Oct-14,20.06,20.06,19.63,19.72,2420
17-Oct-14,19.62,19.62,19.52,19.52,2274
16-Oct-14,19.39,19.40,19.38,19.38,1750
15-Oct-14,19.25,19.31,18.85,19.02,7940
14-Oct-14,19.65,20.07,19.48,19.51,3840
13-Oct-14,19.59,20.20,19.48,19.48,13218
10-Oct-14,20.01,20.01,20.01,20.01,240
9-Oct-14,20.23,20.23,20.03,20.03,464
8-Oct-14,19.97,19.97,19.92,19.92,2330
7-Oct-14,20.18,20.20,20.05,20.05,6377
6-Oct-14,20.30,20.30,20.30,20.30,393
3-Oct-14,20.25,20.29,20.25,20.28,1023
2-Oct-14,20.00,20.00,20.00,20.00,302
1-Oct-14,20.25,20.25,20.17,20.17,1658
30-Sep-14,20.38,20.38,20.34,20.34,1097
29-Sep-14,20.36,20.36,20.36,20.36,200
26-Sep-14,20.34,20.34,20.29,20.29,908
25-Sep-14,20.36,20.36,20.34,20.34,3151
24-Sep-14,20.41,20.41,20.40,20.40,2000
23-Sep-14,20.96,20.96,20.39,20.44,6348
19-Sep-14,20.73,20.74,20.73,20.74,1965
18-Sep-14,20.75,20.76,20.74,20.74,805
17-Sep-14,20.60,20.70,20.58,20.70,8210
16-Sep-14,20.65,20.65,20.57,20.57,5696
12-Sep-14,20.60,20.60,20.54,20.54,2801
11-Sep-14,20.54,20.57,20.54,20.56,3300
10-Sep-14,20.54,20.54,20.54,20.54,1232
9-Sep-14,20.53,20.58,20.52,20.58,3224
8-Sep-14,20.60,20.63,20.60,20.61,1401
5-Sep-14,20.57,20.57,20.50,20.50,700
3-Sep-14,20.55,20.56,20.55,20.56,5000
2-Sep-14,20.50,20.50,20.50,20.50,1002
29-Aug-14,20.59,20.61,20.46,20.46,1407
28-Aug-14,20.46,20.50,20.46,20.50,785
27-Aug-14,20.46,20.46,20.46,20.46,248
26-Aug-14,21.53,21.53,20.53,20.53,462
25-Aug-14,20.47,20.49,20.44,20.44,801
22-Aug-14,20.47,20.47,20.41,20.41,5055
21-Aug-14,20.40,20.48,20.40,20.47,2069
20-Aug-14,20.48,20.48,20.44,20.46,1619
19-Aug-14,20.43,20.49,20.43,20.47,5970
18-Aug-14,20.15,20.15,20.15,20.15,508
15-Aug-14,20.23,20.30,20.23,20.30,936
14-Aug-14,20.33,20.33,20.33,20.33,300
13-Aug-14,20.20,20.28,20.20,20.21,5494
12-Aug-14,20.23,20.23,20.17,20.17,5700
11-Aug-14,20.35,20.35,20.19,20.27,3570
8-Aug-14,19.98,20.12,19.98,20.12,4121
7-Aug-14,19.95,19.95,19.95,19.95,1700
5-Aug-14,20.06,20.07,19.97,19.97,10131
4-Aug-14,20.00,20.00,20.00,20.00,1002
1-Aug-14,20.05,20.05,19.94,20.05,2803
31-Jul-14,20.12,20.12,20.05,20.05,3532
30-Jul-14,20.15,20.24,20.11,20.23,25375
29-Jul-14,20.30,20.41,20.28,20.36,61668
28-Jul-14,20.30,20.34,20.23,20.30,49009
25-Jul-14,20.37,20.43,20.36,20.38,17700
24-Jul-14,20.44,20.46,20.41,20.45,63475
23-Jul-14,20.49,20.49,20.44,20.46,3651
21-Jul-14,20.56,20.57,20.56,20.57,3171
18-Jul-14,20.43,20.64,20.43,20.55,14275
17-Jul-14,20.57,20.64,20.44,20.46,63636
16-Jul-14,20.56,20.72,20.56,20.56,7500
15-Jul-14,20.79,20.79,20.53,20.57,27196
14-Jul-14,20.50,20.72,20.50,20.61,85400
11-Jul-14,20.51,20.62,20.47,20.58,60246
10-Jul-14,20.44,20.64,20.44,20.62,103373
9-Jul-14,20.55,20.63,20.53,20.61,95425
8-Jul-14,20.50,20.60,20.50,20.60,99880
7-Jul-14,20.66,20.75,20.64,20.75,12296
3-Jul-14,20.73,20.76,20.68,20.76,29298
2-Jul-14,20.61,20.66,20.60,20.65,7799
1-Jul-14,20.57,20.67,20.50,20.62,14200
30-Jun-14,20.52,20.65,20.51,20.63,8175
27-Jun-14,20.54,20.56,20.40,20.48,12636
26-Jun-14,20.48,20.60,20.43,20.49,19700
25-Jun-14,20.43,20.57,20.43,20.56,39696
24-Jun-14,20.64,20.64,20.46,20.53,11201
23-Jun-14,20.70,20.72,20.58,20.71,17800
20-Jun-14,20.66,20.79,20.66,20.79,323
18-Jun-14,20.50,20.55,20.48,20.49,10715
16-Jun-14,20.66,20.66,20.43,20.44,10200
13-Jun-14,20.45,20.49,20.44,20.44,8719
12-Jun-14,20.44,20.48,20.36,20.43,40300
11-Jun-14,20.46,20.51,20.42,20.47,56602
10-Jun-14,20.41,20.54,20.41,20.49,37895
9-Jun-14,20.47,20.53,20.45,20.47,27276
6-Jun-14,20.44,20.49,20.41,20.47,38802
5-Jun-14,20.34,20.39,20.32,20.34,23100
4-Jun-14,20.34,20.36,20.33,20.34,5501
3-Jun-14,20.33,20.38,20.30,20.37,29514
2-Jun-14,20.31,20.38,20.30,20.37,40500
30-May-14,20.33,20.38,20.26,20.36,20652
29-May-14,20.26,20.37,20.25,20.31,106700
28-May-14,20.30,20.32,20.21,20.28,45700
27-May-14,20.27,20.29,20.23,20.27,56924
22-May-14,20.02,20.14,20.02,20.06,22795
21-May-14,20.00,20.05,19.98,20.03,19800
20-May-14,20.02,20.02,19.98,20.00,2300
19-May-14,20.04,20.11,20.03,20.04,10400
16-May-14,19.95,20.04,19.95,20.03,5194
15-May-14,20.07,20.08,19.93,19.94,29315
14-May-14,20.15,20.25,20.10,20.10,7226
13-May-14,20.19,20.27,20.15,20.17,59825
12-May-14,20.10,20.23,20.10,20.15,183189
9-May-14,20.06,20.12,20.01,20.01,148028
8-May-14,20.06,20.21,20.05,20.05,22642
7-May-14,20.01,20.14,19.99,20.04,51654
6-May-14,20.12,20.12,20.02,20.02,1306
5-May-14,20.05,20.20,20.04,20.10,26321
2-May-14,20.20,20.24,20.13,20.17,3364
1-May-14,20.20,20.25,20.07,20.16,30301
29-Apr-14,20.12,20.22,20.11,20.14,1800
28-Apr-14,20.00,20.18,19.92,20.13,20600
25-Apr-14,20.07,20.09,19.97,20.00,22565
23-Apr-14,20.15,20.15,20.15,20.15,238
22-Apr-14,20.26,20.26,20.26,20.26,300
21-Apr-14,20.16,20.17,20.07,20.17,1806
16-Apr-14,20.00,20.05,19.99,19.99,1556
