Date,Open,High,Low,Close,Volume
22-Oct-14,19.74,19.74,19.74,19.74,400
21-Oct-14,19.78,19.79,19.78,19.79,1902
17-Oct-14,19.57,19.57,19.57,19.57,230
16-Oct-14,19.26,19.39,19.26,19.38,10025
15-Oct-14,19.02,19.02,19.02,19.02,201
14-Oct-14,19.52,19.52,19.44,19.44,429
13-Oct-14,19.62,19.67,19.40,19.40,5721
10-Oct-14,19.84,20.17,19.78,19.78,1175
8-Oct-14,20.02,20.02,19.98,19.98,587
7-Oct-14,20.13,20.13,20.13,20.13,178
3-Oct-14,20.21,20.21,20.21,20.21,923
2-Oct-14,20.06,20.06,19.73,20.02,7546
1-Oct-14,20.98,20.98,20.98,20.98,316
30-Sep-14,20.79,20.83,20.79,20.83,1303
26-Sep-14,20.50,21.00,20.50,21.00,783
25-Sep-14,20.50,20.50,20.40,20.40,1015
24-Sep-14,20.34,20.49,20.34,20.49,582
23-Sep-14,20.44,20.44,20.44,20.44,146
22-Sep-14,21.34,21.34,21.34,21.34,411
19-Sep-14,20.61,20.61,20.61,20.61,2074
18-Sep-14,20.57,20.63,20.57,20.63,666
16-Sep-14,20.40,20.54,20.40,20.54,3601
15-Sep-14,20.44,20.45,20.39,20.43,2081
12-Sep-14,20.46,20.46,20.42,20.42,634
11-Sep-14,20.50,20.50,20.50,20.50,713
8-Sep-14,20.46,20.50,20.46,20.46,2107
5-Sep-14,20.48,20.54,20.48,20.54,1175
4-Sep-14,20.53,20.53,20.51,20.51,665
3-Sep-14,20.40,20.47,20.40,20.47,1001
2-Sep-14,20.40,20.40,20.40,20.40,1052
28-Aug-14,20.34,20.34,20.34,20.34,500
26-Aug-14,20.41,20.45,20.38,20.45,5519
22-Aug-14,20.33,20.34,20.33,20.34,3385
21-Aug-14,20.29,20.35,20.29,20.35,3540
20-Aug-14,20.34,20.37,20.34,20.37,887
19-Aug-14,20.31,20.35,20.31,20.35,1045
18-Aug-14,20.29,20.29,20.24,20.24,2600
15-Aug-14,20.14,20.14,20.14,20.14,487
14-Aug-14,20.22,20.23,20.22,20.23,1040
13-Aug-14,20.15,20.15,20.15,20.15,3590
11-Aug-14,20.15,20.15,20.12,20.12,2578
8-Aug-14,19.93,19.97,19.93,19.97,1761
7-Aug-14,20.03,20.03,20.03,20.03,1806
6-Aug-14,19.99,20.03,19.98,20.03,4825
5-Aug-14,19.99,20.00,19.98,19.99,8140
4-Aug-14,19.95,19.98,19.92,19.98,8527
1-Aug-14,19.97,19.97,19.90,19.94,1697
31-Jul-14,19.95,19.95,19.95,19.95,2900
30-Jul-14,20.19,20.19,20.08,20.18,3177
25-Jul-14,20.26,20.34,20.25,20.27,13900
24-Jul-14,20.37,20.44,20.33,20.36,25376
23-Jul-14,20.35,20.35,20.33,20.33,2811
22-Jul-14,20.50,20.50,20.30,20.36,4700
21-Jul-14,20.35,20.37,20.35,20.36,374
18-Jul-14,20.46,20.52,20.30,20.46,108752
17-Jul-14,20.40,20.44,20.34,20.41,2304
16-Jul-14,20.50,20.52,20.39,20.46,32778
15-Jul-14,20.59,20.59,20.59,20.59,737
14-Jul-14,20.60,20.60,20.51,20.51,1300
11-Jul-14,20.60,20.60,20.48,20.48,2022
10-Jul-14,20.50,20.50,20.50,20.50,372
9-Jul-14,20.50,20.58,20.50,20.58,1673
8-Jul-14,20.55,20.55,20.55,20.55,130
7-Jul-14,20.40,20.62,20.40,20.40,20051
3-Jul-14,20.66,20.66,20.55,20.61,12102
2-Jul-14,20.59,20.59,20.49,20.51,771
1-Jul-14,20.40,20.55,20.40,20.55,1935
30-Jun-14,20.36,20.46,20.35,20.46,18215
27-Jun-14,20.47,20.47,20.25,20.35,8467
25-Jun-14,20.26,20.49,20.26,20.43,37609
24-Jun-14,20.44,20.53,20.27,20.35,45801
23-Jun-14,20.45,20.52,20.40,20.50,29200
20-Jun-14,20.45,20.55,20.43,20.49,35858
19-Jun-14,20.41,20.55,20.38,20.45,31749
18-Jun-14,20.30,20.49,20.28,20.40,26337
17-Jun-14,20.25,20.31,20.25,20.25,10246
16-Jun-14,20.25,20.33,20.21,20.21,41200
13-Jun-14,20.15,20.30,20.15,20.26,24900
12-Jun-14,20.54,20.54,20.14,20.19,48098
11-Jun-14,20.25,20.30,20.22,20.26,30042
10-Jun-14,20.23,20.36,20.23,20.30,45522
9-Jun-14,20.27,20.38,20.25,20.27,37850
6-Jun-14,20.28,20.32,20.23,20.28,9700
5-Jun-14,20.19,20.19,20.19,20.19,1000
4-Jun-14,20.12,20.16,20.12,20.16,5702
3-Jun-14,20.13,20.13,20.13,20.13,921
30-May-14,20.16,20.16,20.16,20.16,1031
29-May-14,20.12,20.18,20.06,20.07,5144
28-May-14,20.08,20.10,20.06,20.06,800
27-May-14,20.03,20.04,20.03,20.03,601
23-May-14,20.02,20.02,19.91,20.00,14400
22-May-14,20.00,20.08,19.93,19.98,117225
21-May-14,19.93,19.96,19.88,19.95,35329
16-May-14,19.80,19.80,19.80,19.80,1422
15-May-14,19.96,19.97,19.93,19.97,6456
14-May-14,20.16,20.16,20.16,20.16,1000
13-May-14,20.19,20.19,20.11,20.17,2804
9-May-14,19.97,19.97,19.85,19.85,300
8-May-14,20.03,20.03,20.03,20.03,1000
6-May-14,20.03,20.03,19.98,19.98,1198
5-May-14,20.08,20.08,20.07,20.07,498
2-May-14,20.10,20.10,20.09,20.10,2276
1-May-14,20.11,20.11,20.11,20.11,1001
25-Apr-14,20.01,20.01,20.00,20.00,801
23-Apr-14,20.09,20.10,20.09,20.10,900
21-Apr-14,20.07,20.07,20.07,20.07,1700
15-Apr-14,19.73,19.73,19.73,19.73,1000
14-Apr-14,19.79,19.79,19.68,19.68,600
11-Apr-14,19.66,19.67,19.66,19.67,444
10-Apr-14,19.79,19.79,19.77,19.77,2002
9-Apr-14,19.84,19.98,19.84,19.96,2800
4-Apr-14,20.11,20.11,19.95,19.98,1677
1-Apr-14,19.98,20.00,19.88,20.00,2179
31-Mar-14,19.96,19.98,19.96,19.98,2562
28-Mar-14,19.86,19.88,19.71,19.73,3692
26-Mar-14,19.83,19.83,19.83,19.83,1515
24-Mar-14,19.71,19.71,19.71,19.71,313
21-Mar-14,19.93,19.93,19.93,19.93,6000
17-Mar-14,19.86,19.86,19.75,19.84,700
13-Mar-14,19.78,19.78,19.73,19.73,1007
11-Mar-14,19.84,19.84,19.84,19.84,300
