Date,Open,High,Low,Close,Volume
23-Oct-14,8.41,8.41,8.32,8.36,1033
22-Oct-14,8.25,8.25,8.25,8.25,1054
21-Oct-14,8.31,8.32,8.30,8.31,2054
20-Oct-14,8.41,8.41,8.32,8.32,1000
17-Oct-14,8.25,8.40,8.25,8.39,2489
16-Oct-14,8.25,8.35,8.17,8.28,2326
15-Oct-14,8.30,8.41,8.30,8.33,6437
14-Oct-14,8.24,8.42,8.24,8.42,5805
13-Oct-14,8.24,8.24,8.10,8.18,3900
10-Oct-14,8.24,8.24,8.20,8.21,1724
9-Oct-14,8.18,8.18,8.12,8.14,3000
8-Oct-14,8.09,8.12,8.03,8.10,3199
7-Oct-14,8.04,8.09,8.02,8.05,2995
6-Oct-14,8.08,8.09,8.00,8.08,3809
3-Oct-14,8.04,8.05,8.00,8.02,2795
2-Oct-14,8.01,8.02,7.94,7.99,4665
1-Oct-14,8.19,8.19,7.93,7.93,14140
30-Sep-14,7.93,7.95,7.92,7.93,3473
29-Sep-14,8.00,8.20,7.92,7.92,3717
26-Sep-14,8.25,8.25,7.63,7.95,12597
25-Sep-14,8.25,8.28,8.15,8.15,9859
24-Sep-14,8.30,8.32,8.25,8.31,1100
23-Sep-14,8.25,8.41,8.25,8.41,894
22-Sep-14,8.44,8.44,8.25,8.28,6205
19-Sep-14,8.36,8.54,8.30,8.54,10753
18-Sep-14,8.50,8.50,8.38,8.39,8147
17-Sep-14,8.45,8.50,8.44,8.50,6223
16-Sep-14,8.42,8.49,8.37,8.41,3788
15-Sep-14,8.46,8.59,8.40,8.42,2369
12-Sep-14,8.49,8.50,8.41,8.43,3222
11-Sep-14,8.49,8.49,8.36,8.36,3072
10-Sep-14,8.36,8.49,8.36,8.46,2942
9-Sep-14,8.40,8.40,8.33,8.36,731
8-Sep-14,8.40,8.45,8.40,8.45,3778
5-Sep-14,8.67,8.77,8.40,8.45,1816
4-Sep-14,8.40,8.53,8.40,8.45,9159
3-Sep-14,8.56,8.56,8.40,8.45,14516
2-Sep-14,8.47,8.71,8.41,8.50,10347
29-Aug-14,8.45,8.50,8.40,8.41,17853
28-Aug-14,8.45,8.57,8.45,8.57,3355
27-Aug-14,8.50,8.80,8.46,8.47,6942
26-Aug-14,8.47,8.54,8.45,8.48,5665
25-Aug-14,8.52,8.55,8.46,8.48,9428
