Date,Open,High,Low,Close,Volume
22-Oct-14,4.69,4.74,4.68,4.69,7331
21-Oct-14,4.56,4.69,4.56,4.69,2425
20-Oct-14,4.49,4.53,4.44,4.53,6890
17-Oct-14,4.49,4.62,4.46,4.46,2269
16-Oct-14,4.58,4.58,4.49,4.50,33054
15-Oct-14,4.55,4.57,4.55,4.55,46653
14-Oct-14,4.55,4.63,4.55,4.60,21108
13-Oct-14,4.48,4.60,4.48,4.57,9387
10-Oct-14,4.67,4.67,4.51,4.55,19689
9-Oct-14,4.66,4.66,4.66,4.66,115
8-Oct-14,4.68,4.70,4.55,4.55,5236
7-Oct-14,4.61,4.64,4.60,4.60,25667
6-Oct-14,4.51,4.64,4.51,4.60,6430
2-Oct-14,4.59,4.62,4.59,4.62,744
1-Oct-14,4.60,4.63,4.50,4.55,73137
30-Sep-14,4.61,4.66,4.51,4.66,1703
29-Sep-14,4.55,4.61,4.55,4.61,4801
26-Sep-14,4.47,4.59,4.47,4.59,4290
25-Sep-14,4.70,4.70,4.46,4.55,3368
24-Sep-14,4.61,4.69,4.55,4.69,17283
23-Sep-14,4.69,4.70,4.57,4.60,9803
22-Sep-14,4.80,4.82,4.68,4.78,7273
19-Sep-14,4.71,4.82,4.61,4.82,935
18-Sep-14,4.70,4.84,4.56,4.82,11576
17-Sep-14,4.57,4.72,4.56,4.72,2301
16-Sep-14,4.55,4.73,4.55,4.68,10766
15-Sep-14,4.55,4.63,4.55,4.63,20509
12-Sep-14,4.55,4.73,4.55,4.67,45913
11-Sep-14,4.63,4.75,4.51,4.55,22157
10-Sep-14,4.55,4.75,4.55,4.75,4826
9-Sep-14,4.73,4.73,4.67,4.72,423
8-Sep-14,4.55,4.68,4.51,4.55,84132
5-Sep-14,4.55,4.58,4.54,4.55,58496
4-Sep-14,4.45,4.69,4.45,4.55,6861
3-Sep-14,4.51,4.61,4.51,4.60,10700
2-Sep-14,4.65,4.85,4.64,4.85,6092
29-Aug-14,4.55,4.65,4.52,4.65,56422
28-Aug-14,4.50,4.50,4.50,4.50,2768
27-Aug-14,4.45,4.45,4.44,4.44,200
26-Aug-14,4.36,4.55,4.36,4.55,503
25-Aug-14,4.64,4.64,4.36,4.36,1626
22-Aug-14,4.60,4.60,4.35,4.35,420
21-Aug-14,4.48,4.48,4.42,4.42,1057
20-Aug-14,4.50,4.50,4.49,4.50,1098
19-Aug-14,4.62,4.72,4.43,4.50,67353
18-Aug-14,4.28,4.59,4.24,4.38,37499
