Date,Open,High,Low,Close,Volume
23-Oct-14,36.39,36.79,35.88,36.70,176577
22-Oct-14,34.99,36.08,34.00,36.08,237966
21-Oct-14,34.15,35.10,33.55,34.95,320839
20-Oct-14,33.19,33.97,33.10,33.80,124647
17-Oct-14,34.16,34.88,32.29,33.04,301569
16-Oct-14,30.95,32.94,30.83,32.76,285300
15-Oct-14,30.30,31.91,30.00,31.47,340600
14-Oct-14,31.69,31.93,30.02,30.93,365096
13-Oct-14,33.95,34.86,31.08,31.91,168486
10-Oct-14,33.52,35.10,33.44,33.95,319208
9-Oct-14,33.77,34.10,33.56,33.97,232650
8-Oct-14,33.79,34.25,33.24,34.03,179334
7-Oct-14,32.50,34.10,32.27,33.54,133637
6-Oct-14,33.01,33.81,32.33,32.49,105470
3-Oct-14,34.44,34.44,32.41,33.12,230836
2-Oct-14,34.10,34.19,33.07,34.02,140748
1-Oct-14,34.65,35.04,33.94,33.96,140685
30-Sep-14,36.05,36.34,34.15,34.72,153293
29-Sep-14,35.99,36.23,35.32,35.79,69102
26-Sep-14,36.55,36.84,35.80,35.97,118886
25-Sep-14,36.76,36.85,35.77,36.65,72500
24-Sep-14,36.74,36.99,36.43,36.72,64943
23-Sep-14,37.21,37.49,36.60,36.95,60029
22-Sep-14,37.84,38.14,37.06,37.25,82156
19-Sep-14,38.50,38.94,38.16,38.34,106794
18-Sep-14,38.18,38.72,37.56,38.50,143943
17-Sep-14,37.59,38.01,36.74,37.83,125533
16-Sep-14,36.70,38.20,36.30,37.73,187799
15-Sep-14,37.33,37.73,36.50,36.88,125887
12-Sep-14,37.86,38.45,37.00,37.27,155197
11-Sep-14,38.48,38.72,37.63,38.00,89729
10-Sep-14,39.35,39.35,37.82,38.85,125123
9-Sep-14,38.02,39.14,37.48,39.00,265207
8-Sep-14,37.60,38.27,36.70,38.04,146279
5-Sep-14,37.47,37.97,36.52,37.61,73710
4-Sep-14,38.16,38.28,37.03,37.51,128046
3-Sep-14,38.30,38.30,37.63,37.93,92479
2-Sep-14,38.22,38.22,37.51,38.00,96251
29-Aug-14,37.55,38.25,37.30,38.08,173364
28-Aug-14,37.26,38.32,37.06,37.63,135264
27-Aug-14,38.05,38.19,37.40,37.57,146092
26-Aug-14,38.07,38.49,37.36,37.92,150686
25-Aug-14,37.37,38.36,37.37,38.35,72992
22-Aug-14,38.20,38.20,36.89,37.28,109388
21-Aug-14,37.45,38.48,37.43,38.26,150670
20-Aug-14,37.00,37.47,36.52,37.45,123877
19-Aug-14,36.43,37.45,36.17,36.91,129564
18-Aug-14,36.03,36.41,35.80,36.13,303893
15-Aug-14,36.19,36.24,35.53,36.00,133236
14-Aug-14,35.56,36.16,35.12,36.00,131966
13-Aug-14,35.19,35.61,34.94,35.45,134941
12-Aug-14,36.17,36.17,34.95,35.17,105641
11-Aug-14,35.59,36.17,35.53,35.97,90039
8-Aug-14,35.24,35.63,34.86,35.53,121612
7-Aug-14,34.67,35.16,34.50,35.09,79872
6-Aug-14,33.93,35.20,33.21,34.81,119651
5-Aug-14,33.97,34.39,33.00,33.80,95628
4-Aug-14,33.56,33.99,33.13,33.87,74326
1-Aug-14,33.18,33.83,33.01,33.37,144605
31-Jul-14,33.62,34.52,32.79,33.07,147241
30-Jul-14,34.01,34.15,33.22,33.56,119482
29-Jul-14,33.55,34.19,33.31,34.11,124843
28-Jul-14,34.67,34.77,33.46,34.52,163015
25-Jul-14,35.07,35.55,34.26,34.67,113650
24-Jul-14,35.96,35.96,35.06,35.30,149622
23-Jul-14,36.00,36.19,35.65,36.00,59258
22-Jul-14,36.18,36.38,35.54,35.96,118148
21-Jul-14,35.81,36.16,35.61,36.13,82811
18-Jul-14,35.41,35.88,35.41,35.84,85557
17-Jul-14,35.19,36.10,35.12,35.52,194628
16-Jul-14,34.25,35.37,34.10,35.02,140492
15-Jul-14,34.84,35.07,33.88,34.40,170559
14-Jul-14,35.00,35.82,34.62,34.68,137705
11-Jul-14,35.13,35.67,34.61,35.05,107771
10-Jul-14,35.40,36.82,35.09,35.37,125485
9-Jul-14,35.69,36.36,35.09,35.79,139011
8-Jul-14,35.41,36.20,35.05,35.57,159374
7-Jul-14,36.13,36.32,35.25,35.60,185421
3-Jul-14,36.28,36.50,35.92,36.13,100088
2-Jul-14,36.50,36.89,35.91,36.12,69644
1-Jul-14,36.90,37.31,36.29,36.50,83296
30-Jun-14,37.00,37.40,36.50,36.85,122295
27-Jun-14,36.57,37.25,36.42,37.00,105705
26-Jun-14,36.00,36.76,35.86,36.41,83124
25-Jun-14,35.99,36.63,35.59,36.29,131485
24-Jun-14,36.14,37.30,35.46,36.16,240037
23-Jun-14,37.10,38.50,35.50,36.38,376973
20-Jun-14,35.19,37.28,34.67,37.08,344758
19-Jun-14,34.02,34.99,34.02,34.94,149612
18-Jun-14,34.76,35.31,34.03,34.10,242284
17-Jun-14,34.35,34.72,33.84,34.71,90322
16-Jun-14,33.84,34.49,33.74,34.17,126878
13-Jun-14,33.90,34.05,33.60,34.02,103479
12-Jun-14,33.97,34.12,33.58,33.95,127336
11-Jun-14,33.95,33.95,33.54,33.83,97604
10-Jun-14,33.90,34.00,33.21,33.98,134803
9-Jun-14,34.01,34.10,33.68,34.02,167033
6-Jun-14,33.47,34.12,33.20,34.00,207832
5-Jun-14,33.57,33.57,33.07,33.45,148929
4-Jun-14,33.30,33.54,32.90,33.40,202720
3-Jun-14,33.00,33.33,32.33,33.18,153908
2-Jun-14,33.17,33.68,32.65,33.09,186504
30-May-14,32.41,33.20,32.31,32.95,160737
29-May-14,31.72,32.40,31.72,32.35,200630
28-May-14,31.37,32.10,31.26,31.93,144063
27-May-14,31.09,31.71,31.00,31.38,142118
23-May-14,31.72,32.20,31.32,31.41,145442
22-May-14,31.00,31.66,31.00,31.53,88517
21-May-14,31.38,31.38,31.02,31.05,206930
20-May-14,31.29,31.44,31.10,31.37,107718
19-May-14,31.32,31.39,31.10,31.27,88768
16-May-14,31.33,31.40,31.07,31.35,54565
15-May-14,31.35,31.39,30.61,31.21,136521
14-May-14,31.13,31.43,31.11,31.26,138519
13-May-14,31.61,31.61,31.05,31.29,160567
12-May-14,31.51,31.63,31.02,31.49,154863
9-May-14,31.50,31.63,31.17,31.40,148893
8-May-14,31.54,31.61,31.03,31.40,147198
7-May-14,31.06,31.50,30.77,31.48,175063
6-May-14,30.93,31.53,30.37,30.93,130734
5-May-14,30.47,31.11,30.35,31.07,94779
2-May-14,30.14,30.93,30.14,30.49,132162
1-May-14,30.70,31.17,30.23,30.26,68293
30-Apr-14,31.31,31.50,30.78,30.95,321561
29-Apr-14,30.73,31.34,30.70,31.24,108024
28-Apr-14,30.75,31.05,30.60,30.80,109656
25-Apr-14,30.53,30.90,30.30,30.42,98162
24-Apr-14,31.00,31.13,30.37,30.52,90731
23-Apr-14,31.12,31.26,30.61,30.69,154821
22-Apr-14,31.04,31.37,30.93,31.05,123159
21-Apr-14,31.00,31.44,31.00,31.16,111560
