Date,Open,High,Low,Close,Volume
23-Oct-14,17.20,17.27,17.10,17.27,201700
22-Oct-14,17.10,17.18,17.05,17.11,225674
21-Oct-14,17.18,17.20,17.04,17.12,136293
20-Oct-14,16.94,17.12,16.90,17.12,211661
17-Oct-14,17.19,17.19,16.91,17.03,130935
16-Oct-14,16.77,17.09,16.77,17.02,229279
15-Oct-14,16.95,17.00,16.41,16.95,265499
14-Oct-14,17.00,17.10,16.97,17.02,175636
13-Oct-14,17.03,17.10,16.87,16.99,268760
10-Oct-14,16.95,17.17,16.92,16.96,137729
9-Oct-14,17.06,17.23,16.99,17.02,131550
8-Oct-14,16.84,17.09,16.84,17.04,166490
7-Oct-14,16.93,17.01,16.83,16.86,80394
6-Oct-14,17.10,17.10,16.92,17.01,84509
3-Oct-14,17.08,17.09,16.87,17.03,87470
2-Oct-14,16.98,17.04,16.83,16.94,58537
1-Oct-14,17.03,17.03,16.81,16.91,130785
30-Sep-14,17.23,17.33,16.94,16.99,155929
29-Sep-14,17.05,17.26,17.00,17.10,91398
26-Sep-14,17.05,17.16,16.99,17.14,142853
25-Sep-14,17.09,17.16,16.98,17.05,84041
24-Sep-14,17.10,17.19,16.97,17.06,96935
23-Sep-14,17.29,17.29,17.01,17.08,97524
22-Sep-14,17.30,17.42,17.28,17.29,63626
19-Sep-14,17.56,17.57,17.33,17.39,180959
18-Sep-14,17.69,17.75,17.50,17.54,65920
17-Sep-14,17.70,17.80,17.58,17.63,83754
16-Sep-14,17.75,17.84,17.63,17.75,127292
15-Sep-14,18.01,18.01,17.69,17.70,104595
12-Sep-14,18.19,18.40,17.90,17.94,106439
11-Sep-14,18.19,18.29,18.13,18.22,51864
10-Sep-14,18.29,18.29,18.09,18.21,71865
9-Sep-14,18.34,18.34,18.21,18.28,37921
8-Sep-14,18.36,18.40,18.25,18.32,61907
5-Sep-14,18.15,18.32,18.15,18.30,42265
4-Sep-14,18.36,18.36,18.18,18.21,59055
3-Sep-14,18.38,18.38,18.16,18.26,43370
2-Sep-14,18.33,18.38,18.17,18.29,54856
29-Aug-14,18.13,18.29,18.05,18.28,70764
28-Aug-14,18.02,18.15,18.02,18.04,37976
27-Aug-14,18.07,18.18,18.02,18.09,46076
26-Aug-14,18.06,18.16,18.00,18.09,51123
25-Aug-14,18.20,18.20,17.97,18.05,70963
22-Aug-14,18.25,18.28,18.07,18.11,78692
21-Aug-14,18.25,18.31,18.15,18.19,37942
20-Aug-14,18.30,18.31,18.14,18.24,57562
19-Aug-14,18.36,18.37,18.22,18.30,69119
18-Aug-14,18.34,18.34,18.21,18.28,81497
15-Aug-14,18.41,18.41,18.14,18.26,87766
14-Aug-14,18.15,18.41,18.04,18.29,145933
13-Aug-14,17.90,18.12,17.86,18.11,98267
12-Aug-14,17.90,17.90,17.75,17.86,62097
11-Aug-14,17.82,17.97,17.72,17.90,71031
8-Aug-14,17.57,17.76,17.51,17.72,60365
7-Aug-14,17.71,17.73,17.50,17.59,76372
6-Aug-14,17.44,17.69,17.42,17.67,91735
5-Aug-14,17.58,17.66,17.39,17.48,70458
4-Aug-14,17.44,17.62,17.28,17.58,64029
1-Aug-14,17.50,17.51,17.28,17.36,95042
31-Jul-14,17.55,17.62,17.39,17.45,245687
30-Jul-14,17.62,17.62,17.40,17.52,116759
29-Jul-14,17.67,17.77,17.50,17.53,72364
28-Jul-14,17.53,17.70,17.53,17.62,70276
25-Jul-14,17.60,17.74,17.50,17.57,93949
24-Jul-14,17.81,17.83,17.55,17.60,91693
23-Jul-14,17.74,17.78,17.71,17.75,40938
22-Jul-14,17.80,17.91,17.76,17.80,99120
21-Jul-14,17.80,17.87,17.73,17.80,53944
18-Jul-14,17.68,17.81,17.67,17.79,70742
17-Jul-14,17.76,17.82,17.66,17.72,99470
16-Jul-14,17.80,17.84,17.66,17.77,76329
15-Jul-14,17.86,17.93,17.64,17.70,110780
14-Jul-14,17.86,17.95,17.77,17.92,71107
11-Jul-14,17.72,17.79,17.62,17.73,77614
10-Jul-14,17.84,17.88,17.65,17.70,159424
9-Jul-14,17.96,17.99,17.81,17.94,50674
8-Jul-14,17.97,17.97,17.75,17.88,70569
7-Jul-14,17.96,17.96,17.77,17.90,116171
3-Jul-14,18.00,18.00,17.77,17.94,53137
2-Jul-14,17.91,18.02,17.84,18.01,129569
1-Jul-14,17.83,17.99,17.74,17.85,101325
30-Jun-14,17.75,17.92,17.60,17.87,136604
27-Jun-14,17.51,17.75,17.51,17.75,145277
26-Jun-14,17.49,17.60,17.42,17.60,67130
25-Jun-14,17.45,17.54,17.40,17.51,83970
24-Jun-14,17.49,17.59,17.41,17.47,93171
23-Jun-14,17.50,17.50,17.42,17.47,56643
20-Jun-14,17.42,17.53,17.31,17.53,185933
19-Jun-14,17.32,17.42,17.28,17.41,82685
18-Jun-14,17.28,17.33,17.20,17.27,80189
17-Jun-14,17.27,17.36,17.20,17.30,103283
16-Jun-14,17.44,17.48,17.32,17.32,102592
13-Jun-14,17.49,17.49,17.36,17.37,92956
12-Jun-14,17.35,17.47,17.23,17.46,109621
11-Jun-14,17.43,17.47,17.35,17.39,87273
10-Jun-14,17.42,17.49,17.30,17.39,173401
9-Jun-14,17.34,17.40,17.30,17.35,156319
6-Jun-14,17.45,17.45,17.31,17.37,132018
5-Jun-14,17.22,17.40,17.10,17.39,196135
4-Jun-14,17.06,17.18,16.99,17.16,229827
3-Jun-14,16.88,17.13,16.84,17.01,1345811
2-Jun-14,17.97,17.97,17.50,17.53,138966
30-May-14,17.92,17.99,17.83,17.97,56706
29-May-14,17.90,17.99,17.76,17.85,30235
28-May-14,17.95,17.96,17.80,17.89,53702
27-May-14,17.74,17.95,17.70,17.95,143178
23-May-14,17.51,17.66,17.44,17.66,64362
22-May-14,17.42,17.58,17.25,17.44,70543
21-May-14,17.41,17.41,17.25,17.33,55594
20-May-14,17.43,17.53,17.30,17.40,103490
19-May-14,17.53,17.64,17.40,17.51,59506
16-May-14,17.40,17.52,17.32,17.48,58631
15-May-14,17.57,17.73,17.35,17.51,134777
14-May-14,17.84,17.84,17.51,17.57,69530
13-May-14,17.88,17.93,17.73,17.80,99936
12-May-14,17.73,17.90,17.71,17.83,85405
9-May-14,17.57,17.73,17.51,17.71,53675
8-May-14,17.70,17.73,17.57,17.57,56861
7-May-14,17.54,17.69,17.52,17.68,59750
6-May-14,17.62,17.71,17.54,17.55,68373
5-May-14,17.67,17.69,17.53,17.62,52648
2-May-14,17.70,17.70,17.56,17.64,51510
1-May-14,17.70,17.70,17.46,17.67,77315
30-Apr-14,17.62,17.72,17.51,17.64,60310
29-Apr-14,17.70,17.70,17.51,17.57,53559
28-Apr-14,17.50,17.72,17.40,17.65,64584
25-Apr-14,17.49,17.65,17.35,17.42,48544
24-Apr-14,17.63,17.75,17.48,17.52,49501
23-Apr-14,17.70,17.76,17.51,17.56,60697
22-Apr-14,17.70,17.75,17.50,17.69,71629
21-Apr-14,17.47,17.69,17.44,17.69,76140
17-Apr-14,17.47,17.47,17.32,17.42,43053
16-Apr-14,17.49,17.51,17.35,17.47,35560
15-Apr-14,17.40,17.57,17.28,17.54,70546
14-Apr-14,17.47,17.52,17.34,17.36,44958
11-Apr-14,17.30,17.36,17.25,17.30,76196
10-Apr-14,17.58,17.68,17.32,17.36,59878
9-Apr-14,17.55,17.67,17.40,17.53,53590
8-Apr-14,17.37,17.69,17.37,17.53,50556
7-Apr-14,17.38,17.60,17.38,17.41,45473
4-Apr-14,17.68,17.68,17.43,17.51,45519
3-Apr-14,17.67,17.68,17.49,17.59,36861
2-Apr-14,17.63,17.73,17.49,17.70,51697
1-Apr-14,17.37,17.61,17.29,17.59,51873
31-Mar-14,17.25,17.44,17.17,17.34,93690
28-Mar-14,17.23,17.36,17.17,17.25,55986
27-Mar-14,17.20,17.29,17.08,17.15,36287
26-Mar-14,17.55,17.55,17.20,17.21,57899
25-Mar-14,17.49,17.58,17.39,17.48,53560
24-Mar-14,17.54,17.56,17.25,17.45,68209
21-Mar-14,17.35,17.58,17.27,17.53,122088
20-Mar-14,17.33,17.42,17.24,17.36,67018
19-Mar-14,17.55,17.56,17.22,17.29,76351
18-Mar-14,17.50,17.59,17.35,17.49,120930
17-Mar-14,17.60,17.64,17.42,17.54,131049
14-Mar-14,17.60,17.67,17.50,17.58,36525
13-Mar-14,17.63,17.64,17.48,17.58,43938
12-Mar-14,17.58,17.70,17.54,17.68,123496
11-Mar-14,17.68,17.71,17.60,17.61,40780
10-Mar-14,17.56,17.68,17.50,17.67,53571
7-Mar-14,17.66,17.70,17.44,17.64,85337
6-Mar-14,17.61,17.67,17.56,17.58,80705
5-Mar-14,17.62,17.72,17.52,17.64,59858
4-Mar-14,17.65,17.75,17.38,17.61,136447
3-Mar-14,17.35,17.49,17.23,17.44,71435
28-Feb-14,17.51,17.57,17.27,17.40,97534
27-Feb-14,17.39,17.45,17.21,17.45,86599
26-Feb-14,17.32,17.49,17.25,17.39,70643
25-Feb-14,17.48,17.49,17.12,17.24,122050
24-Feb-14,17.50,17.59,17.47,17.51,100303
21-Feb-14,17.55,17.69,17.45,17.45,102534
