Date,Open,High,Low,Close,Volume
23-Oct-14,54.11,54.54,54.01,54.23,855098
22-Oct-14,53.93,55.03,53.57,53.60,1573313
21-Oct-14,52.99,53.91,52.88,53.85,1532243
20-Oct-14,52.26,52.84,52.12,52.82,716464
17-Oct-14,52.91,53.10,51.99,52.24,1722820
16-Oct-14,51.22,53.37,51.22,52.61,1573341
15-Oct-14,50.09,52.12,49.86,51.86,2252747
14-Oct-14,49.73,51.15,49.37,50.78,1937936
13-Oct-14,49.64,50.37,49.10,49.35,1614036
10-Oct-14,49.57,50.94,49.44,49.77,1618600
9-Oct-14,51.13,51.13,49.16,49.72,1608323
8-Oct-14,50.24,51.30,49.69,51.19,1919423
7-Oct-14,51.08,51.10,49.91,50.06,1177820
6-Oct-14,50.57,51.28,50.36,51.23,1460943
3-Oct-14,49.95,50.64,49.16,50.45,1982686
2-Oct-14,50.91,51.00,48.67,49.88,5507012
1-Oct-14,51.76,51.94,50.95,50.99,1529406
30-Sep-14,51.82,52.38,51.62,51.99,1054353
29-Sep-14,51.45,51.94,51.01,51.87,1460887
26-Sep-14,51.07,52.07,50.85,51.86,990311
25-Sep-14,51.17,51.41,50.50,50.75,952254
24-Sep-14,50.68,51.27,50.15,51.24,1459272
23-Sep-14,51.35,52.00,50.71,50.75,1155760
22-Sep-14,52.01,52.06,51.41,51.53,1106576
19-Sep-14,53.40,53.40,52.04,52.10,2589495
18-Sep-14,53.17,53.45,53.03,53.06,864391
17-Sep-14,53.66,53.82,52.99,53.07,1188086
16-Sep-14,53.55,54.20,53.38,53.74,1161948
15-Sep-14,53.35,53.79,53.20,53.62,1538922
12-Sep-14,52.84,54.02,52.45,53.53,2296613
11-Sep-14,53.50,53.50,52.30,53.08,1546511
10-Sep-14,51.90,53.94,51.90,53.77,4916879
9-Sep-14,53.31,53.49,50.29,51.71,5306928
8-Sep-14,53.01,54.03,52.58,53.56,1580300
5-Sep-14,52.36,53.28,52.20,53.27,1577873
4-Sep-14,53.54,54.03,52.38,52.44,2259449
3-Sep-14,53.99,54.19,53.40,53.56,3158491
2-Sep-14,54.36,54.53,53.50,53.92,1690371
29-Aug-14,54.57,54.81,53.98,54.33,1162433
28-Aug-14,54.39,54.50,53.20,54.12,2618305
27-Aug-14,56.92,57.25,54.44,54.59,2915385
26-Aug-14,57.63,57.81,57.37,57.46,479123
