Date,Open,High,Low,Close,Volume
23-Oct-14,4.75,4.88,4.75,4.78,30485
22-Oct-14,4.98,4.98,4.83,4.83,4157
21-Oct-14,4.75,5.00,4.75,4.94,12517
20-Oct-14,4.77,4.88,4.77,4.88,10871
17-Oct-14,4.75,4.95,4.75,4.82,15104
16-Oct-14,4.90,4.91,4.72,4.74,27729
15-Oct-14,5.00,5.08,4.90,4.93,15978
14-Oct-14,5.02,5.08,4.98,5.00,9200
13-Oct-14,5.08,5.11,5.00,5.02,35489
10-Oct-14,5.10,5.12,5.07,5.11,25219
9-Oct-14,5.12,5.15,5.10,5.11,11023
8-Oct-14,5.26,5.26,5.15,5.15,7769
7-Oct-14,5.31,5.31,5.25,5.26,4228
6-Oct-14,5.25,5.29,5.25,5.25,15817
3-Oct-14,5.27,5.32,5.25,5.26,6664
2-Oct-14,5.30,5.40,5.26,5.29,11139
1-Oct-14,5.50,5.50,5.25,5.28,11430
30-Sep-14,5.35,5.43,5.35,5.41,15905
29-Sep-14,5.30,5.36,5.30,5.32,2099
26-Sep-14,5.45,5.45,5.30,5.32,8523
25-Sep-14,5.37,5.47,5.37,5.47,19945
24-Sep-14,5.39,5.42,5.38,5.42,21294
23-Sep-14,5.37,5.42,5.37,5.42,50856
22-Sep-14,5.41,5.42,5.39,5.42,23078
19-Sep-14,5.32,5.45,5.32,5.45,47084
18-Sep-14,5.34,5.44,5.33,5.33,12297
17-Sep-14,5.39,5.45,5.33,5.33,6344
16-Sep-14,5.35,5.41,5.35,5.40,14000
15-Sep-14,5.47,5.47,5.36,5.36,31445
12-Sep-14,5.40,5.45,5.33,5.44,11889
11-Sep-14,5.41,5.46,5.35,5.40,42977
10-Sep-14,5.42,5.49,5.37,5.44,38295
9-Sep-14,5.44,5.44,5.37,5.40,33091
8-Sep-14,5.48,5.53,5.35,5.44,45667
5-Sep-14,5.55,5.55,5.42,5.46,25791
4-Sep-14,5.46,5.62,5.45,5.54,45716
3-Sep-14,5.64,5.69,5.46,5.49,64681
2-Sep-14,5.68,5.73,5.62,5.64,46783
29-Aug-14,5.70,5.73,5.65,5.66,25312
28-Aug-14,5.61,5.78,5.61,5.66,108423
27-Aug-14,5.70,5.70,5.59,5.66,54350
26-Aug-14,5.54,5.68,5.51,5.65,71009
25-Aug-14,5.55,5.73,5.50,5.59,204329
22-Aug-14,5.49,5.50,5.45,5.47,26508
21-Aug-14,5.40,5.47,5.39,5.47,71932
20-Aug-14,5.37,5.40,5.30,5.38,129308
19-Aug-14,6.19,6.20,5.23,5.41,879719
18-Aug-14,4.97,5.00,4.91,4.94,89963
15-Aug-14,5.06,5.06,4.96,4.97,68878
14-Aug-14,5.09,5.11,5.00,5.03,99879
13-Aug-14,5.17,5.17,5.05,5.10,60820
12-Aug-14,5.20,5.28,5.10,5.16,81768
11-Aug-14,5.59,5.59,5.23,5.23,138282
8-Aug-14,5.62,5.64,5.52,5.54,54054
7-Aug-14,6.32,6.32,5.56,5.60,255396
6-Aug-14,6.39,6.42,6.34,6.39,278494
5-Aug-14,6.41,6.43,6.39,6.40,235703
4-Aug-14,6.43,6.45,6.40,6.42,259419
1-Aug-14,6.37,6.46,6.33,6.42,188801
31-Jul-14,6.43,6.44,6.30,6.40,195390
30-Jul-14,6.49,6.49,6.42,6.47,53990
29-Jul-14,6.45,6.49,6.44,6.46,59234
28-Jul-14,6.43,6.48,6.43,6.48,46524
25-Jul-14,6.43,6.45,6.43,6.45,85701
24-Jul-14,6.45,6.47,6.43,6.47,78900
23-Jul-14,6.49,6.49,6.44,6.45,166429
22-Jul-14,6.49,6.49,6.48,6.49,40891
21-Jul-14,6.48,6.49,6.46,6.49,61132
