Date,Open,High,Low,Close,Volume
23-Oct-14,15.62,16.01,15.38,15.78,1299663
22-Oct-14,15.20,16.14,14.98,15.52,2903958
21-Oct-14,14.55,15.05,14.40,15.03,1555410
20-Oct-14,13.31,14.50,13.26,14.50,1174659
17-Oct-14,13.57,13.62,13.22,13.32,862868
16-Oct-14,12.85,13.54,12.75,13.35,1183361
15-Oct-14,12.85,13.25,12.62,13.11,1941305
14-Oct-14,12.69,13.25,12.64,13.02,1389719
13-Oct-14,13.08,13.17,12.52,12.62,1305758
10-Oct-14,13.16,13.45,12.97,13.05,939343
9-Oct-14,13.34,13.53,13.07,13.13,754812
8-Oct-14,13.20,13.41,12.78,13.34,824274
7-Oct-14,13.27,13.45,13.02,13.15,872212
6-Oct-14,13.82,13.87,13.30,13.32,549434
3-Oct-14,13.52,13.93,13.45,13.76,745072
2-Oct-14,13.29,13.59,13.02,13.38,717642
1-Oct-14,13.26,13.34,12.91,13.24,1183900
30-Sep-14,13.51,13.78,13.32,13.45,724222
29-Sep-14,13.48,13.67,13.40,13.50,742489
26-Sep-14,13.56,13.78,13.48,13.65,660974
25-Sep-14,13.76,13.88,13.38,13.56,608411
24-Sep-14,14.14,14.14,13.37,13.82,3807333
23-Sep-14,14.43,14.56,14.03,14.12,478363
22-Sep-14,14.91,14.95,14.42,14.52,540305
19-Sep-14,15.35,15.35,14.89,14.95,704996
18-Sep-14,15.16,15.40,15.11,15.25,447935
17-Sep-14,15.35,15.47,15.03,15.12,420412
16-Sep-14,15.12,15.32,14.86,15.31,495987
15-Sep-14,15.48,15.53,15.16,15.17,573065
12-Sep-14,15.58,15.68,15.43,15.48,421878
11-Sep-14,15.58,15.75,15.40,15.56,616502
10-Sep-14,15.32,15.70,15.10,15.60,561093
9-Sep-14,15.52,15.57,15.26,15.27,435015
8-Sep-14,15.37,15.75,15.37,15.52,514076
5-Sep-14,15.32,15.52,15.20,15.34,441806
4-Sep-14,15.34,15.82,15.31,15.35,1319124
3-Sep-14,15.78,15.78,15.07,15.26,859412
2-Sep-14,15.61,15.89,15.30,15.83,803679
29-Aug-14,15.58,15.67,15.41,15.60,406503
28-Aug-14,15.48,15.74,15.45,15.49,418983
27-Aug-14,15.77,15.80,15.51,15.60,337377
26-Aug-14,15.83,15.98,15.56,15.68,461019
25-Aug-14,15.86,16.00,15.76,15.84,560971
22-Aug-14,15.60,15.81,15.50,15.75,437199
21-Aug-14,15.89,15.94,15.33,15.61,654567
20-Aug-14,15.76,16.08,15.68,15.83,947850
19-Aug-14,15.60,15.72,15.36,15.68,796066
18-Aug-14,15.15,15.62,15.09,15.60,946598
15-Aug-14,15.09,15.16,14.63,14.89,637323
14-Aug-14,14.69,14.98,14.69,14.95,671681
13-Aug-14,14.46,14.82,14.45,14.77,707604
12-Aug-14,14.78,14.85,14.33,14.41,1103903
11-Aug-14,13.97,14.61,13.80,14.57,2204866
8-Aug-14,13.50,13.98,13.36,13.90,851211
7-Aug-14,13.65,13.94,13.36,13.53,799764
6-Aug-14,13.49,13.74,13.42,13.59,685244
5-Aug-14,13.54,13.90,13.42,13.52,909273
4-Aug-14,13.84,14.05,13.45,13.59,702265
1-Aug-14,13.93,13.93,13.50,13.78,875097
31-Jul-14,14.18,14.22,13.85,13.93,796972
30-Jul-14,14.25,14.41,13.92,14.41,1098811
29-Jul-14,13.93,14.36,13.80,14.05,1070369
28-Jul-14,14.48,14.49,13.75,13.90,990050
25-Jul-14,13.66,14.51,13.65,14.40,1477415
24-Jul-14,14.99,15.00,13.65,13.70,1842144
23-Jul-14,13.40,14.80,13.35,14.75,3744229
22-Jul-14,13.11,13.17,12.85,12.97,1108663
21-Jul-14,13.14,13.16,12.99,13.02,1309432
18-Jul-14,13.00,13.32,13.00,13.19,562491
17-Jul-14,13.30,13.42,12.88,13.00,1023192
16-Jul-14,13.75,13.79,13.33,13.39,793253
15-Jul-14,13.61,13.80,13.38,13.63,643876
14-Jul-14,13.71,13.85,13.55,13.58,679203
11-Jul-14,13.33,13.56,13.30,13.55,724494
10-Jul-14,13.07,13.40,13.00,13.28,908002
9-Jul-14,13.55,13.78,13.24,13.26,790788
8-Jul-14,13.03,13.53,12.67,13.41,1489703
7-Jul-14,13.51,13.64,13.07,13.15,1257703
3-Jul-14,13.59,13.79,13.55,13.55,353997
2-Jul-14,13.90,13.94,13.53,13.57,824302
1-Jul-14,13.74,13.90,13.73,13.90,1030838
30-Jun-14,13.91,13.94,13.65,13.71,916564
27-Jun-14,13.78,13.98,13.71,13.89,2752695
26-Jun-14,14.07,14.16,13.76,13.86,624422
25-Jun-14,13.79,14.17,13.64,14.03,752288
24-Jun-14,14.00,14.29,13.84,13.85,2180698
23-Jun-14,13.99,14.09,13.86,14.06,1024330
20-Jun-14,14.05,14.35,13.97,14.07,1095409
19-Jun-14,14.24,14.37,13.94,14.07,757320
18-Jun-14,14.39,14.39,13.90,14.20,815277
17-Jun-14,13.92,14.14,13.90,14.07,765825
16-Jun-14,14.29,14.39,13.84,13.90,1861738
13-Jun-14,14.55,14.64,14.20,14.43,1078934
12-Jun-14,14.82,14.90,14.28,14.52,3139890
11-Jun-14,15.68,15.73,15.18,15.19,1142497
10-Jun-14,16.11,16.11,15.59,15.84,836631
9-Jun-14,16.30,16.49,16.06,16.20,622492
6-Jun-14,16.01,16.25,15.98,16.25,512616
5-Jun-14,15.96,16.19,15.93,16.00,744169
4-Jun-14,15.74,15.97,15.61,15.95,675890
3-Jun-14,15.78,16.05,15.51,15.80,865337
2-Jun-14,15.56,16.00,15.35,15.80,1294917
30-May-14,15.82,15.87,15.20,15.44,1116604
29-May-14,15.40,15.80,15.31,15.79,1041200
28-May-14,15.08,15.32,15.03,15.31,922704
27-May-14,15.05,15.35,15.00,15.07,988616
23-May-14,14.60,15.12,14.60,14.92,728462
22-May-14,14.52,14.67,14.43,14.56,458522
21-May-14,14.58,14.80,14.41,14.49,510695
20-May-14,14.83,14.84,14.30,14.48,668917
19-May-14,14.34,14.84,14.30,14.82,830668
16-May-14,14.30,14.42,14.00,14.40,708287
15-May-14,14.41,14.53,13.84,14.24,1018458
14-May-14,14.79,14.79,14.38,14.45,840174
13-May-14,14.82,14.98,14.63,14.78,679615
12-May-14,14.21,14.87,14.21,14.84,990916
9-May-14,14.36,14.45,13.72,14.15,1346740
8-May-14,14.62,14.94,14.21,14.38,955271
7-May-14,14.90,15.07,14.45,14.68,896807
6-May-14,15.18,15.35,14.80,14.89,801227
5-May-14,14.88,15.41,14.70,15.23,786815
2-May-14,14.98,15.18,14.73,15.07,1220758
1-May-14,14.50,15.04,14.43,14.90,1563987
30-Apr-14,14.17,14.46,14.10,14.45,1128133
29-Apr-14,14.39,14.46,14.11,14.37,754567
28-Apr-14,14.61,14.76,13.95,14.36,1137592
25-Apr-14,14.91,14.94,14.53,14.61,887701
24-Apr-14,15.00,15.25,14.50,14.98,2369590
23-Apr-14,14.59,15.18,14.05,14.63,2720689
22-Apr-14,13.48,13.85,13.41,13.69,865319
21-Apr-14,13.13,13.47,12.81,13.41,997654
17-Apr-14,13.24,13.38,12.94,13.11,545962
16-Apr-14,12.96,13.25,12.83,13.23,556536
15-Apr-14,12.78,13.08,12.35,12.80,818573
14-Apr-14,13.13,13.17,12.44,12.67,756439
11-Apr-14,13.13,13.45,12.82,12.92,908393
10-Apr-14,13.76,13.83,13.14,13.24,778915
9-Apr-14,13.32,13.82,13.29,13.79,787608
8-Apr-14,13.33,13.49,12.73,13.22,1404106
7-Apr-14,13.51,13.84,13.16,13.26,1225106
4-Apr-14,14.35,14.40,13.47,13.58,1297809
3-Apr-14,14.48,14.64,14.05,14.22,979234
2-Apr-14,14.36,14.75,14.35,14.54,1520577
1-Apr-14,14.02,14.41,14.02,14.38,975809
31-Mar-14,13.54,14.05,13.54,13.96,898057
28-Mar-14,13.59,13.86,13.40,13.47,902763
27-Mar-14,13.85,13.85,13.32,13.58,1136444
26-Mar-14,14.25,14.25,13.79,13.80,883251
25-Mar-14,13.84,14.25,13.84,14.12,1081631
24-Mar-14,14.04,14.16,13.51,13.73,1182629
21-Mar-14,14.31,14.35,13.90,13.97,1248717
20-Mar-14,14.24,14.48,14.17,14.19,983982
19-Mar-14,14.73,14.75,14.22,14.35,1443578
18-Mar-14,13.88,14.75,13.84,14.73,2298512
17-Mar-14,13.76,13.96,13.74,13.81,1159281
14-Mar-14,13.48,13.74,13.35,13.60,1067274
13-Mar-14,13.82,14.02,13.47,13.49,1795213
12-Mar-14,13.79,14.00,13.60,13.75,1394903
11-Mar-14,13.75,14.23,13.55,13.92,3363489
10-Mar-14,14.20,14.59,14.05,14.55,1247499
7-Mar-14,14.27,14.35,13.63,14.20,2879806
6-Mar-14,13.51,14.33,13.50,14.16,7208176
5-Mar-14,12.64,13.12,12.55,13.06,2031618
4-Mar-14,12.38,12.59,12.37,12.48,1884623
3-Mar-14,11.96,12.45,11.65,12.29,1409713
28-Feb-14,12.30,12.50,11.99,12.04,1692687
27-Feb-14,12.13,12.52,12.12,12.24,1795138
26-Feb-14,11.89,12.30,11.75,12.12,1210680
25-Feb-14,11.45,11.92,11.42,11.84,2228065
24-Feb-14,11.29,11.49,11.23,11.33,912713
21-Feb-14,11.07,11.39,11.00,11.28,2127677
20-Feb-14,10.34,11.05,10.32,11.02,2265932
19-Feb-14,10.35,10.40,10.26,10.31,873006
18-Feb-14,10.21,10.54,10.17,10.37,1659561
14-Feb-14,10.19,10.24,10.14,10.20,438742
13-Feb-14,10.04,10.26,10.03,10.20,783850
12-Feb-14,10.21,10.30,10.07,10.11,728299
11-Feb-14,10.07,10.32,9.96,10.23,808572
10-Feb-14,10.25,10.30,9.94,10.06,351340
7-Feb-14,9.94,10.26,9.91,10.24,916779
6-Feb-14,9.68,9.99,9.68,9.85,710498
5-Feb-14,9.64,9.75,9.46,9.63,1052285
4-Feb-14,9.85,9.89,9.66,9.69,965247
3-Feb-14,10.15,10.29,9.62,9.79,1509077
31-Jan-14,10.21,10.33,10.11,10.16,1415414
30-Jan-14,10.29,10.47,10.10,10.33,1321968
29-Jan-14,10.18,10.50,10.00,10.15,1122955
28-Jan-14,10.31,10.47,10.07,10.29,1561349
27-Jan-14,10.57,10.62,10.19,10.33,1115905
24-Jan-14,10.70,10.80,10.48,10.57,1132011
23-Jan-14,10.99,11.12,10.66,10.83,1327388
22-Jan-14,11.09,11.17,11.02,11.04,888094
21-Jan-14,10.90,11.20,10.87,11.04,1083804
17-Jan-14,10.96,11.08,10.77,10.83,755461
16-Jan-14,11.10,11.15,10.97,11.00,662785
15-Jan-14,10.97,11.20,10.90,11.08,1609575
14-Jan-14,10.62,10.98,10.62,10.98,2313453
13-Jan-14,10.60,10.67,10.47,10.59,1774840
10-Jan-14,10.30,10.62,10.28,10.61,1546444
9-Jan-14,10.30,10.50,10.22,10.27,1388651
8-Jan-14,10.22,10.26,10.06,10.26,1276644
7-Jan-14,10.17,10.33,10.07,10.30,742711
6-Jan-14,10.39,10.45,10.10,10.13,1274714
3-Jan-14,9.63,10.38,9.63,10.31,2548160
2-Jan-14,9.62,9.85,9.53,9.62,1390927
31-Dec-13,9.46,9.76,9.46,9.63,1069744
30-Dec-13,9.51,9.58,9.42,9.50,594300
27-Dec-13,9.35,9.59,9.20,9.50,2069586
26-Dec-13,9.25,9.36,9.24,9.34,687863
24-Dec-13,9.04,9.24,8.96,9.24,386152
23-Dec-13,9.20,9.22,9.11,9.20,408504
20-Dec-13,8.97,9.19,8.91,9.18,1022412
19-Dec-13,9.00,9.06,8.81,8.95,375089
18-Dec-13,8.83,9.03,8.80,9.03,517218
17-Dec-13,8.94,8.96,8.80,8.83,473941
16-Dec-13,8.82,8.95,8.75,8.95,678108
13-Dec-13,8.87,8.93,8.71,8.79,352697
12-Dec-13,8.63,8.93,8.61,8.86,824692
11-Dec-13,8.71,8.74,8.61,8.65,565063
10-Dec-13,8.72,8.80,8.61,8.69,601519
9-Dec-13,8.86,8.95,8.74,8.76,537550
6-Dec-13,8.80,8.90,8.75,8.86,473087
5-Dec-13,8.71,8.88,8.62,8.74,560762
4-Dec-13,8.82,8.88,8.66,8.73,559191
3-Dec-13,8.95,8.95,8.76,8.87,606419
2-Dec-13,9.15,9.20,8.98,8.99,852011
29-Nov-13,9.24,9.24,9.02,9.12,418406
27-Nov-13,8.71,9.07,8.64,9.06,1280522
26-Nov-13,8.54,8.75,8.54,8.61,2546571
25-Nov-13,8.36,8.60,8.34,8.56,2488448
22-Nov-13,8.36,8.40,8.18,8.33,365227
21-Nov-13,8.22,8.33,8.20,8.33,288057
20-Nov-13,8.22,8.27,8.08,8.16,417923
19-Nov-13,8.32,8.41,8.14,8.20,477482
18-Nov-13,8.39,8.42,8.22,8.29,610720
15-Nov-13,8.35,8.39,8.27,8.33,426716
14-Nov-13,8.55,8.56,8.32,8.38,517076
13-Nov-13,8.21,8.54,8.20,8.50,1893006
12-Nov-13,8.32,8.45,8.19,8.24,1706941
11-Nov-13,8.28,8.39,8.24,8.32,662083
8-Nov-13,8.19,8.36,8.18,8.27,847975
7-Nov-13,8.31,8.33,8.19,8.20,656919
6-Nov-13,8.37,8.47,8.23,8.25,511046
5-Nov-13,8.30,8.42,8.23,8.28,473234
4-Nov-13,8.40,8.48,8.30,8.31,642582
