Date,Open,High,Low,Close,Volume
23-Oct-14,36.64,37.85,36.33,37.17,235564
22-Oct-14,37.39,37.84,36.10,36.20,260014
21-Oct-14,36.12,38.00,36.12,37.25,231843
20-Oct-14,35.39,36.18,35.25,35.81,209540
17-Oct-14,35.48,36.84,34.81,35.49,493437
16-Oct-14,33.09,35.23,33.09,34.94,583416
15-Oct-14,32.46,33.82,32.08,33.72,469219
14-Oct-14,32.50,33.21,32.17,32.81,456306
13-Oct-14,32.08,33.07,32.06,32.17,423574
10-Oct-14,34.59,34.73,32.01,32.09,902524
9-Oct-14,36.94,37.38,34.60,34.78,457655
8-Oct-14,36.06,37.06,35.27,36.92,468807
7-Oct-14,37.72,37.91,36.16,36.19,254147
6-Oct-14,38.79,39.04,37.70,37.91,226965
3-Oct-14,38.40,39.49,38.01,38.76,243250
2-Oct-14,38.05,38.88,37.17,37.97,307537
1-Oct-14,40.14,40.33,37.89,38.07,401450
30-Sep-14,40.89,41.00,40.00,40.28,472941
29-Sep-14,40.41,41.05,40.34,40.94,210732
26-Sep-14,40.64,41.27,40.41,40.97,347178
25-Sep-14,40.88,41.14,40.29,40.60,189944
24-Sep-14,40.81,41.18,40.36,41.06,127025
23-Sep-14,40.87,41.28,40.50,40.86,188974
22-Sep-14,41.70,41.95,40.43,41.03,165404
19-Sep-14,41.01,42.00,41.01,41.89,598972
18-Sep-14,40.43,40.92,40.18,40.89,187105
17-Sep-14,39.44,40.44,39.21,40.28,155727
16-Sep-14,39.04,39.73,39.00,39.47,116265
15-Sep-14,40.00,40.31,38.87,39.24,150506
12-Sep-14,39.44,40.08,38.89,40.02,253274
11-Sep-14,39.47,39.78,38.91,39.36,183601
10-Sep-14,40.13,40.33,38.81,39.66,230409
9-Sep-14,41.08,41.37,39.90,40.08,170043
8-Sep-14,40.98,41.48,40.73,41.14,117040
5-Sep-14,41.45,41.59,40.96,41.08,89397
4-Sep-14,41.74,42.38,41.44,41.61,130861
3-Sep-14,41.95,41.95,41.50,41.68,142592
2-Sep-14,41.17,41.94,41.00,41.79,233668
29-Aug-14,41.15,41.17,40.74,40.91,139342
28-Aug-14,40.96,41.39,40.50,41.10,151038
27-Aug-14,41.64,41.93,40.52,41.00,145779
26-Aug-14,40.03,41.55,40.01,41.50,249223
25-Aug-14,40.78,41.00,39.77,39.98,91224
22-Aug-14,39.53,41.03,39.24,40.39,265548
21-Aug-14,38.99,39.93,38.71,39.47,205637
20-Aug-14,39.28,39.33,38.81,39.10,167487
19-Aug-14,39.54,39.88,39.34,39.37,195051
18-Aug-14,39.20,39.85,39.20,39.49,189217
15-Aug-14,39.22,39.30,38.31,38.70,253139
14-Aug-14,38.53,39.20,38.23,38.85,143996
13-Aug-14,38.82,39.17,38.44,38.55,162593
12-Aug-14,38.89,39.68,38.22,38.57,369737
11-Aug-14,38.47,39.80,38.28,38.98,291324
8-Aug-14,37.03,38.87,36.47,38.20,468060
7-Aug-14,36.87,37.75,36.86,37.06,160952
6-Aug-14,36.06,37.20,35.72,36.80,147087
5-Aug-14,35.87,36.40,35.46,36.31,262062
4-Aug-14,36.09,36.48,35.45,36.05,252661
1-Aug-14,36.33,36.50,35.48,35.93,260620
31-Jul-14,38.35,38.88,35.32,36.18,471698
30-Jul-14,37.77,37.79,36.90,37.41,336419
29-Jul-14,37.53,38.42,37.34,37.50,301016
28-Jul-14,38.11,38.56,37.04,37.11,238781
25-Jul-14,37.88,38.18,37.73,38.05,109898
24-Jul-14,38.50,38.82,37.96,38.25,175477
23-Jul-14,38.78,39.22,38.15,38.84,317632
22-Jul-14,37.22,38.88,37.16,38.82,197766
21-Jul-14,37.23,37.40,36.88,36.99,361445
18-Jul-14,37.15,37.56,37.07,37.48,161364
17-Jul-14,36.72,38.20,36.44,37.22,346652
16-Jul-14,36.65,37.28,36.35,36.85,178561
15-Jul-14,36.47,37.10,36.30,36.56,284385
14-Jul-14,36.39,36.72,36.26,36.46,275061
11-Jul-14,36.02,36.31,35.55,35.93,177714
10-Jul-14,35.95,36.55,35.31,36.02,229757
9-Jul-14,36.87,37.23,36.58,36.74,120090
8-Jul-14,37.00,37.01,36.17,36.63,122840
7-Jul-14,38.04,38.46,37.05,37.07,105907
3-Jul-14,38.38,38.57,38.04,38.25,106859
2-Jul-14,38.23,38.78,38.07,38.15,167056
1-Jul-14,37.97,39.42,37.73,38.46,400441
30-Jun-14,35.51,36.69,35.34,36.34,298448
27-Jun-14,35.56,36.00,35.28,35.46,500147
26-Jun-14,35.96,36.18,35.57,35.84,164597
25-Jun-14,35.08,35.90,35.00,35.86,167927
24-Jun-14,36.35,36.49,35.25,35.32,117074
23-Jun-14,36.58,36.67,35.96,36.39,244187
20-Jun-14,36.69,36.82,36.19,36.44,616520
19-Jun-14,35.96,36.53,35.96,36.46,138499
18-Jun-14,35.68,36.03,35.36,35.75,188343
17-Jun-14,35.78,36.47,35.34,35.76,219722
16-Jun-14,35.86,35.98,35.49,35.94,205580
13-Jun-14,36.02,36.46,35.63,35.86,92589
12-Jun-14,36.86,36.86,35.58,35.88,252953
11-Jun-14,37.87,37.87,36.84,36.90,163722
10-Jun-14,38.25,38.36,37.32,38.03,107874
9-Jun-14,37.57,38.63,37.57,38.40,154218
6-Jun-14,38.45,38.94,37.53,37.66,139817
5-Jun-14,36.00,38.58,35.93,38.16,356915
4-Jun-14,34.58,36.09,34.56,35.58,218969
3-Jun-14,34.65,35.41,34.21,34.80,254676
2-Jun-14,34.71,35.02,33.61,34.83,279501
30-May-14,34.27,34.73,34.02,34.65,230555
29-May-14,33.84,34.25,33.36,34.17,256401
28-May-14,34.31,34.48,33.47,33.77,262680
27-May-14,34.36,34.56,33.51,34.33,185904
23-May-14,33.90,34.05,33.75,33.92,209881
22-May-14,34.20,34.28,33.50,33.99,162600
21-May-14,34.91,35.10,33.90,34.20,112935
20-May-14,35.46,35.62,34.59,34.76,294024
19-May-14,35.15,36.36,35.02,35.50,189593
16-May-14,34.69,35.46,34.46,35.41,148635
15-May-14,34.58,35.00,34.27,34.74,191901
14-May-14,34.86,35.43,34.42,34.83,275683
13-May-14,35.67,35.72,34.88,34.96,341636
12-May-14,34.82,36.02,34.82,35.61,361274
9-May-14,34.71,34.92,34.12,34.63,204646
8-May-14,35.46,36.24,34.78,34.85,187518
7-May-14,35.48,35.59,34.35,35.43,311983
6-May-14,35.86,36.52,35.30,35.48,187275
5-May-14,37.28,37.28,35.35,36.15,551734
