Date,Open,High,Low,Close,Volume
23-Oct-14,9.88,9.95,9.45,9.62,75558
22-Oct-14,9.25,10.14,9.12,9.83,188920
21-Oct-14,8.90,9.19,8.57,8.79,102103
20-Oct-14,9.39,9.74,8.95,9.12,68849
17-Oct-14,9.28,9.69,9.14,9.45,48477
16-Oct-14,8.50,9.74,8.50,9.15,80743
15-Oct-14,9.99,9.99,8.52,9.32,109844
14-Oct-14,9.50,9.62,8.84,9.61,180488
13-Oct-14,9.54,9.84,9.28,9.51,48173
10-Oct-14,9.15,9.79,9.12,9.57,63527
9-Oct-14,9.97,10.02,9.18,9.22,49084
8-Oct-14,10.01,10.12,9.78,9.98,25619
7-Oct-14,10.11,10.19,9.67,9.89,54213
6-Oct-14,10.46,11.42,9.88,10.12,66822
3-Oct-14,10.44,10.81,10.44,10.53,64574
2-Oct-14,10.47,10.71,10.14,10.30,59388
1-Oct-14,10.76,10.76,10.00,10.54,127909
30-Sep-14,10.73,11.50,10.63,10.79,127276
29-Sep-14,10.75,10.97,10.52,10.67,87564
26-Sep-14,10.59,11.10,10.50,10.79,46215
25-Sep-14,11.47,11.47,10.47,10.59,150507
24-Sep-14,11.99,11.99,11.31,11.44,46914
23-Sep-14,12.24,12.37,11.80,11.80,43439
22-Sep-14,12.13,12.29,11.97,12.22,20986
19-Sep-14,11.95,12.75,11.95,12.32,146270
18-Sep-14,12.36,12.36,11.78,11.87,44819
17-Sep-14,12.49,12.49,12.05,12.24,23332
16-Sep-14,12.53,12.55,12.28,12.40,34359
15-Sep-14,12.47,12.57,12.19,12.52,59368
12-Sep-14,12.41,12.64,12.40,12.43,75857
11-Sep-14,12.22,12.61,12.06,12.43,24580
10-Sep-14,12.32,12.57,12.08,12.28,65917
9-Sep-14,12.42,12.63,12.25,12.32,35993
8-Sep-14,12.63,12.97,12.32,12.49,28545
5-Sep-14,12.61,12.97,12.50,12.73,28697
4-Sep-14,12.79,12.97,12.61,12.68,47053
3-Sep-14,12.85,12.96,12.57,12.71,18000
2-Sep-14,12.76,12.99,12.52,12.86,41285
29-Aug-14,12.89,13.08,12.64,12.74,54121
28-Aug-14,12.78,13.00,12.63,12.84,82446
27-Aug-14,13.05,13.07,12.53,12.85,51726
26-Aug-14,12.82,13.10,12.81,13.10,39423
25-Aug-14,12.57,12.94,12.51,12.82,77124
22-Aug-14,12.52,12.59,12.28,12.49,25530
21-Aug-14,12.22,12.65,12.22,12.44,30689
20-Aug-14,12.07,12.57,12.00,12.32,87770
19-Aug-14,12.00,12.13,11.90,12.04,34903
18-Aug-14,12.06,12.17,12.00,12.00,79928
15-Aug-14,11.78,12.35,11.78,12.05,541508
14-Aug-14,12.92,13.21,12.60,12.81,28230
13-Aug-14,13.01,13.14,12.52,12.60,37429
12-Aug-14,12.85,13.25,12.85,12.98,33125
11-Aug-14,12.95,13.25,12.85,12.85,45435
8-Aug-14,12.85,13.00,12.85,12.87,17233
7-Aug-14,12.87,13.13,12.87,12.94,18687
6-Aug-14,12.84,13.25,12.78,13.00,56404
5-Aug-14,13.19,13.19,12.57,12.98,33095
4-Aug-14,13.39,13.46,12.97,13.10,29351
1-Aug-14,13.09,13.50,12.88,13.25,46030
31-Jul-14,13.81,13.85,13.06,13.22,38039
30-Jul-14,13.91,14.00,13.82,13.90,31120
29-Jul-14,13.66,13.99,13.39,13.85,47384
28-Jul-14,13.69,13.69,13.40,13.56,26811
25-Jul-14,13.73,13.73,13.48,13.59,29757
24-Jul-14,13.44,13.89,13.44,13.63,42202
23-Jul-14,13.44,13.99,13.35,13.74,77724
22-Jul-14,13.22,14.24,13.00,13.98,138177
21-Jul-14,12.87,13.20,12.76,13.08,40095
18-Jul-14,13.10,13.20,12.69,12.93,55424
17-Jul-14,12.75,13.32,12.75,13.07,92602
16-Jul-14,11.62,12.94,11.62,12.77,39377
15-Jul-14,12.40,13.28,11.90,11.98,127679
14-Jul-14,11.56,12.13,11.41,12.13,43177
