Date,Open,High,Low,Close,Volume
23-Oct-14,14.70,14.88,14.60,14.82,320342
22-Oct-14,14.88,14.88,14.46,14.50,398016
21-Oct-14,14.62,14.94,14.62,14.86,288514
20-Oct-14,14.52,14.64,14.45,14.54,320966
17-Oct-14,15.36,15.50,14.34,14.63,868140
16-Oct-14,14.24,15.16,14.24,15.06,646360
15-Oct-14,14.26,14.64,13.84,14.07,661106
14-Oct-14,14.38,14.78,14.38,14.52,356726
13-Oct-14,14.09,14.58,13.94,14.29,364952
10-Oct-14,13.97,14.31,13.97,14.08,548874
9-Oct-14,14.59,14.67,14.04,14.06,584126
8-Oct-14,14.32,14.62,14.28,14.60,499546
7-Oct-14,14.45,14.60,14.32,14.34,447594
6-Oct-14,14.77,14.77,14.40,14.57,404260
3-Oct-14,14.74,14.85,14.63,14.73,312990
2-Oct-14,14.48,14.68,14.36,14.59,609004
1-Oct-14,14.70,14.80,14.36,14.50,787358
30-Sep-14,14.94,15.01,14.70,14.70,733786
29-Sep-14,14.90,15.14,14.88,14.97,379834
26-Sep-14,15.24,15.29,15.01,15.08,401574
25-Sep-14,15.40,15.48,15.10,15.20,433300
24-Sep-14,15.24,15.50,15.12,15.43,384280
23-Sep-14,15.64,15.77,15.20,15.20,496788
22-Sep-14,15.82,15.92,15.50,15.70,605476
19-Sep-14,15.68,16.06,15.68,15.87,3853058
18-Sep-14,15.46,15.86,15.46,15.64,412544
17-Sep-14,15.16,15.54,15.08,15.44,531528
16-Sep-14,15.28,15.46,15.12,15.20,256178
15-Sep-14,15.44,15.63,15.22,15.30,223278
12-Sep-14,15.60,15.60,15.30,15.53,409362
11-Sep-14,15.28,15.60,15.28,15.56,383316
10-Sep-14,15.12,15.47,15.12,15.41,324162
9-Sep-14,15.26,15.38,14.96,15.12,307454
8-Sep-14,14.82,15.40,14.82,15.35,743762
5-Sep-14,14.78,14.89,14.68,14.80,218550
4-Sep-14,15.17,15.41,14.78,14.86,254894
3-Sep-14,15.23,15.40,15.08,15.12,310776
2-Sep-14,14.99,15.23,14.90,15.20,291062
29-Aug-14,14.82,14.90,14.68,14.88,203058
28-Aug-14,14.92,14.92,14.67,14.74,223208
27-Aug-14,15.12,15.12,14.89,14.96,177198
26-Aug-14,14.98,15.18,14.85,15.12,428422
25-Aug-14,15.08,15.20,14.88,14.97,164736
22-Aug-14,15.04,15.19,14.89,15.03,219694
21-Aug-14,14.84,15.11,14.62,15.03,195074
20-Aug-14,14.92,14.96,14.70,14.87,185168
19-Aug-14,15.03,15.14,14.96,15.00,136980
18-Aug-14,14.79,15.08,14.68,15.03,260962
15-Aug-14,14.93,14.95,14.40,14.60,377288
14-Aug-14,14.82,14.86,14.66,14.72,154936
13-Aug-14,14.90,15.04,14.72,14.79,224710
12-Aug-14,15.04,15.05,14.72,14.84,163888
11-Aug-14,14.94,15.22,14.90,15.08,171860
8-Aug-14,14.88,15.04,14.86,14.92,379712
7-Aug-14,15.10,15.18,14.82,14.88,190814
6-Aug-14,14.77,15.18,14.71,15.10,239780
5-Aug-14,14.60,14.94,14.60,14.85,338020
4-Aug-14,14.80,14.87,14.54,14.70,386204
1-Aug-14,15.07,15.13,14.60,14.73,387292
31-Jul-14,15.31,15.56,15.00,15.03,330198
30-Jul-14,15.26,15.56,15.26,15.48,278984
29-Jul-14,14.93,15.26,14.89,15.15,338650
28-Jul-14,15.08,15.14,14.77,14.88,425210
25-Jul-14,14.94,15.12,14.90,15.06,416976
24-Jul-14,15.16,15.30,14.92,15.10,384134
23-Jul-14,15.18,15.26,14.94,15.18,284308
22-Jul-14,15.35,15.41,15.02,15.12,294684
21-Jul-14,15.28,15.33,15.08,15.27,506202
18-Jul-14,15.27,15.27,14.96,15.16,395596
17-Jul-14,15.51,15.86,14.95,15.00,646654
16-Jul-14,15.96,15.97,15.52,15.54,388130
15-Jul-14,15.86,16.02,15.62,15.80,257462
14-Jul-14,16.14,16.21,15.67,15.86,420774
11-Jul-14,15.94,16.05,15.77,15.90,209262
10-Jul-14,15.96,16.23,15.85,15.99,301532
9-Jul-14,16.34,16.49,16.24,16.29,178988
8-Jul-14,16.58,16.58,16.21,16.25,322270
7-Jul-14,16.76,16.80,16.58,16.60,252566
3-Jul-14,16.53,16.89,16.53,16.89,233018
2-Jul-14,16.69,16.82,16.32,16.43,374652
1-Jul-14,16.50,17.00,16.48,16.69,343720
30-Jun-14,16.42,16.47,16.13,16.41,403580
27-Jun-14,16.47,16.74,16.40,16.44,3458180
26-Jun-14,16.63,16.65,16.37,16.62,164200
25-Jun-14,16.14,16.66,15.94,16.64,271170
24-Jun-14,16.74,17.11,16.28,16.29,672906
23-Jun-14,16.88,16.96,16.73,16.80,339258
20-Jun-14,16.75,16.93,16.66,16.83,1039278
19-Jun-14,16.86,16.86,16.42,16.74,233362
18-Jun-14,16.59,16.84,16.42,16.82,354800
17-Jun-14,16.16,16.68,16.12,16.60,308388
16-Jun-14,16.07,16.32,16.00,16.21,292352
13-Jun-14,16.18,16.45,16.04,16.14,217898
12-Jun-14,16.21,16.44,16.01,16.18,206484
11-Jun-14,16.28,16.50,16.08,16.26,212254
10-Jun-14,16.46,16.54,16.00,16.40,223708
9-Jun-14,16.32,16.61,15.91,16.54,271824
6-Jun-14,16.40,16.62,16.14,16.34,335514
5-Jun-14,15.70,16.28,15.49,16.28,359268
4-Jun-14,15.66,15.84,15.51,15.66,314880
3-Jun-14,15.64,15.92,15.53,15.68,370724
2-Jun-14,15.32,15.68,15.06,15.66,319368
30-May-14,15.39,15.65,15.18,15.26,249198
29-May-14,15.49,15.60,15.26,15.36,202776
28-May-14,15.68,15.68,15.27,15.38,312440
27-May-14,15.44,15.76,15.19,15.73,233242
23-May-14,15.18,15.39,15.00,15.28,235652
22-May-14,15.08,15.28,14.94,15.18,278284
21-May-14,14.98,15.24,14.88,14.99,218944
20-May-14,15.26,15.26,14.88,14.95,438246
19-May-14,15.10,15.36,15.06,15.33,363380
16-May-14,14.72,15.30,14.50,15.16,609972
15-May-14,14.40,14.50,13.80,14.35,950286
14-May-14,15.10,15.12,14.43,14.50,825584
13-May-14,15.71,15.71,15.18,15.19,334586
12-May-14,15.48,15.83,15.37,15.76,307042
9-May-14,15.10,15.42,14.98,15.39,244692
8-May-14,15.19,15.54,15.06,15.18,243012
7-May-14,15.14,15.32,14.72,15.30,380942
6-May-14,15.40,15.50,15.04,15.04,485404
5-May-14,15.68,15.80,15.43,15.55,253212
2-May-14,15.80,16.13,15.68,15.85,304856
1-May-14,15.84,15.97,15.24,15.72,507058
30-Apr-14,15.80,15.92,15.54,15.86,522182
29-Apr-14,16.31,16.40,15.87,15.87,222974
28-Apr-14,16.34,16.45,15.82,16.19,269832
25-Apr-14,16.52,16.72,16.13,16.22,298790
24-Apr-14,16.96,17.06,16.41,16.63,223586
23-Apr-14,17.32,17.42,16.74,16.87,280476
22-Apr-14,17.14,17.50,16.98,17.34,267422
21-Apr-14,16.99,17.47,16.85,17.07,511354
17-Apr-14,16.56,17.00,16.12,16.77,395788
16-Apr-14,16.36,16.54,16.22,16.51,237714
15-Apr-14,16.26,16.42,15.86,16.23,268700
14-Apr-14,16.37,16.64,16.00,16.22,208588
11-Apr-14,16.17,16.65,15.94,16.18,246852
10-Apr-14,16.98,16.98,16.30,16.35,424806
9-Apr-14,17.08,17.20,16.88,17.03,218692
8-Apr-14,16.98,17.22,16.76,17.06,321674
7-Apr-14,17.07,17.37,16.76,16.94,504494
4-Apr-14,17.64,17.76,16.98,17.08,342652
3-Apr-14,17.75,17.75,17.38,17.60,203024
2-Apr-14,17.82,17.84,17.60,17.77,176458
1-Apr-14,17.26,17.88,17.03,17.78,354984
31-Mar-14,16.94,17.34,16.94,17.21,348176
28-Mar-14,16.98,17.26,16.72,16.84,229666
27-Mar-14,17.40,17.42,16.90,16.97,255238
26-Mar-14,17.84,17.84,17.36,17.37,281940
25-Mar-14,17.76,17.94,17.64,17.68,240484
24-Mar-14,18.05,18.12,17.46,17.66,353944
21-Mar-14,18.23,18.44,17.92,18.00,1602970
20-Mar-14,17.70,18.26,17.70,18.12,525364
19-Mar-14,17.60,17.92,17.48,17.75,367544
18-Mar-14,17.44,17.62,17.20,17.59,384692
17-Mar-14,17.48,17.56,17.32,17.40,296120
14-Mar-14,17.08,17.43,17.04,17.42,336968
13-Mar-14,17.34,17.42,17.08,17.12,381186
12-Mar-14,17.27,17.43,17.12,17.30,259038
11-Mar-14,17.48,17.48,17.25,17.33,319634
10-Mar-14,17.50,17.66,17.35,17.54,180260
7-Mar-14,17.46,17.64,17.29,17.50,258434
6-Mar-14,17.33,17.49,17.18,17.35,270492
5-Mar-14,17.16,17.35,16.93,17.32,514680
4-Mar-14,16.98,17.42,16.55,17.16,626952
3-Mar-14,16.66,16.88,16.41,16.72,476432
28-Feb-14,17.00,17.31,16.70,16.78,583830
27-Feb-14,16.92,17.04,16.70,16.94,337564
26-Feb-14,16.74,16.99,16.69,16.98,267420
25-Feb-14,16.85,16.88,16.64,16.68,314652
24-Feb-14,16.55,17.00,16.55,16.91,500884
21-Feb-14,16.64,16.64,16.34,16.51,768720
20-Feb-14,16.46,16.58,16.38,16.55,667318
19-Feb-14,16.52,16.63,16.40,16.45,1057494
18-Feb-14,16.58,16.75,16.52,16.66,483002
14-Feb-14,16.39,16.64,16.13,16.60,892910
13-Feb-14,15.32,15.62,15.18,15.59,406190
12-Feb-14,15.54,15.89,15.30,15.43,342176
11-Feb-14,15.11,15.58,15.00,15.55,546566
10-Feb-14,15.20,15.20,14.86,15.16,371622
7-Feb-14,15.43,15.43,15.06,15.26,438086
6-Feb-14,14.98,15.42,14.98,15.40,595076
5-Feb-14,14.80,15.23,14.75,14.97,610552
4-Feb-14,14.75,15.14,14.58,14.86,413390
3-Feb-14,15.42,15.76,14.60,14.64,761200
31-Jan-14,15.57,16.06,15.30,15.42,592600
30-Jan-14,15.64,16.12,15.51,15.89,655238
29-Jan-14,15.95,16.14,15.22,15.53,1179662
28-Jan-14,16.38,16.46,16.19,16.24,526118
27-Jan-14,17.02,17.02,16.38,16.38,439070
24-Jan-14,16.75,17.36,16.64,16.73,444194
23-Jan-14,17.06,17.06,16.69,16.92,499714
22-Jan-14,17.22,17.22,17.06,17.14,321580
21-Jan-14,17.22,17.50,17.18,17.24,630178
17-Jan-14,17.00,17.13,16.84,17.07,1821200
16-Jan-14,17.28,17.28,16.61,17.00,1375386
15-Jan-14,17.28,17.47,17.20,17.28,479652
14-Jan-14,17.21,17.38,16.86,17.26,593820
13-Jan-14,17.22,17.30,17.04,17.18,590562
10-Jan-14,17.26,17.40,17.00,17.31,736542
9-Jan-14,17.10,17.30,16.73,17.29,809340
8-Jan-14,17.38,17.50,16.93,17.00,1311712
7-Jan-14,17.91,17.93,17.36,17.43,1150458
6-Jan-14,18.25,18.29,17.77,17.80,758870
3-Jan-14,18.22,18.40,18.16,18.21,542654
2-Jan-14,18.65,18.65,18.06,18.18,764518
31-Dec-13,18.88,19.07,18.64,18.68,346588
30-Dec-13,19.06,19.06,18.78,18.82,409692
27-Dec-13,19.46,19.48,18.96,19.06,302316
