Date,Open,High,Low,Close,Volume
23-Oct-14,15.74,15.97,15.16,15.70,3000
22-Oct-14,15.25,15.62,14.23,15.42,2403
21-Oct-14,15.47,15.60,15.04,15.39,7408
20-Oct-14,15.74,15.74,15.15,15.42,14700
17-Oct-14,15.60,15.60,15.05,15.34,3550
16-Oct-14,14.81,15.80,14.80,14.99,10680
15-Oct-14,15.01,15.34,14.50,14.99,10975
14-Oct-14,15.50,15.72,15.02,15.29,18600
13-Oct-14,15.79,15.89,15.26,15.50,5400
10-Oct-14,15.97,15.97,15.04,15.62,13600
9-Oct-14,15.98,15.98,15.61,15.79,5800
8-Oct-14,15.85,15.95,15.65,15.95,1300
7-Oct-14,15.85,16.05,15.71,16.05,2050
6-Oct-14,15.98,15.98,15.83,15.96,2800
3-Oct-14,15.81,15.93,15.79,15.90,1800
2-Oct-14,15.98,15.98,15.70,15.86,6591
1-Oct-14,15.85,15.98,15.76,15.90,1488
30-Sep-14,15.98,15.98,15.85,15.89,31870
29-Sep-14,15.95,15.97,15.89,15.97,750
26-Sep-14,15.98,16.05,15.70,15.98,1867
25-Sep-14,15.85,15.99,15.68,15.95,1067
24-Sep-14,15.98,15.98,15.63,15.98,1200
23-Sep-14,15.99,15.99,15.50,15.97,41100
22-Sep-14,15.93,16.00,15.90,15.99,1643
19-Sep-14,16.00,16.01,16.00,16.01,200
18-Sep-14,15.88,15.99,15.74,15.97,3146
17-Sep-14,15.98,16.00,15.60,15.93,2200
16-Sep-14,15.99,15.99,15.61,15.98,1700
15-Sep-14,15.99,15.99,15.99,15.99,100
12-Sep-14,16.00,16.00,15.76,15.98,4150
11-Sep-14,15.87,16.19,15.87,15.91,12275
10-Sep-14,16.50,16.50,16.01,16.15,2570
9-Sep-14,16.18,16.32,16.12,16.20,19208
8-Sep-14,16.22,16.36,16.00,16.36,6000
5-Sep-14,16.21,16.37,16.12,16.23,221970
4-Sep-14,16.26,16.64,16.07,16.37,124230
3-Sep-14,16.25,16.48,15.93,16.31,30760
2-Sep-14,16.40,16.40,16.33,16.33,400
29-Aug-14,16.41,16.49,16.02,16.40,2355
28-Aug-14,16.39,16.50,16.00,16.30,4430
27-Aug-14,17.00,17.98,15.98,16.25,17560
26-Aug-14,16.49,16.75,16.27,16.34,11346
25-Aug-14,16.62,16.70,16.04,16.49,37796
22-Aug-14,16.00,16.70,16.00,16.70,9400
21-Aug-14,15.48,16.45,15.43,15.85,6011
20-Aug-14,14.99,15.77,14.80,15.26,27128
19-Aug-14,14.81,15.19,14.73,15.05,3400
18-Aug-14,15.20,15.20,15.00,15.00,2305
15-Aug-14,14.40,14.40,14.40,14.40,300
14-Aug-14,14.50,14.62,14.40,14.40,1900
13-Aug-14,13.86,14.40,13.86,14.35,25094
12-Aug-14,14.00,14.00,13.59,13.90,13800
11-Aug-14,14.00,14.22,13.86,14.19,1800
8-Aug-14,13.64,14.24,13.49,14.09,520910
7-Aug-14,13.73,13.73,13.54,13.59,800
6-Aug-14,13.40,13.52,13.30,13.52,24822
5-Aug-14,13.45,13.49,13.34,13.40,13553
4-Aug-14,13.13,13.60,13.10,13.35,145585
1-Aug-14,13.58,13.58,12.82,13.36,5102
31-Jul-14,13.51,13.77,12.75,13.40,7752
30-Jul-14,13.67,13.83,13.05,13.65,4840
29-Jul-14,13.93,13.93,13.67,13.70,851
28-Jul-14,13.88,13.88,13.58,13.65,63315
25-Jul-14,13.91,13.93,13.65,13.81,1865
24-Jul-14,13.73,13.75,13.60,13.75,3835
23-Jul-14,13.74,13.74,13.60,13.73,1500
22-Jul-14,13.89,13.89,13.56,13.75,103170
21-Jul-14,13.70,13.92,13.51,13.75,5730
18-Jul-14,13.84,13.94,13.79,13.92,1020
17-Jul-14,13.87,13.99,13.70,13.74,10600
16-Jul-14,14.00,14.00,13.73,13.99,2426
15-Jul-14,13.99,14.00,13.92,13.95,200541
14-Jul-14,13.99,13.99,13.95,13.99,4900
11-Jul-14,13.69,14.00,13.69,13.99,23199
10-Jul-14,13.73,13.96,13.39,13.89,17920
9-Jul-14,13.77,14.22,13.30,13.97,1633
8-Jul-14,14.11,14.19,13.10,13.96,14002
7-Jul-14,14.10,14.27,14.10,14.27,1725
3-Jul-14,14.23,14.24,14.23,14.24,200
2-Jul-14,14.20,14.45,14.20,14.25,12360
1-Jul-14,13.74,14.28,13.53,14.28,19090
30-Jun-14,13.17,13.72,13.17,13.70,8200
27-Jun-14,12.95,13.49,12.95,13.47,16741
26-Jun-14,12.95,12.95,12.90,12.94,8148
25-Jun-14,12.82,12.97,12.77,12.95,12282
24-Jun-14,12.83,12.83,12.77,12.79,9294
23-Jun-14,12.85,12.97,12.76,12.79,4750
20-Jun-14,12.87,12.89,12.71,12.76,8975
19-Jun-14,12.99,13.00,12.69,12.83,8041
18-Jun-14,13.00,13.00,12.86,12.90,600
17-Jun-14,12.97,12.97,12.75,12.79,5130
16-Jun-14,12.84,13.00,12.79,12.98,1850
13-Jun-14,13.00,13.00,12.82,13.00,500
12-Jun-14,12.91,12.98,12.91,12.98,200
11-Jun-14,13.00,13.00,12.81,12.94,797
10-Jun-14,12.85,12.89,12.50,12.89,7441
9-Jun-14,13.05,13.05,12.91,12.96,2700
6-Jun-14,13.10,13.10,12.96,13.09,3810
5-Jun-14,12.98,13.24,12.98,13.08,5400
4-Jun-14,13.19,13.19,13.08,13.15,4188
3-Jun-14,13.33,13.33,13.00,13.11,6792
2-Jun-14,13.46,13.47,13.28,13.47,3110
30-May-14,13.42,13.57,13.28,13.52,2692
29-May-14,13.64,13.67,13.52,13.60,2300
28-May-14,13.44,13.62,13.36,13.62,5250
27-May-14,13.38,13.50,13.31,13.45,1650
23-May-14,13.33,13.48,13.23,13.40,5000
22-May-14,13.20,13.20,13.08,13.18,3300
21-May-14,13.06,13.20,13.02,13.03,2230
20-May-14,12.74,13.46,12.74,13.25,29604
19-May-14,13.40,13.50,13.29,13.35,19040
16-May-14,13.30,13.47,13.30,13.41,2300
15-May-14,13.20,13.46,13.10,13.20,6530
14-May-14,13.48,13.48,13.26,13.47,2744
13-May-14,13.69,13.76,13.23,13.30,22738
12-May-14,13.60,13.60,13.58,13.59,1195
9-May-14,13.56,13.63,13.45,13.63,985
8-May-14,13.71,13.73,13.47,13.50,25525
7-May-14,13.62,13.70,13.26,13.54,6515
6-May-14,13.69,13.80,13.55,13.74,204975
5-May-14,13.62,13.90,13.62,13.80,4506
2-May-14,13.79,13.99,13.77,13.89,2000
1-May-14,13.59,13.99,13.58,13.99,1700
30-Apr-14,13.75,13.95,13.75,13.90,7505
29-Apr-14,13.90,13.95,13.74,13.94,11178
28-Apr-14,13.59,13.95,13.59,13.72,4688
25-Apr-14,13.99,13.99,13.85,13.88,1700
24-Apr-14,14.06,14.24,13.72,14.00,1400
23-Apr-14,13.90,13.97,13.75,13.97,1200
22-Apr-14,13.82,14.29,13.82,14.26,1577
21-Apr-14,13.76,14.06,13.46,14.03,5770
17-Apr-14,13.56,13.95,13.30,13.82,11320
16-Apr-14,13.87,14.14,13.65,13.75,20069
15-Apr-14,14.17,14.34,13.78,14.26,10271
14-Apr-14,14.45,14.45,14.04,14.31,3503
11-Apr-14,14.02,14.49,14.02,14.10,14353
10-Apr-14,14.06,14.49,14.06,14.40,4760
9-Apr-14,14.27,14.65,14.21,14.48,3413
8-Apr-14,14.39,14.82,14.30,14.62,4034
7-Apr-14,14.68,15.25,14.13,14.78,2363
4-Apr-14,14.76,15.38,14.55,14.58,26256
3-Apr-14,14.74,14.99,14.50,14.99,500
2-Apr-14,14.46,15.00,14.46,14.87,26756
1-Apr-14,14.07,14.50,14.06,14.50,3702
31-Mar-14,14.47,14.73,14.35,14.49,19795
28-Mar-14,14.73,14.73,14.20,14.50,5752
27-Mar-14,14.30,14.74,13.66,14.48,56834
26-Mar-14,14.66,14.92,14.52,14.52,3230
25-Mar-14,14.76,15.00,14.72,14.78,9656
24-Mar-14,14.75,14.90,14.65,14.84,6076
21-Mar-14,14.81,15.50,14.73,14.95,3310
20-Mar-14,15.24,15.28,14.83,14.99,2990
19-Mar-14,15.00,15.57,14.96,15.42,5358
18-Mar-14,14.49,14.99,14.49,14.94,15500
17-Mar-14,14.57,14.88,14.47,14.81,4100
14-Mar-14,14.37,14.90,14.26,14.51,2761
13-Mar-14,14.45,15.03,14.25,14.65,8050
12-Mar-14,14.60,14.99,14.60,14.73,7493
11-Mar-14,14.63,15.09,14.63,14.99,629
10-Mar-14,14.80,15.05,14.60,14.92,11300
7-Mar-14,14.83,14.99,14.62,14.97,13299
6-Mar-14,15.03,15.03,14.96,15.00,3740
5-Mar-14,15.43,15.75,14.79,15.00,15574
4-Mar-14,15.96,15.98,15.90,15.94,2755
3-Mar-14,15.64,15.72,15.44,15.54,500
28-Feb-14,15.43,15.98,15.42,15.65,6914
27-Feb-14,15.18,15.44,15.16,15.44,3445
26-Feb-14,15.50,15.60,15.34,15.44,4676
25-Feb-14,15.47,15.60,15.33,15.60,3600
24-Feb-14,15.60,15.60,15.31,15.60,3450
