Date,Open,High,Low,Close,Volume
23-Oct-14,8.40,8.40,8.25,8.34,19490
22-Oct-14,8.36,8.43,8.25,8.25,15189
21-Oct-14,8.34,8.44,8.30,8.43,22016
20-Oct-14,8.41,8.43,8.28,8.33,35670
17-Oct-14,8.60,8.64,8.42,8.42,29781
16-Oct-14,8.40,8.60,8.40,8.56,44852
15-Oct-14,8.48,8.58,8.34,8.49,44822
14-Oct-14,8.55,8.64,8.50,8.56,53698
13-Oct-14,8.36,8.55,8.36,8.51,36029
10-Oct-14,8.30,8.45,8.30,8.34,29382
9-Oct-14,8.40,8.49,8.30,8.30,21707
8-Oct-14,8.30,8.46,8.30,8.43,45647
7-Oct-14,8.31,8.41,8.30,8.30,12008
6-Oct-14,8.32,8.41,8.30,8.35,19223
3-Oct-14,8.33,8.38,8.25,8.32,49933
2-Oct-14,8.34,8.40,8.19,8.25,44001
1-Oct-14,8.22,8.35,8.16,8.26,58609
30-Sep-14,8.26,8.32,8.20,8.21,82419
29-Sep-14,8.22,8.32,8.22,8.28,69321
26-Sep-14,8.15,8.30,8.15,8.29,67956
25-Sep-14,8.22,8.29,8.15,8.15,29859
24-Sep-14,8.25,8.25,8.22,8.24,10982
23-Sep-14,8.20,8.32,8.20,8.24,20710
22-Sep-14,8.35,8.44,8.25,8.25,34280
19-Sep-14,8.27,8.43,8.25,8.41,95014
18-Sep-14,8.25,8.30,8.25,8.29,10496
17-Sep-14,8.24,8.31,8.24,8.25,9247
16-Sep-14,8.35,8.35,8.22,8.25,15870
15-Sep-14,8.25,8.31,8.21,8.26,34447
12-Sep-14,8.31,8.35,8.21,8.25,24874
11-Sep-14,8.24,8.31,8.23,8.28,14841
10-Sep-14,8.23,8.31,8.21,8.30,17132
9-Sep-14,8.25,8.27,8.20,8.25,39141
8-Sep-14,8.21,8.30,8.21,8.26,18476
5-Sep-14,8.20,8.31,8.20,8.29,15957
4-Sep-14,8.27,8.41,8.25,8.25,14227
3-Sep-14,8.39,8.44,8.25,8.26,12753
2-Sep-14,8.37,8.39,8.31,8.38,7597
29-Aug-14,8.32,8.38,8.26,8.32,7719
28-Aug-14,8.31,8.44,8.29,8.32,17842
27-Aug-14,8.40,8.40,8.32,8.34,8105
26-Aug-14,8.35,8.40,8.35,8.40,31610
25-Aug-14,8.35,8.37,8.30,8.34,14186
22-Aug-14,8.32,8.34,8.25,8.33,10935
