Date,Open,High,Low,Close,Volume
23-Oct-14,62.78,63.84,61.92,63.67,255159
22-Oct-14,62.52,63.49,61.90,62.38,157976
21-Oct-14,62.12,62.63,61.09,62.30,209718
20-Oct-14,61.27,61.91,60.85,61.83,179828
17-Oct-14,62.22,62.33,60.70,61.51,242568
16-Oct-14,61.15,61.83,60.34,61.41,266973
15-Oct-14,60.72,62.24,60.22,61.97,291047
14-Oct-14,62.31,63.02,61.28,61.50,334055
13-Oct-14,61.14,63.00,60.77,61.75,236877
10-Oct-14,61.43,62.88,60.88,61.23,210855
9-Oct-14,61.79,62.57,60.86,61.69,296252
8-Oct-14,60.52,62.08,60.21,61.97,345874
7-Oct-14,61.52,61.75,60.48,60.58,100144
6-Oct-14,62.00,62.35,61.51,61.66,116983
3-Oct-14,61.68,62.50,61.47,61.95,164560
2-Oct-14,60.52,61.41,60.06,61.07,83372
1-Oct-14,61.00,61.30,59.54,60.50,234472
30-Sep-14,61.98,62.38,60.93,60.97,282725
29-Sep-14,60.44,62.11,60.44,62.03,207999
26-Sep-14,61.07,61.24,60.01,61.09,127351
25-Sep-14,62.22,62.50,60.37,61.06,158588
24-Sep-14,62.29,62.61,61.85,62.38,227341
23-Sep-14,62.20,62.81,62.15,62.26,284558
22-Sep-14,62.26,62.70,62.00,62.41,123757
19-Sep-14,63.98,63.98,62.26,62.50,277675
18-Sep-14,63.99,64.11,63.38,63.87,198863
17-Sep-14,63.55,64.51,63.15,63.79,169668
16-Sep-14,64.18,64.79,63.23,63.61,157763
15-Sep-14,64.83,65.56,64.09,64.35,281132
12-Sep-14,64.96,65.28,63.95,64.72,170193
11-Sep-14,63.03,65.25,62.85,65.04,302481
10-Sep-14,62.62,63.90,62.42,63.38,132899
9-Sep-14,62.50,63.42,62.39,62.44,280557
8-Sep-14,63.10,63.77,62.35,62.79,280793
5-Sep-14,62.75,63.76,61.95,63.00,1001104
4-Sep-14,60.69,62.78,60.41,62.66,206731
3-Sep-14,60.75,60.87,60.33,60.69,131761
2-Sep-14,60.65,60.87,60.02,60.58,266350
29-Aug-14,60.90,60.90,60.00,60.48,177001
28-Aug-14,61.49,61.49,60.51,60.68,152214
27-Aug-14,63.19,63.20,61.56,61.67,189284
26-Aug-14,63.54,63.95,63.15,63.39,81741
25-Aug-14,63.78,64.44,63.22,63.46,63914
22-Aug-14,63.06,64.14,62.81,63.49,123805
21-Aug-14,63.11,63.86,62.44,63.19,81786
20-Aug-14,63.15,63.84,62.64,63.28,83331
19-Aug-14,63.12,63.66,63.10,63.31,51314
18-Aug-14,63.60,63.60,62.80,63.10,137116
15-Aug-14,63.56,63.66,61.91,63.02,145340
14-Aug-14,63.29,63.72,62.83,63.00,123771
13-Aug-14,63.78,63.95,63.25,63.30,98276
12-Aug-14,63.45,63.99,63.06,63.50,124639
11-Aug-14,64.08,64.99,63.76,63.89,200787
8-Aug-14,63.37,64.17,63.27,63.81,147862
7-Aug-14,62.99,63.41,62.81,63.31,230824
6-Aug-14,62.00,63.07,62.00,62.81,161540
5-Aug-14,60.59,62.32,60.47,62.29,147165
4-Aug-14,60.71,61.19,60.19,60.82,210641
1-Aug-14,60.43,60.61,59.67,60.45,148919
31-Jul-14,61.66,62.00,60.14,60.44,244991
30-Jul-14,67.50,67.50,62.18,62.36,715073
29-Jul-14,64.96,66.49,64.16,65.91,256928
28-Jul-14,64.72,64.88,63.76,64.62,107453
25-Jul-14,64.79,65.06,64.07,64.65,120893
24-Jul-14,65.59,65.91,64.75,65.33,108590
23-Jul-14,65.64,66.26,65.23,65.54,57153
22-Jul-14,65.36,65.66,65.00,65.50,54155
21-Jul-14,65.90,65.90,64.60,64.96,95379
18-Jul-14,63.97,66.37,63.97,66.09,80698
17-Jul-14,65.38,65.60,63.74,64.10,161335
16-Jul-14,66.50,66.58,65.12,65.70,99441
15-Jul-14,66.34,66.93,65.22,65.95,169353
14-Jul-14,66.96,66.96,66.09,66.48,75313
11-Jul-14,66.61,66.84,65.92,66.30,82115
10-Jul-14,66.63,67.21,66.01,66.80,158891
9-Jul-14,68.46,68.63,67.71,67.93,80495
8-Jul-14,69.17,69.27,67.53,68.13,117398
7-Jul-14,70.44,70.44,69.05,69.37,81062
3-Jul-14,70.24,70.94,70.11,70.51,102293
2-Jul-14,71.16,71.74,69.80,70.12,137768
1-Jul-14,70.89,72.66,70.89,71.29,153779
30-Jun-14,69.97,72.06,69.58,70.82,168634
27-Jun-14,69.84,70.33,69.62,70.05,191239
26-Jun-14,71.13,71.13,69.67,70.26,78234
25-Jun-14,70.55,71.57,70.28,71.05,84497
24-Jun-14,69.81,71.87,69.77,70.67,152363
23-Jun-14,70.54,70.54,69.42,70.24,73364
20-Jun-14,68.93,70.74,68.32,70.45,192179
19-Jun-14,69.13,69.13,68.28,68.58,103052
18-Jun-14,68.66,69.19,68.04,68.93,56114
17-Jun-14,69.01,70.22,68.36,68.83,73429
16-Jun-14,68.85,69.42,68.22,68.99,102467
13-Jun-14,68.85,69.77,68.35,68.97,89506
12-Jun-14,68.75,69.29,68.19,68.51,63834
11-Jun-14,68.59,69.42,68.52,69.06,76598
10-Jun-14,69.02,69.49,68.66,69.09,89457
9-Jun-14,68.45,69.50,68.30,69.30,191273
6-Jun-14,68.55,68.89,68.00,68.69,164412
5-Jun-14,67.57,68.39,66.66,68.17,132469
4-Jun-14,67.51,67.70,66.44,67.36,117447
3-Jun-14,67.54,68.70,67.10,67.72,141473
2-Jun-14,67.88,68.71,66.59,67.97,163438
30-May-14,67.62,68.20,66.90,67.88,87142
29-May-14,67.69,67.85,66.65,67.57,85121
28-May-14,67.60,68.24,67.21,67.59,52650
27-May-14,68.63,68.63,66.80,67.78,143258
23-May-14,67.63,68.09,65.86,67.96,111310
22-May-14,66.36,67.67,65.69,67.54,134820
21-May-14,66.55,67.16,65.91,66.39,110202
20-May-14,66.74,67.19,65.86,66.39,150575
19-May-14,65.75,67.12,65.62,66.97,81396
16-May-14,64.94,65.95,64.92,65.88,95711
15-May-14,64.89,65.77,63.73,65.01,94669
14-May-14,66.52,66.75,65.23,65.39,144875
13-May-14,68.05,68.81,66.66,66.77,295515
12-May-14,66.31,68.23,65.80,68.05,205326
9-May-14,66.59,67.60,65.45,65.76,189602
8-May-14,67.85,69.00,66.80,66.90,102144
7-May-14,67.76,68.32,66.43,68.14,145155
6-May-14,67.57,68.18,67.08,67.36,121485
5-May-14,67.57,68.30,66.83,68.00,160587
2-May-14,68.94,69.56,66.26,67.90,238422
1-May-14,70.79,71.67,67.42,68.61,388581
30-Apr-14,66.47,71.46,65.00,71.20,766963
29-Apr-14,62.82,63.00,62.21,62.57,243744
28-Apr-14,62.88,63.33,61.50,62.60,422659
25-Apr-14,62.23,62.82,62.03,62.52,238517
24-Apr-14,62.73,62.95,61.82,62.60,180136
23-Apr-14,62.14,62.81,57.18,62.52,147662
22-Apr-14,62.06,62.90,62.00,62.12,97064
21-Apr-14,61.64,62.18,61.05,62.14,179745
17-Apr-14,60.23,62.36,59.67,61.53,131530
16-Apr-14,59.76,60.29,58.41,60.23,206799
15-Apr-14,57.99,59.39,57.43,59.12,457946
14-Apr-14,58.51,59.21,57.19,57.76,130844
11-Apr-14,58.77,60.02,57.26,57.82,153446
10-Apr-14,61.27,61.70,58.68,59.31,134084
9-Apr-14,60.67,61.40,60.47,61.25,272353
8-Apr-14,60.55,61.03,59.56,60.49,265267
7-Apr-14,60.33,61.02,59.57,60.32,248821
4-Apr-14,63.35,63.69,59.86,60.76,193327
3-Apr-14,63.53,63.85,62.58,62.90,98577
2-Apr-14,63.67,64.14,63.11,63.69,96034
1-Apr-14,63.52,64.10,62.50,63.59,321902
31-Mar-14,62.71,63.94,62.29,63.38,245355
28-Mar-14,62.63,63.89,62.08,62.17,89163
27-Mar-14,63.39,63.69,62.08,62.66,84631
26-Mar-14,65.50,65.70,63.39,63.52,83810
25-Mar-14,65.19,65.42,63.87,64.88,95931
24-Mar-14,65.82,66.20,63.71,64.74,108639
21-Mar-14,67.46,67.46,65.56,65.65,138530
20-Mar-14,66.20,67.66,66.02,67.08,98077
