Date,Open,High,Low,Close,Volume
21-Oct-14,13.73,13.73,13.73,13.73,411
20-Oct-14,13.70,13.75,13.70,13.70,538
17-Oct-14,13.00,13.00,13.00,13.00,480
13-Oct-14,13.25,13.25,13.25,13.25,109
9-Oct-14,13.51,13.51,13.50,13.50,2132
6-Oct-14,13.05,13.74,13.05,13.50,1643
3-Oct-14,13.60,13.75,13.60,13.65,3025
1-Oct-14,13.57,13.99,13.57,13.98,4084
30-Sep-14,14.00,14.00,13.50,13.75,6710
26-Sep-14,13.96,13.96,13.87,13.92,360
25-Sep-14,13.68,13.99,13.66,13.99,1054
24-Sep-14,13.45,13.99,13.45,13.97,1502
22-Sep-14,13.83,14.00,13.82,14.00,1118
19-Sep-14,13.50,14.04,13.25,14.04,8101
18-Sep-14,13.50,13.50,13.50,13.50,756
17-Sep-14,13.50,13.61,13.50,13.61,697
16-Sep-14,13.31,13.50,13.31,13.50,2153
15-Sep-14,13.33,13.63,13.30,13.60,2031
12-Sep-14,13.30,13.63,13.05,13.50,4907
11-Sep-14,13.20,13.46,13.20,13.23,1475
10-Sep-14,13.20,13.21,13.20,13.20,2441
9-Sep-14,13.40,13.40,13.20,13.20,2391
8-Sep-14,13.20,13.23,13.20,13.21,1266
5-Sep-14,13.45,13.50,13.45,13.50,223
4-Sep-14,13.20,13.20,13.20,13.20,3320
3-Sep-14,13.20,13.23,13.20,13.23,548
2-Sep-14,13.47,13.47,12.65,12.65,3821
29-Aug-14,13.10,13.49,13.10,13.47,1306
28-Aug-14,13.11,13.11,13.10,13.10,301
27-Aug-14,13.20,13.20,13.10,13.11,2999
26-Aug-14,13.24,13.45,13.24,13.45,1472
25-Aug-14,13.01,13.01,13.00,13.00,3170
22-Aug-14,13.00,13.01,13.00,13.01,1332
21-Aug-14,12.95,13.00,12.95,13.00,2035
20-Aug-14,12.75,13.14,12.75,12.99,12209
19-Aug-14,12.90,13.01,12.75,12.75,4262
18-Aug-14,12.85,12.95,12.84,12.95,2144
15-Aug-14,12.88,12.88,12.71,12.77,1452
14-Aug-14,12.85,12.88,12.50,12.76,11515
13-Aug-14,12.87,12.87,12.40,12.50,3868
12-Aug-14,12.20,12.20,12.20,12.20,100
11-Aug-14,12.35,12.35,12.35,12.35,101
8-Aug-14,12.40,12.40,12.40,12.40,100
7-Aug-14,12.34,12.45,12.28,12.45,2048
5-Aug-14,12.26,12.45,12.26,12.33,1170
4-Aug-14,12.34,12.36,12.33,12.33,546
1-Aug-14,12.16,12.16,12.16,12.16,152
31-Jul-14,12.38,12.42,12.05,12.40,603
30-Jul-14,12.14,12.60,12.11,12.60,1631
29-Jul-14,12.08,12.40,12.08,12.21,4422
24-Jul-14,12.50,12.75,12.50,12.75,4302
23-Jul-14,12.70,12.70,12.70,12.70,2000
22-Jul-14,12.50,12.50,12.50,12.50,752
21-Jul-14,12.51,12.70,12.50,12.63,15005
18-Jul-14,12.44,12.50,12.37,12.50,6585
17-Jul-14,12.05,12.30,12.00,12.20,8122
15-Jul-14,12.60,12.60,12.45,12.45,748
14-Jul-14,12.42,12.55,12.16,12.42,1823
11-Jul-14,12.44,12.44,12.25,12.41,2600
10-Jul-14,12.00,12.22,11.99,12.22,1579
9-Jul-14,12.06,12.11,12.06,12.10,773
8-Jul-14,12.00,12.00,11.90,12.00,1209
7-Jul-14,12.75,12.75,12.00,12.00,4944
3-Jul-14,12.32,12.37,12.30,12.30,3079
2-Jul-14,12.70,12.71,12.70,12.71,715
1-Jul-14,12.84,12.84,12.79,12.84,2996
30-Jun-14,12.41,12.82,12.41,12.52,1490
27-Jun-14,12.87,12.87,12.87,12.87,384
26-Jun-14,12.46,12.92,12.46,12.92,651
25-Jun-14,12.45,12.75,12.45,12.75,2200
24-Jun-14,12.70,12.70,12.70,12.70,177
23-Jun-14,12.89,12.89,12.89,12.89,961
20-Jun-14,12.95,12.95,12.75,12.89,7578
18-Jun-14,13.00,13.00,13.00,13.00,1300
17-Jun-14,13.00,13.00,12.82,12.82,1256
16-Jun-14,13.15,13.20,13.01,13.01,734
13-Jun-14,13.10,13.10,13.10,13.10,313
11-Jun-14,13.10,13.64,13.10,13.37,800
9-Jun-14,13.21,13.21,13.14,13.14,1154
6-Jun-14,12.98,12.98,12.94,12.94,416
4-Jun-14,13.12,13.12,12.86,12.86,1830
3-Jun-14,13.12,13.12,12.91,12.93,3040
2-Jun-14,13.12,13.17,12.84,12.88,1984
30-May-14,13.05,13.09,13.05,13.09,624
28-May-14,13.21,13.22,12.91,13.20,5070
27-May-14,13.19,13.22,13.06,13.06,914
22-May-14,13.22,13.22,13.22,13.22,109
21-May-14,12.89,12.90,12.88,12.88,1010
20-May-14,12.88,13.22,12.88,13.06,625
19-May-14,12.75,12.85,12.75,12.85,1946
16-May-14,12.89,12.89,12.75,12.75,5245
15-May-14,12.76,12.88,12.76,12.88,766
14-May-14,12.79,12.80,12.77,12.77,595
13-May-14,12.93,12.93,12.77,12.78,2027
12-May-14,12.88,13.35,12.75,12.98,22944
9-May-14,12.82,12.82,12.82,12.82,208
7-May-14,12.85,13.03,12.78,12.78,1695
5-May-14,13.12,13.12,13.12,13.12,373
2-May-14,12.87,12.87,12.87,12.87,104
1-May-14,12.74,12.74,12.73,12.73,1115
