Date,Open,High,Low,Close,Volume
23-Oct-14,24.58,24.91,24.51,24.74,224190
22-Oct-14,24.98,25.08,24.39,24.43,511876
21-Oct-14,24.70,24.99,24.29,24.92,236314
20-Oct-14,23.98,24.58,23.98,24.56,243102
17-Oct-14,24.48,24.48,23.76,24.10,339134
16-Oct-14,24.16,24.58,24.07,24.18,209078
15-Oct-14,24.06,24.62,23.70,24.50,325482
14-Oct-14,24.64,24.65,24.20,24.34,289114
13-Oct-14,24.44,24.80,24.38,24.44,206768
10-Oct-14,24.55,24.98,24.29,24.44,243816
9-Oct-14,25.06,25.20,24.64,24.68,175178
8-Oct-14,24.49,25.18,24.30,25.11,194840
7-Oct-14,25.02,25.02,24.44,24.48,254328
6-Oct-14,25.06,25.40,24.94,25.18,367926
3-Oct-14,25.06,25.28,24.84,24.95,189018
2-Oct-14,24.86,25.08,24.69,24.82,198376
1-Oct-14,24.84,25.12,24.55,24.86,465696
30-Sep-14,25.10,25.22,24.82,24.82,278076
29-Sep-14,24.80,25.11,24.55,25.06,146368
26-Sep-14,25.16,25.32,24.74,25.02,360280
25-Sep-14,25.08,25.30,24.74,25.16,343662
24-Sep-14,24.80,25.17,24.68,25.16,222040
23-Sep-14,24.98,24.98,24.76,24.80,226276
22-Sep-14,24.82,25.01,24.56,24.98,304992
19-Sep-14,25.30,25.30,24.39,24.88,719492
18-Sep-14,25.16,25.38,25.16,25.24,193902
17-Sep-14,24.84,25.47,24.74,25.13,395578
16-Sep-14,24.54,24.54,24.13,24.49,315970
15-Sep-14,24.88,24.88,24.44,24.64,254656
12-Sep-14,24.93,24.93,24.58,24.84,246960
11-Sep-14,24.72,25.00,24.68,24.88,141594
10-Sep-14,25.00,25.10,24.69,24.90,258604
9-Sep-14,24.86,25.27,24.69,25.05,374322
8-Sep-14,24.66,24.99,24.66,24.94,223510
5-Sep-14,24.64,24.78,24.49,24.75,116080
4-Sep-14,24.80,25.08,24.72,24.76,191232
3-Sep-14,25.07,25.19,24.69,24.80,256090
2-Sep-14,25.00,25.18,24.78,25.09,191544
29-Aug-14,24.85,25.00,24.18,25.00,182576
28-Aug-14,24.85,25.00,24.72,24.83,165272
27-Aug-14,25.03,25.19,24.92,25.00,246098
26-Aug-14,25.04,25.33,24.88,25.09,344402
25-Aug-14,25.42,25.66,25.00,25.04,280422
22-Aug-14,24.73,25.62,24.60,25.35,752620
21-Aug-14,24.42,24.98,24.38,24.84,467868
20-Aug-14,24.37,24.45,24.14,24.38,301530
19-Aug-14,24.50,24.50,24.20,24.46,296578
18-Aug-14,24.40,24.45,24.22,24.40,206872
15-Aug-14,24.50,24.50,24.01,24.24,446910
14-Aug-14,24.41,24.50,24.20,24.36,215000
13-Aug-14,24.33,24.50,24.18,24.40,246720
12-Aug-14,24.38,24.56,24.12,24.30,295688
11-Aug-14,24.36,24.74,24.18,24.43,254736
8-Aug-14,23.92,24.41,23.78,24.32,396540
7-Aug-14,24.36,24.36,23.83,23.92,402386
6-Aug-14,24.98,25.00,24.26,24.30,631244
5-Aug-14,24.15,25.12,23.96,25.00,353190
4-Aug-14,23.70,24.12,23.55,24.06,355334
1-Aug-14,23.76,23.78,23.47,23.62,254868
31-Jul-14,23.66,23.88,23.54,23.71,307922
30-Jul-14,23.98,23.98,23.75,23.88,189446
29-Jul-14,23.80,23.96,23.34,23.86,160970
28-Jul-14,23.74,23.92,23.56,23.78,182502
25-Jul-14,23.64,23.82,23.58,23.75,205552
24-Jul-14,23.78,23.97,23.62,23.80,249262
23-Jul-14,24.00,24.00,23.65,23.86,190274
22-Jul-14,23.68,23.95,23.52,23.87,263514
21-Jul-14,23.54,23.67,23.42,23.64,332168
18-Jul-14,23.50,23.75,23.48,23.66,325400
17-Jul-14,23.36,23.62,23.28,23.45,505348
16-Jul-14,23.64,23.78,23.38,23.53,287166
15-Jul-14,23.55,23.69,23.42,23.51,442606
14-Jul-14,23.56,23.68,23.32,23.52,631532
11-Jul-14,23.08,23.40,22.98,23.34,342204
10-Jul-14,22.66,23.30,22.54,23.16,334818
9-Jul-14,23.34,23.36,22.95,23.09,259676
8-Jul-14,23.34,23.34,22.99,23.29,411072
7-Jul-14,23.64,23.67,23.22,23.38,319968
3-Jul-14,23.74,23.92,23.68,23.82,117918
2-Jul-14,23.76,23.96,23.52,23.66,155910
1-Jul-14,23.63,23.96,23.51,23.82,435918
30-Jun-14,23.60,23.64,23.32,23.53,257030
27-Jun-14,22.98,23.63,22.98,23.58,814758
26-Jun-14,23.58,23.58,23.20,23.46,176844
25-Jun-14,23.46,23.76,23.39,23.59,156288
24-Jun-14,23.45,23.88,23.45,23.60,197968
23-Jun-14,23.88,23.94,23.44,23.56,195512
20-Jun-14,23.96,24.02,23.65,23.88,627440
19-Jun-14,23.98,23.98,23.54,23.86,290788
18-Jun-14,23.65,24.00,23.46,23.86,252948
17-Jun-14,23.70,23.82,23.50,23.65,473482
16-Jun-14,23.58,23.78,23.42,23.74,389232
13-Jun-14,23.84,23.84,23.40,23.50,276394
12-Jun-14,23.78,24.00,23.36,23.73,338216
11-Jun-14,23.59,23.82,23.52,23.72,183974
10-Jun-14,23.55,23.75,23.23,23.75,205316
9-Jun-14,23.32,23.72,23.12,23.68,215274
6-Jun-14,23.06,23.39,22.82,23.36,313340
5-Jun-14,22.64,23.04,22.42,22.97,128256
4-Jun-14,22.24,22.61,22.09,22.56,247148
3-Jun-14,22.14,22.62,22.11,22.37,279364
2-Jun-14,22.52,22.74,22.06,22.17,125684
30-May-14,22.86,22.86,22.44,22.48,129094
29-May-14,22.60,22.86,22.40,22.86,185872
28-May-14,22.74,22.74,22.41,22.50,128924
27-May-14,22.52,22.73,22.25,22.73,124430
23-May-14,22.20,22.47,22.06,22.41,173712
22-May-14,22.20,22.28,22.04,22.15,134688
21-May-14,22.28,22.47,22.00,22.06,318110
20-May-14,22.21,22.39,22.00,22.16,316950
19-May-14,22.14,22.38,22.10,22.28,154764
16-May-14,22.08,22.31,21.90,22.24,168842
15-May-14,22.00,22.30,21.78,22.12,336506
14-May-14,22.27,22.45,22.00,22.18,389616
13-May-14,22.84,22.84,22.30,22.34,268844
12-May-14,22.48,23.08,22.34,22.84,340298
9-May-14,22.07,22.48,21.91,22.43,193104
8-May-14,22.20,22.55,22.01,22.17,300252
7-May-14,22.00,22.22,21.87,22.22,271796
6-May-14,21.98,22.77,21.87,22.00,372956
5-May-14,22.22,22.36,21.97,22.13,279844
2-May-14,22.44,22.76,22.18,22.44,242096
1-May-14,22.50,22.78,21.84,22.48,308656
30-Apr-14,22.50,22.81,22.00,22.79,240558
29-Apr-14,22.46,22.75,21.88,22.42,246162
28-Apr-14,22.38,22.70,22.02,22.29,245018
25-Apr-14,22.54,22.84,22.22,22.32,320098
24-Apr-14,22.92,22.99,22.54,22.70,225484
23-Apr-14,22.88,23.06,22.70,22.86,157470
22-Apr-14,22.78,23.22,22.78,22.93,185912
21-Apr-14,22.60,22.88,22.48,22.69,113750
17-Apr-14,22.60,23.16,22.56,22.65,208996
16-Apr-14,22.68,22.88,22.56,22.76,204062
15-Apr-14,22.29,22.56,21.86,22.48,264754
14-Apr-14,22.14,22.31,21.77,22.17,261040
11-Apr-14,21.79,22.24,21.25,22.00,310522
10-Apr-14,22.86,22.92,21.92,22.00,269350
9-Apr-14,22.48,23.02,22.29,22.93,180208
8-Apr-14,22.36,22.82,22.32,22.50,202710
7-Apr-14,22.60,22.75,22.20,22.40,367736
4-Apr-14,23.14,23.28,22.46,22.64,290586
3-Apr-14,22.93,23.25,22.81,23.14,259154
2-Apr-14,23.05,23.08,22.87,22.98,313716
1-Apr-14,23.09,23.26,22.81,22.98,451862
31-Mar-14,22.67,23.10,22.66,23.00,343662
28-Mar-14,22.64,22.90,22.38,22.60,219936
27-Mar-14,22.69,22.85,22.23,22.62,158072
26-Mar-14,23.08,23.27,22.58,22.63,323718
25-Mar-14,23.20,23.27,22.70,22.88,193442
24-Mar-14,23.71,24.02,23.02,23.20,213958
21-Mar-14,24.11,24.11,23.60,23.63,376488
20-Mar-14,23.94,24.16,23.78,23.95,257578
19-Mar-14,24.00,24.28,23.80,23.94,224760
18-Mar-14,23.54,23.95,23.46,23.94,260246
17-Mar-14,23.65,23.82,23.45,23.50,221140
14-Mar-14,23.82,24.08,23.51,23.57,262064
13-Mar-14,24.28,24.37,23.64,23.84,204554
12-Mar-14,24.40,24.47,23.93,24.16,283094
11-Mar-14,24.86,25.00,24.32,24.46,383796
10-Mar-14,24.43,24.72,24.34,24.72,268786
7-Mar-14,24.30,24.44,24.12,24.42,219762
6-Mar-14,23.90,24.20,23.87,24.14,213790
5-Mar-14,24.12,24.22,23.77,23.87,290900
4-Mar-14,23.68,24.12,23.53,24.10,477798
3-Mar-14,23.40,23.70,23.12,23.45,354846
28-Feb-14,23.22,23.68,23.22,23.52,497270
27-Feb-14,22.78,23.20,22.56,23.18,466634
26-Feb-14,22.98,23.19,22.65,22.79,273058
25-Feb-14,23.29,23.50,22.56,22.92,570004
24-Feb-14,23.70,23.94,23.38,23.70,371920
21-Feb-14,23.86,24.04,23.62,23.68,319722
20-Feb-14,23.59,23.86,23.42,23.72,274406
19-Feb-14,23.88,24.23,23.55,23.60,490508
18-Feb-14,23.20,23.94,23.10,23.88,346632
14-Feb-14,23.31,23.45,23.04,23.09,267828
13-Feb-14,22.80,23.38,22.80,23.30,275354
12-Feb-14,23.01,23.26,22.90,22.99,143118
11-Feb-14,22.67,23.16,22.67,23.05,272850
10-Feb-14,22.58,23.00,22.40,22.96,242698
7-Feb-14,22.52,22.92,22.50,22.54,250052
