Date,Open,High,Low,Close,Volume
23-Oct-14,277.90,285.23,277.90,283.62,1917613
22-Oct-14,275.92,278.81,273.50,276.24,1411389
21-Oct-14,272.61,278.56,272.12,278.27,1718348
20-Oct-14,265.00,270.18,265.00,269.59,1166799
17-Oct-14,266.93,268.03,263.11,265.37,1703582
16-Oct-14,251.50,264.14,251.19,260.98,3279469
15-Oct-14,251.24,257.81,247.86,256.47,2700639
14-Oct-14,258.48,261.06,251.66,255.27,2864082
13-Oct-14,263.00,264.43,255.44,257.12,2833285
10-Oct-14,266.30,271.25,262.08,262.34,1910007
9-Oct-14,273.21,273.84,266.69,267.95,2307916
8-Oct-14,266.47,274.70,264.52,274.13,2005180
7-Oct-14,270.51,270.75,266.05,266.62,1448350
6-Oct-14,276.30,277.43,270.72,271.72,1162640
3-Oct-14,271.94,275.91,270.53,275.33,1149206
2-Oct-14,268.93,270.76,264.64,268.59,1593914
1-Oct-14,272.45,273.65,267.58,269.43,2041437
30-Sep-14,276.53,276.54,272.22,273.63,1242334
29-Sep-14,272.83,277.91,272.62,276.06,832514
26-Sep-14,275.00,276.65,273.01,276.41,1203873
25-Sep-14,278.83,280.07,272.69,273.97,1474805
24-Sep-14,272.85,279.55,272.71,279.29,1046759
23-Sep-14,270.44,274.10,270.30,271.67,1001071
22-Sep-14,275.21,275.22,270.11,272.55,1075418
19-Sep-14,276.19,277.23,273.09,275.23,822792
18-Sep-14,273.97,275.07,272.58,275.07,449140
17-Sep-14,272.00,274.40,270.44,272.98,1269783
16-Sep-14,264.73,271.45,264.05,270.82,1332907
15-Sep-14,268.12,268.99,263.64,266.09,1192710
12-Sep-14,272.77,273.50,268.24,269.57,833504
11-Sep-14,273.48,274.62,270.42,273.35,671121
10-Sep-14,269.60,274.64,269.51,274.41,758455
9-Sep-14,272.59,272.69,268.57,269.48,756620
8-Sep-14,269.60,273.23,269.59,273.06,635332
5-Sep-14,270.51,271.16,265.56,270.60,1320939
4-Sep-14,275.51,276.22,270.23,270.92,1221921
3-Sep-14,277.09,277.90,274.59,275.46,571537
2-Sep-14,278.02,278.78,274.83,276.07,1017883
29-Aug-14,274.20,276.63,273.85,276.55,603318
28-Aug-14,273.00,276.42,273.00,274.12,943926
27-Aug-14,275.53,276.71,274.00,275.06,942401
26-Aug-14,273.09,276.47,272.43,275.71,902823
25-Aug-14,268.76,272.88,268.75,272.63,1116498
22-Aug-14,264.51,266.92,263.05,266.43,576949
21-Aug-14,266.99,267.81,263.65,264.45,1133427
20-Aug-14,267.00,268.60,265.84,266.85,668288
19-Aug-14,266.92,267.88,264.61,267.23,959058
18-Aug-14,265.58,267.27,264.84,266.21,1302339
15-Aug-14,262.64,264.08,258.95,263.41,1081494
14-Aug-14,257.75,261.32,257.01,261.20,932273
13-Aug-14,253.11,257.59,252.61,257.13,1096243
12-Aug-14,252.95,253.11,250.91,251.66,816131
11-Aug-14,253.10,254.75,250.84,253.21,661651
8-Aug-14,247.50,252.09,247.50,251.49,1252636
7-Aug-14,252.44,252.94,247.35,248.15,1003989
6-Aug-14,249.26,253.98,248.83,251.82,874104
5-Aug-14,250.97,253.98,249.47,251.64,821077
4-Aug-14,251.54,253.20,248.91,252.07,881282
1-Aug-14,249.39,253.82,247.48,250.28,1590105
31-Jul-14,254.78,255.46,250.01,250.83,1710594
30-Jul-14,258.90,260.81,256.29,257.25,1184442
29-Jul-14,251.91,256.15,251.32,254.78,834109
28-Jul-14,253.29,254.06,249.94,251.91,954279
25-Jul-14,255.00,255.35,251.94,254.06,1119395
24-Jul-14,260.01,260.01,254.69,255.45,1717231
23-Jul-14,257.77,260.31,257.02,259.34,1833919
22-Jul-14,252.27,254.88,252.27,253.68,1184770
21-Jul-14,248.94,251.52,247.55,250.86,1121996
18-Jul-14,244.12,251.28,243.68,250.39,2432103
17-Jul-14,246.15,249.47,242.36,243.07,2750773
16-Jul-14,253.00,253.42,248.20,248.52,2433475
15-Jul-14,257.98,258.74,250.89,252.43,2718186
14-Jul-14,259.31,259.85,256.91,258.10,613964
11-Jul-14,255.41,257.83,254.33,256.76,585347
10-Jul-14,251.55,256.85,250.86,255.48,1039728
9-Jul-14,253.27,256.71,250.34,256.17,1367428
8-Jul-14,257.90,258.50,251.76,253.63,2238418
7-Jul-14,265.37,265.90,258.83,259.09,1977320
3-Jul-14,265.29,266.43,263.24,266.02,612824
2-Jul-14,263.20,265.77,262.04,264.55,723804
1-Jul-14,258.89,263.30,258.18,263.12,1129177
30-Jun-14,256.92,258.12,255.64,257.03,1029365
27-Jun-14,255.99,256.73,254.16,256.73,991390
26-Jun-14,255.14,256.41,252.78,256.38,853954
25-Jun-14,253.65,257.62,253.65,255.88,725669
24-Jun-14,256.51,259.87,254.36,255.48,1520336
23-Jun-14,255.68,256.73,252.50,252.91,1068929
20-Jun-14,251.06,255.64,250.85,255.64,1455542
19-Jun-14,250.01,251.16,248.64,250.56,947385
18-Jun-14,248.10,249.92,246.28,249.86,827180
17-Jun-14,247.57,249.41,246.44,247.77,709219
16-Jun-14,247.43,250.44,246.20,248.49,999109
13-Jun-14,248.25,248.91,245.17,247.59,957243
12-Jun-14,247.51,250.25,246.70,247.83,926285
11-Jun-14,247.35,250.61,246.70,249.03,1282104
10-Jun-14,248.00,249.92,245.86,249.30,1369001
9-Jun-14,246.55,250.05,246.55,248.03,1405798
6-Jun-14,246.60,246.69,243.97,246.09,674915
5-Jun-14,243.76,246.76,242.08,245.19,1075899
4-Jun-14,240.30,243.72,239.34,243.47,908170
3-Jun-14,238.10,241.00,237.48,240.92,908704
2-Jun-14,240.01,240.74,236.25,239.91,962115
30-May-14,241.01,241.59,238.04,239.59,989571
29-May-14,240.00,242.28,239.95,240.96,509525
28-May-14,241.19,241.29,239.01,239.59,1165615
27-May-14,236.70,240.68,236.60,240.47,1455893
23-May-14,234.91,235.57,232.22,234.64,855771
22-May-14,230.00,236.28,229.00,234.15,1619806
21-May-14,228.45,231.35,227.83,229.74,769559
20-May-14,231.40,231.58,227.07,228.36,1309074
19-May-14,226.50,231.96,226.45,231.50,905676
16-May-14,229.04,229.79,225.21,228.30,1138819
15-May-14,230.00,231.57,225.38,228.80,1687156
14-May-14,229.83,233.80,228.25,231.41,1333015
13-May-14,232.50,233.93,230.26,230.51,1160165
12-May-14,227.84,232.40,227.09,231.92,1837957
9-May-14,222.50,226.44,220.04,226.44,1388045
8-May-14,225.81,231.14,222.87,223.35,1417249
7-May-14,230.27,230.33,223.00,227.48,1527338
6-May-14,232.53,233.59,228.94,229.33,1103912
5-May-14,226.05,233.28,225.34,233.28,1399841
2-May-14,232.81,233.07,227.70,229.05,1838603
1-May-14,229.86,234.90,228.14,232.50,1452222
30-Apr-14,228.00,230.25,225.00,230.25,1388672
29-Apr-14,224.53,230.24,222.84,229.09,2098160
28-Apr-14,225.72,228.27,217.40,223.06,3431543
25-Apr-14,227.40,229.28,223.43,223.96,2769387
24-Apr-14,233.06,233.22,223.61,229.62,2825591
23-Apr-14,235.53,235.76,229.25,230.99,2412058
22-Apr-14,230.35,235.84,230.00,234.72,3943267
21-Apr-14,223.81,227.34,221.37,227.34,2190131
17-Apr-14,221.39,226.39,220.44,222.16,2970974
16-Apr-14,220.34,223.14,217.43,222.73,4587305
15-Apr-14,216.72,220.11,207.48,217.61,6417606
14-Apr-14,218.42,221.44,211.35,215.37,4119253
11-Apr-14,218.87,225.98,215.25,215.45,6941999
10-Apr-14,234.57,234.57,219.69,221.89,4592152
9-Apr-14,227.05,235.25,227.00,235.08,2763858
8-Apr-14,227.90,228.38,221.18,225.83,3951944
7-Apr-14,224.83,231.08,222.25,226.82,5441241
4-Apr-14,236.97,237.87,223.86,225.30,5586993
3-Apr-14,241.93,242.14,232.37,234.71,3046080
2-Apr-14,244.13,245.42,239.49,241.60,1889691
1-Apr-14,238.71,244.61,237.98,241.65,3221216
31-Mar-14,231.08,236.59,231.08,236.40,3142019
28-Mar-14,236.62,238.54,228.69,229.38,3824268
27-Mar-14,234.21,238.73,228.72,236.14,3615558
26-Mar-14,242.00,243.89,235.01,235.09,3485410
25-Mar-14,241.65,245.61,235.66,239.44,3491246
24-Mar-14,247.36,247.75,232.84,239.23,6509074
21-Mar-14,260.30,260.30,245.86,246.01,5493221
20-Mar-14,258.59,260.13,256.62,258.25,981650
19-Mar-14,263.06,263.45,257.70,259.47,1389273
18-Mar-14,257.08,262.32,256.42,262.22,1401738
17-Mar-14,256.70,259.80,255.01,255.47,1602389
14-Mar-14,253.01,256.73,251.79,253.87,2418979
13-Mar-14,262.82,262.85,253.05,254.80,2578297
12-Mar-14,256.88,261.50,256.14,261.50,2330415
11-Mar-14,261.61,263.36,258.05,259.07,1330747
10-Mar-14,259.40,260.72,255.74,260.50,1430488
7-Mar-14,264.02,264.28,254.47,259.40,3899518
6-Mar-14,269.72,270.60,259.86,261.14,3453126
5-Mar-14,270.17,270.45,267.38,268.29,745736
