Date,Open,High,Low,Close,Volume
23-Oct-14,25.03,25.50,24.97,25.28,142021
22-Oct-14,25.09,25.43,24.64,24.70,93428
21-Oct-14,24.37,25.08,24.37,25.03,133255
20-Oct-14,24.07,24.44,24.02,24.23,134316
17-Oct-14,24.80,24.80,24.08,24.23,132217
16-Oct-14,23.54,24.57,23.54,24.42,223155
15-Oct-14,24.33,24.92,23.60,23.97,338346
14-Oct-14,24.42,25.09,24.42,24.78,194072
13-Oct-14,23.79,24.54,23.76,24.22,161205
10-Oct-14,23.49,24.19,23.49,23.83,196810
9-Oct-14,24.59,24.59,23.60,23.61,257561
8-Oct-14,23.96,24.69,23.94,24.61,245836
7-Oct-14,24.30,24.55,23.98,23.99,145872
6-Oct-14,24.98,25.15,24.52,24.53,96877
3-Oct-14,24.97,25.16,24.84,24.90,171765
2-Oct-14,24.36,24.84,24.31,24.68,157668
1-Oct-14,24.67,25.09,24.39,24.42,301038
30-Sep-14,24.85,24.96,24.62,24.66,334372
29-Sep-14,24.67,25.03,24.67,24.84,142354
26-Sep-14,24.82,25.17,24.74,25.03,188257
25-Sep-14,25.45,25.68,25.00,25.07,179015
24-Sep-14,25.55,25.67,25.30,25.60,133983
23-Sep-14,25.74,26.12,25.47,25.48,171850
22-Sep-14,26.20,26.43,25.83,25.84,150429
19-Sep-14,27.10,27.50,26.29,26.30,663132
18-Sep-14,26.47,27.36,26.34,27.04,115476
17-Sep-14,26.42,26.81,26.17,26.36,113986
16-Sep-14,26.33,26.62,26.13,26.40,181725
15-Sep-14,26.62,26.79,26.26,26.37,173850
12-Sep-14,26.98,27.20,26.40,26.64,167016
11-Sep-14,26.33,27.03,26.33,26.92,81971
10-Sep-14,26.11,26.57,26.06,26.54,124827
9-Sep-14,26.50,26.82,26.05,26.13,103599
8-Sep-14,26.44,26.77,26.41,26.57,122860
5-Sep-14,26.24,26.46,25.97,26.42,80004
4-Sep-14,26.74,26.96,26.22,26.36,87778
3-Sep-14,27.02,27.17,26.56,26.68,109714
2-Sep-14,26.49,27.07,26.30,26.89,198934
29-Aug-14,26.14,26.40,25.90,26.36,119829
28-Aug-14,26.49,26.49,26.06,26.09,102143
27-Aug-14,26.94,26.94,26.54,26.59,58744
26-Aug-14,26.56,26.94,26.55,26.87,99739
