Date,Open,High,Low,Close,Volume
23-Oct-14,45.59,45.69,44.76,45.07,24930
22-Oct-14,45.85,45.85,44.77,45.07,24616
21-Oct-14,45.62,45.76,45.00,45.25,31786
20-Oct-14,45.31,46.02,45.00,45.27,13430
17-Oct-14,46.24,47.09,45.35,45.39,19937
16-Oct-14,44.52,45.82,44.50,45.56,30914
15-Oct-14,45.25,45.99,44.64,45.20,44039
14-Oct-14,46.13,46.50,45.55,45.79,29572
13-Oct-14,45.60,46.83,45.45,45.82,38444
10-Oct-14,45.27,46.23,45.12,45.31,22277
9-Oct-14,47.21,47.66,45.24,45.59,30897
8-Oct-14,46.46,47.58,46.21,47.55,36008
7-Oct-14,47.28,47.50,46.54,46.68,29013
6-Oct-14,47.86,47.96,47.23,47.75,18146
3-Oct-14,48.27,48.50,47.50,47.66,25096
2-Oct-14,46.80,48.78,46.51,48.02,25973
1-Oct-14,47.46,48.03,46.41,46.77,49520
30-Sep-14,48.86,48.86,47.27,47.45,44837
29-Sep-14,49.06,49.17,48.51,48.93,26125
26-Sep-14,49.50,49.59,49.00,49.46,23610
25-Sep-14,49.68,49.88,49.01,49.22,40948
24-Sep-14,48.88,50.29,48.88,49.99,37106
23-Sep-14,48.76,49.34,48.50,48.86,42362
22-Sep-14,48.45,48.98,47.50,48.81,58627
19-Sep-14,49.78,50.00,48.53,48.76,47786
18-Sep-14,48.31,50.45,47.85,49.64,42231
17-Sep-14,48.55,48.83,47.83,47.89,33009
16-Sep-14,47.73,48.59,47.72,48.29,28541
15-Sep-14,49.23,49.23,47.30,47.70,43894
12-Sep-14,50.40,50.51,48.62,49.47,30586
11-Sep-14,49.89,50.68,48.72,50.29,16149
10-Sep-14,49.10,50.40,48.91,50.25,49044
9-Sep-14,50.28,50.28,49.07,49.42,25204
8-Sep-14,50.37,50.98,49.77,50.98,20248
5-Sep-14,50.50,50.50,50.05,50.29,17939
4-Sep-14,50.65,51.61,49.10,50.56,55442
3-Sep-14,51.00,51.00,50.36,50.63,43339
2-Sep-14,50.93,50.99,50.49,50.96,34438
29-Aug-14,50.61,50.98,50.01,50.61,46691
28-Aug-14,50.28,50.83,50.00,50.34,63284
27-Aug-14,50.54,50.74,49.90,50.44,25246
26-Aug-14,50.65,51.00,50.17,50.60,29131
25-Aug-14,50.29,51.20,50.01,50.62,76613
22-Aug-14,49.03,50.63,48.92,50.10,37101
21-Aug-14,48.95,49.25,48.43,49.25,59563
20-Aug-14,48.88,49.24,48.71,48.89,93027
19-Aug-14,49.25,49.61,48.87,49.12,30854
18-Aug-14,47.87,49.54,47.87,49.45,23994
15-Aug-14,48.90,48.93,47.00,47.70,29721
14-Aug-14,48.13,48.62,48.08,48.30,12716
13-Aug-14,47.71,48.79,47.54,48.02,27269
12-Aug-14,48.31,48.46,47.00,47.43,22839
11-Aug-14,48.15,49.06,48.00,48.35,21503
8-Aug-14,48.07,48.91,47.44,47.67,39730
7-Aug-14,49.41,49.60,47.23,48.05,56539
6-Aug-14,48.45,49.67,47.77,49.41,38764
5-Aug-14,47.70,48.56,47.00,48.47,38469
4-Aug-14,47.74,48.21,47.25,47.95,38935
1-Aug-14,47.74,48.76,46.01,47.31,75286
31-Jul-14,49.37,49.79,48.00,48.01,36357
30-Jul-14,48.05,49.96,48.05,49.83,45888
29-Jul-14,48.60,48.80,47.54,47.57,96142
28-Jul-14,49.02,49.22,48.05,48.67,27275
25-Jul-14,49.85,49.85,48.72,48.79,33539
24-Jul-14,49.85,50.59,49.45,50.17,36216
23-Jul-14,49.42,49.87,49.34,49.70,21765
22-Jul-14,50.00,50.48,49.47,49.61,32270
21-Jul-14,50.25,50.25,49.17,49.75,39530
18-Jul-14,49.48,50.76,49.48,50.48,57184
17-Jul-14,51.72,52.03,49.23,49.61,37883
16-Jul-14,51.72,52.27,51.15,51.95,43951
15-Jul-14,52.58,52.72,51.23,51.66,48717
14-Jul-14,52.68,52.68,52.12,52.31,32799
11-Jul-14,52.86,53.00,52.29,52.37,36357
10-Jul-14,53.43,53.68,52.16,53.06,48786
9-Jul-14,53.89,54.58,53.78,54.14,25051
