Date,Open,High,Low,Close,Volume
23-Oct-14,7.00,7.40,7.00,7.37,10322
22-Oct-14,7.06,7.15,7.00,7.01,69339
21-Oct-14,7.00,7.13,6.89,7.06,34239
20-Oct-14,7.02,7.05,6.79,6.89,8105
17-Oct-14,6.72,7.08,6.72,6.97,40263
16-Oct-14,6.55,6.72,6.46,6.57,33573
15-Oct-14,6.65,6.73,6.58,6.65,10600
14-Oct-14,6.69,6.76,6.49,6.70,41838
13-Oct-14,6.76,6.88,6.58,6.65,36360
10-Oct-14,6.74,6.87,6.57,6.85,46799
9-Oct-14,6.05,6.86,6.05,6.78,33220
8-Oct-14,6.51,6.84,6.22,6.33,47865
7-Oct-14,6.66,6.68,6.47,6.50,22199
6-Oct-14,6.75,7.00,6.55,6.69,23283
3-Oct-14,6.94,6.98,6.64,6.79,31950
2-Oct-14,7.26,7.36,6.87,7.00,25850
1-Oct-14,7.31,7.42,7.06,7.34,20752
30-Sep-14,7.31,7.52,7.07,7.39,63840
29-Sep-14,7.52,7.65,7.36,7.46,20638
26-Sep-14,7.25,7.67,7.00,7.54,84241
25-Sep-14,7.36,7.39,7.12,7.28,13856
24-Sep-14,7.41,7.45,7.05,7.28,35277
23-Sep-14,7.11,7.48,7.01,7.29,58299
22-Sep-14,7.58,7.76,7.08,7.21,114742
19-Sep-14,6.72,7.26,6.66,7.25,207301
18-Sep-14,6.38,6.90,6.23,6.59,136914
17-Sep-14,5.67,6.40,5.67,6.39,135916
16-Sep-14,5.56,5.69,5.51,5.67,6986
15-Sep-14,5.70,5.71,5.33,5.51,30814
12-Sep-14,5.60,5.60,5.31,5.47,20207
11-Sep-14,5.63,5.66,5.42,5.63,10756
10-Sep-14,5.70,5.70,5.50,5.52,17037
9-Sep-14,5.47,5.62,5.45,5.59,14566
8-Sep-14,5.56,5.69,5.40,5.69,28947
5-Sep-14,5.50,5.70,5.50,5.54,4494
4-Sep-14,5.62,5.72,5.36,5.41,44130
3-Sep-14,5.51,5.72,5.50,5.70,47694
2-Sep-14,5.46,5.65,5.21,5.60,248381
29-Aug-14,5.31,5.40,5.25,5.32,4059
28-Aug-14,5.10,5.49,5.09,5.28,33171
27-Aug-14,5.20,5.36,5.16,5.30,19110
26-Aug-14,5.30,5.34,5.12,5.28,89123
25-Aug-14,5.34,5.35,5.11,5.30,104826
22-Aug-14,5.46,5.50,5.26,5.34,157243
21-Aug-14,5.45,5.64,5.26,5.40,4334
20-Aug-14,5.70,5.74,5.41,5.50,5875
19-Aug-14,5.64,5.74,5.42,5.50,8892
18-Aug-14,5.67,5.73,5.46,5.62,13048
15-Aug-14,5.75,5.75,5.46,5.67,9540
14-Aug-14,5.49,5.65,5.35,5.63,7005
13-Aug-14,5.74,5.74,5.39,5.47,5170
12-Aug-14,5.50,5.72,5.34,5.43,5658
11-Aug-14,5.75,5.75,5.50,5.59,14905
8-Aug-14,5.71,5.95,5.42,5.62,34995
7-Aug-14,5.48,5.49,5.25,5.45,11456
6-Aug-14,5.49,5.50,5.44,5.49,1340
5-Aug-14,5.65,5.67,5.44,5.46,12903
4-Aug-14,5.50,5.68,5.40,5.55,12178
1-Aug-14,5.72,5.72,5.43,5.53,13843
31-Jul-14,5.40,5.75,5.30,5.72,32369
30-Jul-14,5.32,5.46,5.21,5.46,4710
29-Jul-14,5.05,5.35,5.02,5.27,21733
28-Jul-14,5.05,5.05,4.98,5.05,19371
25-Jul-14,4.95,5.18,4.95,5.05,8470
24-Jul-14,4.99,5.00,4.89,4.99,11919
23-Jul-14,5.21,5.21,4.96,4.99,24979
22-Jul-14,5.53,5.53,5.21,5.21,7007
21-Jul-14,5.46,5.51,5.24,5.24,7303
18-Jul-14,5.53,5.54,5.38,5.38,16194
17-Jul-14,5.49,5.53,5.47,5.49,1702
16-Jul-14,5.60,5.60,5.42,5.49,5027
15-Jul-14,5.64,5.64,5.47,5.54,17479
14-Jul-14,5.52,5.64,5.41,5.47,5303
11-Jul-14,5.49,5.50,5.47,5.49,9503
10-Jul-14,5.53,5.67,5.46,5.46,8418
9-Jul-14,5.72,5.72,5.51,5.60,10475
8-Jul-14,5.56,5.73,5.54,5.66,4701
7-Jul-14,5.64,5.73,5.50,5.66,13432
3-Jul-14,5.65,5.74,5.60,5.74,7266
2-Jul-14,5.57,5.74,5.57,5.71,3123
1-Jul-14,5.68,5.74,5.44,5.53,15562
30-Jun-14,5.49,5.74,5.35,5.44,15450
27-Jun-14,5.25,5.49,5.25,5.49,34046
26-Jun-14,5.20,5.25,5.15,5.20,9522
25-Jun-14,5.20,5.20,5.10,5.12,6312
24-Jun-14,5.17,5.25,5.13,5.18,25722
23-Jun-14,5.21,5.21,5.07,5.07,2845
20-Jun-14,5.18,5.21,5.10,5.10,7094
19-Jun-14,5.05,5.20,5.05,5.19,4204
18-Jun-14,5.12,5.12,5.07,5.08,703
17-Jun-14,5.08,5.18,5.00,5.08,16374
16-Jun-14,5.07,5.09,4.98,5.00,11305
13-Jun-14,5.05,5.12,4.95,5.03,14950
12-Jun-14,5.07,5.12,4.95,5.02,19010
11-Jun-14,5.04,5.18,5.00,5.05,6718
10-Jun-14,5.06,5.06,4.87,5.00,14458
9-Jun-14,4.85,5.14,4.85,5.03,36312
6-Jun-14,5.06,5.06,4.76,4.89,37591
5-Jun-14,4.50,4.85,4.44,4.78,31920
4-Jun-14,4.35,4.50,4.18,4.49,28043
3-Jun-14,4.22,4.37,4.16,4.32,25027
2-Jun-14,4.23,4.41,4.16,4.20,173170
30-May-14,4.22,4.33,4.13,4.18,46083
29-May-14,4.23,4.36,4.13,4.17,38192
28-May-14,4.25,4.42,4.10,4.20,22464
27-May-14,4.36,4.50,4.14,4.28,54021
23-May-14,3.99,4.32,3.94,4.17,52547
22-May-14,4.08,4.08,3.88,3.96,138654
21-May-14,3.95,4.15,3.92,4.15,43643
20-May-14,4.05,4.09,3.96,4.00,51817
19-May-14,4.19,4.30,4.00,4.03,74265
16-May-14,4.32,4.50,4.06,4.19,13224
15-May-14,4.38,4.40,4.25,4.26,10987
14-May-14,4.29,4.44,4.27,4.31,12880
13-May-14,4.44,4.46,4.18,4.26,13226
12-May-14,4.28,4.45,4.22,4.24,20793
9-May-14,4.61,5.04,4.20,4.26,64960
8-May-14,5.28,5.40,4.59,4.59,27141
7-May-14,5.50,5.50,4.89,4.99,12007
6-May-14,5.35,5.47,5.15,5.24,17831
5-May-14,5.49,5.57,5.36,5.45,24249
2-May-14,5.90,5.90,5.43,5.53,36072
1-May-14,5.72,5.74,5.45,5.54,10864
30-Apr-14,5.81,5.81,5.63,5.63,2243
29-Apr-14,5.65,5.74,5.57,5.65,7230
28-Apr-14,5.75,5.88,5.61,5.70,66052
25-Apr-14,5.87,5.87,5.56,5.59,8662
24-Apr-14,5.88,5.88,5.72,5.72,2199
23-Apr-14,5.84,5.94,5.72,5.81,33252
22-Apr-14,5.82,5.87,5.71,5.73,6721
21-Apr-14,6.02,6.05,5.72,5.75,22285
17-Apr-14,5.95,6.09,5.69,5.94,28666
16-Apr-14,5.83,5.95,5.68,5.82,6413
15-Apr-14,5.95,5.95,5.71,5.78,16970
14-Apr-14,5.80,5.88,5.75,5.87,14105
11-Apr-14,5.79,5.80,5.72,5.73,13227
10-Apr-14,5.87,5.87,5.70,5.71,5532
9-Apr-14,5.67,5.84,5.63,5.72,47117
8-Apr-14,5.47,5.73,5.45,5.69,20622
7-Apr-14,5.50,5.60,5.42,5.59,23256
4-Apr-14,5.66,5.66,5.53,5.55,8242
3-Apr-14,5.72,5.73,5.52,5.59,17984
2-Apr-14,5.81,5.81,5.67,5.69,5920
1-Apr-14,5.73,5.79,5.62,5.73,25471
31-Mar-14,5.81,5.94,5.67,5.68,28649
28-Mar-14,6.02,6.08,5.75,5.76,4968
27-Mar-14,6.14,6.14,5.80,5.83,14700
26-Mar-14,5.97,6.13,5.89,5.90,3189
25-Mar-14,6.13,6.13,5.91,5.95,9332
24-Mar-14,6.12,6.12,5.86,5.95,3524
21-Mar-14,5.95,6.09,5.84,5.99,32200
20-Mar-14,5.89,5.97,5.77,5.91,24564
19-Mar-14,5.97,5.99,5.67,5.81,62504
18-Mar-14,5.70,5.81,5.54,5.76,24979
17-Mar-14,5.89,5.89,5.72,5.72,3070
14-Mar-14,5.84,5.87,5.67,5.76,30411
13-Mar-14,5.88,5.88,5.75,5.78,23638
12-Mar-14,5.88,5.90,5.77,5.83,12672
11-Mar-14,5.77,5.89,5.71,5.84,10989
10-Mar-14,5.80,5.95,5.74,5.85,44751
7-Mar-14,5.71,5.83,5.53,5.78,62290
6-Mar-14,5.67,5.83,5.58,5.77,20253
5-Mar-14,5.71,5.77,5.56,5.70,29017
4-Mar-14,5.93,5.93,5.68,5.77,30308
3-Mar-14,6.00,6.00,5.58,5.77,91948
28-Feb-14,5.97,6.00,5.89,5.99,54442
27-Feb-14,5.93,6.00,5.80,5.93,24366
26-Feb-14,6.05,6.05,5.79,5.89,12871
25-Feb-14,6.16,6.16,5.90,5.95,22347
24-Feb-14,6.10,6.23,6.10,6.12,8958
21-Feb-14,6.16,6.29,6.10,6.16,18257
20-Feb-14,6.06,6.21,6.06,6.12,13067
19-Feb-14,6.30,6.33,6.01,6.10,27276
18-Feb-14,6.37,6.46,6.22,6.26,49906
14-Feb-14,6.37,6.50,6.26,6.36,32471
13-Feb-14,6.29,6.50,6.21,6.31,35290
12-Feb-14,6.76,6.76,6.27,6.27,31654
11-Feb-14,6.37,6.54,6.22,6.41,37112
10-Feb-14,6.52,6.79,6.33,6.40,90308
7-Feb-14,6.18,6.55,6.18,6.44,84403
6-Feb-14,6.05,6.17,5.92,6.12,22353
5-Feb-14,5.95,6.15,5.87,6.05,75230
4-Feb-14,5.98,5.99,5.82,5.89,45632
3-Feb-14,6.06,6.06,5.88,6.01,26959
31-Jan-14,6.16,6.30,5.98,6.05,39510
30-Jan-14,5.88,6.11,5.88,6.11,244213
29-Jan-14,5.75,5.95,5.75,5.88,274251
28-Jan-14,5.80,5.80,5.75,5.78,13851
27-Jan-14,5.80,5.80,5.75,5.76,5630
24-Jan-14,5.84,5.87,5.75,5.76,18675
23-Jan-14,5.74,5.88,5.67,5.84,25281
22-Jan-14,5.74,5.75,5.69,5.69,5429
21-Jan-14,5.70,5.80,5.67,5.74,15847
17-Jan-14,5.74,5.79,5.66,5.74,7936
16-Jan-14,5.72,5.80,5.65,5.72,49300
15-Jan-14,5.83,5.83,5.65,5.65,16421
14-Jan-14,5.80,5.84,5.67,5.71,13776
13-Jan-14,5.94,5.95,5.66,5.76,26557
10-Jan-14,5.94,5.94,5.76,5.88,36109
9-Jan-14,5.88,5.94,5.75,5.86,9354
8-Jan-14,5.91,5.91,5.79,5.83,4657
7-Jan-14,6.00,6.01,5.72,5.89,36442
6-Jan-14,5.85,5.90,5.75,5.90,38726
3-Jan-14,5.76,5.88,5.72,5.80,27686
2-Jan-14,5.80,5.80,5.71,5.71,13462
31-Dec-13,5.80,5.80,5.72,5.79,15179
30-Dec-13,5.71,5.80,5.70,5.80,4968
27-Dec-13,5.77,5.85,5.72,5.75,19320
26-Dec-13,5.88,5.88,5.71,5.78,29398
24-Dec-13,5.70,5.80,5.70,5.79,18193
23-Dec-13,5.90,5.93,5.75,5.75,31815
20-Dec-13,5.78,5.90,5.72,5.90,27665
19-Dec-13,5.83,5.89,5.78,5.80,21504
18-Dec-13,5.82,5.93,5.79,5.84,16311
17-Dec-13,5.84,5.90,5.75,5.76,16509
16-Dec-13,5.83,5.94,5.76,5.79,12219
13-Dec-13,6.00,6.01,5.81,5.81,31282
12-Dec-13,6.10,6.10,5.87,5.90,22410
11-Dec-13,6.18,6.20,5.94,5.94,56550
10-Dec-13,6.10,6.21,5.84,6.21,67057
9-Dec-13,6.15,6.18,5.81,6.02,53128
6-Dec-13,6.16,6.24,6.08,6.15,43908
5-Dec-13,6.10,6.14,5.96,6.11,21212
4-Dec-13,6.14,6.14,5.95,6.05,40228
3-Dec-13,6.05,6.17,5.99,6.09,41094
2-Dec-13,6.20,6.23,6.05,6.13,36013
29-Nov-13,6.09,6.23,5.97,6.22,20844
27-Nov-13,5.94,6.23,5.91,6.10,89675
26-Nov-13,6.22,6.25,5.91,5.93,61427
25-Nov-13,6.08,6.31,6.08,6.16,76447
22-Nov-13,6.10,6.27,5.97,6.11,59478
21-Nov-13,6.24,6.24,5.96,6.06,27981
20-Nov-13,6.13,6.31,5.83,6.05,39018
19-Nov-13,6.40,6.40,6.06,6.10,47281
18-Nov-13,6.26,6.30,5.85,6.19,40308
15-Nov-13,6.09,6.40,5.70,6.01,32574
14-Nov-13,5.84,6.09,5.80,5.99,52060
13-Nov-13,5.54,5.87,5.54,5.80,20926
12-Nov-13,5.44,5.62,5.44,5.60,18320
11-Nov-13,5.10,5.61,5.10,5.43,38682
8-Nov-13,5.66,5.66,5.10,5.10,65376
7-Nov-13,5.06,5.30,4.95,5.08,26972
6-Nov-13,5.05,5.28,4.97,5.10,63181
5-Nov-13,5.58,5.58,5.00,5.25,36417
4-Nov-13,5.74,5.74,4.97,5.42,14591
1-Nov-13,5.21,5.38,5.01,5.29,27788
31-Oct-13,5.46,5.46,5.10,5.20,47786
30-Oct-13,5.31,5.44,5.25,5.30,19341
29-Oct-13,5.46,5.46,5.31,5.31,20448
28-Oct-13,5.44,5.55,5.37,5.40,7028
25-Oct-13,5.53,5.64,5.38,5.38,22170
24-Oct-13,5.46,5.82,5.43,5.50,20183
23-Oct-13,5.46,5.55,5.46,5.50,39739
22-Oct-13,5.66,5.66,5.43,5.43,39770
21-Oct-13,5.58,5.61,5.45,5.59,16360
18-Oct-13,5.67,5.68,5.44,5.56,14337
17-Oct-13,5.61,5.67,5.46,5.62,21117
16-Oct-13,5.72,5.86,5.48,5.58,33008
15-Oct-13,5.76,5.87,5.51,5.61,31671
14-Oct-13,5.52,5.91,5.42,5.83,37958
11-Oct-13,5.46,6.50,5.42,5.60,30762
10-Oct-13,5.47,5.58,5.31,5.48,55474
9-Oct-13,5.44,5.49,5.18,5.45,48203
8-Oct-13,5.45,5.50,5.14,5.38,51314
7-Oct-13,5.57,5.67,5.39,5.64,20608
4-Oct-13,5.63,5.67,5.45,5.58,22453
3-Oct-13,5.75,5.75,5.27,5.63,149815
2-Oct-13,6.10,6.15,6.01,6.11,18315
1-Oct-13,6.18,6.20,6.08,6.18,22093
30-Sep-13,6.17,6.24,5.98,6.16,31142
27-Sep-13,6.27,6.29,6.13,6.24,14364
26-Sep-13,6.22,6.28,6.10,6.22,62504
25-Sep-13,6.25,6.27,6.16,6.26,34865
24-Sep-13,6.08,6.28,5.81,6.18,37326
23-Sep-13,6.28,6.38,6.14,6.28,19690
20-Sep-13,6.37,6.37,6.28,6.33,19441
19-Sep-13,6.48,6.56,6.29,6.36,14811
18-Sep-13,6.43,6.56,6.40,6.46,30690
17-Sep-13,6.45,6.53,6.35,6.42,16629
16-Sep-13,6.47,6.57,6.30,6.53,36629
13-Sep-13,6.59,6.61,6.32,6.49,8582
12-Sep-13,6.36,6.64,6.36,6.48,11850
11-Sep-13,6.60,6.67,6.37,6.37,26966
10-Sep-13,6.84,6.84,6.70,6.70,12376
9-Sep-13,6.41,6.78,6.27,6.75,40609
6-Sep-13,6.33,6.47,6.20,6.47,14991
5-Sep-13,6.19,6.36,6.14,6.26,19303
4-Sep-13,6.38,6.44,6.06,6.25,44798
3-Sep-13,6.30,6.45,6.10,6.43,35029
30-Aug-13,6.37,6.42,5.93,6.27,42069
29-Aug-13,6.17,6.37,6.12,6.35,27560
28-Aug-13,6.25,6.48,6.10,6.18,18286
27-Aug-13,6.46,6.49,6.20,6.20,6013
26-Aug-13,6.50,6.50,6.27,6.33,8523
23-Aug-13,6.37,6.50,6.26,6.49,32116
22-Aug-13,6.15,6.54,6.15,6.31,8022
21-Aug-13,6.12,6.42,6.12,6.15,13479
20-Aug-13,6.39,6.48,6.25,6.25,15640
19-Aug-13,6.47,6.53,6.30,6.38,16640
16-Aug-13,6.48,6.60,6.30,6.49,38384
15-Aug-13,6.50,6.53,6.09,6.25,32094
14-Aug-13,6.55,6.73,6.45,6.59,225354
13-Aug-13,6.58,6.58,6.42,6.43,13603
12-Aug-13,6.45,6.62,5.94,6.48,27517
