Date,Open,High,Low,Close,Volume
23-Oct-14,41.68,41.68,41.41,41.43,5483
22-Oct-14,41.35,41.39,41.10,41.14,2846
21-Oct-14,41.02,41.33,41.02,41.25,7612
20-Oct-14,40.33,40.52,40.33,40.49,603
17-Oct-14,40.04,40.35,40.03,40.21,3945
16-Oct-14,39.01,39.45,39.01,39.45,4854
15-Oct-14,39.43,39.58,38.78,39.51,14875
14-Oct-14,39.62,39.97,39.59,39.65,14339
13-Oct-14,40.07,40.42,39.69,39.80,40983
10-Oct-14,39.98,39.98,39.95,39.95,609
9-Oct-14,41.31,41.31,40.47,40.48,1772
8-Oct-14,41.16,41.72,40.84,41.72,6005
7-Oct-14,41.79,41.79,41.48,41.48,999
6-Oct-14,42.00,42.03,41.98,42.02,1712
3-Oct-14,42.26,42.27,42.26,42.26,3184
2-Oct-14,41.98,42.10,41.98,42.10,932
1-Oct-14,42.89,42.89,42.49,42.52,3009
30-Sep-14,42.81,43.07,42.80,42.97,4358
29-Sep-14,43.20,43.20,43.04,43.15,422
26-Sep-14,43.13,43.22,43.13,43.22,1313
25-Sep-14,43.91,43.91,43.27,43.38,18414
24-Sep-14,43.78,43.86,43.62,43.85,4954
23-Sep-14,44.21,44.21,44.03,44.03,821
19-Sep-14,44.58,44.66,44.58,44.66,30969
18-Sep-14,44.82,44.84,44.72,44.82,6466
17-Sep-14,44.56,44.73,44.55,44.73,6028
16-Sep-14,44.28,44.44,44.28,44.44,1591
15-Sep-14,44.70,44.70,44.70,44.70,269
12-Sep-14,44.51,44.72,44.51,44.67,742
11-Sep-14,44.47,44.62,44.42,44.49,3949
10-Sep-14,44.59,44.75,44.41,44.75,1724
9-Sep-14,44.76,44.80,44.55,44.62,2084
8-Sep-14,45.01,45.01,44.66,44.75,6207
5-Sep-14,45.42,45.42,45.42,45.42,447
4-Sep-14,45.37,45.47,45.37,45.41,6089
3-Sep-14,45.95,45.95,45.66,45.82,17489
2-Sep-14,45.58,45.60,45.34,45.58,5235
29-Aug-14,45.82,45.82,45.58,45.62,23609
28-Aug-14,45.96,45.96,45.75,45.84,1272
27-Aug-14,46.10,46.11,46.10,46.10,613
26-Aug-14,45.80,45.86,45.77,45.82,774
25-Aug-14,45.54,45.83,45.54,45.83,455
22-Aug-14,45.36,45.59,45.36,45.45,8519
21-Aug-14,45.56,45.56,45.54,45.54,4084
20-Aug-14,46.03,46.03,45.35,45.37,2341
19-Aug-14,45.33,45.70,45.33,45.60,9660
18-Aug-14,45.58,45.58,45.48,45.55,669
15-Aug-14,45.45,45.45,44.91,45.26,15542
14-Aug-14,44.46,45.21,44.46,45.08,4465
13-Aug-14,44.91,44.91,44.75,44.75,1629
12-Aug-14,44.61,44.64,44.57,44.60,1482
11-Aug-14,44.06,44.66,44.06,44.58,5584
8-Aug-14,43.57,44.11,43.57,44.11,1778
7-Aug-14,43.97,44.23,43.82,44.00,7269
6-Aug-14,44.12,44.29,44.05,44.29,5919
5-Aug-14,44.78,44.78,44.50,44.53,24514
4-Aug-14,44.85,45.14,44.62,45.11,33371
1-Aug-14,44.87,45.01,44.76,44.79,81714
31-Jul-14,44.90,45.44,44.90,45.00,10449
30-Jul-14,46.03,46.03,45.81,45.83,1881
29-Jul-14,46.04,46.29,46.03,46.03,2196
28-Jul-14,46.79,46.79,46.03,46.29,1863
25-Jul-14,46.60,46.60,46.04,46.05,1315
24-Jul-14,46.09,46.45,46.09,46.19,2043
23-Jul-14,46.04,46.38,46.04,46.34,93607
22-Jul-14,45.86,46.13,45.85,45.85,3807
21-Jul-14,45.55,46.07,45.50,45.92,5813
18-Jul-14,45.29,46.21,45.29,45.89,4375
17-Jul-14,46.26,46.26,45.90,45.90,1231
16-Jul-14,46.22,46.30,46.04,46.04,4892
15-Jul-14,45.97,46.00,45.97,46.00,576
14-Jul-14,46.21,46.21,45.98,45.98,83487
11-Jul-14,45.55,46.02,45.55,45.85,14062
10-Jul-14,45.95,46.00,45.86,46.00,15655
9-Jul-14,46.92,46.92,46.44,46.44,14240
8-Jul-14,46.85,46.96,46.47,46.68,13904
7-Jul-14,47.44,47.44,47.10,47.26,92253
3-Jul-14,47.49,47.98,47.43,47.95,3030
2-Jul-14,48.97,48.97,47.34,47.35,3278
30-Jun-14,46.69,47.20,46.69,47.14,3591
27-Jun-14,46.94,46.94,46.38,46.56,3650
26-Jun-14,46.98,46.98,46.32,46.55,5113
25-Jun-14,46.64,46.65,46.49,46.49,1627
24-Jun-14,47.45,47.45,46.41,46.62,5159
23-Jun-14,47.44,47.47,47.03,47.47,2366
20-Jun-14,47.68,47.68,47.15,47.21,2607
19-Jun-14,48.15,48.15,47.39,47.39,1436
18-Jun-14,47.64,47.64,46.94,47.48,3658
17-Jun-14,47.02,47.02,46.88,46.98,4455
16-Jun-14,48.02,48.02,46.67,46.67,461
13-Jun-14,47.97,47.97,46.79,47.16,3216
12-Jun-14,46.65,47.66,46.65,47.34,6659
11-Jun-14,47.05,47.26,47.03,47.26,2891
10-Jun-14,47.80,47.80,47.70,47.71,1066
9-Jun-14,47.39,47.69,47.39,47.69,5185
6-Jun-14,47.18,47.92,47.18,47.78,3569
5-Jun-14,47.46,47.52,47.38,47.45,2075
4-Jun-14,46.82,47.16,46.82,47.12,11962
3-Jun-14,47.37,47.37,46.70,47.10,1962
2-Jun-14,47.36,47.40,46.84,46.94,5829
30-May-14,47.18,47.26,46.78,47.25,19696
29-May-14,47.14,47.14,46.61,46.95,5058
28-May-14,46.40,46.85,46.39,46.59,4800
27-May-14,46.60,46.84,46.43,46.84,3767
23-May-14,47.12,47.36,47.07,47.07,6391
22-May-14,46.71,47.12,46.62,46.99,5579
21-May-14,46.86,47.11,46.23,47.11,6034
20-May-14,46.93,46.93,46.06,46.32,1953
19-May-14,46.25,46.70,45.70,45.70,17709
16-May-14,46.15,46.26,45.83,46.24,8973
15-May-14,46.50,46.50,45.07,46.44,26160
14-May-14,46.56,46.77,46.39,46.68,4270
13-May-14,46.73,46.88,46.63,46.73,13315
12-May-14,46.63,46.79,46.63,46.79,4134
9-May-14,46.40,46.48,46.33,46.48,1779
8-May-14,46.55,46.79,46.38,46.72,46050
7-May-14,46.78,46.78,46.36,46.36,1283
6-May-14,46.30,46.94,46.30,46.65,24745
5-May-14,46.30,46.68,46.30,46.68,2009
2-May-14,46.79,46.79,46.62,46.62,1068
1-May-14,46.30,46.30,46.30,46.30,574
30-Apr-14,46.28,46.35,46.28,46.35,838
28-Apr-14,46.23,46.23,46.23,46.23,409
25-Apr-14,46.31,46.31,46.25,46.25,1281
24-Apr-14,46.28,46.45,46.15,46.20,50919
23-Apr-14,46.59,46.59,46.29,46.46,1028
22-Apr-14,46.45,46.56,46.20,46.49,2078
21-Apr-14,46.67,46.67,45.84,45.97,17465
17-Apr-14,46.45,46.54,46.10,46.54,3952
16-Apr-14,45.98,46.10,45.79,46.10,3351
14-Apr-14,45.59,45.59,45.59,45.59,330
11-Apr-14,46.18,46.18,46.00,46.00,1077
10-Apr-14,47.17,47.17,46.34,46.44,4677
9-Apr-14,46.63,47.32,46.53,47.32,9402
8-Apr-14,46.26,46.77,46.13,46.29,3861
7-Apr-14,46.75,46.75,46.33,46.73,4244
4-Apr-14,47.30,47.30,46.91,46.91,6893
3-Apr-14,47.05,47.11,46.94,47.10,41540
2-Apr-14,47.16,47.16,47.16,47.16,244
1-Apr-14,46.82,46.82,46.82,46.82,320
31-Mar-14,46.73,46.74,46.55,46.58,1761
28-Mar-14,46.54,46.57,46.19,46.21,3042
25-Mar-14,45.35,45.85,45.35,45.82,1603
24-Mar-14,45.62,45.62,45.55,45.55,602
21-Mar-14,45.77,45.78,45.28,45.28,1609
20-Mar-14,45.64,45.64,45.64,45.64,559
19-Mar-14,46.64,46.64,46.00,46.00,6842
18-Mar-14,46.34,46.34,46.34,46.34,726
17-Mar-14,46.02,46.02,46.02,46.02,949
13-Mar-14,46.50,46.50,45.45,45.61,7089
12-Mar-14,45.80,46.01,45.80,46.01,666
11-Mar-14,46.32,46.57,46.31,46.57,728
10-Mar-14,46.50,46.74,46.50,46.74,351
6-Mar-14,47.20,47.20,46.90,46.96,1637
5-Mar-14,46.72,46.72,46.68,46.68,1021
4-Mar-14,46.34,46.58,46.34,46.37,5863
3-Mar-14,45.71,45.71,45.31,45.33,2091
28-Feb-14,46.61,46.61,46.35,46.60,1185
27-Feb-14,46.18,46.19,46.18,46.19,862
26-Feb-14,45.70,46.00,45.70,46.00,426
25-Feb-14,46.08,46.22,45.84,45.84,1237
24-Feb-14,45.89,46.27,45.89,46.27,1536
21-Feb-14,45.80,45.96,45.46,45.66,3979
20-Feb-14,45.37,45.45,45.15,45.40,47195
19-Feb-14,45.68,45.70,45.68,45.70,691
14-Feb-14,45.01,45.16,45.01,45.16,1996
13-Feb-14,44.67,44.94,44.67,44.85,11050
12-Feb-14,44.87,44.93,44.59,44.93,39488
11-Feb-14,43.82,44.50,43.82,44.50,6131
10-Feb-14,44.34,45.40,43.44,43.90,77063
6-Feb-14,43.81,45.14,43.79,44.30,4759
5-Feb-14,44.35,44.35,43.55,44.08,5751
4-Feb-14,43.91,44.00,43.91,43.99,8645
3-Feb-14,44.10,44.10,43.10,43.10,2472
31-Jan-14,44.44,44.83,43.77,43.80,6856
30-Jan-14,45.35,45.35,44.24,44.55,14086
29-Jan-14,44.86,45.63,41.00,44.00,21213
28-Jan-14,43.58,45.29,43.35,45.29,46169
27-Jan-14,43.60,44.91,43.21,43.21,3558
24-Jan-14,45.52,45.77,44.43,45.52,18789
