Date,Open,High,Low,Close,Volume
23-Oct-14,99.65,99.78,99.49,99.54,22780
22-Oct-14,100.03,100.21,99.86,99.89,45105
21-Oct-14,100.42,100.67,100.22,100.22,50323
20-Oct-14,100.35,100.90,100.35,100.63,47822
17-Oct-14,100.65,100.87,100.47,100.47,54769
16-Oct-14,101.03,101.10,100.67,100.78,40869
15-Oct-14,101.44,102.43,101.07,101.32,79091
14-Oct-14,100.19,100.50,100.19,100.27,25529
13-Oct-14,100.21,100.47,100.12,100.45,67828
10-Oct-14,99.90,100.10,99.68,99.72,28141
9-Oct-14,100.44,100.49,100.00,100.09,35632
8-Oct-14,99.98,100.47,99.64,100.45,229746
7-Oct-14,99.67,99.98,99.49,99.94,28097
6-Oct-14,98.84,99.71,98.79,99.48,110748
3-Oct-14,98.60,98.78,98.44,98.52,78262
2-Oct-14,99.73,100.00,99.39,99.63,56088
1-Oct-14,99.28,99.52,99.03,99.03,172770
30-Sep-14,99.18,99.49,99.02,99.26,36642
29-Sep-14,99.71,99.82,99.34,99.59,42560
26-Sep-14,99.89,99.95,99.30,99.30,34968
25-Sep-14,99.72,100.25,99.60,100.14,50478
24-Sep-14,100.22,100.32,100.02,100.02,20556
23-Sep-14,100.56,100.61,100.30,100.41,16164
22-Sep-14,100.03,100.52,100.01,100.27,61427
19-Sep-14,100.48,100.48,100.01,100.01,211559
18-Sep-14,100.25,100.54,100.10,100.54,68588
17-Sep-14,101.02,101.09,100.26,100.27,32805
16-Sep-14,100.71,101.11,100.62,100.85,35764
15-Sep-14,100.71,100.88,100.65,100.71,61069
12-Sep-14,100.53,101.00,100.48,100.72,94633
11-Sep-14,101.07,101.15,100.79,100.79,44655
10-Sep-14,101.11,101.31,100.88,101.22,57698
9-Sep-14,101.28,101.64,101.22,101.51,45107
8-Sep-14,102.16,102.27,101.63,101.74,81351
5-Sep-14,102.05,102.53,102.05,102.21,37554
4-Sep-14,102.71,102.71,101.91,102.10,61608
3-Sep-14,103.07,103.18,102.84,102.99,45454
2-Sep-14,103.15,103.24,102.84,103.09,208461
29-Aug-14,104.00,104.11,103.61,103.79,29200
28-Aug-14,104.40,104.40,103.95,104.03,24939
27-Aug-14,104.05,104.33,104.05,104.30,23247
26-Aug-14,104.04,104.04,103.60,103.74,24613
25-Aug-14,103.82,103.89,103.52,103.75,12907
22-Aug-14,103.89,103.95,103.54,103.73,31180
21-Aug-14,103.75,104.03,103.67,103.94,28569
20-Aug-14,104.06,104.06,103.56,103.69,31289
19-Aug-14,104.20,104.35,104.12,104.19,17774
18-Aug-14,104.44,104.50,104.29,104.43,62167
15-Aug-14,104.54,104.99,104.11,104.92,27632
14-Aug-14,104.37,104.63,104.01,104.32,37423
13-Aug-14,104.20,104.24,103.98,104.18,11483
12-Aug-14,104.12,104.18,103.84,104.11,35176
11-Aug-14,104.20,104.40,104.04,104.10,13420
8-Aug-14,104.20,104.49,104.12,104.15,43024
7-Aug-14,103.87,104.10,103.64,103.85,64292
6-Aug-14,103.81,103.96,103.56,103.91,20808
5-Aug-14,103.76,103.94,103.36,103.83,21125
4-Aug-14,104.03,104.13,103.79,103.89,52411
1-Aug-14,103.90,104.07,103.34,103.88,373668
