Date,Open,High,Low,Close,Volume
23-Oct-14,1.91,2.00,1.85,2.00,47885
22-Oct-14,1.96,1.99,1.88,1.88,24452
21-Oct-14,1.95,2.03,1.95,1.95,36616
20-Oct-14,2.00,2.00,1.91,1.95,24063
17-Oct-14,1.93,2.04,1.91,1.99,103077
16-Oct-14,1.92,1.96,1.91,1.94,51907
15-Oct-14,1.91,1.96,1.88,1.94,58875
14-Oct-14,2.02,2.02,1.85,1.91,94431
13-Oct-14,2.05,2.06,1.95,1.99,66149
10-Oct-14,2.05,2.09,2.04,2.06,63527
9-Oct-14,2.09,2.12,2.00,2.04,77815
8-Oct-14,2.18,2.21,2.08,2.12,125039
7-Oct-14,2.19,2.23,2.16,2.17,142350
6-Oct-14,2.24,2.33,2.18,2.19,91968
3-Oct-14,2.30,2.36,2.19,2.21,35105
2-Oct-14,2.25,2.29,2.20,2.29,54696
1-Oct-14,2.24,2.40,2.11,2.23,296715
30-Sep-14,2.24,2.37,2.24,2.30,96996
29-Sep-14,2.60,2.60,2.10,2.36,166200
26-Sep-14,2.52,2.57,2.48,2.51,14587
25-Sep-14,2.57,2.59,2.49,2.53,50782
24-Sep-14,2.59,2.70,2.56,2.60,42177
23-Sep-14,2.66,2.67,2.55,2.62,48476
22-Sep-14,2.54,2.67,2.50,2.62,39122
19-Sep-14,2.73,2.74,2.45,2.55,206081
18-Sep-14,2.75,2.78,2.70,2.73,37028
17-Sep-14,2.82,2.84,2.75,2.77,86039
16-Sep-14,2.85,2.87,2.80,2.82,58048
15-Sep-14,2.89,2.89,2.85,2.87,77644
12-Sep-14,2.87,2.90,2.86,2.89,25859
11-Sep-14,2.86,2.91,2.85,2.86,92738
10-Sep-14,2.92,2.93,2.87,2.90,63023
9-Sep-14,2.96,2.98,2.90,2.90,37802
8-Sep-14,3.00,3.00,2.92,2.96,32146
5-Sep-14,2.93,3.02,2.93,3.00,50375
4-Sep-14,2.98,2.98,2.92,2.94,48273
3-Sep-14,3.01,3.04,2.97,2.98,23869
