Date,Open,High,Low,Close,Volume
23-Oct-14,9.12,9.39,9.00,9.22,1239781
22-Oct-14,8.91,9.40,8.79,9.00,1388203
21-Oct-14,9.56,9.71,8.57,8.84,1622590
20-Oct-14,8.49,9.70,8.41,9.46,2163388
17-Oct-14,8.58,8.68,7.70,8.30,11713565
16-Oct-14,8.64,8.75,8.23,8.38,2027881
15-Oct-14,8.50,8.80,8.30,8.76,1408043
14-Oct-14,8.98,9.13,8.60,8.67,1200786
13-Oct-14,8.91,9.15,8.56,8.87,843757
10-Oct-14,9.05,9.39,8.91,8.93,889851
9-Oct-14,9.73,9.76,9.12,9.21,808542
8-Oct-14,9.56,9.76,8.99,9.73,1067758
7-Oct-14,9.66,9.85,9.38,9.51,928607
6-Oct-14,10.52,10.65,9.66,9.67,1218002
3-Oct-14,10.86,10.94,10.50,10.51,752892
2-Oct-14,10.43,10.79,10.28,10.70,573865
1-Oct-14,10.63,10.81,10.31,10.45,831370
30-Sep-14,11.11,11.17,10.59,10.59,908268
29-Sep-14,10.64,11.24,10.64,11.17,1145268
26-Sep-14,10.87,10.94,10.67,10.78,631264
25-Sep-14,11.20,11.28,10.66,10.82,529837
24-Sep-14,10.76,11.05,10.65,11.04,716475
23-Sep-14,10.85,11.00,10.65,10.69,1318509
22-Sep-14,11.24,11.31,10.71,10.91,810437
19-Sep-14,11.43,11.73,11.20,11.35,1317699
18-Sep-14,11.39,11.48,11.17,11.34,384287
17-Sep-14,11.19,11.43,11.04,11.30,368683
16-Sep-14,11.06,11.23,10.86,11.14,450866
15-Sep-14,11.41,11.48,10.86,10.99,739833
12-Sep-14,11.70,11.75,11.30,11.41,532405
11-Sep-14,11.65,11.86,11.46,11.68,441557
10-Sep-14,11.32,11.75,11.27,11.72,862829
9-Sep-14,11.64,11.65,11.29,11.30,820053
8-Sep-14,11.29,11.63,11.27,11.62,544494
5-Sep-14,11.73,11.85,11.15,11.32,669628
4-Sep-14,12.00,12.10,11.73,11.75,783142
3-Sep-14,12.24,12.41,11.82,12.01,2032700
2-Sep-14,12.02,12.74,11.88,12.20,1302761
29-Aug-14,11.65,11.91,11.56,11.82,468396
28-Aug-14,11.82,12.28,11.63,11.66,739097
27-Aug-14,12.23,12.23,11.88,11.88,691515
26-Aug-14,11.94,12.23,11.88,12.18,563445
25-Aug-14,11.68,12.09,11.64,11.91,558540
22-Aug-14,11.49,11.64,11.28,11.52,479544
21-Aug-14,11.90,11.94,11.48,11.49,525900
20-Aug-14,11.70,12.04,11.60,11.89,506049
19-Aug-14,11.74,11.81,11.58,11.79,584947
18-Aug-14,11.70,11.78,11.52,11.73,752324
15-Aug-14,11.94,11.99,11.28,11.53,787396
14-Aug-14,11.50,11.84,11.38,11.84,658165
13-Aug-14,11.26,11.58,11.13,11.46,621404
12-Aug-14,11.35,11.40,11.16,11.20,732554
11-Aug-14,11.31,11.44,10.98,11.43,777350
8-Aug-14,11.09,11.35,10.94,11.25,561982
7-Aug-14,11.42,11.59,11.02,11.07,624583
6-Aug-14,10.90,11.59,10.90,11.37,777552
5-Aug-14,10.41,11.04,10.41,11.02,961191
4-Aug-14,10.54,10.84,10.49,10.62,941747
1-Aug-14,10.35,11.00,10.28,10.47,1064596
31-Jul-14,10.98,11.09,10.63,10.78,653554
30-Jul-14,11.12,11.38,11.02,11.11,529541
29-Jul-14,10.61,10.99,10.52,10.95,518764
28-Jul-14,10.62,10.78,10.31,10.53,628649
25-Jul-14,10.82,10.90,10.44,10.63,835301
24-Jul-14,11.36,11.36,10.77,10.89,1073952
23-Jul-14,11.44,11.69,11.01,11.38,818120
22-Jul-14,11.28,11.52,11.09,11.33,508246
21-Jul-14,11.65,11.74,11.12,11.19,976017
18-Jul-14,10.68,11.82,10.68,11.74,3820174
17-Jul-14,11.11,11.29,10.65,10.79,1252438
16-Jul-14,10.85,11.76,10.80,11.27,1418648
15-Jul-14,11.11,11.35,10.65,10.74,1215238
14-Jul-14,11.40,11.44,11.02,11.08,418910
11-Jul-14,10.91,11.26,10.87,11.23,496126
10-Jul-14,10.96,11.32,10.70,10.89,907378
9-Jul-14,11.29,11.36,10.87,11.23,428562
8-Jul-14,11.19,11.39,10.77,11.24,1207952
7-Jul-14,11.59,11.69,11.26,11.28,748878
3-Jul-14,11.86,11.97,11.58,11.60,447069
2-Jul-14,11.91,12.12,11.79,11.85,540701
1-Jul-14,11.90,12.17,11.58,11.95,792757
30-Jun-14,11.92,12.00,11.56,11.85,638678
27-Jun-14,11.70,11.96,11.52,11.91,1989099
26-Jun-14,12.01,12.02,11.56,11.79,778209
