Date,Open,High,Low,Close,Volume
23-Oct-14,18.71,18.71,18.71,18.71,450
22-Oct-14,18.71,18.71,18.71,18.71,100
17-Oct-14,18.72,18.74,18.72,18.72,845
16-Oct-14,18.86,18.87,18.71,18.81,4942
15-Oct-14,18.95,18.95,18.80,18.95,2800
13-Oct-14,18.96,18.96,18.96,18.96,103
10-Oct-14,19.15,19.24,18.91,19.00,5787
9-Oct-14,19.25,19.25,19.25,19.25,512
8-Oct-14,19.20,19.20,19.20,19.20,783
7-Oct-14,19.21,19.21,19.20,19.20,761
6-Oct-14,19.26,19.26,19.21,19.21,627
3-Oct-14,19.31,19.31,19.27,19.31,1300
2-Oct-14,19.36,19.41,19.36,19.41,200
1-Oct-14,19.45,19.45,19.36,19.36,2047
30-Sep-14,19.55,19.55,19.50,19.50,4208
29-Sep-14,19.51,19.65,19.50,19.65,3245
26-Sep-14,19.50,19.70,19.50,19.70,1453
25-Sep-14,19.62,19.66,19.50,19.50,1900
24-Sep-14,19.54,20.00,19.50,19.65,2664
23-Sep-14,19.64,19.65,19.55,19.65,2500
22-Sep-14,19.72,19.72,19.60,19.60,2588
19-Sep-14,19.89,19.89,19.56,19.56,1461
17-Sep-14,19.70,20.50,19.70,20.50,325
16-Sep-14,19.86,19.89,19.55,19.60,1491
15-Sep-14,20.00,20.00,19.57,19.81,1856
12-Sep-14,19.76,19.76,19.40,19.65,1472
11-Sep-14,20.32,20.32,20.32,20.32,221
10-Sep-14,20.50,20.50,20.50,20.50,279
9-Sep-14,20.50,20.50,19.40,19.54,1666
8-Sep-14,20.50,20.50,20.50,20.50,276
5-Sep-14,19.40,19.41,19.40,19.41,540
3-Sep-14,19.42,19.42,19.36,19.36,300
2-Sep-14,19.40,19.40,19.40,19.40,1000
29-Aug-14,19.45,19.45,19.45,19.45,190
27-Aug-14,19.40,19.56,19.40,19.56,2300
26-Aug-14,19.40,19.40,19.40,19.40,615
22-Aug-14,19.39,19.93,19.39,19.40,2520
21-Aug-14,19.59,19.59,19.59,19.59,100
20-Aug-14,19.40,19.41,19.40,19.40,750
19-Aug-14,19.62,19.62,19.51,19.55,702
18-Aug-14,19.40,19.40,19.40,19.40,100
15-Aug-14,19.41,19.44,19.40,19.40,800
14-Aug-14,19.41,19.70,19.41,19.67,1539
13-Aug-14,19.44,19.44,19.44,19.44,102
12-Aug-14,19.45,19.45,19.40,19.42,1264
8-Aug-14,19.40,19.41,19.40,19.40,503
7-Aug-14,19.37,19.45,19.37,19.45,400
6-Aug-14,19.40,19.40,19.36,19.36,6101
5-Aug-14,19.37,19.42,19.37,19.40,2448
4-Aug-14,19.40,19.41,19.40,19.40,987
1-Aug-14,19.40,19.41,19.40,19.41,2282
31-Jul-14,19.40,19.41,19.40,19.41,1700
30-Jul-14,19.40,19.51,19.40,19.51,400
29-Jul-14,19.40,19.40,19.40,19.40,544
28-Jul-14,19.40,19.40,19.40,19.40,202
25-Jul-14,19.22,20.09,19.22,19.25,800
24-Jul-14,19.33,19.33,19.16,19.16,200
23-Jul-14,19.15,19.63,19.15,19.15,10309
22-Jul-14,19.16,19.42,19.15,19.25,1301
21-Jul-14,19.17,19.17,19.15,19.15,1001
18-Jul-14,19.22,19.22,19.22,19.22,500
